#time y2 y3 y1
0.01 0.8828 0.4957 0.2095
0.02 1.6761 0.8547 0.3661
0.03 1.826 1.0239 0.6184
0.04 1.5986 1.0241 0.7326
0.05 1.4211 0.9121 1.0447
0.06 0.768 0.6285 1.0646
0.07 0.2213 0.1756 1.3828
0.08 -0.1272 -0.2212 1.3744
0.09 -0.2009 -0.5614 1.516
0.1 -0.0442 -0.733 1.5364
0.11 0.2287 -0.6095 1.7427
0.12 0.4698 -0.3912 1.9979
0.13 0.5653 0.016 2.1837
0.14 0.4083 0.5196 1.8986
0.15 -0.0227 1.0378 1.9577
0.16 -0.558 1.4026 2.0661
0.17 -0.94 1.4147 2.0405
0.18 -1.2176 1.4 2.3632
0.19 -1.2118 1.4383 2.2733
0.2 -0.6792 0.9631 2.1431
0.21 0.1483 0.5157 2.2159
0.22 0.9707 0.1397 1.9267
0.23 1.973 -0.1317 2.1368
0.24 2.2692 -0.2557 1.9535
0.25 2.5512 -0.1954 1.8266
0.26 2.0542 0.0721 1.8851
0.27 1.5437 0.4533 1.7228
0.28 0.788 0.9528 1.6118
0.29 0.3557 1.5321 1.5195
0.3 0.117 1.5991 1.3362
0.31 0.1466 1.9808 1.3804
0.32 0.4093 2.0057 1.2125
0.33 0.7506 1.7084 1.3145
0.34 0.9496 1.2689 1.1799
0.35 0.8188 0.9292 1.0096
0.36 0.5359 0.438 1.0683
0.37 0.106 0.2019 1.0353
0.38 -0.3988 0.0936 0.9372
0.39 -0.6921 0.2028 0.9954
0.4 -0.7301 0.4916 0.9092
0.41 -0.4189 0.8834 0.9869
0.42 0.228 1.4074 0.9326
0.43 1.1747 1.771 1.0109
0.44 2.0988 1.9362 1.0512
0.45 2.4573 2.3713 1.2235
0.46 2.6125 2.3174 1.1093
0.47 2.408 1.8383 1.4033
0.48 2.2616 1.6442 1.2972
0.49 1.4811 1.0858 1.4603
0.5 0.7653 0.7037 1.4042
0.51 0.3816 0.5024 1.5749
0.52 0.2378 0.4132 1.7835
0.53 0.4202 0.534 1.8354
0.54 0.7073 0.8228 1.7746
0.55 0.9866 1.3279 2.0166
0.56 0.9982 1.5364 2.0137
0.57 0.8763 2.268 1.823
0.58 0.6152 2.6041 1.9089
0.59 0.1132 2.2608 2.1788
0.6 -0.2801 2.4373 2.3334
0.61 -0.4795 2.2423 2.0028
0.62 -0.3438 1.5991 2.1929
0.63 0.1892 1.3673 1.9263
0.64 0.9768 0.9156 2.2167
0.65 1.6629 0.6742 1.8884
0.66 2.4802 0.5577 2.1678
0.67 2.9244 0.7626 1.8758
0.68 2.8596 1.1356 1.7442
0.69 2.5851 1.3359 1.77
0.7 1.8018 1.9861 1.4923
0.71 1.0033 2.1265 1.3608
0.72 0.5132 2.6533 1.3721
0.73 0.2215 2.9169 1.0838
0.74 0.225 2.3634 0.9961
0.75 0.4416 2.0483 0.7367
0.76 0.6836 1.7677 0.6075
0.77 0.9961 1.2874 0.3777
0.78 0.9336 0.9269 0.1787
0.79 0.8327 0.7345 -0.0061
0.8 0.3562 0.6698 -0.1963
0.81 -0.049 0.8723 -0.3883
0.82 -0.3892 1.0942 -0.6384
0.83 -0.3607 1.4921 -0.7357
0.84 -0.0364 2.1013 -1.0346
0.85 0.583 2.6792 -1.0944
0.86 1.4484 2.886 -1.2752
0.87 2.2968 2.8744 -1.5692
0.88 2.7269 2.4021 -1.7271
0.89 2.6094 2.1396 -1.6259
0.9 2.7103 1.7242 -2.0003
0.91 2.0289 1.3731 -2.042
0.92 1.311 1.0688 -1.9221
0.93 0.5786 0.8149 -1.9761
0.94 0.0528 0.708 -2.1928
0.95 -0.137 0.9431 -2.0218
0.96 -0.0043 1.1958 -2.1927
0.97 0.3 1.6662 -2.0803
0.98 0.6196 2.1315 -2.1606
0.99 0.8121 2.6348 -2.306
1.0 0.6654 2.8725 -2.1157
1.01 0.3999 2.5006 -1.9446
1.02 0.0023 2.7192 -1.9973
1.03 -0.3826 2.0208 -1.7959
1.04 -0.54 1.6068 -1.97
1.05 -0.4003 1.2717 -1.7366
1.06 0.1185 0.9816 -1.7174
1.07 0.7761 0.6724 -1.5469
1.08 1.601 0.7044 -1.6137
1.09 2.3548 0.9314 -1.327
1.1 2.4611 1.2523 -1.2812
1.11 2.6323 1.7026 -1.3642
1.12 1.7995 2.0408 -1.3
1.13 1.3321 2.5801 -1.1529
1.14 0.3977 2.4093 -1.0955
1.15 -0.2295 2.3498 -1.1042
1.16 -0.5273 2.5435 -0.9694
1.17 -0.6003 2.1023 -1.0743
1.18 -0.3791 1.5362 -0.9284
1.19 -0.0039 1.1056 -1.0173
1.2 0.2619 0.6497 -0.984
1.21 0.404 0.5552 -1.1195
1.22 0.2124 0.4738 -1.0446
1.23 -0.1042 0.6576 -1.0005
1.24 -0.5393 0.9762 -1.1242
1.25 -0.7171 1.6349 -1.197
1.26 -0.8654 2.0939 -1.148
1.27 -0.4514 2.3945 -1.429
1.28 0.1512 2.3466 -1.4218
1.29 0.8329 2.1784 -1.4232
1.3 1.6371 2.2684 -1.466
1.31 2.1761 1.7127 -1.5178
1.32 1.918 1.3165 -1.8252
1.33 1.682 0.8683 -1.798
1.34 1.1466 0.466 -1.9816
1.35 0.2335 0.3089 -1.8225
1.36 -0.528 0.3227 -1.9141
1.37 -1.0853 0.4824 -1.9179
1.38 -1.1533 0.9074 -1.892
1.39 -1.0909 1.2831 -2.0018
1.4 -0.82 1.5795 -1.935
1.41 -0.3751 2.0747 -1.9237
1.42 -0.1437 2.0862 -2.1724
1.43 -0.1206 1.9012 -2.1953
1.44 -0.3716 1.6837 -1.9843
1.45 -0.7645 1.495 -2.0454
1.46 -1.0981 0.9574 -1.9584
1.47 -1.1188 0.5292 -1.6407
1.48 -0.9295 0.1448 -1.7602
1.49 -0.5271 0.0051 -1.5233
1.5 0.1366 0.0571 -1.5338
1.51 0.899 0.3135 -1.1632
1.52 1.3856 0.6336 -1.2066
1.53 1.5188 1.0638 -0.9984
1.54 1.5193 1.3545 -0.7891
1.55 0.9503 1.8512 -0.5206
1.56 0.0767 1.9042 -0.4164
1.57 -0.7994 1.6881 -0.197
1.58 -1.3174 1.3585 0.0119
1.59 -1.8485 0.9971 0.2114
1.6 -1.7783 0.5355 0.3939
1.61 -1.4933 0.1442 0.5771
1.62 -1.0396 -0.1777 0.8507
1.63 -0.647 -0.2702 1.0538
1.64 -0.5151 -0.2147 1.0847
1.65 -0.5328 0.0462 1.2143
1.66 -0.7958 0.3976 1.4666
1.67 -1.2098 0.8306 1.5691
1.68 -1.4458 1.247 1.7836
1.69 -1.4613 1.4479 1.7317
1.7 -1.1475 1.5554 1.9065
1.71 -0.5488 1.5322 2.209
1.72 0.1691 1.1156 2.1755
1.73 0.8303 0.6728 2.0193
1.74 1.1915 0.2518 2.3167
1.75 1.1357 -0.1745 2.3118
1.76 0.751 -0.4806 2.1771
1.77 -0.0006 -0.619 1.9663
1.78 -0.8166 -0.4745 2.0908
1.79 -1.5345 -0.2136 2.103
1.8 -2.0442 0.1825 2.1042
