#y3 y2 time y4 y1
1.0955 0.1712 0.01 0.1942 1.0277
1.4232 0.311 0.02 0.4058 -0.7009
1.1818 0.4469 0.03 0.5793 0.3157
0.5639 0.6671 0.04 0.72 1.1349
0.0976 0.8146 0.05 0.9971 -0.5395
0.108 0.944 0.06 1.126 0.673
0.7022 0.9215 0.07 1.2576 1.3114
1.4518 1.0784 0.08 1.347 -0.2989
2.0204 1.3034 0.09 1.4517 1.0531
1.4187 1.368 0.1 1.5076 1.6056
0.6725 1.4663 0.11 1.5542 -0.1168
-0.3221 1.4581 0.12 1.9613 1.3757
-0.8625 1.4214 0.13 2.0263 1.7239
-0.8997 1.6035 0.14 1.8809 0.0223
-0.2573 1.6103 0.15 1.9027 1.4922
0.2749 1.686 0.16 1.7713 1.75
0.2594 1.4408 0.17 1.9742 0.1228
-0.3403 1.5154 0.18 1.9566 1.5976
-1.0981 1.6151 0.19 1.8959 1.4935
-1.6029 1.434 0.2 1.8624 0.2073
-1.5054 1.3344 0.21 1.7417 1.8434
-0.9208 1.4176 0.22 1.5769 1.6082
0.122 1.1993 0.23 1.665 0.2269
0.682 1.2518 0.24 1.5483 1.6738
0.6843 1.1887 0.25 1.436 1.3349
0.2386 1.0843 0.26 1.4129 0.1848
-0.2504 0.9751 0.27 1.1394 2.0296
-0.2595 0.8787 0.28 1.2025 1.2742
0.3791 0.7673 0.29 0.9908 0.1338
1.3752 0.7238 0.3 0.9587 1.8177
2.1288 0.6784 0.31 0.7303 1.1762
2.2379 0.6165 0.32 0.6329 0.0231
1.4549 0.5302 0.33 0.5819 1.6844
0.6547 0.4813 0.34 0.4489 0.7584
0.0846 0.4184 0.35 0.3602 -0.0984
0.0537 0.4345 0.36 0.2643 1.4487
0.5688 0.4102 0.37 0.1738 0.5638
1.2109 0.4165 0.38 0.0921 -0.2296
1.2263 0.3826 0.39 0.0292 1.383
0.6867 0.4579 0.4 -0.0249 0.2701
-0.312 0.4734 0.41 -0.0696 -0.3718
-1.105 0.5354 0.42 -0.0895 1.211
-1.6318 0.5726 0.43 -0.1095 -0.0289
-1.1537 0.6567 0.44 -0.1158 -0.4983
-0.327 0.7357 0.45 -0.124 1.073
0.3039 0.8127 0.46 -0.1086 -0.3027
0.3186 0.9742 0.47 -0.0869 -0.6531
-0.1449 1.0793 0.48 -0.0537 0.8328
-0.7008 1.169 0.49 -0.0118 -0.5892
-0.9666 1.3236 0.5 0.0361 -0.7033
-0.4975 1.3266 0.51 0.0957 0.8008
0.513 1.6051 0.52 0.1366 -0.7342
1.3649 1.6836 0.53 0.203 -0.7978
2.0896 1.9053 0.54 0.2635 0.6457
1.8286 1.9107 0.55 0.3561 -0.8932
1.0533 2.0883 0.56 0.426 -0.7976
0.5197 2.1758 0.57 0.4823 0.5345
0.5428 2.2428 0.58 0.5567 -1.1254
0.967 2.4125 0.59 0.5363 -0.6805
1.6828 2.2526 0.6 0.574 0.5173
1.9873 2.3704 0.61 0.6788 -1.1638
1.9775 2.5425 0.62 0.6686 -0.665
0.9684 2.7363 0.63 0.7071 0.5647
-0.0621 2.9361 0.64 0.7159 -1.2751
-0.6897 3.0214 0.65 0.7873 -0.4494
-0.5673 3.1593 0.66 0.6864 0.6357
0.0185 2.7635 0.67 0.812 -1.1921
0.6026 3.0662 0.68 0.7845 -0.2874
0.5954 2.8929 0.69 0.6638 0.6228
0.018 2.977 0.7 0.5815 -0.9682
-0.839 2.5564 0.71 0.6062 -0.0262
-1.4874 2.998 0.72 0.5868 0.7846
-1.1796 2.4893 0.73 0.4367 -0.8557
-0.4182 2.7777 0.74 0.4308 0.2569
0.547 2.3905 0.75 0.3377 0.9837
1.3308 2.4038 0.76 0.214 -0.6398
1.22 2.5368 0.77 0.1262 0.5485
0.8014 2.0405 0.78 0.0471 1.1775
0.2145 2.0469 0.79 -0.0417 -0.4456
0.1872 1.9433 0.8 -0.134 0.9638
0.8075 1.821 0.81 -0.2418 1.4357
1.5524 1.8028 0.82 -0.3359 -0.227
2.643 1.4815 0.83 -0.4063 1.2381
2.6715 1.5221 0.84 -0.4266 1.4657
1.9369 1.4807 0.85 -0.5448 0.0195
0.9979 1.3525 0.86 -0.5583 1.5498
0.3827 1.155 0.87 -0.5678 1.6375
0.3255 1.1652 0.88 -0.706 0.2439
0.7614 0.9541 0.89 -0.643 2.0072
1.4248 0.8752 0.9 -0.6199 1.7525
1.3426 0.8945 0.91 -0.7081 0.4626
1.0019 0.7915 0.92 -0.6564 2.2411
-0.0661 0.8391 0.93 -0.5637 1.896
-0.9674 0.7906 0.94 -0.6026 0.6769
-1.1225 0.7729 0.95 -0.5082 2.5849
