#y2 y1 time
0.481 0.458 0.01
0.8314 0.7925 0.02
1.3072 1.05 0.03
1.4841 1.12 0.04
1.942 1.0801 0.05
2.1613 0.8718 0.06
2.1398 0.4011 0.07
1.7853 0.0425 0.08
1.7318 -0.2604 0.09
1.5575 -0.41 0.1
1.1821 -0.4229 0.11
0.9052 -0.2266 0.12
0.4714 0.1012 0.13
0.0999 0.5341 0.14
-0.3149 0.9522 0.15
-0.7552 1.3371 0.16
-1.0506 1.8412 0.17
-1.3489 1.9722 0.18
-1.6457 1.6901 0.19
-1.667 1.499 0.2
-1.6058 1.3275 0.21
-1.57 0.772 0.22
-1.5613 0.4792 0.23
-1.1405 0.2552 0.24
-0.9681 0.1968 0.25
-0.6075 0.2965 0.26
-0.2024 0.652 0.27
0.1797 1.034 0.28
0.5547 1.558 0.29
0.9005 2.1089 0.3
1.1278 2.2035 0.31
1.3685 2.6211 0.32
1.4778 2.425 0.33
1.8202 2.1605 0.34
1.7176 1.7157 0.35
1.6294 1.398 0.36
1.6652 1.1899 0.37
1.2872 0.84 0.38
1.122 0.6765 0.39
0.9354 0.8042 0.4
0.5392 1.0413 0.41
0.3284 1.4735 0.42
0.0319 1.8548 0.43
-0.192 2.0893 0.44
-0.3876 2.6168 0.45
-0.5939 2.5676 0.46
-0.6911 3.0735 0.47
-0.7299 2.7475 0.48
-0.6983 2.2951 0.49
-0.6755 1.772 0.5
-0.504 1.684 0.51
-0.374 1.1986 0.52
-0.1849 0.9715 0.53
0.0032 1.0576 0.54
0.1999 1.0376 0.55
0.3671 1.347 0.56
0.6116 1.8448 0.57
0.7335 2.2 0.58
0.8493 2.5787 0.59
0.8316 3.1924 0.6
1.0304 2.9224 0.61
0.9293 2.9486 0.62
0.8767 2.5918 0.63
0.9872 2.3453 0.64
0.8675 1.7716 0.65
0.7264 1.2783 0.66
0.7204 1.1766 0.67
0.5668 0.9218 0.68
0.5305 1.0086 0.69
0.4568 1.2141 0.7
0.4189 1.5103 0.71
0.4027 1.9559 0.72
