#y4 y1 y2 y3 time
0.1866 0.439 0.2042 0.3164 0.01
0.3704 0.784 0.4072 0.6655 0.02
0.5538 1.1055 0.5295 0.9306 0.03
0.6691 1.3726 0.7075 1.045 0.04
0.8949 1.6792 0.9088 1.3427 0.05
1.1145 1.7922 1.0336 1.3481 0.06
1.1983 2.049 1.2179 1.184 0.07
1.2688 2.0266 1.3639 1.0784 0.08
1.3423 2.0831 1.3976 0.9681 0.09
1.4388 1.8953 1.6181 0.7528 0.1
1.4873 1.5737 1.7699 0.4649 0.11
1.4666 1.335 1.6145 0.2692 0.12
1.4256 1.2073 1.5709 0.0519 0.13
1.3506 0.8541 1.948 -0.0977 0.14
1.504 0.4725 1.8976 -0.1567 0.15
1.3907 0.062 1.9256 -0.1586 0.16
1.2044 -0.2866 1.8396 -0.0461 0.17
1.1225 -0.6323 1.5974 0.1372 0.18
1.0069 -0.9735 1.7672 0.3916 0.19
0.9411 -1.126 1.705 0.7551 0.2
0.7768 -1.3084 1.4249 1.002 0.21
0.6506 -1.6876 1.6563 1.2589 0.22
0.6273 -1.681 1.5314 1.5872 0.23
0.5134 -1.7973 1.2468 2.0974 0.24
0.4047 -1.4827 1.3695 2.2457 0.25
0.3381 -1.3554 1.259 2.2953 0.26
0.2469 -1.1222 1.2037 2.2666 0.27
0.2218 -0.9137 1.0477 2.4507 0.28
0.2012 -0.6703 0.9732 2.2084 0.29
0.1737 -0.3315 0.8398 1.8232 0.3
0.1804 0.0421 0.7904 1.7215 0.31
0.2078 0.4233 0.7784 1.5919 0.32
0.3032 0.7794 0.8198 1.2361 0.33
0.3757 1.0699 0.674 1.0072 0.34
0.4374 1.2195 0.6633 0.7592 0.35
0.536 1.5672 0.7473 0.6478 0.36
0.6468 1.8249 0.8433 0.689 0.37
0.899 1.9547 0.7581 0.7229 0.38
0.946 1.9473 0.8518 0.8218 0.39
1.1777 2.0714 0.9259 1.1215 0.4
1.3635 1.652 1.0122 1.334 0.41
1.6082 1.6117 1.1619 1.7997 0.42
1.6773 1.4115 1.1802 2.1209 0.43
1.8523 1.2295 1.2071 2.1002 0.44
1.8826 1.1067 1.4995 2.3053 0.45
2.0899 0.7989 1.5479 2.4913 0.46
2.117 0.45 1.6095 3.035 0.47
2.4459 0.2321 1.9368 2.6265 0.48
2.79 -0.0346 2.1261 2.5647 0.49
2.6371 -0.268 2.0392 2.6644 0.5
2.8349 -0.4533 2.3115 2.5813 0.51
2.6542 -0.5634 2.3761 2.3463 0.52
2.5504 -0.7641 2.7258 2.0813 0.53
2.6816 -0.7191 2.8557 1.6305 0.54
2.6774 -0.7405 2.9733 1.3783 0.55
2.4353 -0.8211 2.7464 1.1516 0.56
2.8636 -0.6554 2.892 0.9832 0.57
2.5628 -0.5149 2.945 0.8722 0.58
2.1932 -0.3871 3.1782 0.8136 0.59
2.4703 -0.1958 3.0386 0.9944 0.6
2.0477 0.0261 3.1763 1.1472 0.61
2.2296 0.2415 2.9364 1.3465 0.62
1.7165 0.4568 2.6653 1.8031 0.63
1.9197 0.6562 2.5785 2.1238 0.64
1.6441 0.853 2.7791 2.2879 0.65
1.3445 1.0632 2.5642 2.3302 0.66
1.4572 1.0587 2.3429 2.6458 0.67
1.3549 1.2675 2.3952 2.7366 0.68
