#y3 y4 y5 time y2 y1
0.3744 0.231 0.574 0.01 0.1603 0.3426
0.7745 0.4286 1.0496 0.02 0.3166 0.6978
1.0263 0.6418 1.1325 0.03 0.5266 0.9097
1.4261 0.811 0.8695 0.04 0.6325 1.3519
1.5289 0.92 0.3747 0.05 0.8469 1.6556
1.5759 1.0793 -0.1558 0.06 0.9446 1.7137
1.4236 1.3574 -0.6225 0.07 1.0599 1.9839
1.2512 1.4216 -0.752 0.08 1.109 2.3676
1.1611 1.4667 -0.5185 0.09 1.341 2.6742
0.947 1.6411 -0.0705 0.1 1.3619 2.517
0.6083 1.7557 0.5507 0.11 1.4403 2.85
0.4523 1.6005 1.1759 0.12 1.4424 2.5375
0.2234 1.6026 1.5578 0.13 1.4984 2.5307
0.1314 1.7488 1.5448 0.14 1.4418 2.7155
0.0834 1.4609 1.0693 0.15 1.3401 2.7351
0.1417 1.554 0.6585 0.16 1.4569 2.5901
0.289 1.5067 0.0892 0.17 1.2697 2.4861
0.4872 1.2379 -0.2976 0.18 1.3194 2.2468
0.7728 1.1945 -0.3556 0.19 1.1873 2.1909
1.0986 0.9839 -0.0855 0.2 1.2424 2.0485
1.2517 1.0147 0.4419 0.21 1.1037 1.7887
1.748 0.8664 0.9943 0.22 0.9194 1.3848
1.8664 0.7028 1.5058 0.23 0.9058 1.2576
2.0376 0.5518 1.7862 0.24 0.8545 0.9393
2.1541 0.5306 1.671 0.25 0.7167 0.732
1.9951 0.4407 1.3866 0.26 0.5298 0.5009
1.9084 0.3162 0.8541 0.27 0.4858 0.2968
1.5579 0.2536 0.312 0.28 0.4164 0.1108
1.33 0.2459 -0.0088 0.29 0.3055 -0.0912
0.8855 0.2097 -0.0028 0.3 0.2529 -0.2798
0.5376 0.2336 0.34 0.31 0.2054 -0.4157
0.1369 0.2541 0.8448 0.32 0.1414 -0.5952
-0.2022 0.3215 1.5387 0.33 0.1157 -0.652
-0.4904 0.3578 1.9547 0.34 0.1018 -0.8431
-0.6243 0.4113 2.1325 0.35 0.0838 -0.9084
-0.8053 0.587 2.1035 0.36 0.1001 -0.9217
-0.7055 0.6434 1.4292 0.37 0.1436 -1.0062
-0.6888 0.7094 0.8931 0.38 0.1792 -1.0277
-0.4519 0.8563 0.4911 0.39 0.2403 -0.9919
-0.2603 0.9506 0.2143 0.4 0.2994 -1.0003
-0.042 1.1787 0.271 0.41 0.4418 -0.9358
0.1777 1.2498 0.6267 0.42 0.5435 -0.9615
0.3891 1.3885 1.1382 0.43 0.6925 -0.9434
0.5645 1.6106 1.8798 0.44 0.8338 -0.9574
0.6221 1.6683 2.3016 0.45 0.9146 -1.0523
0.5221 1.8433 2.4955 0.46 1.0265 -0.8878
0.4959 1.6948 2.0296 0.47 1.2874 -1.0333
0.239 1.8067 1.6207 0.48 1.3784 -0.9328
0.0053 1.9961 0.9438 0.49 1.3641 -1.0229
-0.307 1.8605 0.5703 0.5 1.6585 -1.0331
-0.6423 1.8698 0.3827 0.51 1.9333 -0.9321
-0.9901 1.7779 0.5309 0.52 1.9389 -1.0008
-1.2769 1.8087 1.0081 0.53 1.9289 -1.1808
-1.5281 1.4439 1.4664 0.54 2.3653 -1.1048
-1.5395 1.4255 2.0729 0.55 2.2691 -1.1058
-1.6421 1.4094 2.3496 0.56 2.1372 -1.3342
-1.4307 1.0415 2.2933 0.57 2.2042 -1.2176
-1.2571 1.0231 1.8364 0.58 2.7244 -1.3771
-1.1139 0.8394 1.5172 0.59 2.7316 -1.2743
-0.7274 0.6137 0.9669 0.6 2.3919 -1.4033
-0.3516 0.4123 0.5274 0.61 2.6336 -1.4636
0.0269 0.1724 0.3916 0.62 2.4126 -1.3416
0.3933 -0.0101 0.6279 0.63 2.644 -1.4856
0.6115 -0.184 1.0549 0.64 2.5574 -1.3894
0.8457 -0.3488 1.6928 0.65 2.617 -1.2021
1.1231 -0.4974 2.375 0.66 2.1995 -1.2487
1.1544 -0.6555 2.5221 0.67 2.4005 -1.1899
1.1142 -0.7366 2.3741 0.68 2.006 -0.8933
0.9479 -0.8536 2.0097 0.69 2.2066 -0.8018
0.7811 -0.9866 1.3405 0.7 1.725 -0.6677
0.5318 -1.1291 0.7696 0.71 1.6425 -0.4422
0.3866 -1.0726 0.4331 0.72 1.7809 -0.2856
0.159 -1.0913 0.419 0.73 1.379 -0.0299
0.0273 -1.1701 0.8021 0.74 1.4565 0.2323
