#y3 time y6 y1 y4 y2 y5
0.7995 0.01 0.1594 0.4306 0.4565 0.2077 0.3724
1.038 0.02 0.308 0.8727 0.8528 0.3661 0.663
0.6708 0.03 0.5389 1.0912 1.2648 0.5683 0.9605
-0.1768 0.04 0.6822 1.59 1.1803 0.7623 1.2233
-0.7581 0.05 0.8639 1.8301 1.1365 0.8594 1.404
-0.6098 0.06 0.9565 1.8215 0.9968 1.0016 1.4703
0.074 0.07 0.9937 1.9474 0.7174 1.0846 1.4766
0.8872 0.08 1.2918 1.9322 0.3151 1.3074 1.6491
1.414 0.09 1.4713 2.237 0.0375 1.3896 1.5142
0.9686 0.1 1.5175 1.7966 -0.1532 1.3769 1.5164
0.2352 0.11 1.4137 1.7712 -0.1681 1.3343 1.2563
-0.4697 0.12 1.5021 1.6166 -0.0332 1.5073 1.0277
-0.4639 0.13 1.7686 1.3336 0.2712 1.5142 0.8738
0.1434 0.14 1.7269 1.2179 0.7259 1.3669 0.6443
0.9436 0.15 2.0022 0.8433 1.3132 1.3721 0.5022
1.4974 0.16 2.0513 0.5147 1.7384 1.3307 0.4008
1.3858 0.17 2.0603 0.2858 2.1228 1.2752 0.304
0.691 0.18 1.9674 0.0385 2.4126 1.2235 0.3307
-0.0832 0.19 1.9072 -0.1807 2.1748 1.2183 0.3678
-0.2842 0.2 1.9145 -0.35 2.0534 1.1298 0.4294
0.1896 0.21 1.821 -0.4559 1.8073 0.961 0.6175
1.0475 0.22 1.8841 -0.5216 1.6431 0.8763 0.831
1.7118 0.23 1.8578 -0.5483 1.1431 0.6558 1.1723
1.8025 0.24 1.8352 -0.475 0.8532 0.6285 1.4217
1.0829 0.25 1.7309 -0.4108 0.7401 0.473 1.4493
0.2444 0.26 1.6322 -0.2857 0.695 0.436 1.834
-0.0981 0.27 1.4835 -0.1543 0.8963 0.3635 1.9507
0.2795 0.28 1.4854 0.0199 1.1567 0.259 2.2208
0.9942 0.29 1.1706 0.1785 1.6946 0.2476 2.1562
1.8327 0.3 1.2317 0.3971 2.1269 0.2293 2.4075
1.8701 0.31 1.0957 0.5709 2.547 0.2034 2.347
1.5102 0.32 1.0389 0.6743 2.5846 0.2185 2.4164
0.6333 0.33 1.0029 0.8537 2.7054 0.2639 2.0341
0.1183 0.34 0.888 0.7822 2.6307 0.309 1.788
0.3449 0.35 0.7753 0.8548 2.5906 0.3483 1.4753
1.1573 0.36 0.5885 0.9285 2.3793 0.5025 1.2284
1.9955 0.37 0.6092 0.9026 2.0103 0.6254 0.9973
2.2779 0.38 0.4802 0.9022 1.549 0.7048 0.7961
1.7014 0.39 0.4188 0.7349 1.0735 0.7828 0.5
0.8438 0.4 0.3321 0.6786 1.0117 0.9087 0.2289
0.338 0.41 0.3169 0.6318 1.0433 1.0463 0.0153
0.3688 0.42 0.2681 0.6571 1.1262 1.3548 -0.1287
