#y2 y1 time y3
0.1897 0.2069 0.01 0.7306
0.4148 0.4332 0.02 1.0696
0.5589 0.6568 0.03 1.294
0.7631 0.8586 0.04 0.9465
0.8188 0.8859 0.05 0.3749
1.0656 1.1491 0.06 -0.1147
1.1961 1.0716 0.07 -0.3989
1.1418 1.2142 0.08 -0.2881
1.3388 1.3089 0.09 0.1578
1.4451 1.2565 0.1 0.828
1.3244 1.2948 0.11 1.4059
1.4172 1.0225 0.12 1.8713
1.4243 0.9282 0.13 1.7746
1.2314 0.8316 0.14 1.597
1.3724 0.7586 0.15 0.9274
1.1165 0.6222 0.16 0.4206
1.1431 0.3911 0.17 0.1597
0.8835 0.2578 0.18 0.2313
0.8656 0.1041 0.19 0.6421
0.8052 -0.0195 0.2 1.1979
0.6441 -0.1448 0.21 1.8986
0.4762 -0.226 0.22 2.0836
0.3812 -0.2933 0.23 1.9475
0.2793 -0.3194 0.24 1.5177
0.2005 -0.3111 0.25 1.0362
0.1239 -0.2439 0.26 0.4529
0.0772 -0.1721 0.27 0.1536
0.0506 -0.0526 0.28 0.2301
0.0447 0.0786 0.29 0.6676
0.0621 0.2518 0.3 1.0685
0.1158 0.4188 0.31 1.6493
0.1664 0.6128 0.32 2.0108
0.2533 0.9117 0.33 1.9527
0.3808 1.0155 0.34 1.3418
0.4884 1.2197 0.35 0.6237
0.6531 1.4191 0.36 -0.0024
0.8827 1.689 0.37 -0.3005
0.9254 1.8914 0.38 -0.2551
1.0521 2.107 0.39 0.1086
1.2646 1.8627 0.4 0.6554
1.6626 2.0208 0.41 1.1179
1.5928 1.9221 0.42 1.3315
1.7407 2.2516 0.43 1.0403
1.8661 1.8601 0.44 0.6044
2.0999 1.7786 0.45 -0.0946
2.1615 1.8867 0.46 -0.6533
2.2199 1.6318 0.47 -0.9104
2.4351 1.5715 0.48 -0.858
2.2784 1.3811 0.49 -0.5004
2.397 1.1375 0.5 0.0813
2.364 1.0944 0.51 0.5372
2.5139 0.8528 0.52 0.7599
2.4866 0.7471 0.53 0.5173
2.1936 0.6786 0.54 0.0131
2.3304 0.5032 0.55 -0.6684
2.235 0.4598 0.56 -1.2245
1.9001 0.4132 0.57 -1.3678
