#time y4 y3 y1 y2
0.01 0.1507 0.3191 0.3204 0.1486
0.02 0.2895 0.6364 0.7151 0.3309
0.03 0.4598 0.9007 1.025 0.4881
0.04 0.5451 1.1377 1.093 0.6149
0.05 0.7291 1.2176 1.3628 0.7306
0.06 0.877 1.5869 1.3773 0.8869
0.07 0.9256 1.7024 1.5043 0.9905
0.08 1.1519 1.5521 1.3838 1.0428
0.09 1.2157 1.6868 1.3793 1.2609
0.1 1.2457 1.5543 1.3161 1.5061
0.11 1.2176 1.3377 1.185 1.3456
0.12 1.3823 1.4051 0.9082 1.4042
0.13 1.4186 1.2369 0.8444 1.512
0.14 1.6352 1.1055 0.6749 1.6112
0.15 1.6613 0.7987 0.4636 1.7587
0.16 1.6475 0.7051 0.3577 1.8659
0.17 1.6721 0.6026 0.3515 1.8317
0.18 1.4837 0.4938 0.3463 1.6431
0.19 1.5536 0.4587 0.4143 1.8684
0.2 1.4659 0.4271 0.5392 1.6236
0.21 1.5483 0.443 0.8608 1.8827
0.22 1.565 0.5329 0.9824 1.7972
0.23 1.4574 0.6557 1.3554 1.5709
0.24 1.5021 0.8367 1.5442 1.7572
0.25 1.4622 0.9393 1.7663 1.4359
0.26 1.2126 1.1246 1.9776 1.4599
0.27 1.3462 1.3291 2.4209 1.3735
0.28 1.2735 1.8247 2.6035 1.33
0.29 1.2154 2.0043 2.7078 1.3306
0.3 1.1174 2.0326 2.906 1.2448
0.31 0.9901 2.3338 2.7664 1.0081
0.32 0.8142 2.6104 2.9375 1.0286
0.33 0.8289 2.6965 2.3065 0.9908
0.34 0.7914 2.9249 2.5134 0.793
0.35 0.6216 2.9067 2.1253 0.8259
0.36 0.6686 2.8372 1.9833 0.6319
0.37 0.5787 2.5761 1.5687 0.603
0.38 0.4696 2.3218 1.3967 0.5889
0.39 0.4371 2.2508 1.0623 0.5566
0.4 0.4625 2.0307 0.9362 0.4425
0.41 0.3931 1.7654 0.7537 0.4702
0.42 0.3959 1.3432 0.7265 0.4372
0.43 0.3442 1.3015 0.6432 0.3698
0.44 0.3953 0.9135 0.8425 0.3953
0.45 0.3707 0.7649 0.82 0.4319
0.46 0.39 0.5344 0.982 0.3861
0.47 0.4472 0.4034 1.2664 0.4797
0.48 0.4961 0.2864 1.3047 0.5333
