#time y1 y2
0.01 0.8186 0.2728
0.02 1.1027 0.4646
0.03 0.9644 0.7693
0.04 0.2746 0.9503
0.05 -0.383 1.1279
0.06 -0.6635 1.3571
0.07 -0.3119 1.2429
0.08 0.4261 1.4862
0.09 1.0561 1.4516
0.1 1.4757 1.2788
0.11 1.328 1.2841
0.12 0.7934 1.2797
0.13 0.1303 0.9712
0.14 -0.1784 0.9225
0.15 0.0589 0.7667
0.16 0.7348 0.5993
0.17 1.4222 0.4006
0.18 2.0788 0.2852
0.19 1.957 0.1881
0.2 1.2252 0.1113
0.21 0.573 0.0527
0.22 0.2278 0.0444
0.23 0.4372 0.0826
0.24 1.0697 0.1442
0.25 1.9075 0.2749
0.26 2.2205 0.4546
0.27 2.3949 0.5907
0.28 1.8068 0.766
0.29 1.1121 1.0129
0.3 0.6255 1.371
0.31 0.6712 1.682
0.32 1.2518 1.5956
0.33 2.0776 2.1079
0.34 2.7884 2.2871
0.35 2.7612 2.409
0.36 2.1313 2.7197
0.37 1.4402 2.5619
0.38 0.9181 2.3814
0.39 0.8967 2.659
0.4 1.3077 2.7772
0.41 2.3197 2.5825
0.42 2.5397 2.1459
0.43 2.8317 2.2547
0.44 2.3682 2.1626
0.45 1.6514 1.9872
0.46 1.0043 1.7915
0.47 1.0024 1.42
0.48 1.6384 1.4042
0.49 2.2261 1.1817
0.5 2.6117 0.9457
0.51 2.969 0.9326
0.52 2.4679 0.9702
0.53 1.7936 0.8333
0.54 1.1727 1.0178
0.55 0.9011 1.0859
0.56 1.3927 1.0841
0.57 2.1062 1.3449
0.58 2.7193 1.5617
0.59 2.7412 1.5489
0.6 2.507 1.9415
0.61 1.6201 2.0658
0.62 0.982 2.1808
0.63 0.8979 2.3568
0.64 1.3663 2.6057
0.65 2.0522 2.706
0.66 2.351 2.9261
0.67 2.5887 3.1162
0.68 2.4891 2.8915
0.69 1.6787 2.832
0.7 0.9884 2.9757
0.71 0.6793 2.5744
0.72 1.0207 2.8318
0.73 1.774 2.5336
0.74 2.3892 2.2441
0.75 2.5092 1.8289
0.76 1.9612 1.7279
0.77 1.5441 1.4325
0.78 0.7095 1.2395
0.79 0.3733 1.1003
0.8 0.5928 0.9847
0.81 1.2486 0.8002
0.82 1.8207 0.7657
0.83 2.0281 0.6169
0.84 1.9042 0.7257
0.85 1.1595 0.7137
0.86 0.3846 0.6898
0.87 0.0235 0.9152
0.88 0.2367 1.0605
0.89 0.764 1.052
0.9 1.632 1.2789
0.91 1.8226 1.4049
0.92 1.6235 1.7801
0.93 0.9055 1.9475
0.94 0.0562 1.9289
0.95 -0.3563 2.101
0.96 -0.228 2.0974
0.97 0.3454 2.0499
0.98 1.0328 2.1373
0.99 1.3867 2.2607
1.0 1.2274 1.9124
1.01 0.4615 1.9698
1.02 -0.3281 1.8038
1.03 -0.8073 1.557
1.04 -0.6772 1.386
1.05 -0.186 1.137
1.06 0.5622 0.8221
1.07 0.8535 0.5953
1.08 0.6949 0.3791
1.09 0.1143 0.1772
1.1 -0.7465 -0.0163
1.11 -1.1898 -0.1663
1.12 -1.1706 -0.298
1.13 -0.6662 -0.3616
1.14 0.0251 -0.4466
1.15 0.4768 -0.4806
1.16 0.4 -0.4167
1.17 -0.2081 -0.3408
1.18 -0.9643 -0.2159
1.19 -1.4586 -0.0916
1.2 -1.7736 0.0522
1.21 -1.2503 0.2074
1.22 -0.4587 0.4047
1.23 0.0575 0.5523
1.24 0.0297 0.6568
1.25 -0.5342 0.8261
1.26 -1.4483 0.9298
1.27 -1.8906 0.9054
1.28 -1.992 0.9776
1.29 -1.5065 0.8076
1.3 -0.9385 0.8787
1.31 -0.3203 0.6718
1.32 -0.2671 0.4994
1.33 -0.7835 0.3058
1.34 -1.6755 0.1186
1.35 -2.0424 -0.1086
1.36 -2.1644 -0.3901
1.37 -1.739 -0.6152
1.38 -1.2729 -0.8963
1.39 -0.5458 -1.1495
1.4 -0.5073 -1.283
1.41 -0.8894 -1.4211
1.42 -1.8183 -1.6397
1.43 -2.1298 -1.5117
1.44 -2.3566 -1.8343
1.45 -2.0799 -1.7213
1.46 -1.3183 -1.7226
1.47 -0.7545 -1.6275
1.48 -0.5747 -1.4686
1.49 -0.9283 -1.4375
1.5 -1.812 -1.1945
1.51 -2.6253 -0.9811
1.52 -2.9054 -0.9092
1.53 -2.5359 -0.7754
1.54 -1.6242 -0.5197
1.55 -0.8883 -0.373
1.56 -0.6836 -0.2977
1.57 -1.0973 -0.2387
1.58 -1.8334 -0.1995
1.59 -2.4967 -0.2075
1.6 -2.4338 -0.2445
1.61 -2.4349 -0.308
1.62 -1.5067 -0.4736
1.63 -0.8824 -0.655
1.64 -0.6608 -0.7818
1.65 -0.8439 -0.9691
1.66 -1.6241 -1.1665
1.67 -2.2321 -1.4047
1.68 -2.7145 -1.7888
1.69 -2.2131 -1.8125
1.7 -1.7204 -2.1349
1.71 -0.8665 -2.4552
1.72 -0.5538 -2.3282
1.73 -0.7418 -2.2149
1.74 -1.3743 -2.6687
1.75 -2.0887 -2.6722
1.76 -2.3836 -2.3899
1.77 -2.0563 -2.3984
1.78 -1.408 -2.0419
1.79 -0.785 -2.0362
1.8 -0.3315 -2.0313
1.81 -0.4501 -1.6699
1.82 -1.0516 -1.4148
1.83 -1.6739 -1.1379
1.84 -2.2215 -0.9787
1.85 -2.124 -0.9351
1.86 -1.2952 -0.7672
1.87 -0.5249 -0.578
1.88 -0.0638 -0.5148
1.89 -0.1126 -0.4903
1.9 -0.6735 -0.5243
1.91 -1.5167 -0.5342
1.92 -1.8486 -0.6775
1.93 -1.6913 -0.8619
1.94 -1.1768 -0.8874
1.95 -0.3037 -1.0241
1.96 0.2475 -1.2613
1.97 0.2512 -1.6435
1.98 -0.2789 -1.5209
1.99 -1.0489 -1.8302
2.0 -1.4559 -1.8724
2.01 -1.3749 -2.2388
2.02 -0.8605 -2.1362
2.03 -0.0443 -2.3301
2.04 0.5566 -2.4039
2.05 0.5742 -2.238
2.06 0.1553 -2.2037
2.07 -0.5273 -2.0839
2.08 -1.0068 -2.1466
2.09 -1.0105 -1.7736
2.1 -0.5338 -1.4931
2.11 0.2461 -1.4117
2.12 0.8741 -1.0797
2.13 1.0732 -1.0122
2.14 0.5788 -0.7983
2.15 -0.1343 -0.5494
2.16 -0.7312 -0.3689
2.17 -0.8363 -0.1818
2.18 -0.2945 -0.0923
2.19 0.4458 -0.0203
2.2 1.1323 0.0065
2.21 1.23 -0.0077
2.22 0.8909 -0.0614
2.23 0.2479 -0.1627
2.24 -0.3301 -0.2603
2.25 -0.4476 -0.4538
2.26 -0.0616 -0.5857
2.27 0.7147 -0.7366
2.28 1.4107 -0.8611
2.29 1.7919 -1.187
2.3 1.3051 -1.313
2.31 0.6457 -1.5156
2.32 -0.0352 -1.3513
2.33 -0.2412 -1.4973
2.34 0.1494 -1.5932
2.35 0.8389 -1.6278
2.36 1.6503 -1.5877
2.37 1.7835 -1.3064
2.38 1.4633 -1.2331
2.39 0.9847 -1.0576
2.4 0.2215 -0.7585
2.41 -0.0334 -0.5819
2.42 0.2969 -0.348
2.43 0.9545 -0.1376
2.44 1.7406 0.1024
2.45 2.1611 0.2863
2.46 1.6157 0.4755
2.47 1.1336 0.6176
2.48 0.3893 0.7929
2.49 0.0995 0.8984
2.5 0.3468 0.8818
2.51 1.0131 0.9317
2.52 1.8856 0.8001
2.53 1.9692 0.7395
2.54 2.1128 0.712
2.55 1.372 0.5196
2.56 0.5524 0.3479
2.57 0.1873 0.2125
2.58 0.3445 0.0177
2.59 1.0458 -0.1549
2.6 1.7838 -0.3064
2.61 2.1899 -0.4582
2.62 1.8335 -0.5733
2.63 1.377 -0.5903
2.64 0.6802 -0.7381
2.65 0.187 -0.6923
2.66 0.2618 -0.6328
2.67 0.8049 -0.5426
2.68 1.774 -0.3894
2.69 2.1884 -0.2431
2.7 2.1034 -0.0525
2.71 1.4599 0.1563
2.72 0.6642 0.382
2.73 0.1181 0.6021
2.74 0.1804 0.7934
2.75 0.6709 1.0827
2.76 1.4615 1.1224
2.77 1.8288 1.5143
2.78 1.9764 1.4073
2.79 1.255 1.5437
2.8 0.5201 1.6188
2.81 0.0189 1.4744
2.82 0.0011 1.4626
2.83 0.506 1.4161
2.84 1.193 1.3575
2.85 1.6086 1.2296
2.86 1.9373 0.9426
2.87 1.2435 0.8755
2.88 0.4582 0.6105
2.89 -0.1201 0.4596
2.9 -0.1889 0.27
2.91 0.2757 0.1238
2.92 0.9494 -0.0213
2.93 1.5484 -0.1179
2.94 1.5645 -0.1755
2.95 1.1237 -0.2017
2.96 0.3344 -0.1956
2.97 -0.2791 -0.1333
2.98 -0.4711 -0.0443
2.99 -0.0144 0.0831
3.0 0.7312 0.2764
3.01 1.3516 0.422
3.02 1.2837 0.5948
3.03 0.9292 0.9309
3.04 0.2168 1.0475
3.05 -0.4255 1.359
3.06 -0.6791 1.3829
3.07 -0.3044 1.4912
3.08 0.4057 1.5663
3.09 0.9756 1.5856
3.1 1.1604 1.7027
3.11 0.7563 1.7579
3.12 0.064 1.8803
3.13 -0.6235 1.7871
3.14 -0.8804 1.6262
3.15 -0.5552 1.3791
3.16 0.1264 1.0931
3.17 0.73 0.9929
3.18 1.0772 0.7138
3.19 0.7432 0.5506
3.2 -0.0526 0.3242
3.21 -0.8259 0.1204
3.22 -1.0519 -0.0438
3.23 -0.769 -0.1831
3.24 -0.1512 -0.2744
3.25 0.4974 -0.3471
3.26 0.8791 -0.3218
3.27 0.5432 -0.3068
3.28 -0.1412 -0.2365
3.29 -0.9675 -0.1069
3.3 -1.349 0.026
3.31 -1.0635 0.1786
3.32 -0.4017 0.403
3.33 0.3222 0.5931
3.34 0.7359 0.7035
3.35 0.4704 0.9606
3.36 -0.2237 1.1622
3.37 -1.0393 1.1645
3.38 -1.2455 1.3227
3.39 -1.2353 1.565
3.4 -0.6167 1.3563
3.41 0.1411 1.4767
3.42 0.5696 1.3608
3.43 0.4096 1.3572
3.44 -0.2024 1.2849
3.45 -1.0732 0.9845
3.46 -1.4367 0.8572
3.47 -1.3288 0.6217
3.48 -0.6701 0.3907
3.49 0.0212 0.1773
3.5 0.4382 -0.02
3.51 0.4 -0.2316
3.52 -0.2073 -0.4328
3.53 -0.9794 -0.5134
3.54 -1.3757 -0.6574
3.55 -1.2672 -0.6762
3.56 -0.7484 -0.7908
3.57 -0.0666 -0.6596
3.58 0.4557 -0.673
3.59 0.4046 -0.5628
3.6 -0.1358 -0.4172
3.61 -0.9666 -0.2924
3.62 -1.4677 -0.1079
3.63 -1.2796 0.0865
3.64 -0.8132 0.2624
3.65 -0.1411 0.4312
3.66 0.4392 0.6087
3.67 0.4928 0.8044
3.68 -0.0425 0.8875
3.69 -0.761 1.0217
3.7 -1.2716 1.0465
3.71 -1.4773 1.0029
3.72 -0.8654 1.0827
3.73 -0.1692 1.0184
3.74 0.402 0.797
3.75 0.5074 0.6503
3.76 0.087 0.5192
3.77 -0.6017 0.2902
3.78 -1.2103 0.1182
3.79 -1.337 -0.097
3.8 -0.8301 -0.335
3.81 -0.1521 -0.5287
3.82 0.4919 -0.6395
3.83 0.5865 -0.7604
3.84 0.2283 -0.9395
3.85 -0.462 -1.0197
3.86 -1.2117 -1.1001
3.87 -1.4062 -1.02
3.88 -0.8481 -0.8933
3.89 -0.143 -0.9036
3.9 0.5299 -0.7302
3.91 0.6601 -0.63
3.92 0.3455 -0.4342
3.93 -0.3097 -0.195
3.94 -1.0758 0.0078
3.95 -1.2048 0.2285
3.96 -0.926 0.4138
3.97 -0.1316 0.621
3.98 0.5574 0.7758
3.99 0.9028 0.8172
4.0 0.5338 0.9561
4.01 -0.1563 0.8989
4.02 -0.8998 0.9728
4.03 -1.1183 0.8708
4.04 -0.9081 0.7846
4.05 -0.1457 0.6569
4.06 0.5172 0.4459
4.07 0.8287 0.2742
4.08 0.6743 0.0984
4.09 -0.02 -0.1079
4.1 -0.6692 -0.3169
4.11 -1.097 -0.4501
4.12 -0.9082 -0.6108
4.13 -0.145 -0.873
4.14 0.5986 -0.8707
4.15 1.0096 -0.8994
4.16 0.7151 -1.0846
4.17 0.1091 -0.9825
4.18 -0.5804 -0.9746
4.19 -1.028 -0.8563
4.2 -0.7573 -0.6891
4.21 -0.1973 -0.537
4.22 0.598 -0.3564
4.23 0.9703 -0.1608
4.24 0.8331 0.0501
4.25 0.2106 0.2655
4.26 -0.5353 0.5065
4.27 -0.9204 0.6573
4.28 -0.8022 0.7523
4.29 -0.2434 0.9771
4.3 0.5066 0.996
4.31 1.017 0.9825
4.32 0.8075 0.9927
4.33 0.3155 1.0048
4.34 -0.4922 0.9787
4.35 -0.9792 0.8593
4.36 -0.9492 0.6762
4.37 -0.344 0.5158
4.38 0.3764 0.3226
4.39 0.9064 0.1674
4.4 0.8715 -0.047
4.41 0.3216 -0.2323
4.42 -0.3826 -0.418
4.43 -1.041 -0.5919
4.44 -0.8889 -0.6098
4.45 -0.4085 -0.7647
4.46 0.3089 -0.7551
4.47 0.8394 -0.7266
4.48 0.8663 -0.8164
4.49 0.3927 -0.6968
4.5 -0.3949 -0.5861
4.51 -0.9045 -0.3598
4.52 -0.975 -0.2196
4.53 -0.5204 -0.0038
4.54 0.1563 0.2197
4.55 0.7803 0.4154
4.56 0.7946 0.6223
4.57 0.3864 0.8764
4.58 -0.3449 0.9513
4.59 -1.076 1.0444
4.6 -1.1017 1.2008
4.61 -0.7399 1.3336
4.62 0.0255 1.1756
4.63 0.6114 1.3383
4.64 0.8674 1.1
4.65 0.3423 1.0204
4.66 -0.4008 1.0005
4.67 -0.9478 0.754
4.68 -1.1554 0.5572
4.69 -0.8306 0.3251
4.7 -0.111 0.16
4.71 0.5523 -0.0496
4.72 0.7413 -0.2517
4.73 0.3789 -0.4184
4.74 -0.3687 -0.4886
4.75 -1.095 -0.6248
4.76 -1.2337 -0.7163
4.77 -0.902 -0.7532
4.78 -0.2499 -0.638
4.79 0.3773 -0.6051
4.8 0.6654 -0.5866
4.81 0.385 -0.4221
4.82 -0.3151 -0.2256
4.83 -1.0029 -0.0512
4.84 -1.2462 0.1388
4.85 -1.1065 0.3489
4.86 -0.3721 0.5323
4.87 0.3216 0.7215
4.88 0.5862 0.8149
4.89 0.3862 1.0542
4.9 -0.2741 1.1123
4.91 -1.0304 1.1608
4.92 -1.4925 1.2333
4.93 -1.244 1.066
4.94 -0.508 1.1399
4.95 0.2555 0.9073
4.96 0.6172 0.776
4.97 0.3988 0.6427
4.98 -0.2304 0.451
4.99 -0.9871 0.2059
5.0 -1.298 -0.0027
5.01 -1.2938 -0.2307
5.02 -0.5458 -0.4303
5.03 0.2038 -0.5761
5.04 0.6003 -0.762
5.05 0.5253 -0.8643
5.06 -0.1128 -1.0315
5.07 -0.9059 -0.9761
5.08 -1.2255 -1.1201
5.09 -1.1576 -0.9956
5.1 -0.551 -0.9859
5.11 0.1681 -0.8495
5.12 0.7199 -0.6421
5.13 0.656 -0.517
5.14 0.0235 -0.2795
5.15 -0.6964 -0.1115
5.16 -1.1278 0.0786
5.17 -1.0587 0.234
5.18 -0.5911 0.3655
5.19 0.1933 0.5042
5.2 0.7848 0.6853
5.21 0.7024 0.717
5.22 0.2069 0.7281
5.23 -0.5415 0.7191
5.24 -1.1374 0.5908
5.25 -1.1031 0.4679
5.26 -0.5107 0.3594
5.27 0.2933 0.1788
5.28 0.9048 -0.039
5.29 0.8806 -0.2719
5.3 0.4213 -0.5127
5.31 -0.3023 -0.7386
5.32 -0.9157 -0.9497
5.33 -0.8933 -1.025
5.34 -0.386 -1.1656
5.35 0.3421 -1.3692
5.36 1.0366 -1.3901
5.37 1.1668 -1.5729
5.38 0.6945 -1.7231
5.39 -0.0582 -1.5238
5.4 -0.6393 -1.452
5.41 -0.7963 -1.3045
5.42 -0.2991 -1.3411
5.43 0.5072 -1.0197
5.44 1.1084 -0.9747
5.45 1.2264 -0.81
5.46 0.8894 -0.6046
5.47 0.2018 -0.4097
5.48 -0.408 -0.2229
5.49 -0.601 -0.0799
5.5 -0.1722 0.0226
5.51 0.6191 0.0955
5.52 1.1738 0.1131
5.53 1.5443 0.1137
5.54 1.2141 0.0556
5.55 0.5106 -0.0343
5.56 -0.1678 -0.173
5.57 -0.3771 -0.3553
5.58 -0.0568 -0.5517
5.59 0.6907 -0.6978
5.6 1.4062 -0.9857
5.61 1.5294 -1.184
5.62 1.3762 -1.277
