#y1 y3 time y2
0.269 0.3687 0.01 0.533
0.6146 0.6631 0.02 0.8876
0.8601 1.0417 0.03 1.0701
1.0339 1.1169 0.04 1.0102
1.4256 1.2545 0.05 0.654
1.5504 1.0177 0.06 0.2261
1.8441 0.8265 0.07 -0.2345
1.7731 0.652 0.08 -0.4842
2.149 0.2791 0.09 -0.5353
2.329 -0.0186 0.1 -0.3011
2.3658 -0.2909 0.11 0.1803
2.0944 -0.4424 0.12 0.7772
2.2619 -0.5612 0.13 1.2277
1.9806 -0.5188 0.14 1.599
1.9982 -0.3204 0.15 1.773
2.138 -0.0355 0.16 1.4869
1.761 0.2976 0.17 1.0046
1.6263 0.6334 0.18 0.5798
1.6363 0.9755 0.19 0.157
1.4211 1.3614 0.2 -0.0704
1.3206 1.5075 0.21 -0.0194
1.0023 1.6457 0.22 0.2686
0.7737 1.7488 0.23 0.8787
0.5485 1.5295 0.24 1.3518
0.3455 1.457 0.25 1.8247
0.1555 1.1046 0.26 1.9653
-0.0235 0.8136 0.27 2.0416
-0.1991 0.4571 0.28 1.6868
-0.3464 0.223 0.29 1.2678
-0.4584 0.0802 0.3 0.8033
-0.5704 0.0169 0.31 0.4449
-0.6747 0.0834 0.32 0.2474
-0.7016 0.268 0.33 0.3765
-0.6755 0.5984 0.34 0.7349
-0.7843 0.8267 0.35 1.1328
-0.7718 1.1989 0.36 1.7613
-0.6109 1.5864 0.37 2.2959
-0.6 1.8997 0.38 2.1446
-0.4501 2.0381 0.39 2.3568
-0.3536 2.4275 0.4 1.7585
-0.2301 2.1059 0.41 1.263
-0.0752 2.1889 0.42 0.8164
0.0724 1.6467 0.43 0.407
0.2248 1.5183 0.44 0.334
0.3988 1.1234 0.45 0.5848
0.6335 0.8866 0.46 0.8913
0.7151 0.5821 0.47 1.5696
0.9489 0.432 0.48 2.0986
1.0332 0.3789 0.49 2.0834
1.1538 0.4697 0.5 2.455
1.378 0.6736 0.51 2.0972
1.469 1.0235 0.52 1.5169
1.3773 1.2142 0.53 1.1397
1.6056 1.5269 0.54 0.5475
1.6215 1.9967 0.55 0.2626
1.5749 2.3427 0.56 0.2692
1.6345 2.6691 0.57 0.5313
1.6313 2.4702 0.58 0.9657
1.7076 2.2562 0.59 1.5714
1.6142 2.415 0.6 1.906
1.718 2.0053 0.61 2.0763
1.4463 1.7839 0.62 2.062
1.5748 1.3544 0.63 1.598
1.4342 1.0881 0.64 1.1435
1.2814 0.8056 0.65 0.657
1.296 0.5947 0.66 0.1996
1.2006 0.545 0.67 -0.0393
1.1636 0.6522 0.68 0.0088
1.0473 0.8395 0.69 0.3128
1.0776 1.0444 0.7 0.7896
0.9429 1.394 0.71 1.2937
1.0582 1.8869 0.72 1.5001
0.8932 1.985 0.73 1.9145
0.8823 2.2447 0.74 1.657
0.8725 2.2482 0.75 1.1099
0.912 2.3097 0.76 0.6432
0.9282 2.5309 0.77 0.1128
0.9975 2.3526 0.78 -0.3041
1.0355 1.9802 0.79 -0.4637
1.1023 1.5667 0.8 -0.3049
1.0742 1.1141 0.81 0.0647
1.2045 0.8249 0.82 0.5471
1.2286 0.6609 0.83 1.0315
1.1775 0.4916 0.84 1.3559
1.1507 0.4774 0.85 1.2541
1.1961 0.594 0.86 1.0258
1.2356 0.7668 0.87 0.6406
1.1833 1.0568 0.88 0.0884
1.1908 1.4419 0.89 -0.4033
1.2757 1.8505 0.9 -0.7137
1.211 2.0926 0.91 -0.7954
1.1293 2.1207 0.92 -0.6316
1.0102 2.5271 0.93 -0.1385
0.8827 2.1526 0.94 0.3203
0.7822 2.1453 0.95 0.852
0.7397 2.1271 0.96 0.9258
0.6232 1.5508 0.97 1.0498
0.466 1.2213 0.98 0.6505
0.3149 0.8869 0.99 0.1782
0.2104 0.6156 1.0 -0.3571
0.0616 0.3092 1.01 -0.8684
-0.0768 0.1939 1.02 -1.1015
-0.2353 0.175 1.03 -0.9831
-0.3402 0.3003 1.04 -0.7067
-0.4147 0.5204 1.05 -0.24
-0.5441 0.7104 1.06 0.2725
-0.5975 1.1886 1.07 0.7127
-0.7461 1.2871 1.08 0.783
-0.8139 1.5574 1.09 0.8152
-0.8105 2.052 1.1 0.3444
-0.7464 1.9824 1.11 -0.1342
-0.8375 1.9902 1.12 -0.6574
-0.6948 1.8425 1.13 -1.0537
-0.6864 1.5429 1.14 -1.2619
-0.5432 1.1371 1.15 -0.9184
-0.504 0.8483 1.16 -0.6292
-0.3834 0.4678 1.17 -0.0777
-0.225 0.1504 1.18 0.4333
-0.0472 -0.0832 1.19 0.7189
0.1356 -0.184 1.2 0.8983
0.3033 -0.1961 1.21 0.7616
0.513 -0.0723 1.22 0.3122
0.6233 0.1336 1.23 -0.1989
0.7833 0.4637 1.24 -0.6713
1.1066 0.7774 1.25 -0.9065
1.2876 1.0895 1.26 -0.9989
1.3742 1.3238 1.27 -0.8054
1.5156 1.6595 1.28 -0.2589
1.5505 1.6958 1.29 0.2994
1.5247 1.4057 1.3 0.695
1.6465 1.3992 1.31 1.1421
1.531 1.1593 1.32 1.0026
1.7791 0.7139 1.33 0.8179
1.654 0.355 1.34 0.4025
1.5479 0.0105 1.35 -0.0806
1.4388 -0.3137 1.36 -0.4649
1.4272 -0.5106 1.37 -0.6698
1.0945 -0.5693 1.38 -0.6643
0.8767 -0.5213 1.39 -0.2805
0.7365 -0.4193 1.4 0.2589
0.4453 -0.1842 1.41 0.763
0.2508 0.1338 1.42 1.2521
-0.0331 0.4446 1.43 1.4563
-0.2842 0.845 1.44 1.5925
-0.6417 1.0804 1.45 1.2658
-0.8856 1.2767 1.46 0.7529
-1.1354 1.1236 1.47 0.2209
-1.4562 1.0608 1.48 -0.1256
-1.7917 1.056 1.49 -0.2432
-1.9151 0.7263 1.5 -0.0612
-2.1681 0.3632 1.51 0.3675
-2.1863 -0.0138 1.52 0.9325
-2.2993 -0.3624 1.53 1.5096
-2.4523 -0.6387 1.54 1.8475
-2.5202 -0.819 1.55 1.8955
-2.7651 -0.7997 1.56 1.7861
-2.4614 -0.8919 1.57 1.5682
-2.4281 -0.6093 1.58 1.012
-2.586 -0.3715 1.59 0.5856
-2.4783 -0.0704 1.6 0.3039
-2.1992 0.2663 1.61 0.2499
-2.4212 0.5735 1.62 0.5544
-2.1845 0.7824 1.63 0.9783
-2.0168 0.8994 1.64 1.7081
-1.7482 0.9804 1.65 1.9718
-1.479 1.0194 1.66 2.6455
-1.2867 0.7439 1.67 2.5468
-1.0198 0.4317 1.68 2.2035
-0.7483 0.1228 1.69 1.9149
-0.5062 -0.2367 1.7 1.3654
-0.2494 -0.5049 1.71 0.9147
-0.0429 -0.7831 1.72 0.6282
0.1548 -0.9846 1.73 0.81
0.3125 -0.9665 1.74 1.0082
0.4209 -0.9728 1.75 1.7063
0.5234 -0.6626 1.76 2.2203
0.6173 -0.3875 1.77 2.5871
0.7132 -0.072 1.78 2.6274
0.7283 0.2521 1.79 3.0451
0.7918 0.5586 1.8 2.6951
0.728 0.833 1.81 1.8004
0.6687 1.035 1.82 1.4514
0.5432 1.0876 1.83 1.1718
0.5204 0.8823 1.84 0.9835
0.3781 0.6627 1.85 1.007
0.2003 0.4665 1.86 1.3227
0.0273 0.0884 1.87 2.0362
-0.1512 -0.2351 1.88 2.3288
-0.3336 -0.5385 1.89 2.7651
-0.5532 -0.7703 1.9 3.2837
-0.7253 -0.9785 1.91 2.5892
-0.9119 -0.9054 1.92 2.4249
-1.037 -0.8018 1.93 1.8876
-1.3116 -0.5165 1.94 1.5617
-1.5481 -0.2335 1.95 1.1693
-1.6176 0.1114 1.96 1.0536
-1.8678 0.4391 1.97 1.2409
-1.6528 0.7932 1.98 1.5725
-1.9776 0.9862 1.99 1.9154
-2.1239 1.2357 2.0 2.7146
-2.2006 1.2908 2.01 2.8188
-1.8877 1.1222 2.02 3.0166
-2.0201 0.8892 2.03 2.6712
-1.8419 0.6199 2.04 2.236
-1.7995 0.2692 2.05 1.7208
-1.8663 -0.0732 2.06 1.0715
-1.654 -0.3267 2.07 0.8901
-1.6433 -0.5321 2.08 0.8284
-1.7018 -0.5907 2.09 0.98
-1.4142 -0.6248 2.1 1.3773
-1.3482 -0.4686 2.11 2.1082
-1.1964 -0.2117 2.12 2.1878
-1.2635 0.1207 2.13 2.4836
-1.0182 0.4959 2.14 2.4177
-0.9129 0.8501 2.15 2.2033
-0.8789 1.0752 2.16 1.632
-0.8216 1.4377 2.17 1.1677
-0.6488 1.5739 2.18 0.707
-0.6671 1.4133 2.19 0.3843
-0.6144 1.2823 2.2 0.4358
-0.5678 1.112 2.21 0.8051
-0.4957 0.9502 2.22 1.1441
-0.45 0.5495 2.23 1.6365
-0.4284 0.2202 2.24 2.0431
-0.4554 -0.0341 2.25 2.3152
-0.4513 -0.2003 2.26 2.1372
-0.4704 -0.2837 2.27 1.4455
-0.5345 -0.2196 2.28 0.9317
-0.5471 -0.0481 2.29 0.4269
-0.4882 0.217 2.3 0.0549
-0.5166 0.5558 2.31 -0.0867
-0.6059 0.8933 2.32 0.0417
-0.539 1.3181 2.33 0.4027
-0.5973 1.5013 2.34 0.9168
-0.5893 1.6562 2.35 1.2613
-0.5678 1.7518 2.36 1.5782
-0.5449 1.7242 2.37 1.6575
-0.5423 1.6275 2.38 1.3404
-0.4409 1.5734 2.39 0.8221
-0.3689 1.2595 2.4 0.3014
-0.3379 0.8018 2.41 -0.1945
-0.2308 0.5799 2.42 -0.5054
-0.1418 0.3401 2.43 -0.6382
-0.0397 0.1632 2.44 -0.3703
0.0636 0.1061 2.45 0.0455
0.1656 0.1914 2.46 0.5593
0.2693 0.3688 2.47 0.9346
0.4007 0.6473 2.48 1.2637
