#y1 y4 y2 time y3
0.301 0.3282 0.365 0.01 0.145
0.5927 0.7172 0.6417 0.02 0.3088
0.8973 1.0343 0.9939 0.03 0.3957
0.9762 1.3232 1.1967 0.04 0.5221
1.0762 1.5481 1.6052 0.05 0.6691
1.2245 2.0071 1.5962 0.06 0.8658
1.171 2.1647 1.948 0.07 0.8838
1.0061 2.341 2.0563 0.08 1.0169
0.9135 2.2287 2.0311 0.09 1.0938
0.6663 2.3102 2.1409 0.1 1.256
0.4385 2.3835 2.0951 0.11 1.2299
0.1849 2.7009 2.0174 0.12 1.2916
-0.021 2.5136 1.8826 0.13 1.4217
-0.2128 2.5819 1.5855 0.14 1.3938
-0.3374 2.4717 1.6552 0.15 1.4576
-0.448 2.1724 1.2928 0.16 1.4119
-0.4197 2.1081 1.1409 0.17 1.4035
-0.3252 1.7076 0.8835 0.18 1.661
-0.1605 1.5118 0.5313 0.19 1.3472
0.0624 1.315 0.3719 0.2 1.4167
0.3474 1.073 0.1105 0.21 1.3389
0.6456 0.6833 -0.1012 0.22 1.5046
0.946 0.4823 -0.2607 0.23 1.3852
1.1305 0.2544 -0.4747 0.24 1.3233
1.4071 0.0564 -0.5512 0.25 1.242
1.5537 -0.1407 -0.6133 0.26 1.082
1.8826 -0.2742 -0.6516 0.27 0.9407
1.9703 -0.4176 -0.7486 0.28 0.8636
2.0283 -0.5472 -0.6606 0.29 0.7977
1.767 -0.5463 -0.6514 0.3 0.7691
1.6085 -0.5879 -0.4942 0.31 0.6832
1.3816 -0.6726 -0.4231 0.32 0.6164
1.1752 -0.6342 -0.2678 0.33 0.5587
0.9892 -0.5007 -0.0946 0.34 0.4927
0.6859 -0.4387 0.0692 0.35 0.4214
0.466 -0.3558 0.2316 0.36 0.3446
0.2995 -0.1992 0.3634 0.37 0.3312
0.2031 -0.0707 0.5278 0.38 0.298
0.157 0.061 0.7384 0.39 0.2514
0.2179 0.188 0.8687 0.4 0.2509
0.2928 0.3212 0.8741 0.41 0.2472
0.5421 0.4568 0.9334 0.42 0.271
0.8107 0.6177 1.0809 0.43 0.2808
0.9652 0.722 1.1058 0.44 0.3142
1.3787 0.8221 1.1419 0.45 0.3558
1.5604 0.7918 1.0977 0.46 0.4903
1.89 0.952 1.112 0.47 0.4693
1.9063 0.9198 0.9994 0.48 0.5796
2.4083 0.9646 0.944 0.49 0.6864
2.2411 0.9443 0.9297 0.5 0.7521
2.2751 0.7425 0.9124 0.51 0.9117
2.0278 0.7021 0.8947 0.52 1.0065
2.2588 0.6624 0.7463 0.53 1.0303
2.0248 0.528 0.7544 0.54 1.2371
1.6391 0.392 0.8436 0.55 1.2889
1.3622 0.2279 0.8141 0.56 1.438
1.0614 0.1015 0.8517 0.57 1.5301
0.8953 -0.0541 0.8999 0.58 1.8707
0.6873 -0.2071 0.9788 0.59 1.7406
0.4349 -0.3293 1.0986 0.6 1.9562
0.3693 -0.4693 1.1266 0.61 1.8816
0.3458 -0.6036 1.1705 0.62 2.2945
0.4221 -0.6397 1.2714 0.63 2.1473
0.5726 -0.7223 1.5961 0.64 2.4017
0.7997 -0.8488 1.5446 0.65 2.3096
0.9317 -0.9931 1.6593 0.66 2.328
1.2313 -1.0401 1.984 0.67 2.5457
1.6469 -0.9212 1.8915 0.68 2.5715
1.9115 -0.9686 2.0519 0.69 2.5096
1.9538 -1.0496 2.0632 0.7 2.4559
2.3589 -1.0584 2.2571 0.71 2.828
2.3926 -0.8671 2.1066 0.72 2.5712
2.5038 -0.8427 2.1194 0.73 2.397
2.1257 -0.9158 1.7938 0.74 2.3685
2.1993 -0.9096 1.6155 0.75 2.4366
1.9299 -0.8462 1.6385 0.76 2.4288
1.4997 -0.7449 1.2978 0.77 2.524
1.4342 -0.7035 1.3054 0.78 2.3796
1.1119 -0.7027 0.9077 0.79 2.0069
0.782 -0.7785 0.6363 0.8 2.1936
0.6076 -0.8206 0.4477 0.81 1.7712
0.3368 -0.7034 0.2118 0.82 1.7126
0.2024 -0.8084 -0.0416 0.83 1.6409
0.1616 -0.8463 -0.2722 0.84 1.6647
0.1867 -0.9154 -0.4237 0.85 1.5329
0.2764 -1.0065 -0.6471 0.86 1.4665
0.4574 -0.9854 -0.7492 0.87 1.283
0.63 -1.1594 -0.8312 0.88 1.2043
0.854 -1.08 -0.8393 0.89 1.0041
1.069 -1.2236 -0.8641 0.9 0.895
1.4121 -1.1532 -0.7433 0.91 0.7252
1.6395 -1.2003 -0.7186 0.92 0.7305
1.7828 -1.4043 -0.5602 0.93 0.6398
2.0175 -1.328 -0.3569 0.94 0.5128
1.7913 -1.2887 -0.1604 0.95 0.4844
1.8956 -1.2943 0.1063 0.96 0.427
1.9255 -1.2976 0.3766 0.97 0.4139
1.6064 -1.097 0.6542 0.98 0.3915
1.3733 -1.0331 1.0015 0.99 0.3566
1.0897 -0.8272 1.2632 1.0 0.3948
0.8346 -0.7082 1.6313 1.01 0.3755
0.5034 -0.5208 1.8087 1.02 0.458
0.1767 -0.2487 1.955 1.03 0.4934
-0.0398 -0.0292 2.1246 1.04 0.5033
-0.2007 0.2348 2.4537 1.05 0.5248
-0.3043 0.5167 2.6331 1.06 0.5911
-0.3436 0.7404 2.9296 1.07 0.7624
-0.2501 1.0285 2.5863 1.08 0.8649
-0.1587 1.2889 2.8989 1.09 0.8598
0.0405 1.465 2.5517 1.1 1.0092
0.2456 1.8633 2.2337 1.11 1.0022
0.4989 2.0886 2.1422 1.12 1.2324
0.7922 1.9894 2.0615 1.13 1.2775
1.0398 2.0925 1.7201 1.14 1.3404
1.1818 2.4563 1.6824 1.15 1.3112
1.4105 2.2888 1.2013 1.16 1.4856
1.2787 2.5506 0.865 1.17 1.503
1.3945 2.3607 0.5869 1.18 1.4882
1.3928 2.6739 0.3398 1.19 1.6436
1.2037 2.2716 0.0587 1.2 1.683
0.9739 2.065 -0.1839 1.21 1.6577
0.695 2.1628 -0.4711 1.22 1.7732
0.3347 1.9677 -0.5698 1.23 1.818
0.0585 1.7593 -0.8344 1.24 1.8057
-0.2113 1.2929 -0.9016 1.25 1.9739
-0.4885 0.9942 -1.0622 1.26 1.9956
-0.6836 0.7659 -1.0534 1.27 1.983
-0.8356 0.4927 -0.9581 1.28 1.6733
-0.8065 0.2191 -1.0693 1.29 1.6623
-0.8583 -0.0406 -0.9469 1.3 1.7823
-0.6386 -0.3173 -0.8167 1.31 1.6719
-0.5079 -0.4804 -0.6705 1.32 1.4536
-0.2873 -0.7357 -0.5174 1.33 1.5244
-0.0614 -0.9573 -0.4183 1.34 1.2923
0.1952 -1.1297 -0.2609 1.35 1.2322
0.4529 -1.2054 -0.0878 1.36 1.0695
0.645 -1.2576 0.0528 1.37 1.0522
0.8724 -1.2717 0.1848 1.38 0.8558
1.0061 -1.1237 0.3276 1.39 0.7545
0.8877 -1.1965 0.4045 1.4 0.5602
0.895 -1.0848 0.4958 1.41 0.3932
0.8176 -0.9087 0.568 1.42 0.3285
0.6961 -0.6807 0.5777 1.43 0.1749
0.3607 -0.582 0.549 1.44 0.0542
0.1259 -0.3372 0.505 1.45 -0.0639
-0.1781 -0.1003 0.4676 1.46 -0.1775
-0.4727 0.1356 0.4275 1.47 -0.3094
-0.6851 0.3827 0.2868 1.48 -0.3535
-0.9786 0.6407 0.2169 1.49 -0.492
-1.0167 0.8365 0.1333 1.5 -0.5573
-1.1898 0.9571 0.0477 1.51 -0.5982
-1.0494 1.1622 -0.0369 1.52 -0.6996
-1.1075 1.4393 -0.1163 1.53 -0.7376
-0.8647 1.3765 -0.1645 1.54 -0.6493
-0.655 1.467 -0.2083 1.55 -0.7238
-0.387 1.5829 -0.2246 1.56 -0.7713
-0.1089 1.5892 -0.2548 1.57 -0.6629
0.1649 1.4294 -0.2421 1.58 -0.7583
0.4581 1.2748 -0.2113 1.59 -0.6453
0.6035 1.1286 -0.154 1.6 -0.5768
0.8496 1.0998 -0.0835 1.61 -0.5235
0.8427 0.8587 -0.0065 1.62 -0.5091
0.9044 0.6322 0.0747 1.63 -0.3945
0.7666 0.3362 0.1476 1.64 -0.3336
0.6568 0.0889 0.2467 1.65 -0.2152
0.4502 -0.2025 0.2993 1.66 -0.1359
0.2116 -0.5262 0.3657 1.67 -0.0353
-0.0476 -0.761 0.3744 1.68 0.0681
-0.3057 -1.1028 0.3756 1.69 0.1662
-0.5793 -1.4386 0.4367 1.7 0.2559
-0.7271 -1.4429 0.321 1.71 0.3451
-0.8467 -1.6734 0.2888 1.72 0.4589
-1.0332 -2.1038 0.1779 1.73 0.5234
-1.0314 -2.3412 0.035 1.74 0.6496
-0.9046 -2.18 -0.1271 1.75 0.7006
-0.7091 -2.4489 -0.3293 1.76 0.8306
-0.6022 -2.3966 -0.5726 1.77 0.8889
-0.3361 -2.2433 -0.6955 1.78 0.8377
-0.0211 -2.2984 -0.9287 1.79 0.9627
0.2674 -2.5419 -1.3279 1.8 0.9701
0.5439 -2.1192 -1.3934 1.81 1.0543
0.781 -1.9083 -1.6456 1.82 1.01
0.9547 -2.1419 -1.9456 1.83 0.9327
1.0195 -1.6915 -2.2941 1.84 0.8789
1.1922 -1.5614 -2.1897 1.85 0.9665
1.2717 -1.4438 -2.3411 1.86 0.8817
0.992 -1.0834 -2.2893 1.87 0.8318
0.9506 -0.8977 -2.2685 1.88 0.7325
0.6279 -0.7659 -2.6509 1.89 0.7272
0.4764 -0.5534 -2.641 1.9 0.6127
0.2044 -0.3863 -2.406 1.91 0.4922
-0.058 -0.1815 -2.2658 1.92 0.4772
-0.2791 -0.0268 -1.9654 1.93 0.3622
-0.4192 0.1224 -1.5954 1.94 0.2186
-0.5457 0.222 -1.4644 1.95 0.1281
-0.4963 0.3144 -1.2844 1.96 0.018
-0.4516 0.4024 -0.8466 1.97 -0.0817
-0.3787 0.5047 -0.6393 1.98 -0.1996
-0.1437 0.4821 -0.324 1.99 -0.3238
0.0998 0.5522 -0.0227 2.0 -0.389
0.4065 0.5863 0.2486 2.01 -0.4952
0.7548 0.6094 0.4376 2.02 -0.6295
0.9049 0.5866 0.6756 2.03 -0.6571
1.3546 0.5717 0.8431 2.04 -0.7339
1.6251 0.5079 0.9349 2.05 -0.7081
1.6691 0.4822 0.9179 2.06 -0.8529
1.9261 0.5575 0.9771 2.07 -0.7997
1.6059 0.5406 0.9048 2.08 -0.8969
1.6689 0.5718 0.9275 2.09 -0.8857
1.6556 0.5771 0.7679 2.1 -0.9801
1.3204 0.618 0.5362 2.11 -0.8585
1.1458 0.5943 0.3609 2.12 -0.8364
0.8962 0.7094 0.1093 2.13 -0.7663
0.75 0.7081 -0.1815 2.14 -0.7901
0.4867 0.8337 -0.4271 2.15 -0.6554
0.2529 0.7667 -0.8091 2.16 -0.5874
0.1722 0.8637 -1.1225 2.17 -0.5644
0.1065 0.9335 -1.3928 2.18 -0.4
0.1325 1.1779 -1.6478 2.19 -0.2952
0.2293 1.116 -2.053 2.2 -0.2327
0.4065 1.2541 -1.9816 2.21 -0.107
0.6178 1.2903 -2.4693 2.22 0.0234
0.9389 1.4501 -2.4295 2.23 0.1386
1.2924 1.3284 -2.3195 2.24 0.2589
1.6834 1.2512 -2.4783 2.25 0.4117
1.8081 1.2333 -2.4627 2.26 0.5453
2.2316 1.4302 -2.6599 2.27 0.6155
2.4517 1.241 -2.5412 2.28 0.733
2.329 1.2354 -2.4291 2.29 0.9806
2.4014 1.038 -2.084 2.3 0.9477
2.2649 0.984 -1.9006 2.31 1.0706
2.346 0.8102 -1.9798 2.32 1.1438
2.1252 0.6987 -1.532 2.33 1.3212
1.7436 0.6111 -1.3845 2.34 1.4193
1.5594 0.4099 -1.3235 2.35 1.3695
1.3358 0.2933 -1.0158 2.36 1.4657
1.1738 0.1011 -0.7888 2.37 1.4338
0.8814 -0.0579 -0.7374 2.38 1.7019
0.8726 -0.2127 -0.5747 2.39 1.7058
0.6781 -0.3405 -0.3618 2.4 1.6091
0.6963 -0.4257 -0.318 2.41 1.6182
0.7937 -0.5422 -0.2484 2.42 1.5679
0.9253 -0.644 -0.1941 2.43 1.3642
1.1406 -0.7404 -0.1994 2.44 1.4262
1.4143 -0.7954 -0.2093 2.45 1.4781
1.5555 -0.739 -0.2489 2.46 1.3291
1.8453 -0.7423 -0.3015 2.47 1.1817
2.3052 -0.5864 -0.3497 2.48 1.1066
2.6742 -0.52 -0.4283 2.49 1.0463
2.74 -0.4755 -0.4469 2.5 0.9973
3.0366 -0.3161 -0.5618 2.51 0.9143
2.7745 -0.1615 -0.5643 2.52 0.8201
2.6163 -0.0093 -0.7219 2.53 0.6769
3.009 0.1578 -0.6855 2.54 0.6943
2.444 0.2967 -0.7789 2.55 0.5504
2.6041 0.4952 -0.6859 2.56 0.516
2.3096 0.6945 -0.7295 2.57 0.4305
1.8321 0.7661 -0.6631 2.58 0.288
1.6387 0.9599 -0.6192 2.59 0.2597
1.3465 0.9135 -0.4726 2.6 0.2061
1.2062 1.0755 -0.3963 2.61 0.14
0.9837 1.0876 -0.3515 2.62 0.0975
0.8834 1.0294 -0.2305 2.63 0.0656
0.9481 1.1234 -0.1199 2.64 0.0454
1.0045 0.967 -0.0353 2.65 0.0388
1.2116 0.7973 0.0449 2.66 0.0394
1.5305 0.6413 0.119 2.67 0.0654
1.7619 0.5007 0.151 2.68 0.0924
2.0029 0.3164 0.1881 2.69 0.1265
2.0462 0.0623 0.2052 2.7 0.1785
2.2789 -0.2128 0.1701 2.71 0.2371
2.6911 -0.5064 0.1001 2.72 0.3024
3.0762 -0.724 0.0262 2.73 0.3772
3.2071 -1.1554 -0.0841 2.74 0.5037
3.0754 -1.3828 -0.2333 2.75 0.553
2.5997 -1.59 -0.4037 2.76 0.7179
2.6571 -2.1156 -0.5665 2.77 0.7744
2.6566 -1.9809 -0.6924 2.78 0.8524
2.4542 -2.5973 -0.9164 2.79 1.0208
2.0888 -2.4432 -1.0299 2.8 1.2088
1.6772 -2.7615 -1.1541 2.81 1.2981
1.3515 -2.9907 -1.4314 2.82 1.5366
1.2214 -3.0793 -1.4154 2.83 1.52
0.9686 -2.8886 -1.7638 2.84 1.4986
0.8176 -2.7337 -1.6825 2.85 1.7567
0.7336 -2.8112 -1.8232 2.86 1.687
0.8986 -2.5553 -1.8526 2.87 1.8683
0.9823 -2.4861 -1.7372 2.88 2.0983
1.2007 -2.2607 -1.6509 2.89 2.2404
1.3607 -2.0746 -1.5283 2.9 2.0332
1.4933 -1.785 -1.2805 2.91 2.374
1.9285 -1.3227 -0.9408 2.92 2.1248
2.0757 -0.9386 -0.6545 2.93 2.1071
2.4603 -0.7219 -0.4315 2.94 2.4316
2.4648 -0.349 -0.1326 2.95 2.1771
2.7712 0.0216 0.1888 2.96 2.0935
2.6528 0.3238 0.4866 2.97 2.2964
2.5594 0.6829 0.8526 2.98 2.3034
2.5895 1.0492 1.0518 2.99 2.105
2.251 1.317 1.5411 3.0 1.9445
1.8574 1.3512 1.5531 3.01 1.8081
1.5431 1.7421 1.7058 3.02 1.7982
1.4116 1.9656 2.0394 3.03 1.6911
1.0976 2.0826 2.0392 3.04 1.7592
0.7629 1.8479 2.3254 3.05 1.6971
0.4958 2.2015 2.2725 3.06 1.3817
0.3612 2.0419 2.113 3.07 1.2502
0.2568 1.837 2.1093 3.08 1.0943
0.2656 2.1128 1.9652 3.09 1.1481
0.3575 1.8268 1.9122 3.1 0.8857
0.4811 1.7555 1.4991 3.11 0.9097
0.6561 1.3817 1.4677 3.12 0.6634
0.9072 1.3649 1.1716 3.13 0.5888
1.1827 1.0615 0.8049 3.14 0.4667
1.2886 0.9636 0.5594 3.15 0.3872
1.677 0.7925 0.2481 3.16 0.2955
1.8174 0.5224 -0.0123 3.17 0.2262
1.9344 0.3409 -0.2726 3.18 0.1661
1.8956 0.1811 -0.5349 3.19 0.103
1.8229 0.0379 -0.7505 3.2 0.0456
1.7994 -0.0849 -0.9417 3.21 0.0024
1.7001 -0.1653 -0.9286 3.22 -0.0292
1.3561 -0.2579 -1.0135 3.23 -0.0427
1.1216 -0.2928 -1.0851 3.24 -0.0485
0.6819 -0.3107 -1.0826 3.25 -0.0474
0.4482 -0.3087 -1.0035 3.26 -0.0257
0.1309 -0.2385 -0.8675 3.27 0.0029
-0.1177 -0.1712 -0.7873 3.28 0.0445
-0.3186 -0.0871 -0.6385 3.29 0.0873
-0.4113 0.0056 -0.4049 3.3 0.1366
-0.4731 0.1259 -0.157 3.31 0.2323
-0.4488 0.2494 0.076 3.32 0.2658
-0.3056 0.3357 0.2824 3.33 0.341
-0.1555 0.4853 0.5396 3.34 0.4239
0.0732 0.5764 0.8295 3.35 0.5443
0.3307 0.75 1.0046 3.36 0.6068
0.5469 0.7505 1.2391 3.37 0.7041
0.8079 0.8886 1.339 3.38 0.7363
0.915 1.0024 1.5846 3.39 0.7768
1.0741 0.9375 1.6557 3.4 0.952
1.3104 1.1394 1.5937 3.41 0.9084
1.075 1.0622 1.673 3.42 1.0779
1.2068 1.0367 1.6775 3.43 1.1604
1.032 0.9766 1.5775 3.44 1.24
0.8067 0.9198 1.6558 3.45 1.2499
0.4662 0.8213 1.7679 3.46 1.127
0.1652 0.7468 1.7043 3.47 1.2723
-0.1402 0.6123 1.5932 3.48 1.1683
-0.3985 0.6 1.4549 3.49 1.1869
-0.7054 0.4145 1.4242 3.5 1.2931
-0.9148 0.3441 1.0918 3.51 1.306
-0.9687 0.1965 1.1928 3.52 1.2356
-1.1412 0.0772 1.1512 3.53 1.0352
-1.1347 -0.0324 1.0231 3.54 0.994
-0.8967 -0.1215 0.96 3.55 0.8862
-0.8257 -0.2315 0.9506 3.56 0.9236
-0.579 -0.3273 0.9074 3.57 0.8013
-0.3628 -0.3313 0.8828 3.58 0.6261
-0.1102 -0.4415 0.9312 3.59 0.5343
0.1465 -0.4813 0.9921 3.6 0.3387
0.3629 -0.5151 1.0267 3.61 0.2424
0.5514 -0.4881 1.1447 3.62 0.1051
0.7164 -0.5128 1.2005 3.63 -0.0469
0.7424 -0.4723 1.325 3.64 -0.1834
0.6137 -0.4586 1.3966 3.65 -0.3557
0.5809 -0.469 1.3872 3.66 -0.4703
0.3461 -0.4005 1.5946 3.67 -0.6398
0.1344 -0.3725 1.4356 3.68 -0.8149
-0.1341 -0.3931 1.5158 3.69 -0.9071
-0.4457 -0.4138 1.4399 3.7 -1.0656
-0.6981 -0.3641 1.4741 3.71 -1.2616
-0.866 -0.3822 1.3656 3.72 -1.3772
-1.2405 -0.46 1.1986 3.73 -1.3115
-1.2578 -0.5264 1.1159 3.74 -1.4314
-1.4582 -0.6139 0.9357 3.75 -1.6597
-1.3316 -0.7177 0.6593 3.76 -1.7166
-1.4026 -0.7568 0.549 3.77 -1.8126
-1.1512 -0.9233 0.3803 3.78 -1.5446
-1.0175 -1.0834 0.1972 3.79 -1.5805
-0.7029 -1.2144 0.0102 3.8 -1.8643
-0.4388 -1.3918 -0.1429 3.81 -1.7294
-0.16 -1.2641 -0.2926 3.82 -1.6625
0.0937 -1.5313 -0.4195 3.83 -1.7328
0.291 -1.7906 -0.4935 3.84 -1.7097
0.467 -1.9124 -0.493 3.85 -1.6204
0.6009 -1.7812 -0.4761 3.86 -1.4905
0.6174 -1.9543 -0.5117 3.87 -1.4502
0.4998 -1.9417 -0.4422 3.88 -1.6414
0.3595 -2.1883 -0.2763 3.89 -1.3735
0.2066 -2.1688 -0.1349 3.9 -1.3589
-0.0431 -1.969 0.0585 3.91 -1.2915
-0.3377 -1.8367 0.2664 3.92 -1.2114
-0.5651 -1.6433 0.4766 3.93 -1.0974
-0.787 -1.5007 0.7461 3.94 -1.0308
-1.0911 -1.4838 1.0139 3.95 -0.978
-1.181 -1.1686 1.3463 3.96 -0.8152
-1.3118 -1.0494 1.5081 3.97 -0.7241
-1.3064 -0.7579 2.0259 3.98 -0.6695
-1.2853 -0.4706 2.2293 3.99 -0.7208
-1.0241 -0.146 2.054 4.0 -0.5561
-0.9921 0.1641 2.2045 4.01 -0.6288
-0.6495 0.5153 2.4758 4.02 -0.5351
-0.4101 0.7698 2.6514 4.03 -0.5041
-0.0761 1.1436 2.6063 4.04 -0.4848
0.2116 1.3571 2.7112 4.05 -0.4646
