#y6 y5 y4 y2 time y3 y1
0.2041 0.2488 0.8134 0.7318 0.01 0.135 0.4083
0.3686 0.4917 1.1719 1.0079 0.02 0.2484 0.6956
0.5764 0.6898 0.7258 0.9675 0.03 0.3781 1.1916
0.755 0.9154 0.079 0.2958 0.04 0.5111 1.3532
0.8846 1.1265 -0.5974 -0.3461 0.05 0.6926 1.8195
1.1208 1.2927 -0.7168 -0.7563 0.06 0.7446 2.1991
1.2237 1.5688 -0.2918 -0.5793 0.07 0.7822 2.4891
1.4052 1.649 0.5431 0.0105 0.08 0.9723 2.7391
1.3076 1.7194 1.2172 0.7689 0.09 1.0759 2.8508
1.5051 1.7131 1.4217 1.3625 0.1 1.0681 2.7277
1.5114 1.4311 0.864 1.3124 0.11 1.2319 2.8954
1.6704 1.5836 0.2251 1.001 0.12 1.2104 2.7888
1.839 1.4259 -0.3716 0.2452 0.13 1.2319 3.1831
1.6617 1.3058 -0.3799 -0.3177 0.14 1.4491 2.9328
1.5607 1.1525 0.1818 -0.3565 0.15 1.5099 3.0235
1.6468 0.8698 0.9994 0.0422 0.16 1.5733 2.5418
1.6446 0.7779 1.7506 0.8074 0.17 1.3367 2.6826
1.5247 0.6014 1.5605 1.5699 0.18 1.399 2.4144
1.4819 0.5234 1.1735 1.6173 0.19 1.4468 1.9179
1.2786 0.3975 0.3578 1.5144 0.2 1.3681 1.6831
1.2524 0.3367 -0.1379 0.7829 0.21 1.4844 1.28
1.3312 0.2918 -0.0252 0.2023 0.22 1.3598 1.0273
1.031 0.2459 0.643 -0.1171 0.23 1.3023 0.6046
0.9744 0.2855 1.4378 0.0952 0.24 1.2039 0.1933
0.8671 0.3398 1.7858 0.8075 0.25 1.2924 -0.1979
0.8037 0.4663 1.803 1.4183 0.26 1.0608 -0.5858
0.7073 0.5702 1.0604 1.9661 0.27 1.0827 -0.8907
0.609 0.6894 0.4133 2.0011 0.28 1.0729 -1.249
0.5803 0.9065 0.0715 1.3014 0.29 0.8465 -1.6591
0.4946 0.9805 0.3274 0.7739 0.3 0.803 -1.7353
0.3907 1.1402 1.1197 0.2267 0.31 0.8177 -2.3195
0.3036 1.452 1.9855 0.1939 0.32 0.7494 -2.2743
0.3137 1.4876 1.9752 0.6617 0.33 0.6672 -2.3936
0.2783 1.8497 1.7715 1.5679 0.34 0.5005 -2.7272
0.2885 2.1534 1.2702 2.1198 0.35 0.4359 -2.6776
0.3027 1.9356 0.5191 2.3714 0.36 0.3815 -2.7167
0.2742 2.3005 0.2762 1.8769 0.37 0.3648 -2.6967
0.3544 2.3113 0.6308 1.1289 0.38 0.2715 -2.9356
0.4 2.4661 1.4451 0.544 0.39 0.2346 -3.0473
0.4172 2.4506 1.938 0.3865 0.4 0.2261 -2.74
0.5279 2.0883 2.2308 0.618 0.41 0.1591 -2.586
0.5736 2.0027 1.7619 1.437 0.42 0.1444 -2.4738
0.6817 1.9356 1.1927 2.2517 0.43 0.129 -1.9853
0.8672 1.7404 0.5043 2.2993 0.44 0.1425 -1.6606
0.9493 1.7918 0.4007 2.2551 0.45 0.1549 -1.4169
1.103 1.3734 0.9562 1.5994 0.46 0.1455 -1.0761
1.1825 1.1524 1.7249 1.0465 0.47 0.194 -0.7791
1.306 0.955 2.2119 0.5407 0.48 0.2272 -0.3342
1.4828 0.7294 2.1167 0.638 0.49 0.2837 -0.0017
1.5547 0.5138 1.6505 1.1841 0.5 0.3526 0.3521
1.5629 0.264 1.0252 2.1141 0.51 0.4146 0.73
1.605 0.1005 0.4781 2.3193 0.52 0.464 1.1033
1.7018 -0.0529 0.4992 2.7715 0.53 0.5616 1.4985
1.8499 -0.1615 0.9776 2.0358 0.54 0.6809 1.8528
1.8976 -0.2342 1.925 1.3057 0.55 0.8164 1.9188
1.9859 -0.3221 2.5692 0.8513 0.56 0.9217 2.1657
1.8394 -0.2846 2.2254 0.6262 0.57 1.023 2.5077
1.8151 -0.2626 1.6868 1.0443 0.58 1.1071 2.4142
1.8273 -0.1902 0.8308 1.57 0.59 1.145 2.8201
1.7455 -0.1136 0.435 2.5451 0.6 1.4257 2.7602
1.6864 0.015 0.5642 2.7898 0.61 1.542 2.8316
1.531 0.1444 1.1737 2.449 0.62 1.6582 2.6072
1.2944 0.2825 1.8206 1.6121 0.63 1.629 2.9912
1.1852 0.4978 2.1296 1.1481 0.64 1.6915 2.4476
1.2051 0.6544 2.017 0.6768 0.65 1.786 2.4026
0.9881 0.8028 1.4841 0.8548 0.66 2.1498 2.0808
0.9009 0.8979 0.6045 1.3037 0.67 2.1469 1.8801
0.6696 1.0198 0.3123 2.0008 0.68 2.1475 1.629
0.4629 1.0254 0.5992 2.5929 0.69 2.0485 1.3735
0.3499 1.017 1.2472 2.5556 0.7 2.5495 1.2272
0.1507 1.037 2.0762 1.8828 0.71 2.205 0.8448
-0.0143 1.0878 2.0775 1.3443 0.72 2.2477 0.5016
-0.1783 0.8872 1.8905 0.8117 0.73 2.6289 0.1725
-0.3349 0.8631 1.1747 0.7261 0.74 2.6211 -0.1754
-0.5211 0.6712 0.3691 1.1773 0.75 2.3505 -0.5361
-0.5667 0.5901 0.1877 1.7927 0.76 2.6883 -0.8468
-0.6821 0.3373 0.5984 2.2014 0.77 2.4252 -1.0612
-0.8083 0.1731 1.4138 2.6759 0.78 2.7924 -1.3433
-1.0098 -0.0395 2.111 2.1999 0.79 2.5788 -1.7712
-1.035 -0.243 2.1494 1.5704 0.8 2.7019 -2.034
-0.991 -0.4266 1.4057 0.9659 0.81 2.4603 -2.121
-1.0991 -0.6926 0.6854 0.6183 0.82 2.4349 -2.2413
-1.2246 -0.7247 0.1073 0.731 0.83 2.3421 -2.4422
-1.1902 -0.973 0.0468 1.5412 0.84 2.2899 -2.6788
-1.1249 -1.0669 0.5072 2.096 0.85 2.4164 -2.8633
-1.1287 -0.9697 1.3213 2.4255 0.86 2.1474 -2.8412
-1.0253 -1.0016 1.9703 2.3134 0.87 2.0954 -2.4712
-0.9217 -1.1397 1.6786 1.7436 0.88 2.1402 -2.3846
-0.8081 -0.9039 1.2024 1.0816 0.89 2.0065 -2.1776
-0.6863 -0.9597 0.3418 0.5474 0.9 1.8356 -2.2533
-0.6201 -0.682 -0.1728 0.501 0.91 1.5434 -2.0351
-0.5293 -0.6042 -0.0844 1.0567 0.92 1.5155 -1.7889
-0.3916 -0.3395 0.4994 1.7137 0.93 1.619 -1.5509
-0.2278 -0.1257 1.3551 2.4041 0.94 1.3933 -1.3853
-0.1239 0.1004 1.5488 2.5599 0.95 1.3282 -1.0774
0.0104 0.3097 1.3349 1.8565 0.96 1.1508 -0.6639
0.145 0.5764 0.7793 1.3143 0.97 1.1487 -0.3446
0.2341 0.8413 -0.0111 0.4974 0.98 1.0563 -0.0443
0.3687 1.0588 -0.4297 0.2997 0.99 0.9974 0.2969
0.5128 1.2327 -0.1969 0.5759 1.0 0.9089 0.642
0.557 1.1786 0.4531 1.2196 1.01 0.7537 0.8477
0.6879 1.2578 1.1044 1.8906 1.02 0.69 1.2626
0.6693 1.5117 1.443 2.171 1.03 0.6797 1.3156
0.7298 1.5593 1.2193 1.9086 1.04 0.7094 1.6964
0.7398 1.4709 0.3964 1.3449 1.05 0.6441 1.8286
0.7408 1.4354 -0.3716 0.6157 1.06 0.5507 1.961
0.7604 1.368 -0.6345 0.1299 1.07 0.655 2.0238
0.823 1.2354 -0.2759 0.2297 1.08 0.6456 2.4839
0.7545 1.2136 0.4875 0.8046 1.09 0.637 2.323
0.7208 0.9292 1.1911 1.4727 1.1 0.6747 2.6133
0.6344 0.8586 1.1401 1.771 1.11 0.7176 2.2003
0.6488 0.7733 0.8242 1.9034 1.12 0.7558 2.187
0.5837 0.5583 0.0023 1.4449 1.13 0.7668 2.48
0.5054 0.5164 -0.5941 0.6844 1.14 0.7405 2.2961
0.4048 0.4266 -0.8294 0.0641 1.15 0.9241 1.8117
0.2745 0.3478 -0.333 -0.101 1.16 0.9979 1.795
0.184 0.2877 0.4602 0.2866 1.17 1.1314 1.7197
0.0985 0.3185 1.089 0.8781 1.18 1.153 1.4754
0.0193 0.3637 1.0059 1.6924 1.19 1.1213 1.1871
-0.0579 0.4 0.5093 1.8505 1.2 1.1659 0.7468
-0.1265 0.4936 -0.3382 1.4416 1.21 1.311 0.5408
-0.1959 0.6862 -0.8132 0.7091 1.22 1.5324 0.2448
-0.2255 0.9155 -0.826 0.065 1.23 1.4145 -0.0647
-0.2723 0.9669 -0.2715 -0.3149 1.24 1.642 -0.3385
-0.3148 1.1825 0.525 -0.1727 1.25 1.7013 -0.5882
-0.2949 1.4836 0.9314 0.4406 1.26 1.7818 -0.9824
-0.3117 1.6387 0.8513 1.0915 1.27 1.923 -1.0464
-0.2796 2.177 0.2027 1.5328 1.28 1.9279 -1.2477
-0.2211 2.2211 -0.6321 1.4189 1.29 2.1519 -1.4509
-0.1386 2.4894 -0.945 0.7927 1.3 2.164 -1.9032
-0.0732 2.7678 -0.8161 0.1142 1.31 2.1622 -1.8015
0.0303 2.6231 -0.1785 -0.4648 1.32 2.0153 -1.9515
0.152 2.7589 0.6124 -0.4641 1.33 2.2803 -2.1796
0.2646 2.7937 1.0162 -0.0619 1.34 2.3062 -2.0204
0.4072 2.9641 0.6138 0.604 1.35 2.0878 -2.0229
0.6149 3.1878 -0.0418 1.234 1.36 2.3881 -2.1056
0.7403 2.9728 -0.8014 1.3354 1.37 2.364 -2.2551
0.8434 2.484 -0.9921 0.9151 1.38 2.3907 -1.8029
1.0667 2.557 -0.6907 0.2235 1.39 2.3634 -1.9457
1.3052 2.6716 -0.0136 -0.4732 1.4 2.3384 -1.8892
1.5597 2.4939 0.6713 -0.7893 1.41 2.2061 -1.5044
1.606 1.9448 1.0092 -0.4359 1.42 2.0413 -1.4741
1.914 2.0174 0.5457 0.1518 1.43 1.9399 -1.2392
1.8293 1.5458 -0.2293 0.8702 1.44 1.7772 -0.8917
2.3096 1.4973 -0.8942 1.1084 1.45 1.8093 -0.7026
2.4277 1.3322 -0.9471 0.9085 1.46 1.9078 -0.3816
2.453 1.2062 -0.5303 0.4141 1.47 1.5632 -0.1377
2.7328 0.927 0.1942 -0.3571 1.48 1.5733 0.109
2.4874 0.8538 0.884 -0.8657 1.49 1.3601 0.3327
2.843 0.7516 1.015 -0.866 1.5 1.2565 0.5663
2.7045 0.7453 0.4453 -0.2709 1.51 1.0935 0.8326
2.9147 0.7094 -0.2914 0.4072 1.52 1.0276 1.0917
3.0944 0.8333 -0.8293 0.9432 1.53 0.9771 1.1222
2.8686 0.8985 -0.7983 1.0682 1.54 0.864 1.5148
