#time y5 y3 y2 y1 y6 y4
0.01 0.3965 0.2089 0.325 0.2026 0.7555 0.3129
0.02 0.7493 0.4553 0.5719 0.4448 1.0922 0.6272
0.03 1.0991 0.7213 0.9903 0.5822 0.8629 0.9686
0.04 1.4177 0.921 1.2734 0.8014 0.0814 1.0297
0.05 1.5784 1.1018 1.4832 0.9274 -0.5128 1.2239
0.06 1.7915 1.0758 1.6167 1.1448 -0.7318 1.3235
0.07 1.8694 1.153 1.8883 1.4357 -0.1838 1.3817
0.08 1.8869 1.1888 2.1152 1.3624 0.5876 1.4722
0.09 1.9907 1.2528 1.9957 1.5568 1.2713 1.3162
0.1 1.9311 1.175 2.3482 1.5447 1.507 1.026
0.11 1.4778 1.0969 2.1685 1.6929 1.0322 0.9945
0.12 1.3844 1.0802 2.3386 1.6476 0.2458 0.7147
0.13 1.0915 0.9987 2.1789 1.7991 -0.274 0.5757
0.14 0.9142 0.9047 2.121 1.6588 -0.2447 0.3679
0.15 0.7365 0.6675 2.2788 1.7599 0.4177 0.186
0.16 0.5139 0.5796 2.1907 1.7487 1.2609 0.0686
0.17 0.3111 0.3524 1.897 1.6592 1.6233 0.007
0.18 0.2244 0.2272 2.0058 1.524 1.5776 0.0133
0.19 0.1482 0.0776 1.9786 1.4631 1.1267 0.0885
0.2 0.1533 -0.0489 1.5358 1.49 0.402 0.2202
0.21 0.2257 -0.1336 1.501 1.2185 -0.0074 0.3922
0.22 0.3332 -0.2097 1.2773 1.2214 0.2365 0.652
0.23 0.471 -0.2225 1.3585 1.0829 0.8628 0.9996
0.24 0.5812 -0.2039 1.0869 1.0245 1.9033 1.1499
0.25 0.7605 -0.1615 0.9563 0.8239 1.9211 1.3599
0.26 0.8014 -0.0735 0.9555 0.7618 2.043 1.5764
0.27 0.9944 0.055 0.9472 0.5848 1.1874 2.0585
0.28 1.159 0.2065 0.8677 0.6084 0.53 1.9818
0.29 1.0155 0.3953 0.8466 0.4855 0.2434 2.1897
0.3 1.0668 0.6294 0.8363 0.3981 0.667 2.3437
0.31 0.9935 0.818 0.7727 0.3727 1.37 2.2068
0.32 0.7812 1.0626 0.8824 0.3218 1.9246 1.9978
0.33 0.6735 1.3635 0.9473 0.3348 2.2435 1.8312
0.34 0.47 1.4702 0.9144 0.371 1.7885 1.9519
0.35 0.2143 1.676 0.9938 0.4123 1.1234 1.6362
0.36 -0.0334 1.71 1.0095 0.4057 0.5815 1.2947
0.37 -0.2773 1.8487 1.17 0.496 0.5154 0.9853
0.38 -0.4415 1.9797 1.3229 0.5328 1.1057 0.729
0.39 -0.6517 2.1127 1.3431 0.684 1.7198 0.584
0.4 -0.831 2.1475 1.175 0.7808 2.5933 0.3604
0.41 -0.8042 2.2943 1.3928 0.8755 2.5109 0.2358
0.42 -0.8037 2.2368 1.2711 0.9915 1.801 0.1832
0.43 -0.644 1.8595 1.1016 0.9756 0.9766 0.1911
0.44 -0.4972 1.771 1.0354 1.1887 0.6058 0.271
0.45 -0.3092 1.8762 1.1228 1.3462 0.6578 0.4205
0.46 0.0166 1.6672 0.9912 1.3651 1.418 0.5745
0.47 0.3996 1.4547 0.7258 1.3519 2.0728 0.7645
0.48 0.7452 1.287 0.5262 1.5338 2.512 0.9542
0.49 1.0872 1.2069 0.3329 1.7835 2.4187 1.0994
0.5 1.5751 1.03 0.1099 1.7053 1.5324 1.3984
0.51 1.7815 0.827 -0.1368 1.6837 0.8375 1.4541
0.52 2.0169 0.6415 -0.443 1.8044 0.551 1.6472
0.53 2.4023 0.5363 -0.6329 1.84 0.7685 1.6341
0.54 2.4401 0.4274 -0.8841 1.6793 1.5129 1.7385
0.55 2.7504 0.4101 -1.221 1.6723 2.228 1.584
0.56 2.5081 0.4679 -1.4249 1.4811 2.5362 1.4348
0.57 2.7896 0.469 -1.9324 1.5575 2.0016 1.4241
0.58 2.4351 0.5342 -2.0712 1.3327 1.3791 1.1242
0.59 2.4866 0.6247 -2.0694 1.4074 0.7214 0.8285
0.6 2.2753 0.8022 -2.3812 1.1947 0.5098 0.4833
0.61 1.7595 0.8596 -2.569 1.016 0.887 0.1843
0.62 1.5266 1.1565 -2.5735 0.8098 1.6101 -0.0966
0.63 1.373 1.4057 -2.879 0.6123 2.4256 -0.3235
0.64 1.2138 1.386 -3.0724 0.5102 2.4313 -0.5642
0.65 0.8985 1.7854 -3.1489 0.2977 1.9161 -0.6488
0.66 0.7385 2.0305 -2.9539 0.1016 1.0173 -0.7238
0.67 0.6432 1.9933 -2.6102 -0.0744 0.3986 -0.7693
0.68 0.5546 2.4058 -2.6468 -0.237 0.3579 -0.6956
0.69 0.5678 2.2433 -2.6095 -0.3879 0.9564 -0.5966
0.7 0.5596 2.6416 -2.573 -0.5479 1.8437 -0.4548
0.71 0.7318 2.4411 -2.4455 -0.6555 2.2922 -0.2451
0.72 0.7267 2.3745 -2.2865 -0.883 2.178 -0.0178
0.73 0.9675 2.6804 -1.8609 -0.9015 1.3166 0.2055
0.74 0.9356 2.4014 -1.6108 -0.9581 0.5612 0.391
0.75 1.0754 2.1793 -1.3582 -1.1425 0.1191 0.6033
0.76 1.2507 2.124 -1.1444 -1.1115 0.319 0.7384
0.77 1.1836 2.1554 -0.9264 -1.0475 0.9346 0.8299
0.78 1.2122 1.9453 -0.7835 -1.136 1.8047 0.7663
