#y4 y3 y2 y1 time
0.3445 0.2924 0.2654 0.5515 0.01
0.7363 0.5241 0.443 1.0727 0.02
0.9623 0.8283 0.7456 1.2133 0.03
1.168 1.0234 0.8288 0.9239 0.04
1.3255 1.0643 1.0096 0.5025 0.05
1.6962 1.1452 1.2921 -0.0072 0.06
1.7062 1.3319 1.2159 -0.4477 0.07
1.7211 1.3827 1.452 -0.5766 0.08
1.8035 1.2369 1.4324 -0.5046 0.09
1.7759 1.2431 1.1855 -0.0898 0.1
1.6019 1.0723 1.3472 0.505 0.11
1.395 0.8207 1.115 1.0022 0.12
1.2516 0.666 1.0759 1.6048 0.13
1.0957 0.4695 0.8579 1.6982 0.14
0.901 0.3123 0.6413 1.4005 0.15
0.719 0.1362 0.5342 0.9278 0.16
0.6285 -0.007 0.3801 0.4664 0.17
0.5735 -0.1133 0.2171 0.0428 0.18
0.6854 -0.1684 0.0716 -0.1635 0.19
0.6731 -0.1925 -0.0316 -0.0285 0.2
0.744 -0.1644 -0.0909 0.3884 0.21
0.9521 -0.0814 -0.1446 0.9659 0.22
1.2402 0.0544 -0.1238 1.5284 0.23
1.4747 0.2472 -0.0779 2.1147 0.24
1.8406 0.4773 0.0041 2.0947 0.25
1.9127 0.6984 0.14 1.7752 0.26
2.0385 0.9414 0.2667 1.4673 0.27
2.5113 1.2458 0.5175 0.8423 0.28
2.7157 1.5116 0.6305 0.4627 0.29
2.7651 1.8221 0.8432 0.2463 0.3
2.557 2.0576 1.2215 0.3394 0.31
2.9237 2.1708 1.2897 0.7175 0.32
3.0113 2.0367 1.59 1.4311 0.33
2.5388 2.4096 1.7602 2.0834 0.34
2.4404 2.4609 1.8499 2.4606 0.35
2.2972 2.4441 2.0753 2.1747 0.36
1.8611 2.1353 2.0017 2.2966 0.37
1.5657 1.8896 2.1482 1.8036 0.38
1.4014 1.7696 2.3311 1.2024 0.39
1.1989 1.7453 2.2606 0.7319 0.4
0.8063 1.3881 2.3406 0.6036 0.41
0.6288 1.146 1.873 0.6517 0.42
0.4026 1.1148 1.8756 1.1307 0.43
0.2754 0.9443 1.5951 1.6731 0.44
0.1944 0.8102 1.5557 2.1165 0.45
0.1957 0.6119 1.2836 2.476 0.46
0.1854 0.6119 1.3027 2.799 0.47
0.2563 0.6185 1.0804 2.625 0.48
0.3691 0.6902 0.8377 2.0182 0.49
0.5423 0.6925 0.7063 1.5447 0.5
0.7566 0.9387 0.5426 0.9882 0.51
0.7847 0.9768 0.4146 0.677 0.52
1.0001 1.2336 0.3568 0.8647 0.53
1.0472 1.507 0.3451 1.2024 0.54
1.2123 1.6575 0.3751 1.6786 0.55
1.3492 2.0991 0.4401 2.3626 0.56
1.2128 2.1768 0.5122 2.9146 0.57
1.1806 2.5172 0.7184 2.5398 0.58
1.0692 2.7177 0.8956 2.5464 0.59
0.8429 2.7239 0.9781 2.1508 0.6
0.588 2.8536 1.1853 1.6042 0.61
0.3008 2.7262 1.416 0.9772 0.62
0.0122 2.8853 1.4242 0.8373 0.63
-0.2911 2.7374 1.8654 0.9153 0.64
-0.5693 2.6603 2.0876 1.261 0.65
-0.847 2.3546 1.9005 1.8577 0.66
-1.0823 2.1467 2.2924 2.1035 0.67
-1.5194 1.7855 2.3265 2.6578 0.68
-1.708 1.6612 2.0355 2.7025 0.69
-1.5792 1.3231 2.0346 2.4635 0.7
-1.636 1.2078 2.0067 2.1458 0.71
-1.6301 1.1719 1.9511 1.3358 0.72
-1.6567 0.9295 1.8082 1.0163 0.73
-1.5623 0.7859 1.703 0.619 0.74
-1.2312 0.7577 1.6206 0.7821 0.75
-1.0099 0.8002 1.3991 1.0521 0.76
-0.815 0.8088 1.0289 1.7829 0.77
-0.7132 0.9934 0.8333 2.2563 0.78
-0.4222 1.0887 0.6127 2.5907 0.79
-0.2767 1.2767 0.4472 2.6343 0.8
-0.1468 1.5941 0.2717 2.1347 0.81
-0.0508 1.6576 0.1 1.979 0.82
-0.017 2.0127 -0.01 1.1264 0.83
-0.0326 2.208 -0.0972 0.6639 0.84
-0.1029 2.139 -0.1215 0.4928 0.85
-0.224 2.6151 -0.1367 0.5582 0.86
-0.3736 2.7718 -0.089 0.9458 0.87
-0.5649 2.4277 -0.0073 1.4921 0.88
-0.8056 2.6538 0.0991 2.0495 0.89
-1.0112 2.3624 0.2427 2.1034 0.9
-1.3614 2.5812 0.412 2.1404 0.91
-1.3338 2.568 0.5625 1.9942 0.92
-1.4998 2.3571 0.7523 1.6116 0.93
-1.8024 1.8373 0.8877 1.021 0.94
-1.8759 1.6515 1.1006 0.4839 0.95
-1.6131 1.4992 1.1481 0.2067 0.96
-1.7599 1.1934 1.4489 0.2388 0.97
-1.6879 1.1034 1.4572 0.5648 0.98
-1.4588 0.8688 1.5816 1.0136 0.99
-1.0732 0.638 1.3349 1.505 1.0
-0.9149 0.5066 1.3219 2.0803 1.01
-0.5898 0.3704 1.3212 2.1632 1.02
-0.3547 0.3896 1.1467 1.8663 1.03
-0.0776 0.3985 1.1419 1.1012 1.04
0.1516 0.4792 0.8125 0.6432 1.05
0.3902 0.5284 0.681 0.1084 1.06
0.5099 0.6854 0.4974 -0.1298 1.07
0.7012 0.8754 0.242 -0.074 1.08
0.719 1.1619 0.0115 0.2641 1.09
0.6771 1.3252 -0.1865 0.7334 1.1
0.7079 1.5204 -0.4243 1.388 1.11
0.5235 1.5517 -0.5679 1.6557 1.12
0.3862 1.8044 -0.7292 1.6471 1.13
0.1548 1.9033 -0.8752 1.2524 1.14
-0.0476 2.1586 -0.8798 0.7933 1.15
-0.2544 2.0844 -0.9694 0.2794 1.16
-0.4625 2.1466 -0.9365 -0.2282 1.17
-0.6511 2.0187 -0.8819 -0.446 1.18
-0.861 1.8615 -0.6978 -0.4342 1.19
-0.9633 1.55 -0.5911 -0.0805 1.2
-0.9533 1.4398 -0.4885 0.4151 1.21
-1.0207 1.1174 -0.3244 0.93 1.22
-0.8259 0.9552 -0.114 1.2892 1.23
-0.8543 0.6902 0.0691 1.25 1.24
-0.596 0.4 0.2495 1.0688 1.25
-0.4278 0.1617 0.4179 0.5223 1.26
-0.2045 -0.0254 0.6132 -0.0767 1.27
0.0278 -0.1971 0.6426 -0.5457 1.28
0.2787 -0.3229 0.7372 -0.7688 1.29
0.5192 -0.3928 0.8428 -0.7095 1.3
0.6928 -0.3798 0.862 -0.3545 1.31
0.8325 -0.3763 0.7704 0.1327 1.32
0.8803 -0.2779 0.7538 0.6657 1.33
0.9936 -0.1282 0.6734 0.8847 1.34
0.925 0.0275 0.588 1.0331 1.35
0.7832 0.2316 0.3718 0.6903 1.36
0.6601 0.4226 0.2259 0.219 1.37
0.45 0.672 0.0205 -0.3667 1.38
0.2743 0.8281 -0.1781 -0.7678 1.39
0.0032 0.9762 -0.3964 -1.1007 1.4
-0.2692 1.1754 -0.5105 -0.9818 1.41
-0.5331 1.1332 -0.7621 -0.6976 1.42
-0.8604 1.1545 -0.8235 -0.1245 1.43
-0.9183 1.2453 -1.054 0.3666 1.44
-1.1609 1.2932 -0.9793 0.7385 1.45
-1.1904 1.0914 -1.0685 0.7411 1.46
-1.3217 0.9071 -1.0413 0.5576 1.47
-1.3602 0.7089 -1.0739 0.015 1.48
-1.2344 0.4834 -0.9006 -0.5585 1.49
-1.122 0.2448 -0.7806 -1.137 1.5
-1.0782 0.0042 -0.6689 -1.1979 1.51
-0.7992 -0.2693 -0.4755 -1.159 1.52
-0.6427 -0.4343 -0.2242 -0.7948 1.53
-0.426 -0.628 -0.0151 -0.294 1.54
-0.205 -0.8225 0.2125 0.2149 1.55
-0.0103 -0.9051 0.4493 0.5572 1.56
0.1751 -1.158 0.5923 0.6055 1.57
0.2879 -1.2013 0.8643 0.3418 1.58
0.4028 -1.1539 1.0233 -0.1056 1.59
0.3944 -1.0833 1.1605 -0.6979 1.6
0.3466 -0.9205 1.1093 -1.0566 1.61
0.3083 -0.6566 1.2247 -1.3923 1.62
0.1682 -0.5505 1.1614 -1.2361 1.63
-0.0181 -0.3286 1.1835 -0.9227 1.64
-0.2273 -0.1178 1.1209 -0.3517 1.65
-0.4239 0.084 0.9092 0.1607 1.66
-0.7126 0.2646 0.8067 0.5213 1.67
-0.9156 0.4005 0.6923 0.6146 1.68
-0.9793 0.6031 0.5796 0.3334 1.69
-1.2002 0.6098 0.3365 -0.1592 1.7
