#time y1 y2 y3
0.01 0.4442 -0.8554 0.8565
0.02 0.8932 0.5719 -0.8423
0.03 1.1237 1.2435 0.6916
0.04 1.0499 -0.1473 0.3285
0.05 0.9488 0.0069 -0.664
0.06 0.7751 1.6714 1.2943
0.07 0.3978 1.1643 -0.1535
0.08 0.015 -0.0956 -0.0483
0.09 -0.3388 1.054 1.3326
0.1 -0.5388 1.8702 -0.4892
0.11 -0.6046 0.6952 0.7183
0.12 -0.5962 0.2492 0.9752
0.13 -0.2673 1.9394 -0.4598
0.14 0.1047 1.6314 1.3618
0.15 0.599 0.1383 0.5139
0.16 1.025 0.8498 -0.0545
0.17 1.3836 1.8446 1.5846
0.18 1.4058 0.7142 0.0366
0.19 1.6762 -0.1274 0.6285
0.2 1.5696 1.2399 1.7286
0.21 1.2266 1.5531 -0.158
0.22 0.7682 -0.2269 1.2897
0.23 0.3733 -0.0768 1.0684
0.24 0.0723 1.2753 0.0141
0.25 -0.1276 0.3689 1.8334
0.26 -0.185 -0.9548 0.6586
0.27 -0.0603 0.1636 0.5574
0.28 0.1998 0.7196 2.0201
0.29 0.5755 -0.8123 0.2307
0.3 0.9956 -1.12 1.2872
0.31 1.4532 0.3304 1.9003
0.32 1.888 -0.0617 0.2017
0.33 1.7955 -1.5565 1.9088
0.34 2.073 -0.7199 1.1773
0.35 1.9085 0.3386 0.5663
0.36 1.4255 -0.9363 2.3459
0.37 1.0199 -1.5255 0.7794
0.38 0.7168 -0.1308 1.0726
0.39 0.4348 -0.0035 2.1322
0.4 0.2126 -1.4753 0.4651
0.41 0.1838 -1.0077 1.8033
0.42 0.3643 0.4317 1.9484
0.43 0.6109 -0.4404 0.5888
0.44 0.9648 -1.245 2.3161
0.45 1.5386 0.0255 1.3315
0.46 1.7933 0.6706 1.1184
0.47 2.1406 -0.6629 2.7618
0.48 2.1558 -0.5319 0.8088
0.49 2.3031 1.0166 1.6124
0.5 1.8861 0.6148 2.4804
0.51 1.662 -0.5278 0.7389
0.52 1.4749 0.6351 2.455
0.53 0.8828 1.7512 1.9179
0.54 0.7024 0.4662 0.9249
0.55 0.4319 0.1088 2.5674
0.56 0.4666 1.8105 1.2871
0.57 0.692 1.9201 1.4041
0.58 0.9729 0.3343 2.4716
0.59 1.2346 1.0037 0.8947
0.6 1.885 2.4148 2.048
0.61 2.1118 1.3148 2.4758
0.62 2.3425 0.4862 0.9714
0.63 2.5331 1.7619 2.6728
0.64 2.7045 2.0456 1.6531
0.65 2.1409 0.7298 1.1662
0.66 1.8506 0.8025 2.9282
0.67 1.4516 2.0423 1.1834
0.68 1.0049 1.6333 2.0222
0.69 0.8228 0.2071 2.9025
0.7 0.5938 1.264 0.9422
0.71 0.6754 1.9335 2.4812
0.72 0.8834 0.457 2.0224
0.73 1.2461 0.0443 1.0721
0.74 1.4087 1.4214 3.1605
0.75 2.0688 0.9879 1.7285
0.76 2.4774 -0.461 1.4523
0.77 2.6015 0.2054 2.9168
0.78 2.7837 1.1961 1.098
0.79 2.4305 -0.0766 2.1331
0.8 2.2004 -0.8445 2.7031
0.81 1.8634 0.4974 1.004
0.82 1.5105 0.5776 2.6609
0.83 1.0355 -1.0127 1.8536
0.84 0.8001 -0.6877 1.3835
0.85 0.6241 0.5867 3.0285
0.86 0.6416 -0.2846 1.4973
0.87 0.8618 -1.2684 1.7279
0.88 1.0927 -0.1245 2.6917
