#y1 y2 time y6 y4 y3 y5
0.1576 0.2485 0.01 0.3772 0.4377 0.6412 0.3742
0.2866 0.4556 0.02 0.81 0.9294 1.0693 0.6824
0.487 0.7796 0.03 1.048 1.1312 1.625 1.0119
0.5609 0.9435 0.04 1.5246 1.2023 1.6756 1.1431
0.7885 1.0489 0.05 1.8211 1.2229 1.8335 1.2661
0.8319 1.339 0.06 1.8988 0.9331 1.5545 1.382
0.9524 1.3986 0.07 2.135 0.5754 1.2624 1.2559
1.0982 1.7397 0.08 1.8423 0.2099 0.9601 1.0002
1.3349 1.8608 0.09 1.9564 -0.0984 0.7524 0.6919
1.2873 1.754 0.1 1.7868 -0.3455 0.4318 0.5003
1.5239 1.837 0.11 1.7947 -0.3612 0.2093 0.2384
1.4433 2.1313 0.12 1.446 -0.2798 0.1512 0.0165
1.3834 1.8959 0.13 1.3678 -0.0233 0.2065 -0.1416
1.6835 2.2044 0.14 0.8957 0.4012 0.3565 -0.2248
1.524 2.007 0.15 0.7239 0.8245 0.6793 -0.2411
1.6972 1.8661 0.16 0.486 1.2291 0.8901 -0.1215
1.5788 1.8452 0.17 0.2031 1.7515 1.2153 0.0667
1.5472 1.9603 0.18 -0.0101 1.9294 1.3408 0.3506
1.7152 1.7793 0.19 -0.1753 1.7622 1.1732 0.6643
1.5915 1.7568 0.2 -0.3082 1.6838 1.0809 1.103
1.5395 1.5422 0.21 -0.3568 1.6046 0.6739 1.374
1.4651 1.2293 0.22 -0.4508 1.2597 0.3124 1.7316
1.3683 1.0704 0.23 -0.3811 0.794 -0.1984 1.972
1.4794 1.0133 0.24 -0.3297 0.4448 -0.6861 2.1585
1.3057 0.9164 0.25 -0.2414 0.2809 -1.0637 2.0979
1.232 0.6383 0.26 -0.1036 0.1727 -1.284 2.0269
1.1083 0.5117 0.27 0.0307 0.2434 -1.5102 1.9824
1.1701 0.4048 0.28 0.1822 0.504 -1.3311 1.7939
0.9448 0.2599 0.29 0.2758 0.9199 -1.0438 1.4826
0.8704 0.1615 0.3 0.4488 1.3681 -0.5871 1.1447
0.9147 0.0516 0.31 0.4835 1.5747 -0.1307 0.845
0.7838 -0.0405 0.32 0.5955 2.2381 0.3655 0.6216
0.805 -0.1012 0.33 0.5368 2.2307 0.908 0.4028
0.6429 -0.1737 0.34 0.5425 2.2878 1.2417 0.2817
0.6064 -0.1967 0.35 0.5049 2.1641 1.616 0.3115
0.5836 -0.2072 0.36 0.4426 1.8041 1.5811 0.4062
0.5734 -0.2235 0.37 0.2916 1.3962 1.4715 0.5231
0.4937 -0.2029 0.38 0.1994 1.0537 1.3112 0.7722
0.4285 -0.1544 0.39 0.0582 0.6694 1.0339 1.0982
0.4404 -0.1094 0.4 -0.064 0.3812 0.9001 1.296
0.4342 -0.0576 0.41 -0.1691 0.269 0.6594 1.6049
0.5195 0.0098 0.42 -0.259 0.3049 0.7244 2.0107
0.483 0.0829 0.43 -0.2973 0.5853 0.8131 2.3078
0.548 0.1857 0.44 -0.2411 0.8439 0.9464 2.3
0.5714 0.2347 0.45 -0.1996 1.2256 1.36 2.4319
0.6541 0.3529 0.46 -0.0788 1.5195 1.6922 2.2312
0.7444 0.4289 0.47 0.0922 1.873 2.1456 1.8827
0.77 0.4871 0.48 0.3215 2.091 2.1329 1.537
0.8171 0.5838 0.49 0.5674 1.8828 2.4468 1.463
1.0581 0.6367 0.5 0.942 2.0423 2.6986 1.0475
0.9898 0.6983 0.51 1.2141 1.4852 2.3134 0.6184
1.2145 0.7439 0.52 1.6275 1.1914 2.2252 0.3766
1.276 0.7739 0.53 1.6514 0.6833 1.6823 0.1757
1.4907 0.7774 0.54 1.9583 0.2415 1.0226 0.0402
