#y3 y2 y5 y4 y1 time
0.2657 0.2578 -0.6596 0.431 0.1412 0.01
0.5203 0.4542 1.1283 0.7447 0.2683 0.02
0.7061 0.6787 -0.3649 1.2286 0.3779 0.03
0.8292 0.9078 -0.186 1.3937 0.5987 0.04
1.0166 1.0408 1.0452 1.5516 0.6557 0.05
1.1906 1.3557 -0.6584 1.5346 0.735 0.06
1.268 1.4553 0.4865 1.4742 0.9703 0.07
1.3109 1.6821 1.0802 1.4251 1.1064 0.08
1.2061 1.7192 -0.5967 1.2591 1.2379 0.09
1.3094 1.7929 1.0346 1.1882 1.3002 0.1
1.0181 1.7575 0.5828 0.8223 1.2841 0.11
1.0461 1.8305 -0.3934 0.7493 1.4308 0.12
0.9142 1.7317 1.3438 0.5453 1.5043 0.13
0.7264 1.6596 0.2466 0.437 1.3942 0.14
0.5208 1.8414 0.1355 0.4382 1.4281 0.15
0.3091 1.5199 1.719 0.5457 1.5671 0.16
0.1419 1.3703 -0.0676 0.6792 1.7299 0.17
0.0024 1.4077 0.682 0.9835 1.6568 0.18
-0.129 1.417 1.534 1.2338 1.7101 0.19
-0.2078 1.1291 -0.1724 1.5736 1.463 0.2
-0.2489 1.0352 1.2604 1.9654 1.6849 0.21
-0.2819 0.8857 1.1424 2.1298 1.4242 0.22
-0.2604 0.8509 -0.0187 2.5372 1.4526 0.23
-0.1646 0.7755 1.6961 2.6372 1.4872 0.24
-0.0537 0.6781 0.7845 2.3801 1.3552 0.25
0.0936 0.5186 0.387 2.6497 1.4182 0.26
0.2947 0.4996 1.8579 2.3156 1.3251 0.27
0.5251 0.4205 0.4844 2.028 1.1241 0.28
0.6902 0.4906 0.9458 1.7397 1.0813 0.29
0.8909 0.4195 1.999 1.4892 0.989 0.3
1.1852 0.5054 0.2357 1.0348 1.0505 0.31
1.4065 0.497 1.6833 0.6092 0.8705 0.32
1.6447 0.6115 1.7186 0.3719 0.8598 0.33
1.9578 0.6951 0.2732 0.1366 0.8385 0.34
1.9585 0.7608 1.8879 0.011 0.7043 0.35
1.9365 0.9558 1.2596 -0.0311 0.6484 0.36
2.1514 1.1473 0.5834 0.0156 0.6226 0.37
2.2703 1.2893 2.1828 0.1506 0.5664 0.38
2.302 1.4576 0.9024 0.3568 0.4539 0.39
2.0928 1.5538 1.0135 0.5999 0.4198 0.4
1.8749 1.5159 2.5825 0.7997 0.4391 0.41
1.6577 1.6355 0.5888 0.925 0.404 0.42
1.771 1.7017 1.5616 1.2845 0.3605 0.43
1.5837 2.0435 2.2549 1.167 0.3529 0.44
1.1644 1.948 0.4704 1.3459 0.3786 0.45
0.9585 2.0916 2.0168 1.0823 0.3727 0.46
0.9551 1.9703 1.8217 0.9862 0.4551 0.47
0.7069 2.1157 0.6974 0.8471 0.5018 0.48
0.549 2.0239 2.2589 0.4817 0.5255 0.49
0.4472 2.0464 1.1812 0.1341 0.5114 0.5
0.399 1.8498 1.0565 -0.2278 0.5811 0.51
