#y2 time y1
0.3078 0.01 0.3644
0.5633 0.02 0.682
0.7787 0.03 0.9898
1.108 0.04 1.0816
1.3024 0.05 1.1738
1.4268 0.06 1.2051
1.4208 0.07 1.2832
1.6885 0.08 1.2121
1.7728 0.09 1.0307
1.6028 0.1 0.721
1.6932 0.11 0.4878
1.3703 0.12 0.2652
1.2689 0.13 0.0309
1.0876 0.14 -0.1237
0.9815 0.15 -0.2343
0.7807 0.16 -0.2723
0.5722 0.17 -0.2138
0.5295 0.18 -0.0718
0.3845 0.19 0.1397
0.2657 0.2 0.4426
0.1832 0.21 0.6593
0.1479 0.22 1.1089
0.173 0.23 1.4085
0.2376 0.24 1.7042
0.3235 0.25 1.8929
0.4633 0.26 1.8604
0.5824 0.27 1.9496
0.7362 0.28 2.2504
0.8482 0.29 2.037
1.0929 0.3 2.0119
1.2135 0.31 1.6808
1.2741 0.32 1.6108
1.6283 0.33 1.2995
1.5382 0.34 0.9679
1.757 0.35 0.7953
1.6628 0.36 0.5682
1.465 0.37 0.411
1.5121 0.38 0.407
1.3798 0.39 0.5018
1.0118 0.4 0.6018
0.8324 0.41 0.7994
0.5956 0.42 0.9951
0.3383 0.43 1.2935
0.0974 0.44 1.7648
-0.171 0.45 1.8727
-0.4467 0.46 2.2681
-0.7218 0.47 2.4918
-0.9869 0.48 2.4918
-1.0638 0.49 2.4491
-1.3333 0.5 2.4967
-1.3367 0.51 2.2439
-1.2912 0.52 2.3385
-1.5061 0.53 1.8882
-1.3176 0.54 1.8318
-1.246 0.55 1.3594
-1.1773 0.56 1.1478
-0.8648 0.57 0.7792
-0.7554 0.58 0.6926
-0.5537 0.59 0.5604
-0.3206 0.6 0.4753
-0.0854 0.61 0.5215
0.0938 0.62 0.6055
0.2624 0.63 0.876
0.3857 0.64 1.1145
0.5693 0.65 1.346
0.5954 0.66 1.6392
0.6359 0.67 1.9476
0.5508 0.68 2.0633
0.5856 0.69 2.0784
0.4918 0.7 2.3934
0.3335 0.71 2.2392
0.2394 0.72 2.1601
0.1049 0.73 2.1755
-0.0411 0.74 1.8466
-0.1589 0.75 1.6575
-0.3051 0.76 1.1911
-0.3912 0.77 0.8832
-0.463 0.78 0.6333
-0.4283 0.79 0.3793
-0.482 0.8 0.1903
-0.3487 0.81 0.0719
-0.2698 0.82 0.029
-0.1225 0.83 0.0704
0.0824 0.84 0.1708
0.3191 0.85 0.3368
0.5274 0.86 0.6433
0.8278 0.87 0.8479
1.2019 0.88 1.1989
1.2642 0.89 1.2896
1.5128 0.9 1.5789
1.752 0.91 1.8019
2.2448 0.92 1.6389
2.2128 0.93 1.5651
2.369 0.94 1.6517
2.6138 0.95 1.3506
2.4303 0.96 1.1662
2.68 0.97 0.8113
2.3096 0.98 0.5713
2.2914 0.99 0.2512
2.3872 1.0 -0.0399
2.0178 1.01 -0.2639
1.7414 1.02 -0.4827
1.7103 1.03 -0.5792
1.4273 1.04 -0.5505
1.2905 1.05 -0.5331
1.1118 1.06 -0.4111
0.9443 1.07 -0.2085
0.7054 1.08 0.0302
0.6611 1.09 0.3059
0.58 1.1 0.582
0.4404 1.11 0.7193
0.4424 1.12 0.9375
0.5462 1.13 1.0632
0.5699 1.14 1.2233
0.7279 1.15 1.1648
0.8878 1.16 1.0283
0.9981 1.17 0.8932
1.1381 1.18 0.6261
1.183 1.19 0.2943
1.3524 1.2 0.0143
1.4998 1.21 -0.2606
1.5864 1.22 -0.5927
1.4739 1.23 -0.7769
1.5506 1.24 -0.9165
1.4456 1.25 -1.0279
1.5807 1.26 -0.893
1.3658 1.27 -0.9058
1.1785 1.28 -0.7481
0.8721 1.29 -0.5053
0.6686 1.3 -0.1921
0.4606 1.31 0.0828
0.1948 1.32 0.3329
-0.0508 1.33 0.5809
-0.3138 1.34 0.896
-0.5007 1.35 0.9946
-0.7528 1.36 0.9852
-0.9339 1.37 0.8979
-1.0157 1.38 0.8742
-1.1415 1.39 0.767
-1.174 1.4 0.4954
-1.0097 1.41 0.2011
-0.8929 1.42 -0.059
-0.8083 1.43 -0.3379
-0.7163 1.44 -0.5536
-0.5082 1.45 -0.7205
-0.2796 1.46 -0.8584
-0.015 1.47 -0.9462
0.2591 1.48 -0.7814
0.4559 1.49 -0.6884
0.6688 1.5 -0.4636
0.9575 1.51 -0.2048
1.2165 1.52 0.0949
1.1518 1.53 0.4287
1.3261 1.54 0.7571
1.5216 1.55 0.8842
1.6015 1.56 1.2583
1.5099 1.57 1.3305
1.4795 1.58 1.437
1.2257 1.59 1.3711
1.3385 1.6 1.2221
1.0887 1.61 1.1893
1.0202 1.62 0.9067
0.8467 1.63 0.6224
0.6447 1.64 0.3921
0.5964 1.65 0.1169
0.5792 1.66 -0.0932
0.4907 1.67 -0.2333
0.5254 1.68 -0.2884
0.5586 1.69 -0.2892
0.5793 1.7 -0.2125
0.6863 1.71 -0.0659
0.9028 1.72 0.1665
1.0414 1.73 0.4708
1.3804 1.74 0.7984
1.6189 1.75 1.1165
1.7936 1.76 1.3728
1.9696 1.77 1.7541
2.1749 1.78 2.0083
2.356 1.79 1.9242
2.4355 1.8 1.8366
2.9576 1.81 2.1334
2.9637 1.82 2.045
3.2095 1.83 1.7725
2.9473 1.84 1.4588
3.2234 1.85 1.3107
2.6211 1.86 0.9859
2.5097 1.87 0.7433
2.6109 1.88 0.5323
2.4057 1.89 0.3303
1.9142 1.9 0.2703
1.8383 1.91 0.3202
1.6243 1.92 0.399
1.1611 1.93 0.5917
1.0958 1.94 0.8059
0.8409 1.95 1.1103
0.6225 1.96 1.3686
0.4575 1.97 1.5774
