#y1 y2 y4 y3 time
0.9242 0.161 0.8128 0.8099 0.01
1.1494 0.3103 1.408 1.2793 0.02
0.771 0.4451 1.0769 1.0774 0.03
-0.0212 0.5465 0.5293 0.4617 0.04
-0.4932 0.7227 -0.0065 -0.1157 0.05
-0.2697 0.9331 -0.1655 -0.1362 0.06
0.6341 0.9546 0.2564 0.4276 0.07
1.6052 1.0225 0.9837 1.3607 0.08
1.6133 1.179 1.6311 1.8697 0.09
1.4468 1.2718 2.1041 2.1099 0.1
0.5715 1.3904 1.872 1.2678 0.11
0.041 1.4054 1.1261 0.6109 0.12
0.2001 1.6451 0.3196 0.0772 0.13
1.0354 1.5304 0.0259 0.1937 0.14
1.8481 1.6332 0.2961 0.7569 0.15
2.1141 1.5724 0.9186 1.4488 0.16
1.8588 1.5529 1.6303 1.5783 0.17
0.9582 1.7361 1.6707 1.3247 0.18
0.2643 1.5897 1.2046 0.4584 0.19
0.3284 1.7435 0.3046 -0.4303 0.2
1.0492 1.5555 -0.4908 -0.7724 0.21
1.7333 1.6452 -0.7924 -0.5089 0.22
2.0426 1.44 -0.67 0.1661 0.23
1.5745 1.3885 -0.0097 0.7208 0.24
0.8438 1.3433 0.5329 0.6853 0.25
0.0905 1.2196 0.5681 -0.0006 0.26
0.0602 1.1572 0.131 -0.8831 0.27
0.635 1.1435 -0.6924 -1.4205 0.28
1.6008 1.0654 -1.5036 -1.5194 0.29
1.6767 1.0237 -1.4924 -1.0347 0.3
1.2446 0.83 -1.3183 -0.1605 0.31
0.4729 0.8462 -0.4914 0.2749 0.32
-0.3276 0.7062 0.13 0.0974 0.33
-0.4362 0.7199 0.3816 -0.5921 0.34
0.1201 0.6425 -0.0066 -1.2595 0.35
0.8307 0.6118 -0.7194 -1.5458 0.36
1.1978 0.5849 -1.2104 -1.1414 0.37
0.8022 0.5394 -1.1939 -0.153 0.38
-0.0478 0.5301 -0.7356 0.707 0.39
-0.7848 0.5512 0.1773 1.053 0.4
-1.081 0.5667 1.0138 0.7167 0.41
-0.4943 0.4918 1.1406 0.061 0.42
0.3483 0.5337 0.952 -0.4432 0.43
0.7208 0.5684 0.3471 -0.3288 0.44
0.4242 0.6865 -0.1121 0.4273 0.45
-0.4474 0.6522 -0.1004 1.3219 0.46
-1.1206 0.8701 0.4409 1.9919 0.47
-1.2939 0.845 1.2679 2.1184 0.48
-0.8042 0.9521 2.1679 1.6218 0.49
0.0034 1.1003 2.3955 0.7855 0.5
0.4957 1.1725 1.8519 0.3832 0.51
0.2538 1.3192 1.1514 0.7211 0.52
-0.5505 1.5282 0.6238 1.3477 0.53
-1.1559 1.5658 0.5886 2.3298 0.54
-1.5077 1.4949 1.0696 2.3612 0.55
-0.9184 1.648 1.6869 1.9661 0.56
0.0145 1.8792 2.4675 1.1634 0.57
0.6036 2.0693 2.0777 0.4093 0.58
0.4212 2.2312 1.6706 0.1538 0.59
-0.2569 2.2645 0.9275 0.5072 0.6
-1.0361 2.3602 0.1437 1.293 0.61
-1.0323 2.267 -0.037 1.545 0.62
-0.5322 2.4576 0.3031 1.5479 0.63
0.3678 2.5762 0.9085 0.8424 0.64
1.0754 2.832 1.4505 -0.1323 0.65
1.0225 2.6926 1.2649 -0.79 0.66
0.3063 2.7647 0.6042 -0.8269 0.67
-0.3452 2.9114 -0.2122 -0.1974 0.68
-0.5544 2.739 -0.8265 0.4956 0.69
0.0007 2.7296 -1.0274 0.7076 0.7
1.0414 2.8919 -0.5416 0.4068 0.71
1.5036 2.7416 0.103 -0.3519 0.72
1.5862 2.8945 0.6377 -1.1455 0.73
1.0791 2.6994 0.6465 -1.411 0.74
0.3121 2.6449 0.0755 -1.0095 0.75
0.0973 2.8846 -0.6908 -0.1514 0.76
0.6195 2.8231 -1.1224 0.632 0.77
1.4914 2.4253 -1.2124 0.7704 0.78
2.3075 2.4155 -0.5382 0.3555 0.79
2.234 2.7257 0.3685 -0.3377 0.8
1.6745 2.3539 1.0271 -0.7264 0.81
0.8877 2.224 1.1538 -0.6639 0.82
0.5993 2.2653 0.6189 0.1355 0.83
0.9867 2.2291 0.0596 1.1861 0.84
1.9625 1.7565 -0.2843 1.8938 0.85
2.5777 1.7989 -0.1346 1.6482 0.86
2.865 1.5981 0.626 1.2455 0.87
2.1686 1.5624 1.391 0.5494 0.88
1.1575 1.5761 2.2131 0.2977 0.89
0.778 1.3112 2.3117 0.7803 0.9
1.1248 1.2231 1.8558 1.5452 0.91
1.8635 1.0464 1.1771 2.4827 0.92
2.5506 1.1166 0.7578 2.4798 0.93
2.6937 0.929 0.8209 2.4827 0.94
1.8808 1.0017 1.6127 1.56 0.95
1.1047 0.9041 2.095 0.8945 0.96
0.5453 0.8409 2.4982 0.8105 0.97
0.8627 0.8314 2.4361 1.2472 0.98
1.4726 0.7361 1.9425 2.001 0.99
2.4103 0.7502 1.1452 2.48 1.0
2.3571 0.6881 0.7373 2.503 1.01
1.5921 0.6849 0.6999 1.7141 1.02
0.6235 0.7032 1.123 0.6925 1.03
0.1162 0.8468 1.7633 0.1065 1.04
0.311 0.7825 2.2888 0.1802 1.05
1.0902 0.9509 1.9591 0.7542 1.06
1.6406 0.944 1.1416 1.4279 1.07
1.7428 1.0493 0.2708 1.465 1.08
1.2155 1.0895 -0.3223 1.0539 1.09
0.1719 1.1196 -0.3514 0.1773 1.1
-0.4317 1.3597 0.1577 -0.6854 1.11
-0.3278 1.4209 0.8647 -1.0077 1.12
0.3556 1.3005 1.1502 -0.5835 1.13
1.018 1.5577 0.8274 0.2153 1.14
1.1326 1.5247 0.2154 0.8003 1.15
0.5973 1.6484 -0.6561 0.7614 1.16
-0.244 1.7424 -1.0913 0.2517 1.17
-0.8949 1.8844 -0.8197 -0.5733 1.18
-0.7033 1.8599 -0.2456 -1.0164 1.19
-0.0357 1.7327 0.5259 -0.9008 1.2
0.7741 1.7698 0.9174 -0.0981 1.21
1.0146 1.9379 0.8469 0.8246 1.22
