#time y2 y1
0.01 0.4048 0.1375
0.02 0.7238 0.2579
0.03 1.2129 0.4105
0.04 1.5219 0.5307
0.05 1.452 0.5787
0.06 1.5753 0.7102
0.07 1.822 0.9148
0.08 1.4208 0.9958
0.09 1.3281 1.1174
0.1 1.2109 1.1028
0.11 1.0162 1.3156
0.12 0.7342 1.2607
0.13 0.4878 1.4026
0.14 0.3251 1.5151
0.15 0.187 1.4951
0.16 0.1267 1.3547
0.17 0.1466 1.3972
0.18 0.2297 1.4955
0.19 0.4239 1.3505
0.2 0.6463 1.589
0.21 0.8755 1.2798
0.22 1.0078 1.4297
0.23 1.2978 1.2613
0.24 1.3398 1.3083
0.25 1.4588 1.2052
0.26 1.3575 1.1088
0.27 1.4529 1.2006
0.28 1.2306 0.9833
0.29 0.8882 0.9844
0.3 0.6511 0.8479
0.31 0.3067 0.8617
0.32 -0.1091 0.6664
0.33 -0.5264 0.5719
0.34 -0.8691 0.5313
0.35 -1.098 0.4554
0.36 -1.3426 0.4312
0.37 -1.4169 0.3786
0.38 -1.5112 0.3201
0.39 -1.5283 0.2508
0.4 -1.3027 0.2022
0.41 -1.0181 0.1778
0.42 -0.7709 0.178
0.43 -0.4382 0.1712
0.44 -0.169 0.1609
0.45 0.1359 0.1595
0.46 0.3973 0.1762
0.47 0.5419 0.2226
0.48 0.662 0.2655
0.49 0.7988 0.3174
0.5 0.6275 0.3956
0.51 0.6048 0.4297
0.52 0.481 0.5088
0.53 0.28 0.6107
0.54 0.1044 0.657
0.55 -0.0508 0.7797
0.56 -0.1759 0.8137
0.57 -0.2407 0.956
0.58 -0.2082 1.1048
0.59 -0.1033 1.3163
0.6 0.0658 1.3523
0.61 0.3459 1.3726
0.62 0.6 1.7417
0.63 0.9009 1.5404
0.64 1.4988 1.8094
0.65 1.8564 1.9988
0.66 2.2273 2.0826
0.67 2.401 2.0549
0.68 2.7736 2.2194
0.69 2.78 2.1693
0.7 2.6472 2.2854
0.71 2.4603 2.6128
0.72 2.4174 2.2694
0.73 2.2013 2.5466
0.74 1.7417 2.4472
0.75 1.4315 2.585
0.76 1.2301 2.3447
0.77 0.8722 2.3723
0.78 0.4961 2.7714
0.79 0.3181 2.3613
0.8 0.1868 2.5338
0.81 0.1278 2.6141
0.82 0.13 2.5982
0.83 0.2328 2.2167
0.84 0.3784 2.2247
0.85 0.5762 2.301
0.86 0.7176 1.9957
0.87 0.8644 1.8435
0.88 1.0996 1.8994
0.89 1.0598 1.6769
0.9 1.0915 1.5582
0.91 0.9995 1.4762
0.92 0.9553 1.4429
0.93 0.7548 1.4296
0.94 0.4515 1.389
0.95 0.207 1.1075
0.96 -0.1138 1.1136
0.97 -0.4189 0.9769
0.98 -0.6403 0.8776
0.99 -0.9608 0.8786
1.0 -1.1172 0.8638
1.01 -1.0624 0.7844
1.02 -1.0067 0.6452
1.03 -0.797 0.602
1.04 -0.658 0.6261
1.05 -0.3151 0.5816
1.06 0.0252 0.5062
1.07 0.3916 0.5346
1.08 0.7729 0.5326
1.09 1.1088 0.5281
1.1 1.4163 0.6616
1.11 1.7233 0.6377
1.12 1.749 0.7516
1.13 2.0777 0.6797
1.14 1.9478 0.7801
1.15 1.8817 0.8423
1.16 1.8475 1.002
1.17 1.6973 0.9836
1.18 1.4096 1.0167
1.19 1.2326 1.1343
1.2 1.0514 1.3638
1.21 0.9459 1.3188
1.22 0.8288 1.5166
1.23 0.9379 1.4907
1.24 0.8954 1.7269
1.25 1.1859 1.6341
1.26 1.3546 1.8764
1.27 1.5564 2.0178
1.28 1.9674 1.8114
1.29 2.0748 1.8684
1.3 2.3353 1.9884
1.31 2.6441 2.023
1.32 2.6865 2.3116
1.33 2.7311 1.9729
1.34 2.8473 2.2331
1.35 2.2328 2.2854
1.36 2.1287 2.1159
1.37 1.987 1.9737
1.38 1.3708 2.3143
1.39 1.0417 2.1368
1.4 0.6186 2.0263
1.41 0.3017 1.8602
1.42 -0.0185 2.0438
1.43 -0.2837 1.7101
1.44 -0.3861 1.8054
1.45 -0.4791 1.5361
1.46 -0.4471 1.4579
1.47 -0.3563 1.5337
1.48 -0.1701 1.3556
1.49 0.0387 1.263
1.5 0.2489 1.1366
1.51 0.4931 0.9047
1.52 0.6441 0.7829
1.53 0.8123 0.6865
1.54 0.8969 0.5743
1.55 0.9914 0.5105
1.56 0.9033 0.4313
1.57 0.759 0.2718
1.58 0.6642 0.195
1.59 0.4812 0.0848
1.6 0.2421 -0.0036
1.61 0.0124 -0.0788
1.62 -0.1601 -0.1555
1.63 -0.3279 -0.212
1.64 -0.353 -0.2925
1.65 -0.3677 -0.3061
1.66 -0.2713 -0.3656
1.67 -0.0487 -0.3697
1.68 0.2254 -0.3527
1.69 0.5894 -0.3751
1.7 0.8612 -0.3446
1.71 1.3856 -0.3387
1.72 1.5744 -0.301
1.73 2.1378 -0.2535
1.74 2.4735 -0.2065
1.75 2.8202 -0.1793
1.76 2.8749 -0.1046
1.77 2.8931 -0.0368
1.78 2.9394 0.041
1.79 2.573 0.1122
1.8 2.3666 0.1898
1.81 1.9597 0.2855
1.82 1.8341 0.4051
1.83 1.4266 0.5092
1.84 1.2924 0.5412
1.85 0.9975 0.7016
