#y3 y2 time y1
0.8227 0.2704 0.01 0.2142
1.5222 0.5175 0.02 0.4032
1.6569 0.7334 0.03 0.6715
1.9113 1.0443 0.04 0.8331
1.5129 1.077 0.05 0.9468
1.2363 1.2586 0.06 1.062
0.7511 1.3775 0.07 1.277
0.6015 1.357 0.08 1.2658
0.497 1.1556 0.09 1.3319
0.659 1.1734 0.1 1.3029
0.9763 1.0256 0.11 1.1653
1.3518 0.9045 0.12 1.2564
1.813 0.6889 0.13 1.1416
1.8357 0.5199 0.14 1.1174
1.4254 0.3044 0.15 0.8526
1.0913 0.1318 0.16 0.7248
0.4251 0.0086 0.17 0.5756
-0.2739 -0.0869 0.18 0.4813
-0.7734 -0.1357 0.19 0.3193
-1.0174 -0.1444 0.2 0.1715
-0.9376 -0.085 0.21 0.0584
-0.4503 0.0143 0.22 -0.0398
0.1702 0.1715 0.23 -0.1003
0.8515 0.3785 0.24 -0.1648
1.1877 0.5925 0.25 -0.1643
1.5482 0.7784 0.26 -0.1522
1.5535 1.1561 0.27 -0.0967
1.2362 1.2995 0.28 -0.0034
0.9219 1.5463 0.29 0.112
0.6534 1.6827 0.3 0.272
0.5269 2.1385 0.31 0.3848
0.5783 2.1261 0.32 0.5859
0.9156 2.5017 0.33 0.7772
1.6511 2.2993 0.34 1.0183
1.9042 2.3328 0.35 1.0997
2.1576 2.2708 0.36 1.4616
2.5292 2.128 0.37 1.6326
2.099 1.872 0.38 1.7072
1.5916 1.9158 0.39 1.9131
0.8428 1.5024 0.4 2.0103
0.0551 1.4609 0.41 2.1568
-0.596 1.258 0.42 2.237
-1.0847 1.1493 0.43 2.0402
-1.0737 0.8644 0.44 2.3985
-0.9748 0.7967 0.45 2.1434
-0.6602 0.6669 0.46 2.0726
-0.3529 0.6816 0.47 1.9112
-0.1803 0.7571 0.48 2.0081
-0.2353 0.7859 0.49 1.6658
-0.5596 0.9964 0.5 1.4688
-1.0584 1.0187 0.51 1.5145
-1.3685 1.3626 0.52 1.3681
-1.7568 1.4992 0.53 1.2324
-2.0155 1.8226 0.54 0.9459
-1.832 2.0319 0.55 0.8436
-1.4078 2.3319 0.56 0.7202
-0.5507 2.4671 0.57 0.5464
0.0961 2.55 0.58 0.4846
0.5925 2.9797 0.59 0.5103
0.9132 3.1052 0.6 0.4512
0.8635 2.8577 0.61 0.4545
0.5767 2.8927 0.62 0.5761
0.0249 2.9226 0.63 0.5825
-0.5785 2.515 0.64 0.7056
-1.0202 2.3701 0.65 0.8996
-1.1361 2.1651 0.66 1.0809
-1.1349 1.8543 0.67 1.2056
-0.8675 1.8906 0.68 1.2827
-0.5831 1.5589 0.69 1.5479
-0.2956 1.4102 0.7 1.8871
-0.2297 1.0672 0.71 1.9058
-0.4317 0.9285 0.72 2.0212
-0.8655 1.0065 0.73 2.3
-1.5356 0.792 0.74 2.4697
-2.0053 0.9302 0.75 2.137
-2.8637 0.8926 0.76 2.3604
-2.8604 0.9583 0.77 2.2231
-2.4484 1.2173 0.78 2.1926
-2.2946 1.4464 0.79 2.5754
-1.6804 1.4612 0.8 2.0671
-0.7984 1.6634 0.81 2.014
-0.1787 2.1416 0.82 1.8861
0.2066 2.0447 0.83 1.7071
0.2798 2.2734 0.84 1.8535
0.1883 2.3259 0.85 1.3753
-0.078 2.5702 0.86 1.248
-0.2975 2.6379 0.87 1.1562
-0.4292 2.7808 0.88 0.9347
-0.2544 2.8674 0.89 0.7944
0.1439 2.7404 0.9 0.6353
0.6441 2.5948 0.91 0.5055
1.2713 2.0581 0.92 0.3459
1.8242 2.051 0.93 0.2811
1.7838 1.6264 0.94 0.2509
1.7891 1.453 0.95 0.2239
1.4751 1.1967 0.96 0.2293
0.8211 0.9716 0.97 0.3055
0.074 0.7278 0.98 0.3803
-0.5516 0.6048 0.99 0.4773
-0.8005 0.4402 1.0 0.6109
-0.822 0.4289 1.01 0.7686
-0.6212 0.3565 1.02 0.9333
-0.1291 0.4002 1.03 1.0377
0.3119 0.497 1.04 1.1448
0.7245 0.6459 1.05 1.4004
0.897 0.8374 1.06 1.576
0.6977 0.9801 1.07 1.6384
0.44 1.1921 1.08 1.7492
0.0874 1.2698 1.09 1.6577
-0.2012 1.472 1.1 1.7316
-0.2376 1.8683 1.11 1.9072
-0.0278 1.9435 1.12 1.7786
0.467 1.95 1.13 1.6899
1.2198 2.0578 1.14 1.8749
1.8291 2.1298 1.15 1.6309
2.5989 1.8736 1.16 1.4773
2.9047 1.8097 1.17 1.2659
2.5651 1.5057 1.18 1.1128
2.3151 1.4422 1.19 0.8782
2.0855 1.1326 1.2 0.7174
1.2664 0.8467 1.21 0.4538
0.8327 0.6139 1.22 0.3015
0.5063 0.3241 1.23 0.1093
0.39 0.0787 1.24 -0.0507
0.6289 -0.1358 1.25 -0.2167
0.9206 -0.2981 1.26 -0.3132
1.0216 -0.408 1.27 -0.4228
1.107 -0.5432 1.28 -0.4448
0.9539 -0.5041 1.29 -0.5276
0.493 -0.4663 1.3 -0.4511
-0.159 -0.4301 1.31 -0.4425
-0.8109 -0.2889 1.32 -0.355
-1.5768 -0.1609 1.33 -0.2767
-1.864 0.0237 1.34 -0.1527
-1.6275 0.2323 1.35 -0.0271
-1.2928 0.3719 1.36 0.1266
-0.8012 0.6232 1.37 0.2634
-0.1464 0.7831 1.38 0.446
0.4375 0.7956 1.39 0.6466
0.8018 0.9527 1.4 0.834
0.7791 1.01 1.41 0.8128
0.5786 0.9092 1.42 1.0796
0.1774 0.9177 1.43 1.167
-0.2323 0.7695 1.44 1.1644
-0.5759 0.6079 1.45 1.2775
-0.6635 0.4139 1.46 1.1572
-0.4276 0.1597 1.47 1.2232
-0.0751 -0.0964 1.48 1.1449
0.3375 -0.3824 1.49 0.9906
0.6605 -0.5947 1.5 0.8955
0.807 -0.8048 1.51 0.6599
0.6353 -0.9984 1.52 0.4813
0.105 -1.1742 1.53 0.3321
-0.6265 -1.3202 1.54 0.1474
-1.4573 -1.3184 1.55 -0.0493
-1.9897 -1.4768 1.56 -0.2503
-2.481 -1.5427 1.57 -0.4087
-2.6758 -1.4132 1.58 -0.638
-2.2971 -1.2771 1.59 -0.7196
-1.8354 -1.075 1.6 -0.7963
-1.5519 -0.8521 1.61 -0.9612
-1.1579 -0.6645 1.62 -0.8851
-0.942 -0.4329 1.63 -1.0556
-1.0246 -0.268 1.64 -1.0125
-1.2681 -0.0871 1.65 -1.0027
-1.4742 0.0491 1.66 -0.8625
-1.7089 0.159 1.67 -0.6997
-1.9945 0.1803 1.68 -0.564
-1.6799 0.1922 1.69 -0.4262
-1.0698 0.1181 1.7 -0.3088
-0.5143 0.0216 1.71 -0.1177
0.261 -0.1487 1.72 0.065
1.0084 -0.361 1.73 0.2441
1.2766 -0.5385 1.74 0.4323
1.5095 -0.8434 1.75 0.5656
