#y1 time y3 y4 y2 y5
0.4143 0.01 0.482 0.7333 0.2512 0.5672
0.7877 0.02 0.8484 1.5039 0.4895 0.9729
1.1576 0.03 1.1998 1.6608 0.6571 1.293
1.4693 0.04 1.2968 1.6356 0.8931 0.9461
1.6506 0.05 1.179 1.1498 1.0709 0.715
1.9994 0.06 0.9489 0.5766 1.1922 0.1606
1.8798 0.07 0.5528 0.1805 1.452 -0.2551
1.9939 0.08 0.264 0.0315 1.5025 -0.476
1.9611 0.09 -0.0858 0.1755 1.5061 -0.3482
1.9744 0.1 -0.33 0.558 1.6459 -0.0056
1.8548 0.11 -0.401 0.9474 1.7442 0.6058
1.5767 0.12 -0.2713 1.2244 1.6115 1.0541
1.3733 0.13 -0.0406 1.1068 1.5831 1.5743
0.9258 0.14 0.369 0.8069 1.5 1.8664
0.5489 0.15 0.7595 0.1426 1.3208 1.8327
0.2498 0.16 1.3521 -0.7094 1.2014 1.3849
-0.0767 0.17 1.7704 -1.4132 1.2204 1.0148
-0.4399 0.18 1.9505 -1.7141 1.009 0.4943
-0.6648 0.19 2.1796 -1.7832 0.924 0.1812
-0.981 0.2 1.7615 -1.3648 0.6897 0.2162
-1.1072 0.21 1.7319 -0.7333 0.6839 0.5323
-1.3373 0.22 1.2935 -0.041 0.5114 1.0421
-1.4604 0.23 1.0521 0.447 0.4351 1.6191
-1.3831 0.24 0.6832 0.5785 0.3967 2.2449
-1.2582 0.25 0.4479 0.5021 0.3875 2.4969
-1.4008 0.26 0.3328 0.1575 0.3906 2.5358
-1.221 0.27 0.4206 -0.1811 0.4025 1.9463
-0.851 0.28 0.6991 -0.3069 0.4032 1.4863
-0.6605 0.29 0.9535 -0.1832 0.5257 1.1208
-0.3964 0.3 1.3336 0.2824 0.6398 0.6852
-0.1157 0.31 2.0521 0.9426 0.8424 0.7159
0.1641 0.32 2.1611 1.7716 0.9117 0.9788
0.4139 0.33 2.63 2.0651 1.0124 1.2387
0.7513 0.34 2.6066 2.5292 1.3925 1.8044
0.9271 0.35 2.5717 1.8868 1.552 2.43
1.13 0.36 2.083 1.3898 1.772 2.6176
1.2209 0.37 1.8519 0.6811 1.8629 2.5697
1.4686 0.38 1.6302 0.0013 1.9699 2.7091
1.6469 0.39 1.1452 -0.3931 2.0751 2.0713
1.6274 0.4 0.8854 -0.4913 2.3773 1.4452
1.4551 0.41 0.7743 -0.3271 2.2195 1.1051
1.3483 0.42 0.8204 0.0605 2.2869 0.9034
1.3372 0.43 1.1483 0.4168 2.3005 1.1648
1.2907 0.44 1.5201 0.557 2.5725 1.4448
1.0229 0.45 1.7666 0.4299 2.3168 2.1357
0.839 0.46 2.2753 -0.0246 2.4307 2.6787
0.7213 0.47 2.7507 -0.5715 2.2694 2.7358
0.6095 0.48 2.5992 -1.1535 2.4488 3.1602
0.4964 0.49 2.9805 -1.2263 2.3292 2.5257
0.3373 0.5 2.9513 -1.1629 1.9879 2.4149
0.2391 0.51 2.4663 -0.7214 1.8777 1.8354
0.1464 0.52 2.2185 0.1163 1.6989 1.1967
0.1014 0.53 1.777 0.8778 1.2676 1.0561
0.0723 0.54 1.5352 1.5404 1.2929 1.1241
0.0773 0.55 1.2182 2.0106 1.0375 1.3618
0.1236 0.56 0.9142 1.8997 0.7335 1.8485
0.1739 0.57 1.0436 1.6419 0.6663 2.2424
0.2369 0.58 1.1543 1.0277 0.4869 2.6954
0.3093 0.59 1.6254 0.7078 0.3271 3.0793
0.3732 0.6 1.9963 0.5925 0.2203 2.5748
0.4046 0.61 2.4882 0.636 0.1229 2.2582
0.5037 0.62 2.6664 1.0597 0.066 1.7228
0.5525 0.63 2.9869 1.5092 0.037 1.126
0.6159 0.64 2.6524 1.9775 0.0522 0.7666
0.6343 0.65 2.5459 1.7598 0.085 0.8037
0.6403 0.66 2.6843 1.4517 0.1574 0.9874
0.644 0.67 2.3088 0.8587 0.2168 1.6384
0.512 0.68 1.855 0.1308 0.3674 2.0758
0.47 0.69 1.2171 -0.6149 0.45 2.2494
0.4134 0.7 0.9962 -1.0694 0.6223 2.452
0.429 0.71 0.8594 -1.1745 0.6719 2.294
0.3517 0.72 0.7974 -0.8607 0.7812 2.0148
0.2745 0.73 1.0881 -0.3481 1.0306 1.4165
0.242 0.74 1.2294 0.2429 1.0916 0.7558
0.2489 0.75 1.787 0.7348 1.2859 0.4253
0.2486 0.76 1.9645 0.8483 1.3376 0.3008
0.2885 0.77 2.3577 0.7389 1.3841 0.4549
0.3054 0.78 2.6949 0.4533 1.3972 0.84
0.3881 0.79 2.667 0.0744 1.4001 1.5097
0.5043 0.8 2.6437 -0.1179 1.4299 1.7887
0.7078 0.81 2.3582 -0.0011 1.2475 2.0885
0.7769 0.82 1.8207 0.4652 1.3529 1.894
0.9663 0.83 1.2222 1.0259 1.1507 1.5664
1.1717 0.84 0.8116 1.9903 0.9918 0.8896
1.4727 0.85 0.5794 2.5993 0.824 0.3651
1.6324 0.86 0.3322 2.5216 0.6229 -0.0849
1.6278 0.87 0.3502 2.7484 0.4931 -0.2885
1.8412 0.88 0.4725 2.2015 0.2556 -0.1547
1.8845 0.89 0.7468 1.2693 0.0592 0.1906
1.8637 0.9 1.0274 0.6515 -0.1317 0.6351
1.7817 0.91 1.4161 0.2159 -0.2915 1.1013
1.8436 0.92 1.6489 0.0888 -0.487 1.2798
1.8982 0.93 1.9269 0.2387 -0.6621 1.3973
1.6262 0.94 1.9475 0.6626 -0.8233 1.0723
1.4029 0.95 1.7635 1.0202 -0.9115 0.4404
1.2909 0.96 1.3867 1.0854 -0.9049 -0.1976
1.0861 0.97 1.131 0.9874 -0.9042 -0.7481
0.7341 0.98 0.6183 0.4908 -1.0755 -0.9218
0.4389 0.99 0.174 -0.1123 -0.9619 -0.9488
0.2072 1.0 -0.156 -0.7396 -0.9322 -0.6198
-0.0591 1.01 -0.3435 -1.0979 -0.8959 -0.1101
-0.3219 1.02 -0.3877 -1.0486 -0.6488 0.3219
-0.5456 1.03 -0.2793 -0.6409 -0.5238 0.5995
-0.6737 1.04 -0.0055 0.1301 -0.4272 0.7312
-0.7856 1.05 0.3097 0.9193 -0.2181 0.4088
-0.7643 1.06 0.731 1.5552 -0.0369 -0.1231
-0.8454 1.07 1.0724 2.0389 0.1575 -0.6839
-0.6432 1.08 1.0646 1.8764 0.3174 -1.3291
-0.5668 1.09 1.2525 1.867 0.4957 -1.7258
-0.3067 1.1 1.0957 1.4661 0.738 -1.6107
