#y3 y4 y2 time y1
0.3939 0.4471 0.3568 0.01 0.2932
0.8107 0.7824 0.5855 0.02 0.6208
1.1152 1.1598 0.9369 0.03 0.79
1.2788 1.4131 1.1299 0.04 1.067
1.32 1.9288 1.1989 0.05 1.4262
1.1163 2.077 1.1201 0.06 1.7009
1.0818 1.7875 1.1073 0.07 1.8019
0.8321 2.106 0.9715 0.08 1.9704
0.5027 1.8412 0.7246 0.09 1.8827
0.2 1.5646 0.5354 0.1 1.9774
-0.018 1.3731 0.2491 0.11 2.1027
-0.1101 1.2441 -0.0021 0.12 1.7963
-0.0856 0.9966 -0.2205 0.13 1.6962
0.0627 0.7841 -0.3513 0.14 1.6433
0.3688 0.5263 -0.4747 0.15 1.6532
0.6553 0.374 -0.4934 0.16 1.2991
1.05 0.2793 -0.3601 0.17 1.4091
1.6509 0.2205 -0.2294 0.18 1.1819
1.7121 0.2513 0.033 0.19 0.9826
2.2005 0.3512 0.2941 0.2 0.8357
2.4155 0.4217 0.6009 0.21 0.7827
2.454 0.5814 0.9349 0.22 0.7138
2.0081 0.7274 1.2393 0.23 0.6028
1.7663 0.902 1.4185 0.24 0.6601
1.5611 1.1059 1.5817 0.25 0.5967
1.2529 1.2585 1.7553 0.26 0.6415
0.8051 1.1035 1.9156 0.27 0.7452
0.6043 1.2674 1.8318 0.28 0.817
0.4714 1.0421 1.6167 0.29 1.0905
0.4854 0.9426 1.5083 0.3 1.1654
0.52 0.7322 1.2844 0.31 1.2779
0.8223 0.4672 0.8772 0.32 1.4547
1.1854 0.216 0.7074 0.33 1.7339
1.4271 -0.049 0.4717 0.34 1.5633
1.6527 -0.2978 0.3067 0.35 1.9567
2.0018 -0.6097 0.1654 0.36 1.982
2.4631 -0.8036 0.1421 0.37 1.9165
2.1439 -0.838 0.2061 0.38 1.9786
2.2846 -0.9819 0.369 0.39 2.129
2.223 -0.8855 0.5764 0.4 2.1803
1.9373 -0.6918 0.8007 0.41 1.7925
1.4637 -0.4666 1.0694 0.42 1.7019
1.0362 -0.2331 1.6181 0.43 1.6837
0.6348 0.1268 1.6118 0.44 1.345
0.3273 0.5468 1.8685 0.45 1.1926
0.1395 0.8951 2.0855 0.46 1.0867
0.0517 1.4352 2.3414 0.47 0.8209
0.1239 1.7876 2.5252 0.48 0.5369
0.269 1.8595 2.4768 0.49 0.2396
0.5747 2.2001 2.1885 0.5 -0.0072
0.8048 2.6807 1.9241 0.51 -0.2164
1.2826 2.8417 1.8249 0.52 -0.4567
1.4434 2.5705 1.5937 0.53 -0.6424
1.6151 2.4738 1.3152 0.54 -0.8054
1.5175 2.6552 0.8795 0.55 -0.8378
1.6895 2.0505 0.737 0.56 -0.8519
1.3222 1.9332 0.5679 0.57 -0.9223
1.0236 1.7139 0.5681 0.58 -1.0188
0.6023 1.3593 0.6099 0.59 -0.8535
0.2464 1.1267 0.7615 0.6 -0.7235
