#y3 time y5 y2 y1 y4 y6
0.994 0.01 1.2448 0.214 0.5747 0.1454 0.1907
0.3512 0.02 0.8023 0.4861 1.1418 0.287 0.3683
1.7025 0.03 -0.2091 0.6871 1.3416 0.407 0.5874
-0.3576 0.04 0.2362 0.8531 1.4147 0.5309 0.6824
1.1254 0.05 1.7822 1.1606 1.0933 0.7117 0.9855
-1.4206 0.06 1.8895 1.3135 0.6387 0.8813 1.0646
-0.1209 0.07 0.8369 1.5598 0.2529 0.8555 1.2344
-1.0928 0.08 0.3032 1.6413 -0.0301 1.0268 1.3252
-0.1849 0.09 1.4642 1.8172 -0.1115 1.1424 1.43
0.6733 0.1 2.4354 1.7586 0.037 1.3001 1.5386
0.4118 0.11 1.3837 1.854 0.3954 1.399 1.6303
2.3186 0.12 0.1873 1.9573 0.9286 1.4352 1.8103
0.2642 0.13 0.4331 2.1213 1.4731 1.394 1.8085
1.6524 0.14 1.7358 2.0189 1.9974 1.3241 2.0732
-0.6882 0.15 1.4 1.8308 1.9376 1.4282 2.342
0.4047 0.16 -0.0115 1.8696 2.1568 1.4158 2.4088
-0.9818 0.17 -0.5397 1.659 1.7816 1.4035 2.2531
-0.2473 0.18 0.4215 1.8521 1.2807 1.4592 2.218
0.384 0.19 1.1227 1.5466 0.7592 1.3354 2.4622
0.2719 0.2 0.023 1.649 0.2955 1.5164 2.464
2.1897 0.21 -1.0315 1.4251 0.0537 1.2832 2.2952
0.5955 0.22 -0.6386 1.3502 0.0406 1.3607 2.4117
2.4022 0.23 0.5704 1.2082 0.2926 1.3107 2.4779
-0.023 0.24 0.4656 0.8742 0.7019 1.1047 2.4811
0.9751 0.25 -0.8162 0.7932 1.1245 1.0803 2.3747
-0.6171 0.26 -0.9965 0.6066 1.524 1.0904 2.2727
-0.1608 0.27 0.3346 0.4987 1.4876 0.9506 2.396
0.1857 0.28 1.2077 0.3524 1.5654 0.7968 2.0366
0.0023 0.29 0.362 0.2136 1.1579 0.8236 2.1218
2.0061 0.3 -0.3904 0.092 0.5528 0.7611 2.0588
0.7255 0.31 0.4464 -0.0148 0.0045 0.6529 2.087
2.5453 0.32 1.873 -0.1172 -0.5366 0.5695 1.9833
0.5872 0.33 1.7776 -0.1743 -0.7983 0.5152 1.6439
