#y1 y2 y3 time
0.3649 0.1958 -0.6302 0.01
0.749 0.3808 0.9611 0.02
1.0581 0.6024 1.7096 0.03
1.1395 0.7713 0.5108 0.04
1.231 0.9052 0.3792 0.05
1.0458 1.1302 1.8369 0.06
0.8411 1.1238 1.4559 0.07
0.6177 1.1731 -0.153 0.08
0.2631 1.3529 0.1725 0.09
-0.0284 1.2773 1.0931 0.1
-0.2862 1.4133 -0.0774 0.11
-0.4845 1.3241 -1.2441 0.12
-0.5573 1.3684 -0.3073 0.13
-0.4872 1.1913 0.2899 0.14
-0.3427 1.2434 -1.2309 0.15
-0.0901 1.1572 -1.2693 0.16
0.2278 0.8919 0.3844 0.17
0.6272 0.8077 0.5983 0.18
0.902 0.7395 -0.6299 0.19
1.3869 0.6262 0.2971 0.2
1.4251 0.4767 1.9639 0.21
1.7007 0.3632 1.318 0.22
1.5646 0.2571 0.4139 0.23
1.6613 0.1537 1.852 0.24
1.3159 0.0695 2.3608 0.25
1.1976 0.022 1.0355 0.26
0.7919 -0.0068 0.473 0.27
0.514 -0.0123 1.7958 0.28
0.2524 0.0086 1.2343 0.29
0.045 0.0549 -0.441 0.3
-0.0261 0.1272 -0.1967 0.31
0.0204 0.2312 0.8584 0.32
0.187 0.3416 -0.0976 0.33
0.4504 0.5324 -1.1273 0.34
0.854 0.6331 -0.0008 0.35
1.2279 0.8602 0.9694 0.36
1.6322 1.0528 -0.2389 0.37
1.6824 1.1025 -0.3148 0.38
2.2075 1.4866 1.3737 0.39
2.2026 1.4817 1.7115 0.4
2.3594 1.581 0.6239 0.41
2.2276 1.8964 1.2644 0.42
1.8759 2.2333 2.8904 0.43
1.6831 2.2664 2.0467 0.44
1.1514 2.1848 0.8288 0.45
0.9445 2.4733 1.8669 0.46
0.644 2.4632 2.4693 0.47
0.516 2.2711 0.7155 0.48
0.3623 2.6676 0.0501 0.49
0.4312 2.2984 1.2541 0.5
0.617 2.3917 0.9087 0.51
0.8509 2.5363 -0.7602 0.52
1.2808 2.2608 -0.4085 0.53
