#y4 time y3 y2 y1
-0.7422 0.01 0.3567 1.0093 1.1152
1.0928 0.02 0.6878 1.5367 1.2966
0.706 0.03 1.0082 1.5281 0.6396
-0.4305 0.04 1.1494 0.9186 -0.0866
1.2711 0.05 1.4156 0.3387 0.0745
1.2337 0.06 1.6598 0.1972 1.1053
-0.1192 0.07 1.5911 0.6109 1.8352
1.2535 0.08 1.8378 1.3171 1.9555
1.6416 0.09 1.8329 1.6123 1.0262
0.1304 0.1 1.8693 1.2731 0.029
1.2561 0.11 1.5222 0.5532 -0.0563
1.9121 0.12 1.6504 -0.5256 0.6663
0.3361 0.13 1.3788 -1.369 1.2251
0.8904 0.14 1.0708 -1.2704 1.0492
1.9054 0.15 1.0379 -0.657 -0.0352
0.4907 0.16 0.7398 0.0665 -1.1459
0.5184 0.17 0.6276 0.5578 -1.0945
1.7259 0.18 0.4837 0.4485 -0.4245
0.4503 0.19 0.3753 -0.0382 0.2372
0.0322 0.2 0.3737 -0.479 0.0609
1.4918 0.21 0.3256 -0.4495 -0.879
0.4331 0.22 0.3814 0.2382 -1.6516
-0.4293 0.23 0.4882 1.2338 -1.7321
1.0787 0.24 0.5517 2.3531 -0.6229
0.311 0.25 0.6621 2.7621 0.3576
-1.0239 0.26 0.8086 2.2761 0.4214
0.5651 0.27 1.0534 1.4902 -0.2974
0.2481 0.28 1.1753 0.6764 -0.9664
-1.3761 0.29 1.3158 0.5423 -0.5616
0.028 0.3 1.4346 0.919 0.5839
0.2086 0.31 1.497 1.4733 1.6105
-1.5807 0.32 1.7413 1.6167 1.5287
-0.4343 0.33 1.5921 1.235 0.8315
0.2153 0.34 1.6422 0.3673 0.2116
-1.4746 0.35 1.5288 -0.6487 0.5059
-0.8002 0.36 1.3122 -1.1327 1.4388
0.3701 0.37 1.2487 -0.938 2.0551
-1.3377 0.38 1.0161 -0.0527 2.1086
-0.8435 0.39 0.7053 0.876 1.0547
0.5317 0.4 0.3953 1.3063 0.0989
-0.8798 0.41 0.0836 1.3332 0.1097
-0.9458 0.42 -0.2113 0.7688 0.8629
0.8329 0.43 -0.488 0.3701 1.3633
-0.279 0.44 -0.7084 0.5324 1.0798
-0.834 0.45 -0.8126 1.1815 -0.0942
1.0228 0.46 -1.0943 2.3922 -0.97
0.3901 0.47 -1.0428 3.1446 -1.0442
-0.5275 0.48 -1.2404 2.6073 -0.2379
1.3064 0.49 -1.2041 2.2696 0.4456
1.037 0.5 -1.0092 1.3653 0.1902
-0.1215 0.51 -0.8299 0.5323 -0.7641
1.48 0.52 -0.7335 0.3406 -1.4758
1.6245 0.53 -0.4593 0.6456 -1.2908
0.2494 0.54 -0.1732 1.1614 -0.1321
1.5133 0.55 0.0827 1.4572 0.7311
2.3121 0.56 0.3365 0.9264 0.7599
0.6128 0.57 0.5972 0.0587 -0.0237
1.5958 0.58 0.7991 -0.7132 -0.5288
2.3186 0.59 1.09 -0.9874 -0.0673
0.8808 0.6 1.3197 -0.4558 1.153
1.2325 0.61 1.2803 0.5115 2.1182
2.4547 0.62 1.4049 1.5476 1.938
1.1225 0.63 1.3831 1.8122 1.1528
0.9283 0.64 1.3401 1.6219 0.4907
2.3682 0.65 1.5233 1.2275 0.7858
1.0879 0.66 1.2142 0.8302 1.6954
0.5408 0.67 1.2455 0.8611 2.5867
1.9648 0.68 0.9743 1.6476 2.2554
1.1953 0.69 0.8904 2.3918 0.9659
0.0939 0.7 0.7215 2.737 0.1289
