#time y2 y3 y4 y1
0.01 0.2745 0.1507 0.6131 0.2334
0.02 0.4745 0.2871 0.966 0.5221
0.03 0.7522 0.4264 1.0257 0.7155
0.04 0.9144 0.5978 0.8073 1.0225
0.05 1.0145 0.7303 0.2354 1.2722
0.06 1.3251 0.7917 -0.3396 1.2129
0.07 1.4775 0.9602 -0.6812 1.3936
0.08 1.34 1.0642 -0.5881 1.7451
0.09 1.4073 1.2568 -0.1912 1.7064
0.1 1.3744 1.2994 0.4851 1.8973
0.11 1.4342 1.4441 0.9967 1.7589
0.12 1.1013 1.4295 1.3682 1.7428
0.13 1.0754 1.4104 1.5655 1.723
0.14 0.9846 1.4673 1.1394 1.9009
0.15 0.7386 1.4234 0.64 1.7025
0.16 0.6081 1.4917 0.0763 1.8602
0.17 0.4962 1.5672 -0.2471 1.7121
0.18 0.3175 1.4637 -0.1889 1.4176
0.19 0.2238 1.5683 0.2072 1.2934
0.2 0.1266 1.3542 0.8633 1.3024
0.21 0.0781 1.2798 1.5147 1.1641
0.22 0.0711 1.2386 1.7166 1.0171
0.23 0.1089 1.3725 1.717 0.8665
0.24 0.1675 1.1124 1.4127 0.8042
0.25 0.3259 1.121 0.8889 0.6928
0.26 0.4454 1.1126 0.4501 0.6564
0.27 0.6141 0.8786 0.1037 0.6398
0.28 0.8238 0.8339 0.133 0.5358
0.29 1.0508 0.7392 0.537 0.5393
0.3 1.2941 0.6074 1.2597 0.5419
0.31 1.5061 0.5368 1.8395 0.6264
0.32 1.7908 0.5014 2.2258 0.6584
0.33 1.941 0.4482 1.9682 0.6517
0.34 2.3388 0.3919 1.6615 0.7502
0.35 2.2657 0.3113 1.3349 0.8782
0.36 2.3104 0.2759 0.7014 1.0369
0.37 2.3019 0.2562 0.3417 1.2238
0.38 2.7494 0.2025 0.4194 1.2983
0.39 2.7575 0.2023 0.8231 1.2941
0.4 2.2574 0.1845 1.3169 1.6122
0.41 2.3813 0.2074 1.9163 1.5146
0.42 2.2355 0.2385 2.1984 1.702
0.43 2.0111 0.2877 2.3585 1.6611
0.44 2.0351 0.3109 1.843 1.7413
0.45 1.7319 0.3572 1.3316 1.8758
0.46 1.6243 0.4789 0.8495 2.0565
0.47 1.3524 0.5049 0.527 2.0855
0.48 1.1848 0.5771 0.5455 1.8474
0.49 0.9714 0.7071 0.9388 1.8331
0.5 0.7609 0.8332 1.5851 1.7451
0.51 0.6965 0.8941 2.1863 1.7576
0.52 0.6331 1.1039 2.6446 1.4878
0.53 0.6735 1.2547 2.6332 1.3577
0.54 0.6756 1.2457 1.9219 1.1475
0.55 0.7222 1.5369 1.3913 0.8933
0.56 0.8615 1.5184 0.7694 0.8597
0.57 0.9417 1.6283 0.4516 0.5982
0.58 1.0549 1.6542 0.5178 0.3361
0.59 1.1961 1.7893 0.83 0.163
0.6 1.588 1.8559 1.5313 -0.033
0.61 1.8652 2.1636 2.1905 -0.2281
0.62 2.0603 1.9691 2.5109 -0.4079
0.63 1.977 2.059 2.5217 -0.5553
0.64 2.0533 2.1437 2.118 -0.629
0.65 2.2953 2.3509 1.2334 -0.7413
0.66 2.4566 2.6223 0.7741 -0.9186
0.67 2.3435 2.2371 0.4201 -0.9972
0.68 2.2578 2.4845 0.4236 -0.8976
0.69 2.5886 2.6211 0.8339 -0.9744
0.7 2.4187 2.3762 1.4899 -0.9534
0.71 2.2266 2.5381 2.1191 -0.9088
0.72 1.8895 2.3336 2.3688 -0.7807
0.73 1.8865 2.4956 2.2318 -0.598
0.74 1.613 2.1365 1.8399 -0.571
0.75 1.2055 2.1257 1.1762 -0.3436
0.76 1.179 2.2549 0.5874 -0.1932
0.77 0.781 2.001 0.2178 -0.0265
0.78 0.6228 2.058 0.2182 0.1651
0.79 0.4025 1.7212 0.6247 0.333
0.8 0.263 1.5384 1.254 0.5289
0.81 0.1259 1.5423 1.6966 0.6647
0.82 0.0411 1.5158 1.9696 0.8128
0.83 -0.012 1.4247 1.9126 0.9845
0.84 -0.0226 1.1283 1.4023 0.9995
0.85 0.0117 1.0638 0.8312 1.3165
0.86 0.0901 0.8769 0.3098 1.2744
0.87 0.1841 0.8811 -0.049 1.2649
0.88 0.3465 0.6521 -0.0315 1.2908
0.89 0.4832 0.6507 0.3725 1.4549
0.9 0.6654 0.5406 0.8293 1.3421
0.91 0.8546 0.4254 1.338 1.2606
0.92 0.9987 0.3708 1.7559 1.3445
0.93 1.1425 0.2662 1.8314 1.2696
0.94 1.241 0.2229 1.3696 1.234
0.95 1.4068 0.2215 0.6133 0.9551
0.96 1.4454 0.1882 0.0258 0.979
0.97 1.6177 0.1649 -0.3074 0.8342
0.98 1.4037 0.1577 -0.3068 0.7176
0.99 1.4201 0.1763 0.0674 0.557
1.0 1.2515 0.1816 0.6814 0.5214
1.01 1.1921 0.2172 1.1147 0.4719
1.02 1.0066 0.257 1.6227 0.3395
1.03 0.893 0.3364 1.2679 0.2942
1.04 0.6956 0.4226 0.8786 0.3046
1.05 0.3938 0.4713 0.3721 0.2721
1.06 0.1723 0.4929 -0.2568 0.2632
1.07 -0.0592 0.5931 -0.5645 0.3113
1.08 -0.2723 0.6755 -0.5811 0.4216
1.09 -0.4317 0.8603 -0.1957 0.4431
1.1 -0.6545 0.9741 0.4261 0.5887
1.11 -0.8125 0.8987 0.8664 0.6447
1.12 -0.7937 1.0717 1.272 0.7683
1.13 -0.9594 1.2335 1.0641 0.9685
1.14 -0.9503 1.3207 0.6697 1.031
1.15 -0.8855 1.4127 0.0999 1.404
1.16 -0.7888 1.3599 -0.457 1.399
1.17 -0.6618 1.4056 -0.8106 1.7259
1.18 -0.4945 1.6238 -0.7069 1.6115
1.19 -0.3757 1.5591 -0.3959 1.8588
1.2 -0.1562 1.5923 0.1873 2.0211
1.21 0.0412 1.7 0.7814 2.315
1.22 0.2244 1.7402 1.0588 2.4144
1.23 0.381 1.711 0.9503 2.0797
1.24 0.6373 1.4793 0.5317 2.4152
1.25 0.726 1.4807 -0.0657 2.3658
1.26 0.8719 1.5105 -0.6464 2.3744
1.27 0.9787 1.3533 -0.8928 2.0141
1.28 0.9589 1.3945 -0.904 2.2732
1.29 0.8732 1.3279 -0.5217 1.9861
1.3 0.8577 1.1251 0.0983 1.8826
1.31 0.8202 1.0637 0.6316 1.8031
1.32 0.6544 1.0386 1.0528 1.5609
1.33 0.4877 0.9018 0.9313 1.148
1.34 0.2856 0.7503 0.5234 1.114
1.35 0.0934 0.5869 -0.1243 0.7182
1.36 -0.1103 0.4808 -0.721 0.5347
1.37 -0.3256 0.3994 -1.0238 0.2787
1.38 -0.5144 0.2395 -0.9934 0.0695
1.39 -0.6799 0.1136 -0.5141 -0.162
1.4 -0.8183 -0.0196 0.1034 -0.3678
1.41 -0.8397 -0.1358 0.6428 -0.54
1.42 -0.9266 -0.2843 1.0594 -0.7256
1.43 -0.918 -0.3712 0.8444 -0.8395
1.44 -0.9788 -0.4875 0.479 -1.0221
1.45 -0.9869 -0.5249 -0.1024 -1.1248
1.46 -0.7555 -0.7146 -0.5956 -1.3221
1.47 -0.5845 -0.684 -0.9513 -1.1483
1.48 -0.5149 -0.7733 -0.8163 -1.3041
1.49 -0.2415 -0.8927 -0.4174 -1.2888
1.5 -0.0487 -0.8396 0.2078 -1.3714
1.51 0.1855 -0.9733 0.7597 -1.3045
1.52 0.4458 -0.9785 1.0985 -1.1501
1.53 0.6225 -0.8815 1.0534 -1.0718
1.54 0.761 -0.8592 0.6337 -0.9224
1.55 0.99 -0.9182 0.0459 -0.8895
1.56 1.1194 -0.8785 -0.542 -0.7632
1.57 1.2554 -0.7201 -0.7973 -0.7881
1.58 1.3285 -0.6663 -0.6907 -0.6255
1.59 1.1964 -0.6499 -0.2365 -0.5332
1.6 1.2392 -0.5395 0.4105 -0.4786
1.61 1.3156 -0.4833 0.9741 -0.4298
1.62 1.1733 -0.3343 1.1761 -0.4432
1.63 1.0488 -0.2476 1.2496 -0.4232
1.64 0.7828 -0.1266 0.8596 -0.4985
1.65 0.5934 -0.0241 0.2771 -0.5011
1.66 0.4363 0.0853 -0.2753 -0.5011
1.67 0.2941 0.1869 -0.4958 -0.6317
1.68 0.119 0.3328 -0.4032 -0.7357
1.69 -0.0353 0.3864 0.039 -0.9176
1.7 -0.1686 0.5052 0.7294 -0.9396
1.71 -0.2801 0.6349 1.1767 -1.1807
1.72 -0.297 0.6317 1.5847 -1.3876
1.73 -0.31 0.7693 1.3968 -1.3629
1.74 -0.2959 0.8178 1.0429 -1.5407
1.75 -0.2643 0.8539 0.5616 -1.7997
1.76 -0.1358 0.872 0.024 -1.834
1.77 0.0077 1.0357 -0.2342 -2.1995
1.78 0.1862 0.985 -0.1125 -2.3522
1.79 0.4029 1.059 0.3343 -2.1465
1.8 0.5925 0.9918 0.92 -2.1974
1.81 0.7968 0.9578 1.5611 -2.6036
1.82 1.0005 1.015 1.8018 -2.2886
1.83 1.2264 0.9207 1.8254 -2.3796
1.84 1.3456 0.8167 1.5739 -2.2352
1.85 1.7757 0.7548 0.8068 -2.4522
1.86 1.9506 0.6646 0.3611 -2.4092
1.87 1.9747 0.6206 0.0853 -2.0557
1.88 1.7445 0.6061 0.1941 -2.0641
1.89 1.7993 0.4638 0.6387 -1.6511
1.9 1.7909 0.348 1.1877 -1.5638
1.91 1.8138 0.2587 1.737 -1.3868
1.92 1.8924 0.1635 2.3938 -1.1082
