#y4 y1 y2 y3 time
1.1059 0.2212 0.1896 0.6777 0.01
0.2399 0.4539 0.428 1.1479 0.02
-0.6977 0.7396 0.5664 1.0805 0.03
0.3008 0.8565 0.7267 0.692 0.04
1.3165 1.0293 0.8827 0.0217 0.05
0.6358 1.2068 1.0142 -0.4642 0.06
-0.3205 1.3108 1.1776 -0.5659 0.07
0.4947 1.3352 1.4248 -0.2701 0.08
1.6536 1.3182 1.4936 0.3911 0.09
1.0968 1.2738 1.5271 1.1684 0.1
-0.0022 1.1931 1.6009 1.4757 0.11
0.7364 0.9481 1.5536 1.4543 0.12
2.144 0.915 1.7395 1.1628 0.13
1.5261 0.7159 1.6021 0.6867 0.14
0.2956 0.6319 1.7575 0.0767 0.15
0.9452 0.4483 1.6893 -0.1488 0.16
2.054 0.2609 1.7401 0.063 0.17
1.6475 0.0977 1.6925 0.6691 0.18
0.5229 -0.0418 1.4074 1.2336 0.19
0.9574 -0.1496 1.2934 1.7215 0.2
2.177 -0.2124 1.3486 1.919 0.21
1.883 -0.2801 1.1395 1.5625 0.22
0.7778 -0.2809 1.0602 1.1462 0.23
1.1166 -0.2372 0.8916 0.5182 0.24
2.6802 -0.1366 0.8055 0.1934 0.25
2.2266 -0.0108 0.727 0.3171 0.26
0.8809 0.1459 0.6171 0.8125 0.27
1.1088 0.309 0.6132 1.5446 0.28
2.2856 0.4975 0.471 2.2136 0.29
2.4762 0.8059 0.4571 2.4718 0.3
0.8161 1.0438 0.3987 2.248 0.31
0.8993 1.1637 0.3462 1.3368 0.32
2.2426 1.3533 0.332 0.8927 0.33
2.1255 1.7265 0.2929 0.3955 0.34
0.802 1.6831 0.3247 0.3794 0.35
0.746 2.0674 0.3547 0.7414 0.36
2.3431 2.094 0.4165 1.5112 0.37
2.0844 2.1459 0.4335 2.0625 0.38
0.7189 2.0571 0.4753 2.3318 0.39
0.5266 2.1963 0.556 1.9887 0.4
1.8431 2.2669 0.6487 1.6721 0.41
2.0403 1.9979 0.7963 1.023 0.42
0.6501 1.7335 0.9624 0.4837 0.43
0.2725 1.893 1.0592 0.2878 0.44
1.6025 1.5091 1.1279 0.6408 0.45
1.9446 1.4136 1.2556 1.2845 0.46
0.5163 1.0807 1.4354 1.8699 0.47
0.0164 1.0841 1.3163 2.009 0.48
1.1666 0.9126 1.6478 2.1556 0.49
1.7448 0.7518 1.6116 1.477 0.5
0.3212 0.5454 1.8418 0.9974 0.51
-0.2592 0.5621 1.8573 0.3642 0.52
