#y1 time y2
0.3304 0.01 0.3265
0.6022 0.02 0.6558
0.8635 0.03 0.9012
1.2108 0.04 1.2043
1.2967 0.05 1.2698
1.35 0.06 1.2032
1.5982 0.07 1.1916
1.4264 0.08 1.1648
1.4662 0.09 1.0597
1.4523 0.1 0.83
1.119 0.11 0.6983
1.1515 0.12 0.4543
0.8373 0.13 0.2649
0.6136 0.14 0.0688
0.462 0.15 -0.0701
0.3183 0.16 -0.1461
0.231 0.17 -0.1733
0.1576 0.18 -0.1121
0.1649 0.19 0.0194
0.2243 0.2 0.2066
0.3062 0.21 0.4735
0.4981 0.22 0.7095
0.6162 0.23 1.1238
0.8795 0.24 1.465
1.0384 0.25 1.7585
1.1974 0.26 1.7565
1.6503 0.27 2.1293
1.7146 0.28 2.315
1.7314 0.29 2.2695
1.8389 0.3 2.2113
1.9195 0.31 2.2534
2.1062 0.32 1.952
1.9943 0.33 1.5861
1.79 0.34 1.4601
1.6167 0.35 1.163
1.1587 0.36 0.9372
0.8426 0.37 0.6652
0.6559 0.38 0.4705
0.2882 0.39 0.3461
0.0176 0.4 0.3363
-0.2559 0.41 0.3437
-0.4624 0.42 0.3824
-0.7189 0.43 0.513
-0.7128 0.44 0.7977
-0.7659 0.45 0.9351
-0.8001 0.46 1.2782
-0.751 0.47 1.523
-0.6756 0.48 1.6381
-0.5415 0.49 2.0953
-0.3294 0.5 1.9683
-0.1151 0.51 2.1904
0.0769 0.52 2.3304
0.229 0.53 2.2201
0.37 0.54 1.9527
0.5208 0.55 1.8951
0.5463 0.56 1.5806
0.6333 0.57 1.0884
0.5281 0.58 0.9498
0.3862 0.59 0.5959
0.2774 0.6 0.341
0.0841 0.61 0.1021
-0.1422 0.62 -0.0638
-0.3726 0.63 -0.1674
-0.5603 0.64 -0.1898
-0.7983 0.65 -0.1317
-0.9542 0.66 -0.0169
-1.1796 0.67 0.1426
-1.2137 0.68 0.39
-1.4172 0.69 0.629
-1.2734 0.7 0.8189
-1.1262 0.71 1.007
-1.098 0.72 1.1985
-0.7759 0.73 1.4077
-0.5366 0.74 1.5189
-0.2384 0.75 1.3214
0.0788 0.76 1.2769
0.4112 0.77 1.2194
0.6288 0.78 0.9617
0.9364 0.79 0.6504
1.3235 0.8 0.3522
1.4634 0.81 0.0813
1.451 0.82 -0.2149
1.7489 0.83 -0.457
1.6885 0.84 -0.6674
1.7036 0.85 -0.8571
1.6197 0.86 -1.0209
1.3307 0.87 -0.9736
1.2208 0.88 -1.0042
0.9444 0.89 -0.7316
0.8563 0.9 -0.607
0.6946 0.91 -0.3736
0.6081 0.92 -0.1416
0.558 0.93 0.0918
0.5141 0.94 0.3391
0.5447 0.95 0.5421
0.6256 0.96 0.7144
0.683 0.97 0.7458
0.9273 0.98 0.7556
1.2211 0.99 0.7863
1.4061 1.0 0.6107
1.5098 1.01 0.4522
1.8296 1.02 0.2107
2.1612 1.03 -0.0426
2.4334 1.04 -0.3156
2.6248 1.05 -0.5223
2.8296 1.06 -0.8625
2.6301 1.07 -0.9036
2.8122 1.08 -1.0866
2.9476 1.09 -1.2912
2.3549 1.1 -1.1258
2.2318 1.11 -1.1178
2.0894 1.12 -0.8673
1.8866 1.13 -0.694
1.6686 1.14 -0.3907
1.4454 1.15 -0.1403
1.0702 1.16 0.1663
0.8174 1.17 0.4035
0.5605 1.18 0.7151
0.3863 1.19 0.952
0.2682 1.2 1.0706
0.2267 1.21 1.1173
0.2012 1.22 1.0481
0.2796 1.23 1.0075
0.3625 1.24 0.9306
0.5632 1.25 0.7162
0.7358 1.26 0.4319
0.8396 1.27 0.1969
1.1054 1.28 -0.0145
1.1262 1.29 -0.1941
1.3993 1.3 -0.3462
1.2872 1.31 -0.4569
1.5037 1.32 -0.4376
1.4098 1.33 -0.4315
1.2235 1.34 -0.3324
1.2266 1.35 -0.1151
1.0147 1.36 0.1126
0.7188 1.37 0.4506
0.4841 1.38 0.7471
0.1849 1.39 0.9831
-0.0797 1.4 1.2182
-0.3747 1.41 1.6808
-0.6282 1.42 1.6579
-0.8433 1.43 2.0601
-1.0093 1.44 2.0103
-0.9277 1.45 2.005
-1.1337 1.46 1.9671
-0.921 1.47 1.727
-0.9247 1.48 1.6561
-0.7159 1.49 1.4447
-0.5128 1.5 1.3862
-0.2541 1.51 0.9661
0.0418 1.52 0.8268
0.3035 1.53 0.6598
0.5368 1.54 0.5571
0.8722 1.55 0.5699
0.974 1.56 0.6394
1.221 1.57 0.6509
1.2736 1.58 0.9581
1.3108 1.59 1.0188
1.358 1.6 1.4935
1.2967 1.61 1.7258
1.1245 1.62 2.1127
