#y3 y2 time y4 y1
0.2058 0.1538 0.01 0.2568 0.9151
0.4221 0.3157 0.02 0.5102 1.0298
0.6085 0.4783 0.03 0.7851 0.3332
0.7418 0.6067 0.04 0.9593 -0.4876
0.9207 0.7181 0.05 1.1502 -0.7584
1.1065 0.8254 0.06 1.3006 -0.0295
1.1325 0.9611 0.07 1.4101 0.9617
1.1638 1.1041 0.08 1.4099 1.3577
1.3979 1.1733 0.09 1.2359 0.9565
1.4957 1.3427 0.1 1.2187 0.0775
1.5087 1.2458 0.11 1.1221 -0.4249
1.5758 1.2965 0.12 0.972 -0.0206
1.4944 1.3108 0.13 0.8819 1.0434
1.3303 1.4473 0.14 0.706 1.5654
1.3636 1.3146 0.15 0.4811 1.481
1.4077 1.4123 0.16 0.3719 0.7786
1.2321 1.3527 0.17 0.1969 -0.0177
1.2754 1.3674 0.18 0.0505 0.0507
1.0229 1.3647 0.19 -0.0643 0.8835
0.8729 1.2105 0.2 -0.1339 1.833
0.7734 1.2231 0.21 -0.1497 1.9627
0.6623 1.1893 0.22 -0.1472 1.3084
0.6 1.0719 0.23 -0.0794 0.5021
0.5182 0.9818 0.24 0.0186 0.2002
0.4058 0.8437 0.25 0.1789 0.8954
0.3077 0.7827 0.26 0.3164 1.7702
0.2622 0.6442 0.27 0.5256 2.3093
0.2268 0.5207 0.28 0.7158 1.9193
0.1778 0.4333 0.29 0.9782 1.0241
0.1775 0.3942 0.3 1.2373 0.4709
0.1849 0.3136 0.31 1.5428 0.7158
0.2181 0.2329 0.32 1.6066 1.7544
0.2535 0.1883 0.33 1.8256 2.2754
0.3229 0.1374 0.34 1.9353 2.14
0.4091 0.1288 0.35 1.9831 1.5868
0.5662 0.11 0.36 2.136 0.6928
0.6128 0.115 0.37 2.3866 0.7159
0.795 0.1289 0.38 2.1939 1.6391
0.9372 0.1576 0.39 2.0589 2.5975
1.1544 0.2273 0.4 1.9058 2.612
1.2337 0.2665 0.41 1.8807 2.0919
1.5002 0.349 0.42 1.6554 1.1244
1.6345 0.471 0.43 1.5046 0.7796
1.72 0.5896 0.44 1.2075 1.4792
1.8559 0.7312 0.45 1.1173 2.2828
2.0545 0.7379 0.46 0.8031 2.8761
1.9531 0.8907 0.47 0.715 2.4854
2.2664 1.1622 0.48 0.5496 1.6828
2.4394 1.2444 0.49 0.4448 0.8849
2.202 1.2654 0.5 0.3797 1.0889
2.2641 1.4462 0.51 0.3494 1.8672
2.4972 1.6666 0.52 0.3526 3.0181
2.2316 1.6288 0.53 0.4454 2.5143
2.3019 1.8579 0.54 0.5526 1.8986
2.5188 1.9688 0.55 0.7208 1.0218
2.2053 2.294 0.56 0.8548 0.9688
1.9356 2.34 0.57 0.9473 1.6892
1.8617 2.4628 0.58 1.2234 2.4072
1.7438 2.2197 0.59 1.3048 2.9587
1.6159 2.3177 0.6 1.7426 2.1888
1.5332 2.4012 0.61 1.9127 1.3263
1.3257 2.7312 0.62 1.9497 0.9024
1.254 2.3944 0.63 1.9248 1.4827
1.007 2.5127 0.64 1.962 2.2488
0.8456 2.2785 0.65 2.1285 2.7455
0.8111 2.5017 0.66 2.0313 2.7514
0.5857 2.2984 0.67 2.038 1.5164
0.5546 2.2649 0.68 1.9373 0.8612
0.3898 2.3881 0.69 1.9386 1.0133
0.2689 2.0968 0.7 1.6501 1.9651
0.2007 2.1591 0.71 1.3944 2.4537
0.153 1.9983 0.72 1.237 2.5295
0.1235 1.645 0.73 1.0673 1.7892
0.1158 1.6384 0.74 0.7122 1.0022
0.1214 1.593 0.75 0.5725 0.7426
0.1407 1.4853 0.76 0.3207 1.4535
0.2243 1.2541 0.77 0.1587 2.5238
0.2656 1.2167 0.78 0.0288 2.4147
0.3458 1.0387 0.79 -0.0698 1.8777
0.4372 1.0446 0.8 -0.1404 1.0003
0.5949 0.7745 0.81 -0.1588 0.6264
0.7393 0.7602 0.82 -0.1314 0.9778
0.8011 0.6783 0.83 -0.0499 1.7693
0.9011 0.5881 0.84 0.0696 2.4583
1.0277 0.5497 0.85 0.1949 2.194
1.2491 0.495 0.86 0.3555 1.3262
1.3859 0.4703 0.87 0.5112 0.4313
1.4477 0.4578 0.88 0.8057 0.4958
1.3376 0.4768 0.89 0.8676 1.339
1.3552 0.4846 0.9 1.1695 1.9685
1.3896 0.5467 0.91 1.2495 1.9441
1.7123 0.5644 0.92 1.3638 1.4189
1.7086 0.6349 0.93 1.421 0.417
1.399 0.7016 0.94 1.4177 0.1449
1.4621 0.8216 0.95 1.4825 0.8033
1.5196 0.8054 0.96 1.4105 1.7605
1.3271 0.9703 0.97 1.3534 1.8355
1.2661 0.9962 0.98 1.1639 1.3338
1.15 1.2377 0.99 0.844 0.4478
1.022 1.2283 1.0 0.7583 -0.1367
0.8009 1.2448 1.01 0.5282 0.1781
0.6766 1.344 1.02 0.2784 1.1271
0.449 1.7259 1.03 0.0147 1.8117
0.3114 1.7792 1.04 -0.2269 1.3068
0.1467 1.9382 1.05 -0.3875 0.52
-0.0292 1.6789 1.06 -0.5526 -0.3223
-0.2102 1.8356 1.07 -0.7999 -0.3287
-0.3134 2.0323 1.08 -0.9451 0.415
-0.5356 2.0574 1.09 -0.9986 1.1479
-0.6036 1.9647 1.1 -0.9259 1.3585
-0.7993 2.0681 1.11 -0.9035 0.5755
-0.7842 2.1581 1.12 -0.7868 -0.3748
-0.9507 1.9509 1.13 -0.7245 -0.7354
-0.9147 2.1235 1.14 -0.6024 -0.2005
-0.8723 2.1305 1.15 -0.3788 0.6916
-0.9571 2.02 1.16 -0.236 1.2025
-0.9075 1.9323 1.17 -0.02 0.5799
-0.8318 1.6539 1.18 0.181 -0.3852
-0.8186 1.585 1.19 0.3444 -1.0194
-0.7323 1.5766 1.2 0.5586 -0.7664
-0.657 1.5688 1.21 0.6625 0.0919
-0.541 1.2084 1.22 0.7736 0.6916
-0.3861 1.0593 1.23 0.7643 0.5377
-0.2251 1.0594 1.24 0.7521 -0.3063
-0.0824 0.8799 1.25 0.7286 -1.2162
0.0627 0.7581 1.26 0.7301 -1.3367
0.1951 0.5919 1.27 0.5756 -0.5343
0.3241 0.4423 1.28 0.4952 0.2997
0.4617 0.2825 1.29 0.2941 0.4233
0.5636 0.1655 1.3 0.0753 -0.2529
0.6379 0.0463 1.31 -0.144 -1.2024
0.7372 -0.0618 1.32 -0.3286 -1.4655
0.8706 -0.1534 1.33 -0.553 -1.0124
0.9178 -0.2572 1.34 -0.7367 -0.205
0.8752 -0.3332 1.35 -0.8396 0.2684
0.9013 -0.3557 1.36 -1.0785 -0.1766
0.928 -0.4711 1.37 -1.0112 -1.0748
0.8464 -0.431 1.38 -1.1534 -1.907
0.9288 -0.5038 1.39 -1.1301 -1.6265
0.8331 -0.4214 1.4 -1.1778 -0.8155
