#y5 y6 y3 y4 time y2 y1
0.5921 0.4762 -0.786 0.3763 0.01 0.5178 0.3323
1.0639 0.9559 1.055 0.713 0.02 0.9766 0.6578
1.1241 1.1794 -0.2518 1.0416 0.03 1.2882 0.8633
0.8727 1.5396 -0.4108 1.0459 0.04 1.809 1.1207
0.4016 1.837 1.1233 1.1072 0.05 1.6373 1.2091
-0.1572 1.9432 -0.5062 0.8673 0.06 1.8287 1.3594
-0.5423 1.7005 0.0398 0.6505 0.07 1.5785 1.2977
-0.6304 1.4862 1.0572 0.3833 0.08 1.2591 1.1879
-0.3711 1.5075 -0.6506 0.0128 0.09 0.9955 1.0541
0.1724 1.2275 0.5445 -0.2927 0.1 0.6971 1.0031
0.7694 0.8616 1.0522 -0.4907 0.11 0.3602 0.8051
1.3445 0.6799 -0.5593 -0.6109 0.12 0.1561 0.4665
1.6697 0.4716 0.9863 -0.4876 0.13 -0.001 0.2805
1.3326 0.3731 0.8559 -0.3374 0.14 -0.0448 0.1186
1.0792 0.3421 -0.4817 0.0021 0.15 0.0111 -0.0022
0.5232 0.3692 1.4154 0.4075 0.16 0.1601 -0.0754
0.05 0.5586 0.5764 0.8365 0.17 0.3413 -0.0741
-0.2022 0.759 -0.2188 1.1914 0.18 0.5902 0.0082
-0.0975 0.9424 1.4139 1.6244 0.19 0.6702 0.1679
0.3248 1.3007 0.2833 1.5007 0.2 0.8784 0.3547
0.9141 1.4585 0.1403 1.5989 0.21 0.9144 0.6375
1.4623 1.4732 1.5564 1.7392 0.22 0.7322 0.9134
2.0343 1.6736 0.0397 1.4398 0.23 0.5401 1.1245
1.8501 1.6756 0.617 1.112 0.24 0.2985 1.5081
1.5413 1.505 1.721 0.7202 0.25 -0.0909 1.7715
1.1785 1.299 -0.0865 0.349 0.26 -0.5215 2.0257
0.7033 0.8603 0.9845 0.1013 0.27 -0.8551 2.3511
0.274 0.5944 1.3802 -0.0261 0.28 -1.3361 2.3893
0.1953 0.1756 -0.1134 -0.0281 0.29 -1.5279 2.2442
