#y3 time y2 y1 y4
0.7943 0.01 0.2938 0.5971 0.4845
-0.6536 0.02 0.5524 1.0686 0.8611
1.0973 0.03 0.8481 1.4539 1.0458
0.6897 0.04 0.9667 1.7233 0.9951
-0.059 0.05 1.18 1.7815 0.9049
1.7868 0.06 1.3064 1.366 0.6199
0.3859 0.07 1.2101 1.2531 0.1736
0.8641 0.08 1.2044 0.9216 -0.217
1.8911 0.09 1.0755 0.592 -0.4979
0.245 0.1 0.9794 0.2603 -0.6605
1.971 0.11 0.7308 0.1012 -0.6675
1.7004 0.12 0.4737 0.073 -0.4661
0.4842 0.13 0.2489 0.1745 -0.0665
2.1028 0.14 0.0721 0.3807 0.3682
0.8972 0.15 -0.1022 0.661 0.8109
0.9299 0.16 -0.1896 0.9854 1.2933
2.2413 0.17 -0.2371 1.3009 1.335
0.4009 0.18 -0.2298 1.2497 1.454
1.6547 0.19 -0.1525 1.2725 1.2333
1.7356 0.2 -0.0071 1.2753 0.9764
0.1541 0.21 0.1877 0.9334 0.5532
1.88 0.22 0.4732 0.4502 0.1504
0.7179 0.23 0.6804 -0.0538 -0.1667
0.3496 0.24 0.9796 -0.6379 -0.3236
1.6552 0.25 1.2082 -1.0208 -0.2909
-0.1989 0.26 1.5713 -1.3439 -0.0915
0.7588 0.27 1.874 -1.5479 0.3031
0.9601 0.28 2.185 -1.5363 0.818
-0.6611 0.29 2.1558 -1.5313 1.2888
0.9656 0.3 2.2789 -1.1881 1.559
0.0807 0.31 2.2106 -0.8261 1.9624
-0.5751 0.32 2.1629 -0.3871 1.9733
0.9943 0.33 1.8666 -0.0089 1.6341
-0.6847 0.34 1.8619 0.2427 1.2058
-0.0632 0.35 1.4334 0.4027 0.9043
0.6527 0.36 1.1111 0.4317 0.4702
-1.1499 0.37 1.063 0.2718 0.1572
0.5958 0.38 0.7201 0.0623 -0.0163
-0.0159 0.39 0.6713 -0.184 0.0139
-0.9265 0.4 0.5057 -0.3841 0.2594
0.9201 0.41 0.4508 -0.6192 0.5586
-0.5863 0.42 0.4694 -0.6467 0.9954
-0.0827 0.43 0.4981 -0.4447 1.4424
0.9637 0.44 0.7285 -0.1721 1.9875
-0.731 0.45 0.8314 0.2174 1.9097
0.9242 0.46 1.0526 0.7836 1.9801
0.7952 0.47 1.2637 1.218 2.0925
-0.3219 0.48 1.6045 1.6535 1.6385
1.5544 0.49 1.8635 2.088 1.1228
0.421 0.5 2.1521 2.0762 0.7502
0.6253 0.51 2.1309 2.4594 0.4349
1.9737 0.52 2.3333 2.0336 0.2388
0.2921 0.53 2.8056 1.7102 0.2687
1.6224 0.54 2.8033 1.593 0.4818
1.9424 0.55 2.4029 0.9598 0.9451
0.5995 0.56 2.1578 0.5222 1.4108
2.427 0.57 2.1099 0.215 1.7986
1.5458 0.58 2.146 0.026 1.9436
1.1773 0.59 1.6656 -0.0388 2.2059
2.5662 0.6 1.4395 0.0322 2.3025
1.1515 0.61 1.3038 0.2193 2.2897
2.1267 0.62 0.9804 0.5025 1.9141
2.4679 0.63 0.7224 0.7645 1.2415
0.9659 0.64 0.7009 1.0029 0.9222
2.5799 0.65 0.6289 0.9911 0.619
1.7157 0.66 0.5756 0.944 0.4707
1.2663 0.67 0.6703 0.711 0.4947
2.5816 0.68 0.7615 0.4211 0.7304
0.9613 0.69 0.8817 -0.0401 1.0038
1.5806 0.7 1.3163 -0.4699 1.3849
2.3516 0.71 1.4531 -1.0241 2.0669
0.4399 0.72 1.7273 -1.315 2.1538
1.9948 0.73 2.0079 -1.3353 2.2637
1.2785 0.74 2.1782 -1.593 2.6105
0.3161 0.75 2.4092 -1.2202 2.0414
2.1183 0.76 2.1601 -0.9904 1.7258
0.1891 0.77 2.2965 -0.5106 1.3896
0.477 0.78 2.5521 0.0066 1.0991
1.3911 0.79 2.4007 0.5214 0.6901
-0.6199 0.8 2.1544 0.8974 0.4977
0.7319 0.81 1.9992 1.2735 0.6011
0.3752 0.82 1.6939 1.2617 0.8331
-0.9317 0.83 1.2546 1.3345 1.0779
0.845 0.84 0.9662 1.2462 1.499
-0.5957 0.85 0.7402 0.9049 2.1562
-0.5999 0.86 0.5932 0.7399 2.4009
0.5277 0.87 0.3847 0.4869 2.6331
-1.3475 0.88 0.2496 0.388 2.6398
-0.0754 0.89 0.1627 0.368 2.094
