#y5 y4 y2 y3 y6 time y1
0.3077 0.2264 0.2544 0.2166 0.3422 0.01 1.0057
0.636 0.4765 0.5152 0.4131 0.6035 0.02 1.2707
0.9457 0.6602 0.6871 0.6529 0.8208 0.03 0.8274
1.0609 0.8678 1.0774 0.8212 1.1869 0.04 0.0143
1.2949 0.9444 1.3311 1.1677 1.3696 0.05 -0.3458
1.2573 1.0515 1.5762 1.2558 1.4737 0.06 0.0928
1.1863 1.3248 1.7966 1.4465 1.6096 0.07 0.9757
0.9873 1.2002 1.7058 1.5826 1.4345 0.08 1.7683
0.6789 1.2994 2.1337 1.8268 1.3512 0.09 2.1276
0.4259 1.216 2.2051 1.7775 1.3466 0.1 1.35
0.223 1.1528 2.3505 2.1038 1.223 0.11 0.6723
-0.042 0.9732 2.2657 2.3391 1.0151 0.12 0.3628
-0.2243 0.8662 2.4443 2.0124 0.808 0.13 0.8541
-0.3753 0.8229 2.6224 2.1062 0.6815 0.14 1.8818
-0.451 0.6641 2.5913 2.0999 0.5391 0.15 2.3354
-0.4218 0.4512 2.843 2.1984 0.3244 0.16 2.6009
-0.279 0.2952 2.7412 2.3848 0.2112 0.17 1.5235
-0.068 0.1295 2.7935 2.1914 0.1448 0.18 0.8586
0.1975 -0.0125 2.7642 2.2598 0.1048 0.19 0.7249
0.5096 -0.1226 2.7114 2.2854 0.1188 0.2 1.1387
0.7959 -0.1987 2.6141 2.2192 0.2138 0.21 2.2712
1.2458 -0.2537 2.498 1.8902 0.3402 0.22 2.7219
1.5917 -0.2749 2.6484 1.9128 0.5102 0.23 2.1394
1.6878 -0.25 2.4813 1.7006 0.7335 0.24 1.3638
1.95 -0.175 2.016 1.7697 0.8191 0.25 0.6699
2.0879 -0.0848 1.9759 1.5215 1.1838 0.26 0.5814
1.7344 0.0569 1.7662 1.3937 1.3167 0.27 1.1819
1.8791 0.1993 1.8874 1.3303 1.4894 0.28 2.0725
1.693 0.4082 1.6045 1.2693 1.7441 0.29 2.2917
1.4501 0.6326 1.456 1.0294 1.9015 0.3 1.686
0.9592 0.8145 1.1757 0.9865 2.0233 0.31 0.8242
0.8568 1.0774 0.9342 0.8826 1.8632 0.32 0.0574
0.4993 1.2051 0.7979 0.6936 2.0668 0.33 0.0902
0.3758 1.4204 0.5564 0.5055 2.0798 0.34 0.8327
0.2121 1.6225 0.3907 0.4217 1.8654 0.35 1.3981
0.1751 1.7718 0.2575 0.3169 1.6928 0.36 1.6509
0.2727 1.9379 0.0636 0.2613 1.4157 0.37 0.9843
0.3637 1.9977 -0.1214 0.1686 1.1824 0.38 0.0287
0.5966 2.1338 -0.2765 0.0889 0.8638 0.39 -0.5153
0.8136 2.165 -0.4695 0.0286 0.5613 0.4 -0.3928
1.1144 2.0134 -0.5386 -0.0126 0.267 0.41 0.3701
1.5627 2.2172 -0.7699 -0.0463 -0.0002 0.42 1.0938
1.7077 1.8238 -0.9064 -0.067 -0.2395 0.43 0.9825
2.287 1.8054 -0.8884 -0.0686 -0.4406 0.44 0.3247
2.06 1.5019 -1.0296 -0.058 -0.5669 0.45 -0.5479
2.2984 1.3491 -1.2268 -0.0382 -0.6724 0.46 -0.9212
2.6489 1.2461 -1.2422 -0.0114 -0.6023 0.47 -0.6671
2.2149 1.0141 -1.273 0.0296 -0.6211 0.48 0.233
2.0379 0.9174 -1.3552 0.0825 -0.4816 0.49 0.8359
1.8398 0.7368 -1.187 0.1268 -0.3909 0.5 0.7518
1.7654 0.6608 -1.3229 0.2074 -0.2205 0.51 0.012
1.3841 0.4455 -1.2421 0.2469 -0.0584 0.52 -0.781
1.1289 0.4241 -1.1938 0.3116 0.1163 0.53 -1.0897
0.9488 0.3595 -1.1499 0.4073 0.2836 0.54 -0.5091
0.7408 0.3756 -1.2129 0.4692 0.4997 0.55 0.4367
0.5488 0.42 -1.1168 0.5041 0.5479 0.56 1.0071
0.5346 0.4223 -1.2122 0.6603 0.629 0.57 0.8616
0.5991 0.6007 -1.0436 0.6742 0.6641 0.58 0.0347
0.8116 0.6397 -1.0196 0.8004 0.6955 0.59 -0.7006
1.025 0.8224 -1.0371 0.7792 0.6318 0.6 -0.7662
1.1884 1.0568 -0.8005 0.8025 0.4593 0.61 -0.0127
1.5449 1.1791 -0.7983 0.9771 0.3221 0.62 0.9016
1.7627 1.311 -0.6961 0.9806 0.1104 0.63 1.36
