#y3 y1 y2 time
-0.066 0.6247 0.4651 0.01
1.5302 1.0759 0.9144 0.02
0.0252 1.3495 1.1024 0.03
2.0746 1.6141 1.5778 0.04
0.6411 1.4528 1.8874 0.05
1.7766 1.3947 2.0243 0.06
1.5337 1.0286 2.1808 0.07
1.1637 0.827 2.0783 0.08
1.9663 0.5425 1.9615 0.09
0.2352 0.4657 1.9525 0.1
2.0613 0.5677 1.8763 0.11
-0.052 0.8837 1.4762 0.12
0.9069 1.2138 1.134 0.13
0.2587 1.7587 0.9078 0.14
-0.2449 2.5348 0.5229 0.15
0.7382 2.6272 0.2618 0.16
-0.9468 3.179 -0.0575 0.17
0.9941 2.8307 -0.3441 0.18
-0.6584 2.5664 -0.5657 0.19
0.7792 2.54 -0.7594 0.2
0.3526 1.9581 -0.8025 0.21
0.2453 1.3315 -0.8007 0.22
1.4366 1.0741 -0.8149 0.23
0.126 0.8359 -0.6843 0.24
2.4808 0.7657 -0.5404 0.25
0.5793 0.9258 -0.3813 0.26
1.8878 1.2602 -0.2008 0.27
1.5646 1.5999 0.0158 0.28
1.0296 1.7079 0.2437 0.29
2.0111 1.9781 0.4764 0.3
0.1998 2.1107 0.657 0.31
2.0316 2.0562 0.9306 0.32
-0.2972 1.4022 0.9706 0.33
0.7621 1.0692 1.1725 0.34
-0.2957 0.4394 1.2656 0.35
-0.8911 -0.1785 1.3281 0.36
-0.1533 -0.6966 1.3217 0.37
-2.2339 -0.8855 1.2332 0.38
-0.3411 -1.024 1.2363 0.39
-2.5215 -1.113 1.1364 0.4
-0.8978 -0.8272 0.9727 0.41
-1.7087 -0.4668 1.0027 0.42
-1.7438 -0.2087 0.9695 0.43
-0.5487 -0.0394 0.8938 0.44
-1.9859 -0.0119 0.8524 0.45
0.1288 -0.1663 0.9561 0.46
-1.4111 -0.5119 0.966 0.47
0.1459 -0.9984 1.0576 0.48
-0.4121 -1.4833 1.0568 0.49
-0.3906 -1.8685 1.1257 0.5
0.5941 -2.4112 1.4242 0.51
-0.9184 -2.4177 1.5609 0.52
1.0212 -2.5151 1.7154 0.53
-1.059 -2.4613 1.8212 0.54
0.2458 -1.9347 1.7553 0.55
-0.7035 -1.5413 1.6183 0.56
-0.9663 -1.3072 1.6153 0.57
-0.3119 -1.0065 1.6577 0.58
-2.0067 -0.7754 1.6003 0.59
-0.3342 -0.8215 1.5511 0.6
-2.275 -1.0686 1.3802 0.61
-0.9247 -1.3199 1.0812 0.62
-1.6207 -1.7183 0.8087 0.63
-1.5559 -2.2081 0.5489 0.64
-0.575 -2.1517 0.262 0.65
-1.803 -2.4777 0.0219 0.66
0.2625 -1.9091 -0.2232 0.67
-1.2446 -1.5693 -0.3873 0.68
0.6286 -1.1469 -0.5688 0.69
0.0963 -0.6284 -0.6127 0.7
0.5014 -0.1343 -0.6173 0.71
1.6334 0.3019 -0.5852 0.72
0.3636 0.538 -0.4768 0.73
2.237 0.5941 -0.2556 0.74
0.5708 0.5052 -0.0156 0.75
2.1636 0.2644 0.3111 0.76
1.3501 -0.0664 0.5814 0.77
1.0995 -0.3162 0.9924 0.78
1.7093 -0.5436 1.4027 0.79
0.1141 -0.4818 1.6315 0.8
1.8647 -0.3184 2.1049 0.81
-0.3933 0.0645 2.1054 0.82
1.1003 0.5288 2.7605 0.83
-0.0884 1.069 2.4807 0.84
-0.1129 1.6303 3.0366 0.85
0.5654 2.0326 2.8279 0.86
-0.8594 2.1138 2.8026 0.87
0.9851 2.1982 2.3633 0.88
-0.7608 2.0507 2.318 0.89
1.0472 1.6753 2.1536 0.9
0.3354 1.1952 1.727 0.91
0.7129 0.725 1.1707 0.92
1.6563 0.4982 0.9306 0.93
0.3727 0.4459 0.4103 0.94
2.6235 0.547 0.0385 0.95
0.5643 0.782 -0.3541 0.96
2.1657 1.191 -0.6153 0.97
1.2664 1.708 -0.9376 0.98
1.2233 2.0641 -1.193 0.99
1.853 2.2111 -1.2856 1.0
0.0422 2.0357 -1.1602 1.01
1.5785 2.125 -1.148 1.02
-0.6574 1.8178 -1.1481 1.03
0.6059 1.2598 -0.87 1.04
-0.8624 0.7389 -0.7807 1.05
-0.8589 0.1818 -0.4159 1.06
-0.5412 -0.1796 -0.1682 1.07
-2.1614 -0.4032 0.1132 1.08
-0.5023 -0.3616 0.3692 1.09
-2.4327 -0.1789 0.7004 1.1
-0.7558 0.1279 0.8922 1.11
-1.8474 0.4955 0.9908 1.12
-1.4006 0.7611 1.2581 1.13
-0.5682 1.0221 1.1722 1.14
-1.7661 0.9647 1.2825 1.15
0.3411 0.734 1.3035 1.16
-1.316 0.3727 1.3059 1.17
0.5313 -0.17 1.0584 1.18
-0.5019 -0.704 0.9517 1.19
-0.0833 -1.2584 0.7998 1.2
0.4659 -1.5692 0.6009 1.21
-0.9274 -1.5491 0.4049 1.22
0.8459 -1.4496 0.2185 1.23
-1.3551 -1.4283 0.0471 1.24
0.2448 -1.0681 -0.0751 1.25
-1.0985 -0.5403 -0.1787 1.26
-0.982 -0.2203 -0.2514 1.27
-0.7467 0.024 -0.3095 1.28
-1.983 0.0766 -0.3005 1.29
-0.4515 -0.0676 -0.2782 1.3
-2.4339 -0.3829 -0.2538 1.31
-0.6859 -0.7743 -0.1957 1.32
-2.0153 -1.1734 -0.1583 1.33
-1.24 -1.6917 -0.129 1.34
-0.6184 -1.6498 -0.0978 1.35
-1.6384 -1.7699 -0.1024 1.36
0.6045 -1.85 -0.1205 1.37
-0.9269 -1.3458 -0.1813 1.38
1.1997 -0.844 -0.275 1.39
0.2185 -0.4311 -0.4126 1.4
0.9668 0.035 -0.5967 1.41
1.4723 0.3303 -0.7057 1.42
0.6215 0.4688 -0.9092 1.43
2.2423 0.371 -1.0862 1.44
0.5759 0.1054 -1.225 1.45
2.2603 -0.2512 -1.523 1.46
0.8357 -0.6734 -1.6075 1.47
1.3246 -1.0152 -1.6535 1.48
1.4945 -1.0807 -1.586 1.49
0.0313 -1.2364 -1.803 1.5
1.5892 -0.9829 -1.6128 1.51
-0.6292 -0.6003 -1.6374 1.52
1.0486 -0.0815 -1.2256 1.53
-0.3798 0.4336 -1.0568 1.54
0.0612 0.8168 -0.8227 1.55
0.3553 1.0389 -0.5723 1.56
-0.604 1.2807 -0.3001 1.57
