# label : secret experiment #3643
# y : signal strength
#y1 y2 time
0.1486 0.2756 0.01
0.303 0.5321 0.02
0.4696 0.7802 0.03
0.6069 0.8951 0.04
0.7057 1.1176 0.05
0.7829 1.383 0.06
0.9223 1.5086 0.07
1.1302 1.443 0.08
1.231 1.4901 0.09
1.2481 1.6325 0.1
1.4808 1.5399 0.11
1.5282 1.4341 0.12
1.4342 1.3086 0.13
1.4855 1.3308 0.14
1.5727 1.1579 0.15
1.7181 0.8671 0.16
1.7024 0.8051 0.17
1.6794 0.6282 0.18
1.8082 0.517 0.19
1.7418 0.4044 0.2
1.7206 0.3095 0.21
1.5157 0.2908 0.22
1.4114 0.2587 0.23
1.4571 0.2865 0.24
1.3042 0.298 0.25
1.4006 0.3651 0.26
1.2564 0.4734 0.27
1.2511 0.6438 0.28
1.1181 0.9033 0.29
0.9969 1.0432 0.3
1.0365 1.3476 0.31
0.9352 1.4665 0.32
0.8337 1.6007 0.33
0.7887 1.8557 0.34
0.7384 2.122 0.35
0.6184 2.0087 0.36
0.5437 2.3241 0.37
0.5252 2.1058 0.38
0.488 2.3805 0.39
0.4394 2.1898 0.4
0.4488 2.3063 0.41
0.3661 2.1819 0.42
0.4204 1.7799 0.43
0.3939 1.7334 0.44
0.3929 1.7423 0.45
0.4293 1.4985 0.46
0.4802 1.0476 0.47
0.5807 0.8822 0.48
0.6397 0.6446 0.49
0.5982 0.4802 0.5
0.7734 0.2438 0.51
0.8331 0.0699 0.52
0.8873 -0.0788 0.53
0.9876 -0.2119 0.54
1.0536 -0.2658 0.55
1.0945 -0.3115 0.56
1.378 -0.3235 0.57
1.4447 -0.3126 0.58
1.5696 -0.2164 0.59
1.5377 -0.1353 0.6
1.7286 -0.0049 0.61
1.7916 0.1242 0.62
2.0531 0.307 0.63
1.9376 0.4102 0.64
1.9923 0.5974 0.65
1.9844 0.7024 0.66
2.3147 0.8642 0.67
2.3918 0.9475 0.68
2.1757 1.0245 0.69
2.1829 0.9857 0.7
2.5636 1.1481 0.71
2.3735 0.9275 0.72
2.4111 0.9318 0.73
2.5798 0.8427 0.74
2.2212 0.7018 0.75
2.259 0.4643 0.76
2.2533 0.3382 0.77
2.4273 0.123 0.78
2.3979 -0.0837 0.79
2.2202 -0.3038 0.8
2.0368 -0.5312 0.81
1.9587 -0.6564 0.82
1.7685 -0.8472 0.83
1.8486 -1.0312 0.84
1.7246 -1.0141 0.85
1.5122 -1.1862 0.86
1.3065 -1.0405 0.87
1.3474 -1.1393 0.88
1.096 -1.0023 0.89
1.0442 -0.8986 0.9
0.8753 -0.8398 0.91
0.6902 -0.6045 0.92
0.6709 -0.402 0.93
0.4846 -0.1752 0.94
0.3458 0.0614 0.95
0.2812 0.2785 0.96
0.1813 0.4924 0.97
0.0988 0.7602 0.98
0.0138 0.9132 0.99
-0.0601 1.0304 1.0
-0.1069 1.2489 1.01
-0.15 1.2515 1.02
-0.192 1.3271 1.03
-0.2292 1.3272 1.04
-0.2259 1.447 1.05
-0.2623 1.4303 1.06
-0.2385 1.2944 1.07
-0.2173 1.0917 1.08
-0.1771 1.0603 1.09
-0.1706 0.8881 1.1
-0.111 0.8685 1.11
-0.054 0.6082 1.12
0.0047 0.5002 1.13
0.0658 0.4715 1.14
0.1577 0.3297 1.15
0.2131 0.2734 1.16
0.2747 0.2495 1.17
0.3653 0.2393 1.18
0.459 0.3182 1.19
0.5109 0.416 1.2
0.5977 0.4974 1.21
0.6784 0.6664 1.22
0.7876 0.8012 1.23
0.8656 1.026 1.24
0.9992 1.1577 1.25
0.9616 1.5954 1.26
1.0967 1.7859 1.27
1.1606 1.8046 1.28
1.0106 2.3537 1.29
1.0275 2.5684 1.3
1.0636 2.4034 1.31
1.1403 2.8188 1.32
1.1302 2.5527 1.33
1.2201 2.741 1.34
1.118 2.9385 1.35
1.0277 2.6457 1.36
1.0574 3.0784 1.37
0.8603 2.5378 1.38
0.8129 2.4395 1.39
0.7745 2.6193 1.4
0.682 2.0644 1.41
0.6409 1.964 1.42
0.4909 1.9589 1.43
0.3832 1.732 1.44
0.3273 1.5006 1.45
0.2255 1.2468 1.46
0.0972 1.1807 1.47
-0.0069 1.1009 1.48
-0.1144 0.9126 1.49
-0.2103 0.8481 1.5
-0.3182 0.7832 1.51
-0.4103 0.8631 1.52
-0.534 0.9763 1.53
-0.6422 1.0064 1.54
-0.6914 1.0449 1.55
-0.7121 1.2912 1.56
-0.7945 1.3395 1.57
-0.7909 1.4499 1.58
-0.9283 1.6063 1.59
-1.0123 1.7616 1.6
-0.9325 1.9939 1.61
-0.9777 2.0453 1.62
-0.9032 2.2267 1.63
-0.904 2.2536 1.64
-0.8767 2.0633 1.65
-0.8797 1.9785 1.66
-0.7736 2.0201 1.67
-0.7896 2.1346 1.68
-0.5992 1.8555 1.69
-0.5209 1.5927 1.7
-0.4738 1.3222 1.71
-0.4031 1.1435 1.72
-0.2379 0.9876 1.73
-0.1359 0.7045 1.74
