# label : detector calibration 16. 05. 2015
# y : intensity
#y5 y3 y1 y2 y4 time
0.1589 0.1677 0.9374 0.3212 0.223 0.01
0.3387 0.2856 1.6321 0.5928 0.5269 0.02
0.5325 0.4398 1.9813 0.9012 0.658 0.03
0.6397 0.5857 2.105 1.0377 0.937 0.04
0.7829 0.8116 1.6476 1.0859 1.1288 0.05
0.951 0.7894 0.7779 1.1737 1.2421 0.06
1.0989 0.9802 -0.1177 1.0229 1.3727 0.07
1.3096 1.0113 -0.8856 1.0967 1.709 0.08
1.5398 1.2059 -1.4101 0.8847 1.4951 0.09
1.5832 1.3402 -1.6754 0.6427 1.7464 0.1
1.6502 1.2911 -1.3437 0.3602 1.6357 0.11
1.7074 1.4371 -0.9628 0.0969 1.6165 0.12
1.7569 1.6151 -0.1033 -0.1174 1.6754 0.13
2.0308 1.6465 0.6888 -0.3216 1.6615 0.14
1.992 1.6967 1.4447 -0.4272 1.5581 0.15
1.8148 1.4629 1.6995 -0.5443 1.4495 0.16
1.9501 1.6472 2.087 -0.484 1.4802 0.17
2.0947 1.5235 1.744 -0.3557 1.1768 0.18
2.1058 1.68 1.123 -0.2012 1.0758 0.19
2.0214 1.5717 0.4774 0.0252 0.904 0.2
2.0296 1.5805 -0.124 0.3332 0.8761 0.21
2.0911 1.4213 -0.5472 0.6584 0.8444 0.22
1.9205 1.2615 -0.7283 0.9376 0.698 0.23
2.099 1.188 -0.7072 1.3134 0.5559 0.24
2.0449 1.2493 -0.3863 1.5255 0.6096 0.25
1.8504 1.2501 0.0518 1.606 0.5587 0.26
1.8899 1.007 0.5406 1.8386 0.5927 0.27
1.5943 0.8947 1.0415 1.69 0.6198 0.28
1.4781 0.8345 1.4308 1.81 0.5976 0.29
1.6876 0.8168 1.523 1.6999 0.6389 0.3
1.6148 0.7794 1.2888 1.5493 0.8083 0.31
1.4648 0.6074 1.0647 1.3777 0.9076 0.32
1.2381 0.5712 0.8527 0.9758 0.9655 0.33
1.3367 0.5005 0.5595 0.8148 1.3089 0.34
1.1146 0.4354 0.3776 0.5424 1.5135 0.35
1.2637 0.4083 0.2887 0.3199 1.4872 0.36
1.0124 0.3568 0.3424 0.1595 1.6147 0.37
1.1296 0.3398 0.4673 0.106 2.0508 0.38
1.0424 0.3838 0.5311 0.092 2.1809 0.39
0.9722 0.3603 0.7097 0.1849 1.9608 0.4
1.0668 0.3611 0.7276 0.3081 2.459 0.41
0.9949 0.4103 0.7364 0.542 2.2768 0.42
0.8893 0.4539 0.6342 0.8645 2.3199 0.43
0.9421 0.4431 0.5634 1.0524 2.3828 0.44
0.9618 0.464 0.6265 1.5613 2.5139 0.45
1.0891 0.6073 0.5895 1.7736 2.3871 0.46
1.0958 0.6751 0.8519 1.9697 2.1451 0.47
1.0632 0.7054 1.0609 2.3689 2.1943 0.48
1.1308 0.8877 1.264 2.4906 1.9635 0.49
1.2714 0.8908 1.3739 2.3577 1.8509 0.5
1.264 1.1138 1.5003 2.3748 1.9603 0.51
