# x : elapsed time
# label : secret experiment #3689
#y4 y2 time y1 y3
1.2769 0.2657 0.01 0.4226 0.2051
1.9219 0.4757 0.02 0.9689 0.3563
1.5291 0.7141 0.03 1.201 0.5531
0.6424 1.0755 0.04 1.5892 0.6669
-0.1744 1.2209 0.05 1.7673 0.8076
-0.4611 1.4342 0.06 1.5594 1.0839
-0.2659 1.487 0.07 1.658 1.1727
0.1508 1.5195 0.08 1.3176 1.3487
0.2 1.8248 0.09 1.1328 1.2851
-0.2627 1.8269 0.1 0.9522 1.4803
-0.905 1.748 0.11 0.6036 1.485
-1.3693 1.6806 0.12 0.3934 1.3563
-0.87 1.7257 0.13 0.2653 1.5376
0.1732 1.5343 0.14 0.2364 1.351
1.276 1.4051 0.15 0.2575 1.2876
2.3285 1.4474 0.16 0.3884 1.3707
1.9826 1.2379 0.17 0.5653 1.2293
0.9895 1.1035 0.18 0.8685 1.0991
-0.1227 0.9313 0.19 1.0864 0.9733
-0.7225 0.9078 0.2 1.3566 0.8265
-0.6837 0.7575 0.21 1.5739 0.7595
-0.2456 0.6083 0.22 1.8397 0.6237
0.2055 0.55 0.23 1.7133 0.5866
0.1931 0.4897 0.24 1.5703 0.427
-0.23 0.5269 0.25 1.3613 0.3472
-0.5875 0.5408 0.26 1.1089 0.3032
-0.5057 0.5374 0.27 0.7786 0.2278
0.3347 0.5645 0.28 0.3724 0.184
1.3857 0.707 0.29 -0.0892 0.1507
2.0384 0.8497 0.3 -0.4898 0.1359
2.2733 0.8922 0.31 -0.8388 0.153
1.1289 1.1585 0.32 -1.0891 0.1801
-0.05 1.2636 0.33 -1.1989 0.2489
-0.909 1.4269 0.34 -1.2534 0.2981
-1.1972 1.5942 0.35 -1.0335 0.3985
-0.5246 1.7389 0.36 -0.901 0.5033
0.2001 1.9757 0.37 -0.6417 0.6281
0.5857 2.153 0.38 -0.3557 0.7585
0.5196 2.0059 0.39 -0.0187 0.9969
0.1652 2.4712 0.4 0.2696 1.1923
0.0322 2.5411 0.41 0.5505 1.301
