# label : detector calibration 27. 08. 2015
# y : intensity
#y3 y4 y5 y1 time y6 y2
0.2597 -1.2612 0.6425 0.1402 0.01 0.2288 0.5745
0.4947 -1.6605 1.147 0.2682 0.02 0.4074 1.0056
0.7021 -0.952 1.193 0.4287 0.03 0.6098 1.5019
0.9044 0.122 1.3076 0.601 0.04 0.7606 1.8159
1.188 0.7467 0.9977 0.6285 0.05 0.8995 1.9516
1.2195 0.5539 0.6794 0.7739 0.06 1.0642 2.1185
1.4065 0.131 0.2622 1.0215 0.07 1.2778 2.0899
1.4005 0.1684 -0.0326 0.9607 0.08 1.258 1.6406
1.3354 0.7742 -0.1587 1.1133 0.09 1.4832 1.2117
1.2447 1.244 -0.0128 1.2685 0.1 1.3365 0.9225
1.038 1.0538 0.3222 1.4286 0.11 1.3299 0.4262
0.9666 -0.0866 0.9316 1.4037 0.12 1.385 -0.0337
0.8535 -1.2599 1.2859 1.5027 0.13 1.5298 -0.4578
0.6473 -1.708 1.7563 1.6926 0.14 1.2864 -0.8934
0.4988 -0.8747 1.9806 1.5836 0.15 1.2672 -1.1517
0.2977 0.5585 2.0878 1.7228 0.16 1.1062 -1.3639
0.1371 1.5449 1.8846 1.6547 0.17 0.9718 -1.4239
0.0041 1.4517 1.3889 1.7801 0.18 0.96 -1.5837
-0.0863 0.7201 0.9476 1.6837 0.19 0.8834 -1.2211
-0.1342 0.1741 0.5107 1.6712 0.2 0.6615 -1.0311
-0.1222 0.1921 0.1747 1.6428 0.21 0.5848 -0.7474
-0.073 0.6914 0.1219 1.5315 0.22 0.4708 -0.3864
0.023 0.7119 0.3 1.6307 0.23 0.345 -0.0037
0.1756 0.0207 0.7294 1.5879 0.24 0.3183 0.3646
0.3225 -0.9686 1.2178 1.5323 0.25 0.2226 0.7134
0.5302 -1.2481 1.5943 1.4009 0.26 0.1787 0.8965
0.7539 -0.4349 1.8595 1.5693 0.27 0.1771 1.0839
0.9371 1.1778 1.8149 1.3528 0.28 0.1624 1.1172
1.203 2.3385 1.5284 1.3164 0.29 0.2011 1.2426
1.4086 2.2437 0.9246 1.1703 0.3 0.2951 1.1676
1.6476 0.9985 0.4799 1.0502 0.31 0.3579 1.0303
2.0768 -0.0764 -0.1086 1.177 0.32 0.5195 0.9598
2.0834 -0.4927 -0.559 1.0447 0.33 0.5508 0.7517
1.9797 -0.0904 -0.7903 0.9521 0.34 0.8011 0.4576
2.2503 0.4178 -0.6273 0.8697 0.35 0.9285 0.3102
2.0564 0.4231 -0.3607 0.7395 0.36 1.1203 0.1689
2.2654 -0.1055 0.0195 0.6336 0.37 1.1772 0.0527
2.0344 -0.4336 0.3918 0.6818 0.38 1.446 -0.0022
1.9508 0.1237 0.7717 0.5397 0.39 1.8139 -0.0108
1.7309 1.3452 0.7377 0.4887 0.4 1.7202 0.0225
1.4329 2.2251 0.6067 0.4337 0.41 1.84 0.0922
1.3554 2.4282 0.2397 0.3956 0.42 1.9873 0.179
