# label : secret experiment #1381
# y : signal strength
# x : time signal
#time y4 y2 y3 y1 y5
0.01 0.8601 0.3064 0.2185 0.2072 0.1767
0.02 -0.8169 0.6482 0.4718 0.4326 0.3232
0.03 0.0724 0.9992 0.6623 0.5518 0.5142
0.04 0.9675 1.2294 0.8592 0.8239 0.7089
0.05 -0.6744 1.4519 1.066 0.9369 0.795
0.06 0.1545 1.7713 1.1703 1.1512 1.0009
0.07 1.0731 1.7687 1.2981 1.2937 1.0909
0.08 -0.6752 1.7719 1.3728 1.1881 1.3456
0.09 0.2396 2.0496 1.1828 1.274 1.4289
0.1 1.1698 2.1125 1.3788 1.4106 1.5175
0.11 -0.5505 1.8333 1.2985 1.3975 1.478
0.12 0.3245 2.1275 1.1294 1.342 1.6583
0.13 1.2247 1.9003 1.2215 1.3033 1.5681
0.14 -0.4454 1.5495 1.0935 1.3053 1.7012
0.15 0.3712 1.4659 0.8115 1.2365 1.7263
0.16 1.3937 1.4047 0.7336 1.2463 1.6854
0.17 -0.3676 1.0177 0.614 1.2112 1.5111
0.18 0.4408 0.9659 0.3773 1.0075 1.5017
0.19 1.5369 0.621 0.2744 0.8182 1.5348
0.2 -0.285 0.4476 0.1203 0.7079 1.4476
0.21 0.5497 0.2541 0.0152 0.6261 1.182
0.22 1.5961 0.053 -0.0695 0.4781 1.2015
0.23 -0.2041 -0.1056 -0.1514 0.4526 1.0836
0.24 0.5634 -0.2638 -0.1599 0.3315 0.9637
0.25 1.5096 -0.3155 -0.1558 0.2269 0.8418
0.26 -0.1275 -0.3784 -0.1302 0.2038 0.893
0.27 0.6298 -0.4129 -0.0777 0.1618 0.7004
0.28 1.7514 -0.4314 0.0289 0.1522 0.6305
0.29 -0.0545 -0.4025 0.1563 0.1684 0.6447
0.3 0.6919 -0.374 0.3268 0.1912 0.5662
0.31 1.6891 -0.2412 0.5411 0.2768 0.4909
0.32 0.0198 -0.1458 0.7418 0.342 0.4972
0.33 0.886 -0.0426 0.9206 0.4526 0.4601
0.34 1.7502 0.0871 1.1375 0.6365 0.439
0.35 0.0872 0.1907 1.3173 0.7174 0.4951
0.36 0.9116 0.3436 1.4631 0.9251 0.5075
0.37 2.011 0.4516 1.7865 1.0942 0.5548
0.38 0.1674 0.5831 1.8978 1.3122 0.6298
0.39 0.8875 0.6289 1.8363 1.3291 0.6062
0.4 1.7473 0.6067 2.2691 1.5898 0.7529
0.41 0.2369 0.6998 2.0911 1.793 0.876
0.42 1.0998 0.7632 2.4498 1.9992 0.942
0.43 2.1986 0.6596 2.0789 2.0896 1.1004
0.44 0.3172 0.6122 2.2844 2.4739 1.29
0.45 1.1374 0.6381 2.1722 2.3931 1.5227
0.46 1.9663 0.5597 1.9807 2.5094 1.4696
0.47 0.3402 0.4568 2.1278 2.4006 1.6238
0.48 1.1233 0.406 1.9078 2.4883 1.8107
0.49 2.2452 0.3252 1.6171 2.4208 2.2068
0.5 0.4562 0.2307 1.4025 2.6604 2.0198
0.51 1.1428 0.171 1.3132 2.8495 2.462
0.52 2.1505 0.1312 1.111 2.4712 2.5223
0.53 0.4885 0.1217 1.0419 2.5234 2.5754
0.54 1.3155 0.1117 0.9036 2.2952 2.4557
0.55 2.4531 0.1582 0.7267 2.3823 2.7438
0.56 0.5299 0.1841 0.5886 2.3322 2.7832
0.57 1.3222 0.3056 0.5182 1.9425 3.129
0.58 2.4433 0.3777 0.5025 1.9647 3.1741
0.59 0.5744 0.5455 0.4292 1.7907 2.8622
0.6 1.3746 0.6864 0.4607 1.6701 2.6564
0.61 2.4485 1.0098 0.5847 1.5694 2.6395
0.62 0.6381 1.1792 0.6123 1.2746 2.8957
0.63 1.3859 1.2357 0.6881 1.2899 2.8971
0.64 2.2285 1.5786 0.7921 1.0209 2.928
0.65 0.6553 1.8777 1.1316 0.9998 2.5545
0.66 1.3922 2.1423 1.2396 0.9256 2.6804
0.67 2.3305 2.3567 1.5122 0.9356 2.4532
0.68 0.6943 2.1775 1.726 0.8883 2.1504
0.69 1.2829 2.3422 1.6539 0.8146 2.0972
0.7 2.4342 2.5478 1.9132 0.8773 2.1044
0.71 0.6694 2.6093 1.8836 0.9472 2.0279
0.72 1.4609 2.8117 2.1375 1.0789 1.8858
0.73 2.3374 2.7752 2.2794 1.2292 1.6357
0.74 0.7853 2.4934 2.5797 1.2165 1.4605
0.75 1.4507 2.6604 2.6367 1.3916 1.5147
0.76 2.3203 2.1947 2.3274 1.5154 1.293
0.77 0.83 1.9661 2.6059 1.5605 1.2743
0.78 1.3961 1.8274 2.559 1.8185 1.0759
0.79 2.7746 1.7074 2.1724 2.0774 1.0375
