# y : signal strength
# label : detector calibration 19. 10. 2015
#time y2 y1
0.01 0.2439 0.1772
0.02 0.4562 0.3405
0.03 0.8001 0.5191
0.04 1.0351 0.6409
0.05 1.1295 0.7658
0.06 1.3693 0.9251
0.07 1.633 0.9829
0.08 1.8061 1.2907
0.09 1.7125 1.4225
0.1 1.7241 1.4972
0.11 1.8888 1.5789
0.12 1.9416 1.7191
0.13 1.9141 1.7594
0.14 2.0108 1.6518
0.15 1.8098 1.6199
0.16 2.0524 1.6117
0.17 1.686 1.5919
0.18 1.6662 1.571
0.19 1.5572 1.7526
0.2 1.2381 1.6741
0.21 1.2137 1.4534
0.22 1.0586 1.4878
0.23 0.8404 1.4962
0.24 0.6352 1.2853
0.25 0.4597 1.3037
0.26 0.2305 1.2863
0.27 0.0614 1.2681
0.28 -0.1229 0.9899
0.29 -0.2751 1.0647
0.3 -0.4021 0.9039
0.31 -0.5995 0.9093
0.32 -0.6281 0.8702
0.33 -0.7799 0.7463
0.34 -0.8659 0.7381
0.35 -0.8669 0.622
0.36 -0.8662 0.6306
0.37 -0.8783 0.6523
0.38 -0.8569 0.6699
0.39 -0.9237 0.5955
0.4 -0.9187 0.6419
0.41 -0.8407 0.6414
0.42 -0.6191 0.7503
0.43 -0.5591 0.7183
0.44 -0.489 0.8792
0.45 -0.3583 0.8654
0.46 -0.2661 1.0711
0.47 -0.1296 1.2575
0.48 -0.0024 1.1575
0.49 0.1237 1.3711
0.5 0.236 1.4725
0.51 0.3738 1.6852
0.52 0.4316 1.7738
0.53 0.5524 1.7014
0.54 0.6328 2.0034
0.55 0.6293 2.2302
0.56 0.6989 2.102
0.57 0.7683 2.5453
0.58 0.7869 2.655
0.59 0.7615 2.7727
0.6 0.7496 2.913
0.61 0.859 2.5602
0.62 0.839 2.8978
0.63 0.8207 2.7343
0.64 0.7541 2.9607
0.65 0.7007 2.8995
0.66 0.6883 2.6976
0.67 0.545 2.7464
0.68 0.5807 2.7645
0.69 0.5462 2.8495
0.7 0.545 2.6218
0.71 0.4748 2.7293
0.72 0.4773 2.4077
0.73 0.4985 2.6073
0.74 0.4472 2.5733
0.75 0.4577 2.195
0.76 0.5545 2.1981
0.77 0.6001 2.1432
0.78 0.6683 2.0711
0.79 0.7457 1.71
0.8 0.8231 1.7581
0.81 0.813 1.5395
0.82 0.8944 1.4094
0.83 1.0851 1.3074
0.84 1.2231 1.1493
0.85 1.2855 0.989
0.86 1.4864 0.9346
0.87 1.415 0.7999
0.88 1.6597 0.661
0.89 1.6207 0.5314
0.9 1.5948 0.5209
0.91 1.6082 0.4607
0.92 1.809 0.3936
0.93 1.8997 0.3698
0.94 1.9775 0.297
0.95 1.7429 0.3155
0.96 1.6533 0.309
0.97 1.8206 0.3598
0.98 1.782 0.3476
0.99 1.6597 0.3802
1.0 1.3741 0.4304
1.01 1.399 0.5433
1.02 1.1494 0.6063
1.03 1.0431 0.5921
1.04 0.8988 0.6976
1.05 0.6918 0.7673
1.06 0.4551 0.8019
1.07 0.336 0.8584
1.08 0.1415 0.9441
1.09 -0.0479 1.1374
1.1 -0.2353 1.2097
1.11 -0.381 1.101
1.12 -0.5247 1.2151
1.13 -0.6441 1.2897
1.14 -0.8018 1.3503
1.15 -0.8495 1.2469
1.16 -0.8754 1.4304
1.17 -0.8917 1.4624
1.18 -1.0434 1.2937
1.19 -0.9687 1.2408
1.2 -0.8082 1.3426
1.21 -0.7464 1.0843
1.22 -0.709 1.1762
1.23 -0.6154 1.129
1.24 -0.4628 0.9129
1.25 -0.2484 0.7736
1.26 -0.0654 0.6626
1.27 0.1361 0.5907
1.28 0.3791 0.4657
1.29 0.6432 0.2651
1.3 0.8263 0.1301
1.31 1.1075 -0.0273
1.32 1.4046 -0.1677
1.33 1.4841 -0.3761
1.34 1.9326 -0.5186
1.35 2.1708 -0.6913
1.36 2.2149 -0.8684
1.37 2.1985 -0.929
1.38 2.7172 -1.1237
1.39 2.6443 -1.3039
1.4 2.9997 -1.3147
1.41 2.8656 -1.3856
1.42 3.1096 -1.6426
1.43 2.8541 -1.6469
1.44 2.8236 -1.6217
1.45 3.1153 -1.8664
1.46 2.6481 -1.616
1.47 2.7259 -1.8771
1.48 2.7625 -1.6469
1.49 2.4319 -1.7886
1.5 2.4259 -1.7636
1.51 2.0677 -1.8481
1.52 2.0713 -1.749
1.53 1.6573 -1.425
1.54 1.6037 -1.6223
1.55 1.1711 -1.4002
1.56 1.0572 -1.374
1.57 0.8783 -1.1792
1.58 0.6361 -1.1981
1.59 0.4628 -0.978
1.6 0.3075 -1.0038
1.61 0.1266 -0.8478
1.62 -0.0262 -0.7264
1.63 -0.1498 -0.6984
1.64 -0.2663 -0.6418
1.65 -0.3108 -0.5035
1.66 -0.3668 -0.4563
1.67 -0.4267 -0.4347
1.68 -0.4079 -0.3634
1.69 -0.4004 -0.3429
1.7 -0.3675 -0.3066
1.71 -0.3519 -0.2564
1.72 -0.2459 -0.2848
1.73 -0.1859 -0.2918
1.74 -0.0624 -0.2922
1.75 0.048 -0.3649
1.76 0.1735 -0.4449
1.77 0.272 -0.5063
1.78 0.423 -0.5149
1.79 0.5254 -0.69
1.8 0.701 -0.6784
1.81 0.7517 -0.8833
1.82 0.8813 -0.9322
1.83 1.0386 -0.9712
1.84 1.2478 -1.1356
1.85 1.1313 -1.2776
1.86 1.2777 -1.3693
1.87 1.313 -1.6103
1.88 1.4533 -1.6678
1.89 1.5667 -1.6646
1.9 1.5712 -1.8499
1.91 1.3475 -1.7966
1.92 1.5115 -1.835
1.93 1.3049 -2.2274
1.94 1.3312 -2.295
1.95 1.3546 -2.0276
1.96 1.2906 -2.0896
1.97 1.379 -2.3933
1.98 1.3104 -2.0571
1.99 1.1292 -1.9777
2.0 1.0433 -2.0835
2.01 0.9641 -1.9989
2.02 1.1039 -1.9487
2.03 1.0526 -1.8505
2.04 0.9183 -2.0797
2.05 0.8954 -1.8832
2.06 0.986 -1.6529
2.07 0.8729 -1.6409
2.08 0.9559 -1.5628
2.09 1.0542 -1.3263
2.1 0.9498 -1.1556
2.11 0.9549 -0.9666
2.12 0.9978 -0.9697
2.13 1.1999 -0.7244
2.14 1.3254 -0.6218
2.15 1.3743 -0.5141
2.16 1.467 -0.4063
2.17 1.4918 -0.24
2.18 1.6427 -0.1395
2.19 1.7589 -0.041
2.2 1.5594 0.051
2.21 1.6107 0.1508
2.22 1.7345 0.2332
2.23 1.8337 0.2921
2.24 1.6197 0.3137
2.25 1.8107 0.3197
2.26 1.7547 0.3766
2.27 1.8411 0.3549
2.28 1.5852 0.3557
2.29 1.6257 0.3581
2.3 1.5882 0.3032
2.31 1.2782 0.2455
2.32 1.2914 0.1914
2.33 1.1316 0.1464
2.34 0.9571 0.0647
2.35 0.7782 -0.0225
2.36 0.5779 -0.1002
2.37 0.4581 -0.1895
2.38 0.2777 -0.2689
2.39 0.0958 -0.3782
2.4 -0.077 -0.5184
2.41 -0.2663 -0.592
2.42 -0.3889 -0.6364
2.43 -0.5234 -0.7091
2.44 -0.6081 -0.8696
2.45 -0.8198 -0.9385
2.46 -0.8269 -0.9516
2.47 -0.9592 -0.9903
2.48 -0.9244 -1.1007
2.49 -0.9278 -0.9948
2.5 -0.8833 -1.0894
2.51 -0.9423 -1.089
2.52 -0.7342 -1.0235
2.53 -0.7356 -0.9739
2.54 -0.5988 -0.9755
2.55 -0.4288 -0.82
2.56 -0.2449 -0.8407
2.57 -0.086 -0.7572
2.58 0.1265 -0.6024
2.59 0.3566 -0.4852
2.6 0.5001 -0.4299
2.61 0.7919 -0.2857
2.62 0.9781 -0.1627
2.63 1.1949 -0.029
2.64 1.4479 0.1156
2.65 1.6281 0.2474
2.66 1.9991 0.403
2.67 2.1834 0.4521
2.68 2.1589 0.5846
2.69 2.1769 0.7998
2.7 2.4797 0.8662
2.71 2.6168 1.0169
2.72 2.7355 1.0318
2.73 2.7043 1.0972
2.74 2.4847 1.1521
2.75 2.3404 1.2966
2.76 2.3874 1.342
2.77 2.269 1.2143
2.78 2.5279 1.371
2.79 2.155 1.2517
2.8 1.9698 1.3058
2.81 1.758 1.1962
2.82 1.7304 1.1401
2.83 1.27 1.148
2.84 1.1227 1.0175
2.85 0.9883 1.002
2.86 0.7469 0.911
2.87 0.4819 0.8745
2.88 0.247 0.7607
2.89 0.0204 0.7041
2.9 -0.2065 0.4905
2.91 -0.4024 0.4032
2.92 -0.5468 0.2933
2.93 -0.7649 0.1814
2.94 -0.9281 0.0472
2.95 -1.035 -0.0563
2.96 -1.1184 -0.1579
2.97 -1.1791 -0.2861
2.98 -1.0641 -0.3714
2.99 -1.2229 -0.452
3.0 -1.0316 -0.5404
3.01 -1.2066 -0.5469
3.02 -1.1404 -0.5868
3.03 -0.9035 -0.6186
3.04 -0.827 -0.6495
3.05 -0.7762 -0.6796
3.06 -0.6465 -0.6768
3.07 -0.5011 -0.5806
3.08 -0.3562 -0.6434
3.09 -0.2016 -0.5252
3.1 -0.0807 -0.4665
3.11 0.0727 -0.4035
3.12 0.2241 -0.3341
3.13 0.3546 -0.2461
3.14 0.4246 -0.1676
3.15 0.5083 -0.0706
3.16 0.6724 0.0359
3.17 0.7315 0.1322
3.18 0.7717 0.2668
3.19 0.7747 0.3288
3.2 0.9453 0.4603
3.21 0.85 0.5987
3.22 0.9345 0.7164
3.23 0.8425 0.6968
3.24 0.8721 0.8091
3.25 0.8318 0.9631
3.26 0.7532 0.9674
3.27 0.7214 1.0744
3.28 0.6913 0.991
3.29 0.6247 1.0911
3.3 0.5397 1.0011
3.31 0.4501 1.0582
3.32 0.3513 1.1475
3.33 0.3288 1.0227
3.34 0.2209 0.9187
3.35 0.1934 0.9206
3.36 0.1565 0.9564
3.37 0.1274 0.7219
3.38 0.1007 0.7009
3.39 0.0866 0.566
3.4 0.0826 0.5144
3.41 0.0848 0.3766
3.42 0.1144 0.2313
3.43 0.148 0.1439
3.44 0.186 0.007
3.45 0.2315 -0.1285
3.46 0.2663 -0.2623
3.47 0.3218 -0.3282
3.48 0.3807 -0.4923
3.49 0.4736 -0.531
3.5 0.4597 -0.7403
3.51 0.5731 -0.7447
3.52 0.6283 -0.809
3.53 0.5719 -0.8699
3.54 0.6764 -0.9046
3.55 0.679 -0.9826
3.56 0.5795 -1.047
3.57 0.5484 -0.9784
3.58 0.531 -1.1453
3.59 0.4905 -1.0578
3.6 0.4537 -1.0538
3.61 0.3155 -1.0187
3.62 0.2574 -0.9668
3.63 0.11 -0.9242
3.64 -0.0166 -0.8037
3.65 -0.1515 -0.7003
