# x : time signal
#y3 time y4 y1 y2
0.9807 0.01 0.3143 0.1732 0.3556
0.2589 0.02 0.5669 0.3304 0.6055
-0.8748 0.03 0.7704 0.5265 0.8883
-0.1828 0.04 1.0249 0.7566 1.0644
1.1078 0.05 1.1185 0.8686 1.2503
0.6703 0.06 1.2408 0.9785 1.1464
-0.5708 0.07 1.231 1.1238 1.155
-0.2797 0.08 1.2254 1.2307 0.8351
1.0511 0.09 1.1782 1.3237 0.5886
1.2477 0.1 0.9454 1.4838 0.3477
-0.1644 0.11 0.7771 1.4129 0.1184
-0.3889 0.12 0.5099 1.5683 -0.1273
0.9677 0.13 0.3362 1.7929 -0.2905
1.475 0.14 0.1043 1.6857 -0.4648
0.3002 0.15 -0.0641 1.7806 -0.4216
-0.3301 0.16 -0.1895 1.7577 -0.3431
0.839 0.17 -0.2333 1.7252 -0.1742
1.6891 0.18 -0.2281 1.7401 0.0859
0.7435 0.19 -0.1658 1.5355 0.4014
-0.2465 0.2 -0.0253 1.5865 0.757
0.5966 0.21 0.1674 1.5411 1.1911
1.8189 0.22 0.402 1.6068 1.4002
1.2916 0.23 0.6663 1.2989 1.8164
-0.0012 0.24 0.9435 1.3268 1.8834
0.4031 0.25 1.2149 1.1306 2.0701
1.6052 0.26 1.5762 1.2309 1.905
1.7322 0.27 1.8831 1.0105 1.6152
0.3353 0.28 1.9231 1.0078 1.4944
0.2597 0.29 2.2839 0.8371 1.3125
1.651 0.3 2.0357 0.7797 1.1735
1.9845 0.31 2.0834 0.7954 0.8625
0.6783 0.32 1.9256 0.6749 0.5615
0.1755 0.33 1.9662 0.733 0.3508
1.4506 0.34 1.8755 0.6604 0.2585
1.9858 0.35 1.3835 0.626 0.2299
1.1992 0.36 1.3542 0.6621 0.2962
0.2157 0.37 1.0495 0.7259 0.4766
1.2253 0.38 0.9149 0.7686 0.715
2.2916 0.39 0.6139 0.682 0.9226
1.5349 0.4 0.5008 0.7439 1.2341
0.3539 0.41 0.4309 0.9439 1.777
0.8329 0.42 0.4154 1.0473 1.9703
1.9693 0.43 0.4919 1.1515 2.3184
1.8498 0.44 0.5777 1.2212 2.5614
0.553 0.45 0.7052 1.1999 2.7179
0.597 0.46 0.8956 1.4348 2.3038
1.9762 0.47 1.1559 1.6765 2.1723
2.0344 0.48 1.4838 1.53 2.1108
0.8729 0.49 1.8455 1.7816 1.7986
0.4318 0.5 1.8194 2.0564 1.5697
1.764 0.51 2.332 2.2537 1.3351
2.3923 0.52 2.5488 2.433 1.1176
1.1167 0.53 2.3267 2.5311 0.824
0.3755 0.54 2.228 2.5811 0.7135
1.304 0.55 2.5353 2.3264 0.7003
2.1609 0.56 2.1908 2.5783 0.7796
1.3765 0.57 2.1971 2.9488 0.9322
0.4073 0.58 1.8652 2.566 1.032
1.0726 0.59 1.7363 2.7098 1.5584
2.1682 0.6 1.3534 3.0279 1.7163
1.7292 0.61 1.2501 2.6914 2.053
0.4491 0.62 0.9434 3.0887 2.2605
0.7749 0.63 0.6667 2.7456 2.3808
2.0773 0.64 0.5032 2.9327 2.725
1.8417 0.65 0.3756 2.8064 2.5352
0.6032 0.66 0.3846 2.7394 2.828
0.4848 0.67 0.3652 2.5964 2.7053
1.8537 0.68 0.501 2.9727 2.4912
1.9903 0.69 0.5592 2.3881 2.0659
0.9286 0.7 0.7716 2.268 1.9266
0.2498 0.71 1.1003 2.2593 1.5498
1.3017 0.72 1.2252 2.307 1.2616
2.1373 0.73 1.4907 2.0815 1.1087
1.0345 0.74 1.7708 1.7852 0.8853
0.1404 0.75 1.7415 1.9269 0.9126
0.988 0.76 2.0802 1.5137 0.9286
2.1321 0.77 1.9284 1.5279 0.9857
1.4177 0.78 2.1543 1.5086 1.1876
0.1369 0.79 2.1916 1.2731 1.5707
0.5034 0.8 1.8994 1.163 1.9446
1.8015 0.81 1.5952 1.0672 2.3058
1.5689 0.82 1.4381 0.9213 2.5591
0.2057 0.83 1.1521 0.7952 2.5922
0.1779 0.84 0.968 0.6465 2.5978
1.6445 0.85 0.6592 0.568 2.846
1.7397 0.86 0.4134 0.4782 2.5196
0.3567 0.87 0.1553 0.466 2.7122
-0.0931 0.88 -0.0328 0.4508 2.2132
1.0204 0.89 -0.1577 0.3996 1.9618
1.8258 0.9 -0.2036 0.3609 1.7012
0.5917 0.91 -0.2233 0.4221 1.5313
-0.279 0.92 -0.1226 0.4145 1.2548
0.6796 0.93 0.0015 0.4122 0.9663
1.7966 0.94 0.1658 0.5285 0.8719
0.866 0.95 0.3696 0.5951 0.8034
-0.3692 0.96 0.6699 0.6149 0.7412
0.2078 0.97 0.7724 0.6247 1.0009
1.3202 0.98 1.1273 0.6775 1.1942
1.0102 0.99 1.3185 0.8294 1.3467
-0.311 1.0 1.4961 0.9731 1.6506
-0.1803 1.01 1.4127 1.0315 2.1177
1.1306 1.02 1.4558 1.1205 2.4012
1.221 1.03 1.3541 1.19 2.5668
-0.1956 1.04 1.2955 1.2416 2.5859
-0.5481 1.05 0.9662 1.1243 2.8344
0.7301 1.06 0.873 1.2292 2.6278
1.1194 1.07 0.6066 1.3985 2.293
0.0052 1.08 0.277 1.4276 2.2231
-0.7371 1.09 -0.0059 1.2931 1.977
0.3429 1.1 -0.2739 1.342 1.5427
1.3231 1.11 -0.4619 1.4033 1.2549
0.2592 1.12 -0.6553 1.3029 0.9553
-0.8001 1.13 -0.8222 1.256 0.6569
-0.0928 1.14 -0.8002 1.0758 0.4561
1.0139 1.15 -0.8177 1.1571 0.3957
0.4631 1.16 -0.7558 0.9652 0.3987
-0.8387 1.17 -0.5375 0.8229 0.5649
-0.5038 1.18 -0.3999 0.8069 0.7563
0.8284 1.19 -0.1453 0.5875 0.9888
0.758 1.2 0.0822 0.4348 1.1536
-0.6969 1.21 0.3455 0.2846 1.6796
-0.7235 1.22 0.5827 0.1428 1.8706
0.5061 1.23 0.7409 -0.033 2.0308
0.8401 1.24 0.9579 -0.2163 2.2687
-0.4534 1.25 0.9509 -0.4057 2.321
-0.9124 1.26 0.945 -0.587 1.9132
0.1682 1.27 0.9159 -0.6748 1.981
0.8512 1.28 0.7822 -0.8677 1.5475
-0.1833 1.29 0.6258 -0.9984 1.272
-1.0458 1.3 0.4404 -1.2934 1.1043
-0.2304 1.31 0.2108 -1.3631 0.6931
0.9289 1.32 -0.0507 -1.3953 0.362
0.1404 1.33 -0.306 -1.5927 0.1252
-1.106 1.34 -0.5641 -1.9243 -0.0552
-0.5966 1.35 -0.7989 -1.7847 -0.1411
0.7216 1.36 -0.8903 -2.0279 -0.1284
0.393 1.37 -0.9123 -1.8713 -0.0115
-0.8995 1.38 -1.0356 -2.0776 0.1939
-0.8425 1.39 -0.9104 -2.0551 0.4288
0.4758 1.4 -0.9136 -2.2213 0.6821
0.6199 1.41 -0.6436 -1.9596 0.9554
-0.6248 1.42 -0.4335 -2.1546 1.3154
-0.9315 1.43 -0.2236 -1.9089 1.4471
0.2258 1.44 0.0594 -1.9099 1.6788
0.92 1.45 0.3196 -1.8484 1.5283
-0.293 1.46 0.5449 -1.694 1.5962
-1.0069 1.47 0.7618 -1.7803 1.1957
-0.0479 1.48 0.9003 -1.7027 0.9951
0.9651 1.49 1.1718 -1.5763 0.7106
0.0792 1.5 1.0223 -1.6156 0.4133
-0.9583 1.51 1.1587 -1.481 0.0782
-0.3531 1.52 1.0142 -1.3822 -0.2399
0.8404 1.53 0.8996 -1.1793 -0.4896
0.4221 1.54 0.6635 -1.221 -0.6673
-0.8606 1.55 0.4384 -1.0446 -0.6865
-0.62 1.56 0.2431 -1.0387 -0.67
0.7728 1.57 -0.0084 -0.9175 -0.5737
0.7683 1.58 -0.2325 -1.0166 -0.4588
-0.5407 1.59 -0.4028 -0.9472 -0.1751
-0.6934 1.6 -0.506 -0.8587 0.1024
0.6607 1.61 -0.5692 -0.7695 0.4255
1.0939 1.62 -0.6502 -0.9179 0.7036
-0.1356 1.63 -0.4859 -0.9166 0.9169
-0.7904 1.64 -0.4154 -0.9651 0.9967
0.3781 1.65 -0.1916 -0.924 1.004
1.238 1.66 0.0501 -0.9748 0.8495
0.303 1.67 0.3178 -1.0383 0.7636
-0.7498 1.68 0.6622 -1.1983 0.462
0.1798 1.69 0.8545 -1.1734 0.1911
1.4243 1.7 1.2135 -1.2456 -0.131
0.8082 1.71 1.393 -1.5683 -0.5145
-0.5222 1.72 1.4596 -1.6853 -0.7296
-0.0329 1.73 1.8374 -1.8011 -1.0555
1.3485 1.74 1.8502 -1.8064 -1.2053
1.1926 1.75 1.8604 -2.1086 -1.1694
-0.1503 1.76 1.8498 -1.9447 -1.3838
-0.1786 1.77 1.6548 -2.2406 -1.1584
1.3287 1.78 1.3354 -2.5449 -0.9459
1.3587 1.79 1.1205 -2.6922 -0.7454
0.2428 1.8 0.8711 -2.8163 -0.4129
-0.2138 1.81 0.7288 -2.5902 -0.1188
1.1138 1.82 0.5214 -2.4659 0.143
1.9011 1.83 0.3345 -2.9188 0.3246
0.7592 1.84 0.2225 -2.8491 0.4854
-0.1427 1.85 0.161 -3.1315 0.4775
0.8626 1.86 0.1772 -2.9812 0.4014
2.0743 1.87 0.2382 -2.7878 0.2639
1.2591 1.88 0.393 -3.1204 0.0289
0.0356 1.89 0.6034 -2.7223 -0.2436
0.72 1.9 0.8299 -2.6315 -0.5636
2.0933 1.91 1.0162 -2.9971 -0.8819
1.7722 1.92 1.4357 -2.9006 -1.1915
0.316 1.93 1.6975 -2.673 -1.4073
0.5279 1.94 1.7534 -2.5144 -1.5684
1.978 1.95 1.9927 -2.5876 -1.5654
2.1912 1.96 2.3938 -2.0961 -1.5314
0.7162 1.97 2.6074 -2.1062 -1.3882
0.4171 1.98 2.3005 -1.9153 -1.3157
1.6906 1.99 2.6961 -1.748 -1.1195
2.1945 2.0 2.4733 -1.6832 -0.7961
1.2413 2.01 2.3895 -1.3316 -0.4517
0.4016 2.02 2.1118 -1.4016 -0.2328
1.4396 2.03 1.8823 -1.1534 0.0003
2.622 2.04 1.4919 -0.9887 0.1356
1.6315 2.05 1.2887 -0.7801 0.1595
0.6044 2.06 1.2508 -0.7553 0.1255
1.2303 2.07 0.8926 -0.6202 -0.0264
2.747 2.08 0.8626 -0.4745 -0.2318
2.2116 2.09 0.7224 -0.4053 -0.5883
0.8411 2.1 0.758 -0.3065 -0.8432
1.1125 2.11 0.7549 -0.2077 -1.1193
2.3305 2.12 0.9924 -0.1712 -1.5221
2.3069 2.13 1.1272 -0.1078 -1.7664
1.1725 2.14 1.3193 -0.0887 -1.8486
0.9795 2.15 1.5943 -0.0739 -1.9454
2.1001 2.16 1.6646 -0.0684 -1.7253
2.9269 2.17 1.9034 -0.0781 -1.674
1.5374 2.18 2.4319 -0.1095 -1.4872
0.827 2.19 2.6433 -0.1477 -1.1262
2.1787 2.2 2.89 -0.1892 -0.8623
2.8313 2.21 2.5997 -0.2242 -0.6006
1.7775 2.22 2.6166 -0.289 -0.3884
0.8262 2.23 2.7296 -0.346 -0.1267
1.6888 2.24 2.8581 -0.4547 0.0146
2.892 2.25 2.5753 -0.4764 0.0702
2.4213 2.26 2.3106 -0.5358 0.0232
1.092 2.27 1.8067 -0.7278 -0.1076
1.5427 2.28 1.8622 -0.665 -0.3181
3.078 2.29 1.5013 -0.8659 -0.5602
2.3062 2.3 1.1351 -0.8025 -0.8647
1.26 2.31 1.0204 -0.8122 -1.1191
1.2039 2.32 0.8783 -0.8981 -1.4693
2.6097 2.33 0.6884 -0.8879 -1.861
2.9079 2.34 0.6501 -0.97 -1.9809
1.4099 2.35 0.7265 -0.9824 -1.8596
1.1392 2.36 0.8401 -0.9001 -1.9941
2.1133 2.37 0.8989 -0.8294 -1.7559
2.9687 2.38 1.1634 -0.8048 -1.6001
1.638 2.39 1.4593 -0.7883 -1.3105
1.066 2.4 1.6469 -0.6874 -0.8966
2.0633 2.41 1.8877 -0.649 -0.5559
2.6985 2.42 2.0202 -0.4828 -0.3212
2.2665 2.43 2.0849 -0.3596 -0.0669
0.9021 2.44 2.2509 -0.2458 0.0846
1.4726 2.45 2.2733 -0.0855 0.1545
3.0254 2.46 2.6257 0.0734 0.1112
2.4886 2.47 2.2461 0.2585 -0.0196
1.117 2.48 1.9597 0.423 -0.2458
1.1914 2.49 1.9914 0.5288 -0.5317
2.3803 2.5 1.7929 0.7673 -0.7684
2.7486 2.51 1.4257 0.9294 -1.174
1.3139 2.52 1.2533 1.133 -1.4616
1.0279 2.53 0.7885 1.3482 -1.5449
2.1696 2.54 0.555 1.3736 -1.6946
2.9192 2.55 0.3647 1.7218 -1.9171
1.385 2.56 0.1398 1.6841 -1.5959
0.7967 2.57 0.0245 1.9086 -1.4046
1.9341 2.58 -0.0393 1.806 -1.3762
2.8241 2.59 -0.0325 2.0007 -1.1346
1.6567 2.6 0.0343 2.2287 -0.6952
0.6477 2.61 0.1538 2.4069 -0.4001
1.4363 2.62 0.331 2.3318 -0.1048
2.3216 2.63 0.5406 2.4676 0.1194
1.8557 2.64 0.782 2.5591 0.2724
0.6137 2.65 1.0598 2.5749 0.391
0.9944 2.66 1.209 2.5979 0.2954
2.0486 2.67 1.2318 2.2147 0.2234
2.2446 2.68 1.5302 2.424 -0.0
0.662 2.69 1.5469 2.1452 -0.267
0.5062 2.7 1.5484 2.3885 -0.6093
2.0413 2.71 1.3822 1.9702 -0.7905
2.2659 2.72 1.2321 2.1339 -1.0648
0.8368 2.73 0.9912 2.111 -1.448
0.2719 2.74 0.7025 2.0252 -1.3624
1.4121 2.75 0.4697 1.7389 -1.5108
1.9546 2.76 0.1323 1.8034 -1.4918
0.9286 2.77 -0.1557 1.6891 -1.4123
0.0494 2.78 -0.4257 1.5631 -1.137
0.8635 2.79 -0.7004 1.4215 -0.7472
1.799 2.8 -0.788 1.3704 -0.4861
1.1522 2.81 -0.9511 1.3242 -0.1309
-0.0467 2.82 -0.9748 1.0489 0.1464
0.5071 2.83 -1.1252 1.1049 0.4184
1.8113 2.84 -0.9941 0.9353 0.5884
1.3176 2.85 -0.8233 0.907 0.6449
-0.0392 2.86 -0.709 0.9082 0.6392
0.0398 2.87 -0.4554 0.9931 0.4297
1.3569 2.88 -0.2439 0.9229 0.2867
1.5513 2.89 -0.0375 0.9933 0.0038
0.0675 2.9 0.1524 0.9715 -0.2777
-0.3068 2.91 0.3307 1.185 -0.6334
0.9321 2.92 0.4108 1.0785 -0.7748
1.5366 2.93 0.5272 1.1676 -0.9706
0.2296 2.94 0.4675 1.3802 -1.1249
-0.5349 2.95 0.4287 1.2659 -1.259
0.4644 2.96 0.2612 1.3648 -1.2229
1.2939 2.97 0.0513 1.5046 -1.0147
0.4492 2.98 -0.1829 1.8454 -0.7867
-0.6913 2.99 -0.4797 1.9969 -0.539
-0.0115 3.0 -0.8238 2.0263 -0.2041
1.158 3.01 -1.1175 2.2708 0.0982
0.6431 3.02 -1.2896 2.1932 0.4084
-0.736 3.03 -1.5269 2.5108 0.6041
-0.4214 3.04 -1.7442 2.159 0.7952
0.869 3.05 -1.8016 2.3502 0.8437
0.7153 3.06 -2.0288 2.6034 0.8731
-0.5959 3.07 -1.757 2.3907 0.6699
-0.8354 3.08 -1.6874 2.4289 0.5134
0.5202 3.09 -1.6925 2.9166 0.236
0.8659 3.1 -1.5026 2.9097 -0.0717
-0.46 3.11 -1.1554 2.875 -0.3638
-0.9576 3.12 -0.9231 2.9089 -0.622
0.0891 3.13 -0.6146 2.7586 -0.8127
0.878 3.14 -0.3977 2.6964 -1.089
-0.1947 3.15 -0.2288 2.8928 -0.9786
-1.252 3.16 -0.1113 2.3511 -1.1042
-0.3423 3.17 -0.0322 2.3423 -0.862
0.7142 3.18 -0.0157 2.3722 -0.5857
0.0674 3.19 -0.0731 2.3368 -0.3588
-1.1095 3.2 -0.2054 2.3127 -0.0514
-0.6743 3.21 -0.3965 1.8332 0.2771
0.5246 3.22 -0.5607 1.6795 0.5042
0.2932 3.23 -0.8137 1.689 0.8139
-1.0979 3.24 -1.025 1.6149 0.9716
-0.9831 3.25 -1.2254 1.4203 0.9844
