# label : secret experiment #4214
# y : intensity
#y1 y4 y3 y2 time
0.2874 -0.618 0.1258 0.2397 0.01
0.5539 0.7176 0.2462 0.4746 0.02
0.8072 0.0444 0.3598 0.5904 0.03
1.0012 -0.7879 0.5263 0.8736 0.04
1.1614 1.6207 0.7104 1.085 0.05
1.5408 -1.2461 0.7221 1.1499 0.06
1.6481 0.8161 0.926 1.1773 0.07
1.7811 0.2953 0.9871 1.2099 0.08
1.7457 0.1804 1.1495 1.3622 0.09
1.7328 -0.4753 1.2192 1.1425 0.1
1.9128 1.6978 1.1306 1.3098 0.11
1.9219 -1.8145 1.4233 1.1565 0.12
1.817 1.9056 1.3455 0.9213 0.13
1.8327 -0.2994 1.5675 0.9131 0.14
1.6601 0.455 1.3547 0.7813 0.15
1.6345 0.2908 1.6444 0.5084 0.16
1.4115 1.1662 1.6833 0.4116 0.17
1.167 -1.1462 1.5504 0.2473 0.18
1.0564 2.2195 1.6933 0.0994 0.19
0.8266 -0.6113 1.4028 -0.0287 0.2
0.7549 0.6612 1.4255 -0.1318 0.21
0.671 0.8916 1.3416 -0.186 0.22
0.4771 0.2829 1.3673 -0.2178 0.23
0.3923 0.1278 1.506 -0.2234 0.24
0.2675 1.7094 1.3592 -0.1963 0.25
0.2294 -0.4016 1.334 -0.1308 0.26
0.1511 0.9225 1.147 -0.0099 0.27
0.1296 1.323 1.0764 0.1321 0.28
0.14 -0.504 1.1641 0.2852 0.29
0.1557 1.5223 0.9819 0.5117 0.3
0.2108 0.4895 0.9473 0.6831 0.31
0.2683 0.3652 0.801 0.9591 0.32
0.3523 0.8933 0.7555 1.124 0.33
0.4346 1.4501 0.7456 1.2725 0.34
0.528 -0.7951 0.6729 1.5134 0.35
0.7449 2.4377 0.6012 1.8307 0.36
0.7453 -0.5676 0.4904 1.7712 0.37
0.9253 1.3035 0.4636 1.9291 0.38
0.9124 0.8114 0.4066 2.085 0.39
0.9943 1.0752 0.3719 2.1761 0.4
1.1486 -0.166 0.3549 2.044 0.41
1.2326 2.8697 0.3254 2.0491 0.42
1.076 -0.9759 0.2656 2.1472 0.43
1.052 2.2995 0.2789 1.9247 0.44
0.994 0.6013 0.3017 1.8203 0.45
0.9541 0.7723 0.2951 1.6762 0.46
0.9503 0.8841 0.2936 1.6712 0.47
0.7736 1.7916 0.3523 1.443 0.48
0.6027 -0.5408 0.3551 1.1204 0.49
0.42 2.2908 0.3966 0.9421 0.5
