# y : intensity
# label : secret experiment #4709
#y1 y5 time y2 y4 y3
0.1683 0.2682 0.01 0.1849 0.3402 0.2202
0.3319 0.4607 0.02 0.3462 0.7177 0.4365
0.5093 0.6903 0.03 0.5568 0.8691 0.6564
0.7064 1.0522 0.04 0.6926 1.156 0.83
0.7349 1.1634 0.05 0.9213 1.4622 0.9538
0.8768 1.3267 0.06 1.0663 1.3633 1.0585
1.0433 1.7563 0.07 1.0552 1.4071 1.3
1.315 1.6692 0.08 1.3081 1.5074 1.4641
1.2836 1.9204 0.09 1.2055 1.3216 1.6097
1.5465 1.9975 0.1 1.3046 1.2367 1.8963
1.4585 2.1476 0.11 1.213 1.1545 1.9512
1.5032 2.0306 0.12 1.4189 0.9762 2.1055
1.6336 2.5223 0.13 1.2945 0.6543 2.0904
1.5408 2.1553 0.14 1.3877 0.4959 1.8536
1.6833 2.2277 0.15 1.3257 0.322 2.2386
1.8643 2.1375 0.16 1.1515 0.2259 1.9979
1.7695 2.0706 0.17 1.095 0.1609 2.0086
1.6803 2.0436 0.18 0.9212 0.1684 2.1992
1.7292 2.2515 0.19 0.8249 0.2393 2.1249
1.7891 2.0705 0.2 0.6463 0.3552 1.9673
1.7892 1.9232 0.21 0.5358 0.5536 2.1066
1.6159 1.7205 0.22 0.4583 0.7655 1.8002
1.6865 1.7305 0.23 0.2928 0.9719 1.6686
1.6177 1.7589 0.24 0.1929 1.2092 1.797
1.3724 1.3852 0.25 0.0979 1.5253 1.4606
1.3631 1.2819 0.26 0.025 1.7014 1.4256
1.1584 1.2437 0.27 -0.0341 1.9603 1.4203
1.0992 1.1288 0.28 -0.0817 1.8579 1.299
1.0746 1.0784 0.29 -0.0941 2.1346 1.1407
1.1136 0.9308 0.3 -0.0867 1.9862 1.2204
0.9934 0.7292 0.31 -0.0674 2.0882 0.9604
0.9003 0.6839 0.32 -0.0218 1.9406 0.9603
0.7735 0.66 0.33 0.0486 1.7295 0.9042
0.7676 0.5296 0.34 0.1363 1.3287 0.874
0.7728 0.5079 0.35 0.2578 1.1279 0.7934
0.7596 0.5127 0.36 0.3921 0.8557 0.7265
0.7108 0.4605 0.37 0.5408 0.4608 0.7362
0.59 0.4274 0.38 0.7007 0.1792 0.6701
0.6001 0.4992 0.39 0.8239 -0.096 0.6876
0.6177 0.4857 0.4 0.9942 -0.3037 0.7663
0.7336 0.5425 0.41 1.2159 -0.4662 0.827
0.7364 0.5686 0.42 1.3371 -0.6117 0.7401
0.7605 0.6605 0.43 1.6882 -0.606 0.8241
0.7805 0.6289 0.44 1.7151 -0.5153 0.9506
0.9253 0.76 0.45 1.8348 -0.4115 1.0068
0.9823 0.7568 0.46 2.1361 -0.3149 1.0974
1.047 0.8934 0.47 2.2247 -0.1231 1.2145
1.1291 0.928 0.48 2.2704 0.0726 1.1748
1.1961 0.9247 0.49 2.1282 0.2655 1.2827
1.3044 0.9806 0.5 2.3573 0.477 1.4308
1.4369 0.9497 0.51 2.4639 0.6344 1.414
1.6382 0.9369 0.52 2.4179 0.7684 1.4587
1.6339 1.0897 0.53 2.3384 0.7123 1.5756
1.8326 0.9738 0.54 2.1238 0.6857 1.8346
1.9995 1.0078 0.55 2.2842 0.6378 1.6708
1.92 0.8307 0.56 2.139 0.5459 1.6411
2.1751 0.7873 0.57 1.8839 0.3215 1.8057
2.0657 0.7382 0.58 1.9247 0.1029 1.8626
2.4275 0.6703 0.59 1.5987 -0.1588 1.6761
2.2544 0.649 0.6 1.6108 -0.4294 1.7577
2.6582 0.5133 0.61 1.6178 -0.6947 1.7864
2.5122 0.3693 0.62 1.4597 -0.9099 1.658
2.8211 0.1966 0.63 1.1589 -1.018 1.7806
2.7675 0.0682 0.64 1.0943 -1.2726 1.7101
2.9126 -0.0747 0.65 1.0004 -1.2697 1.4696
2.9618 -0.2194 0.66 0.7704 -1.3653 1.4873
2.8616 -0.4084 0.67 0.7497 -1.2591 1.3132
2.5468 -0.573 0.68 0.6953 -1.1231 1.1946
2.6228 -0.6706 0.69 0.6058 -1.0224 1.0471
2.5657 -0.8857 0.7 0.5491 -0.7158 1.0482
2.6594 -0.9077 0.71 0.5658 -0.4208 0.79
2.7187 -1.0558 0.72 0.6285 -0.0799 0.6147
2.348 -1.2163 0.73 0.5644 0.2307 0.4648
2.454 -1.2355 0.74 0.6649 0.5147 0.3144
2.283 -1.4265 0.75 0.6801 0.7668 0.1374
2.2901 -1.5159 0.76 0.9036 0.9097 -0.0329
1.8724 -1.3807 0.77 0.9534 1.11 -0.1895
1.8609 -1.4497 0.78 1.1935 1.1888 -0.3462
1.7741 -1.4161 0.79 1.2337 1.3349 -0.5387
1.6747 -1.2758 0.8 1.4221 1.2889 -0.6095
1.3833 -1.255 0.81 1.3962 1.1835 -0.7554
1.3305 -1.3607 0.82 1.8037 0.9781 -0.9766
1.1339 -1.0875 0.83 1.7576 0.9474 -1.1017
0.924 -1.0458 0.84 2.0367 0.665 -1.1013
0.9473 -1.0311 0.85 2.0926 0.47 -1.2273
0.7481 -0.83 0.86 2.4401 0.3893 -1.2004
0.5432 -0.6859 0.87 2.5208 0.2316 -1.3216
0.4458 -0.4853 0.88 2.2935 0.1571 -1.2078
0.3504 -0.3479 0.89 2.6628 0.1633 -1.2932
0.2352 -0.1569 0.9 2.6761 0.2319 -1.3036
0.1708 0.0105 0.91 2.5232 0.3197 -1.1746
0.0897 0.1612 0.92 2.3373 0.4748 -1.283
0.0137 0.3559 0.93 2.5425 0.6939 -1.142
-0.0443 0.4782 0.94 2.3339 0.9965 -1.0226
-0.0801 0.6794 0.95 2.4518 1.3553 -0.876
-0.1102 0.8043 0.96 2.3319 1.5759 -0.8168
-0.1464 0.8477 0.97 1.9887 1.9451 -0.7532
-0.146 1.0041 0.98 2.1751 2.3928 -0.6252
-0.1429 1.0633 0.99 1.98 2.2414 -0.4197
-0.1079 1.0792 1.0 1.8629 2.5335 -0.3101
-0.0756 1.0362 1.01 1.6834 2.7451 -0.1815
-0.0384 1.2142 1.02 1.4938 3.084 -0.0424
0.0077 1.1586 1.03 1.2336 3.0157 0.0841
0.0681 1.1023 1.04 1.0874 2.9049 0.2248
0.1379 0.9445 1.05 0.8557 2.4409 0.3605
0.2042 0.8736 1.06 0.7393 2.5647 0.4581
0.2966 0.8121 1.07 0.6065 2.1397 0.5967
0.3864 0.6569 1.08 0.4858 1.7771 0.6632
0.4021 0.6051 1.09 0.4249 1.6353 0.7483
0.493 0.4711 1.1 0.3872 1.381 0.7996
0.5631 0.2969 1.11 0.3264 1.0249 0.8526
0.721 0.1048 1.12 0.3016 0.9442 0.9226
0.7158 -0.0879 1.13 0.3207 0.7143 0.982
0.7237 -0.2724 1.14 0.322 0.7219 0.9941
0.8334 -0.4679 1.15 0.3805 0.7396 0.9209
0.9737 -0.6394 1.16 0.3927 0.7924 0.9509
1.0006 -0.8997 1.17 0.53 0.9124 0.9836
0.9437 -0.9511 1.18 0.6718 1.1103 0.9323
0.9815 -1.2054 1.19 0.7291 1.1738 0.8826
1.0416 -1.395 1.2 0.9252 1.4588 0.8202
1.0415 -1.4213 1.21 1.0601 1.6215 0.7246
0.8615 -1.4499 1.22 1.0915 1.7013 0.6021
0.8742 -1.541 1.23 1.3145 1.7983 0.538
0.9081 -1.6774 1.24 1.3097 2.1537 0.3859
0.7369 -1.684 1.25 1.4366 1.915 0.2934
0.7549 -1.7053 1.26 1.6344 2.1629 0.1762
0.6896 -2.0167 1.27 1.8018 1.8756 0.0826
0.5175 -1.8098 1.28 1.8695 1.6195 -0.0146
0.4924 -1.841 1.29 1.7416 1.5647 -0.1232
0.3433 -1.8471 1.3 1.9912 1.0566 -0.2216
0.2345 -1.8279 1.31 1.9693 0.916 -0.2797
0.1179 -1.728 1.32 1.9394 0.5255 -0.3793
-0.0142 -1.6675 1.33 1.7934 0.1921 -0.4402
-0.1433 -1.7234 1.34 1.7568 -0.1017 -0.528
-0.2557 -1.4633 1.35 1.7177 -0.3677 -0.4861
-0.4567 -1.2585 1.36 1.8505 -0.6171 -0.5263
-0.5612 -1.1584 1.37 1.6968 -0.7144 -0.5542
-0.6525 -1.1644 1.38 1.5368 -0.7919 -0.5627
-0.7527 -0.9623 1.39 1.404 -0.7575 -0.5841
-0.9826 -0.8381 1.4 1.1503 -0.7213 -0.518
-1.084 -0.7891 1.41 1.029 -0.5292 -0.5123
-1.1839 -0.6506 1.42 0.7798 -0.3411 -0.4505
-1.2024 -0.6605 1.43 0.6684 -0.1301 -0.3722
-1.3553 -0.5485 1.44 0.4425 0.1088 -0.3326
-1.451 -0.453 1.45 0.2855 0.3668 -0.248
-1.4942 -0.4071 1.46 0.1277 0.6187 -0.1508
-1.4529 -0.323 1.47 -0.0213 0.7058 -0.0845
-1.5333 -0.3358 1.48 -0.1553 0.8425 0.0151
-1.5587 -0.2912 1.49 -0.2359 0.9251 0.1071
-1.6075 -0.3149 1.5 -0.36 0.9131 0.2191
-1.5022 -0.3056 1.51 -0.4522 0.927 0.2992
-1.5665 -0.3055 1.52 -0.4445 0.8299 0.4194
-1.6255 -0.3311 1.53 -0.4326 0.7392 0.4571
-1.3055 -0.3966 1.54 -0.5089 0.5335 0.4988
-1.3725 -0.3642 1.55 -0.444 0.3676 0.6299
-1.3198 -0.416 1.56 -0.4105 0.1174 0.7322
-1.3041 -0.5213 1.57 -0.3172 -0.0917 0.6643
-1.1693 -0.4961 1.58 -0.2247 -0.2889 0.7018
-0.9266 -0.5863 1.59 -0.1197 -0.3822 0.8028
-0.8507 -0.6878 1.6 -0.0103 -0.5257 0.7826
-0.7741 -0.6907 1.61 0.1232 -0.4757 0.7093
-0.6248 -0.724 1.62 0.2727 -0.4608 0.7696
-0.5437 -0.6444 1.63 0.37 -0.3579 0.6962
-0.4448 -0.7422 1.64 0.5329 -0.1684 0.6431
-0.297 -0.7465 1.65 0.6918 0.0783 0.5495
-0.189 -0.65 1.66 0.7889 0.3641 0.385
-0.0643 -0.6811 1.67 0.8989 0.6764 0.3153
0.0461 -0.5732 1.68 0.9704 1.0675 0.1671
0.1504 -0.5241 1.69 1.0611 1.3746 0.0187
0.2594 -0.3957 1.7 1.0504 1.696 -0.1296
0.322 -0.2549 1.71 1.1047 1.9759 -0.2762
0.3695 -0.1434 1.72 1.2895 1.9806 -0.4947
0.425 0.0113 1.73 1.3012 2.4493 -0.6496
0.5261 0.1666 1.74 1.1812 2.4139 -0.7642
0.5616 0.3576 1.75 1.1428 2.5308 -1.0511
0.5634 0.4981 1.76 1.1064 2.3968 -1.1488
0.5447 0.7267 1.77 0.8724 2.004 -1.3182
0.5417 0.889 1.78 0.7767 1.9187 -1.5542
0.5556 1.263 1.79 0.6752 1.9084 -1.8411
0.5193 1.459 1.8 0.5982 1.6611 -1.9635
0.56 1.5641 1.81 0.4119 1.3463 -1.9884
0.4962 1.863 1.82 0.2347 1.1946 -1.961
0.4128 1.7713 1.83 0.0768 1.0775 -2.4309
0.3896 2.1906 1.84 -0.0795 0.9722 -2.2602
0.2823 2.3203 1.85 -0.2155 0.9805 -2.2905
0.1881 2.2893 1.86 -0.3526 0.9226 -2.4205
0.0995 2.4393 1.87 -0.5522 0.9098 -2.7515
0.0124 2.6488 1.88 -0.6193 1.1871 -2.5083
-0.0842 2.8728 1.89 -0.7848 1.3264 -2.8713
-0.1906 2.8109 1.9 -0.8428 1.6433 -2.6011
-0.3044 2.741 1.91 -0.9412 1.874 -2.6563
-0.3566 2.9903 1.92 -1.0551 2.1126 -2.7962
-0.4842 3.0055 1.93 -1.0309 2.31 -2.3493
-0.5352 3.1064 1.94 -0.9495 2.522 -2.2668
-0.6534 3.0765 1.95 -0.9845 2.6649 -2.29
-0.6742 2.7247 1.96 -0.9096 2.4983 -2.3751
-0.8768 2.4345 1.97 -0.8129 2.7934 -2.125
-0.8674 2.8117 1.98 -0.7826 2.829 -2.2855
-0.9675 2.2068 1.99 -0.5764 2.424 -1.8476
-0.8639 2.0993 2.0 -0.545 2.549 -1.7204
-0.9683 2.122 2.01 -0.3396 2.3687 -1.7201
-1.0948 1.8175 2.02 -0.2202 1.8018 -1.5173
-0.9133 1.757 2.03 -0.0656 1.466 -1.4464
-1.07 1.5218 2.04 0.0882 1.2128 -1.2557
