# x : time signal
#y2 time y1
1.1575 0.01 0.3611
0.6859 0.02 0.8316
-0.3362 0.03 1.0642
-0.5049 0.04 1.4493
0.5116 0.05 1.704
1.4728 0.06 1.9812
1.1317 0.07 1.9557
0.0504 0.08 2.0835
-0.055 0.09 1.7583
1.193 0.1 1.9141
1.9719 0.11 1.5993
1.6316 0.12 1.5381
0.3932 0.13 1.4395
0.3999 0.14 1.1584
1.6339 0.15 1.0206
2.3888 0.16 0.9318
1.6333 0.17 0.8307
0.7592 0.18 0.846
0.8415 0.19 0.9718
2.1167 0.2 1.1856
2.9256 0.21 1.3642
2.1018 0.22 1.3621
0.948 0.23 1.5966
1.18 0.24 1.8633
2.3408 0.25 2.3597
2.7687 0.26 2.488
1.9007 0.27 2.7535
1.0539 0.28 2.8224
1.3162 0.29 2.7566
2.6997 0.3 2.4785
2.9707 0.31 2.4792
2.1314 0.32 2.4421
0.9786 0.33 2.1165
1.3772 0.34 1.88
2.4211 0.35 1.4719
2.8731 0.36 1.2502
1.7535 0.37 0.7397
1.0077 0.38 0.4103
1.3704 0.39 0.0973
2.337 0.4 -0.2083
2.9192 0.41 -0.4804
1.5768 0.42 -0.6573
0.8274 0.43 -0.7623
1.2682 0.44 -0.7877
2.5307 0.45 -0.7614
2.3125 0.46 -0.7253
1.3522 0.47 -0.6541
0.4742 0.48 -0.5085
0.993 0.49 -0.4192
1.984 0.5 -0.3254
1.9389 0.51 -0.2383
0.9546 0.52 -0.1706
0.1102 0.53 -0.1866
0.6884 0.54 -0.2212
1.6372 0.55 -0.334
1.6681 0.56 -0.4869
0.3854 0.57 -0.7899
-0.3115 0.58 -1.0763
0.3862 0.59 -1.2691
1.2933 0.6 -1.6858
1.1013 0.61 -1.9339
-0.1265 0.62 -2.2809
-0.7038 0.63 -2.459
0.0044 0.64 -2.5859
0.9857 0.65 -2.6184
0.6005 0.66 -2.8378
-0.7217 0.67 -3.1543
-1.1099 0.68 -2.7956
-0.3866 0.69 -2.9131
0.5247 0.7 -2.4944
0.0551 0.71 -2.0911
-1.2279 0.72 -1.8521
-1.5024 0.73 -1.7324
-0.7599 0.74 -1.4443
0.0951 0.75 -1.16
-0.4166 0.76 -0.7963
-1.6457 0.77 -0.5301
-2.0375 0.78 -0.4205
-1.1343 0.79 -0.2811
-0.3033 0.8 -0.277
-0.9003 0.81 -0.252
-2.1087 0.82 -0.3039
-2.257 0.83 -0.4283
-1.2562 0.84 -0.5662
-0.6343 0.85 -0.6082
-1.3579 0.86 -0.788
-2.7122 0.87 -0.9433
-2.3959 0.88 -1.0255
-1.5137 0.89 -0.9719
-0.8291 0.9 -0.8758
-1.7007 0.91 -0.7105
-2.7331 0.92 -0.5275
-2.7909 0.93 -0.2859
-1.5068 0.94 0.0222
-0.9271 0.95 0.3664
-1.6436 0.96 0.6726
-3.1139 0.97 1.1282
-2.7225 0.98 1.3792
-1.407 0.99 1.9193
-1.0291 1.0 2.0942
-1.7864 1.01 2.3992
-2.9456 1.02 2.7525
-2.5873 1.03 2.4812
-1.3503 1.04 2.4272
-0.9113 1.05 2.8359
-1.7618 1.06 2.5942
-2.7388 1.07 2.3552
-2.1979 1.08 2.1222
-1.0926 1.09 1.9451
-0.6895 1.1 1.5012
-1.7541 1.11 1.4063
-2.6027 1.12 1.2717
-1.7513 1.13 1.0841
-0.6298 1.14 0.8537
