# y : intensity
# label : detector calibration 28. 11. 2015
#time y3 y1 y2 y4
0.01 0.1966 0.2948 0.6659 0.1628
0.02 0.3657 0.6786 1.1725 0.3556
0.03 0.5382 0.9913 0.9701 0.4659
0.04 0.8201 1.1751 0.3283 0.6185
0.05 0.9445 1.6482 -0.3292 0.763
0.06 0.9623 1.696 -0.7671 0.9103
0.07 1.1674 1.987 -0.6598 1.0807
0.08 1.3512 2.0685 -0.0044 1.0843
0.09 1.2269 2.5234 0.7787 1.3858
0.1 1.4877 2.3232 1.2485 1.3357
0.11 1.2921 2.6923 1.4686 1.5471
0.12 1.3477 2.7344 0.9294 1.6566
0.13 1.24 2.8764 0.272 1.7342
0.14 1.2158 2.9939 -0.2674 1.8444
0.15 1.0869 2.9802 -0.4341 1.9408
0.16 1.0263 2.9166 0.0123 1.7138
0.17 0.8703 2.9374 0.7609 2.02
0.18 0.8078 2.904 1.4275 1.9128
0.19 0.6337 2.5028 1.6241 1.7484
0.2 0.4652 2.6096 1.3914 1.8404
0.21 0.3463 2.3837 0.8713 1.9241
0.22 0.2603 1.9594 0.2176 1.7752
0.23 0.1438 1.9115 -0.1178 1.7875
0.24 0.0644 1.4826 0.0693 1.6685
0.25 0.0046 1.2423 0.7451 1.6372
0.26 -0.0388 0.9864 1.4603 1.5691
0.27 -0.0551 0.683 2.0173 1.6122
0.28 -0.0412 0.4353 1.953 1.4401
0.29 0.002 0.1708 1.3329 1.3144
0.3 0.0632 -0.0796 0.6786 1.379
0.31 0.1643 -0.356 0.2392 1.1602
0.32 0.3017 -0.5912 0.1937 1.0683
0.33 0.3954 -0.7737 0.644 0.9617
0.34 0.531 -1.0408 1.4605 0.9676
0.35 0.7521 -1.292 2.2248 0.7798
0.36 0.8815 -1.3678 2.0372 0.6635
0.37 1.1672 -1.5844 1.9565 0.6114
0.38 1.3541 -1.5769 1.2577 0.5602
0.39 1.4088 -1.9179 0.6557 0.4721
0.4 1.5493 -2.0532 0.3617 0.3466
0.41 1.7978 -2.0115 0.6253 0.3053
0.42 2.0903 -2.0573 1.2883 0.2418
0.43 2.0518 -2.0873 2.0446 0.16
0.44 2.1728 -2.1494 2.2905 0.1192
0.45 2.4907 -1.9126 2.4945 0.0873
0.46 2.3524 -1.8827 1.7054 0.0566
0.47 2.4411 -1.9558 1.0843 0.0392
0.48 2.3782 -1.6559 0.559 0.0289
0.49 2.5756 -1.6728 0.5588 0.0284
0.5 2.1305 -1.5158 1.0343 0.034
0.51 2.1174 -1.3942 2.0015 0.0495
0.52 1.9302 -1.3176 2.1919 0.0677
0.53 2.0768 -1.0914 2.8058 0.0934
0.54 1.7985 -0.8929 2.081 0.1326
0.55 1.7003 -0.75 1.595 0.1914
0.56 1.5499 -0.6212 0.7929 0.2297
0.57 1.3268 -0.4903 0.6728 0.2695
0.58 1.2505 -0.3601 0.8602 0.3162
0.59 1.1669 -0.2529 1.5224 0.3649
0.6 0.9722 -0.0931 2.137 0.408
0.61 0.8168 0.0245 2.8218 0.4629
0.62 0.8282 0.1508 2.6434 0.5605
0.63 0.634 0.2464 1.7314 0.6766
0.64 0.5981 0.3487 1.2003 0.7155
0.65 0.5594 0.4379 0.7107 0.6732
0.66 0.6059 0.5343 0.8391 0.7671
0.67 0.5869 0.512 1.2027 0.7533
0.68 0.7246 0.5539 2.1373 0.8512
0.69 0.7751 0.6623 2.7305 0.8838
0.7 0.9426 0.6086 2.4014 0.9097
0.71 0.9009 0.6657 1.9572 0.923
0.72 1.0422 0.7562 1.4867 0.9014
0.73 1.3827 0.6869 0.7798 0.9518
