# y : signal strength
#time y2 y1
0.01 1.0132 0.654
0.02 0.7999 -0.7161
0.03 -0.2959 1.4134
0.04 -0.7732 -0.1465
0.05 0.1165 0.5569
0.06 1.2239 1.1959
0.07 1.2132 -0.1685
0.08 0.2759 1.7179
0.09 -0.4341 0.2748
0.1 0.2273 1.14
0.11 1.5574 1.423
0.12 1.6833 0.1883
0.13 0.7855 1.9699
0.14 -0.0887 0.5144
0.15 0.3186 1.2096
0.16 1.4791 1.6921
0.17 1.9217 0.3222
0.18 1.089 2.3479
0.19 0.2047 0.4395
0.2 0.3409 1.2718
0.21 1.3312 1.4386
0.22 1.9847 0.1793
0.23 1.4884 2.0175
0.24 0.4187 0.1898
0.25 0.3343 1.1006
0.26 1.2539 1.041
0.27 2.0947 -0.1438
0.28 1.7756 1.5482
0.29 0.6813 -0.2391
0.3 0.2288 0.7546
0.31 1.1179 0.6807
0.32 2.0358 -0.6374
0.33 2.07 1.1855
0.34 0.7336 -0.7437
0.35 0.1211 0.2694
0.36 0.8563 0.1927
0.37 1.9727 -0.989
0.38 1.9214 0.7458
0.39 0.8452 -1.1163
0.4 -0.0281 0.0203
0.41 0.4544 -0.1199
0.42 1.3922 -1.221
0.43 1.8506 0.5582
0.44 0.8546 -1.1772
0.45 -0.1813 -0.0361
0.46 0.0181 -0.1937
0.47 0.9902 -1.1239
0.48 1.5044 0.6408
0.49 0.7791 -1.1083
0.5 -0.3423 0.1765
0.51 -0.3579 -0.039
0.52 0.6195 -0.8016
0.53 1.2604 0.9846
0.54 0.6477 -0.8996
0.55 -0.4504 0.5919
0.56 -0.7885 0.3675
0.57 0.1486 -0.3187
0.58 1.0758 1.521
0.59 0.5682 -0.3872
0.6 -0.6035 1.0696
0.61 -1.1151 0.8797
0.62 -0.2659 0.2331
0.63 0.7218 2.0838
0.64 0.6083 0.1569
0.65 -0.5374 1.7755
0.66 -1.2444 1.314
0.67 -0.6983 0.7473
0.68 0.4264 2.235
0.69 0.5652 0.6649
0.7 -0.445 2.2993
0.71 -1.2622 1.5868
0.72 -0.9172 1.2234
0.73 0.1788 2.6472
0.74 0.571 0.9377
0.75 -0.3152 2.4532
0.76 -1.3865 1.7287
0.77 -1.0691 1.2401
0.78 -0.0113 2.6389
0.79 0.6127 0.7727
0.8 -0.0535 2.5012
0.81 -1.0376 1.6034
0.82 -1.1097 1.3098
0.83 -0.1258 2.4847
0.84 0.7483 0.5337
0.85 0.2791 2.0071
0.86 -0.8689 1.2676
0.87 -1.1489 0.9026
0.88 -0.1402 1.9846
0.89 0.8616 0.1293
0.9 0.6917 1.8217
0.91 -0.4024 0.694
0.92 -0.9617 0.4097
0.93 -0.1029 1.5739
0.94 1.0784 -0.3475
0.95 1.0608 1.1955
0.96 0.0787 0.2136
0.97 -0.638 0.0005
0.98 -0.0035 1.2296
0.99 1.2598 -0.7221
1.0 1.488 1.015
1.01 0.6584 -0.1865
1.02 -0.2586 -0.2691
1.03 0.1383 0.9209
1.04 1.4445 -1.0423
1.05 1.9456 0.811
1.06 1.049 -0.3198
1.07 0.1921 -0.2821
1.08 0.2932 0.818
1.09 1.4129 -1.0294
1.1 2.3869 0.9272
1.11 1.6125 -0.2453
1.12 0.6748 -0.0535
1.13 0.4671 1.0239
1.14 1.5794 -0.6228
1.15 2.399 1.1687
1.16 2.2135 0.0783
1.17 1.0579 0.3657
1.18 0.6989 1.4721
1.19 1.5264 -0.2142
1.2 2.695 1.8844
1.21 2.5851 0.552
1.22 1.3648 0.9949
1.23 0.8245 1.8414
1.24 1.6037 0.2758
1.25 2.3479 2.1419
1.26 2.7024 0.9107
1.27 1.6066 1.4957
1.28 0.874 2.1926
1.29 1.2382 0.6732
1.3 2.5336 2.4445
1.31 2.8061 1.3188
1.32 2.068 1.9242
1.33 0.9936 2.5427
1.34 1.128 0.9012
1.35 2.4603 2.6844
1.36 2.7895 1.3429
1.37 1.9144 1.7556
1.38 0.9902 2.5823
1.39 0.7966 0.9779
1.4 1.8647 2.5944
1.41 2.4765 1.2914
1.42 2.1834 1.9668
1.43 0.8194 2.3743
1.44 0.6104 0.7045
1.45 1.5708 2.6919
1.46 2.3889 0.7517
1.47 1.9255 1.4681
1.48 0.7338 1.7255
1.49 0.2478 0.2569
1.5 0.9902 2.0782
1.51 1.8431 0.2763
1.52 1.8086 0.8689
1.53 0.7394 1.3086
1.54 -0.0536 -0.289
1.55 0.4949 1.3834
1.56 1.6356 -0.3161
1.57 1.5357 0.5221
1.58 0.586 0.619
1.59 -0.3045 -0.7269
1.6 0.005 1.128
1.61 1.1002 -0.7258
1.62 1.5352 0.1321
1.63 0.5954 0.2866
1.64 -0.4973 -0.9222
1.65 -0.4399 0.8131
1.66 0.6998 -0.9072
1.67 1.2882 0.0376
1.68 0.5609 0.1337
1.69 -0.5653 -1.1059
1.7 -0.7764 0.8498
1.71 0.2482 -0.8985
1.72 1.1205 0.1742
1.73 0.5821 0.2709
1.74 -0.5336 -0.829
1.75 -0.9105 1.0119
1.76 -0.0514 -0.7312
1.77 0.8658 0.5444
1.78 0.6661 0.6123
1.79 -0.3777 -0.3649
1.8 -1.0369 1.5925
1.81 -0.2867 -0.2696
1.82 0.8859 1.0958
1.83 0.9086 0.9846
1.84 -0.1695 0.105
1.85 -0.9608 2.0007
1.86 -0.4275 0.1549
1.87 0.7944 1.6116
1.88 0.9789 1.4417
1.89 0.1662 0.5654
1.9 -0.7635 2.0884
1.91 -0.4266 0.5127
1.92 0.712 1.7077
1.93 1.4057 1.5379
1.94 0.6429 0.7335
1.95 -0.4395 2.6243
1.96 -0.3089 0.6228
1.97 0.7635 1.8928
1.98 1.6232 1.4856
1.99 1.0912 0.8176
2.0 -0.0112 2.4822
2.01 -0.1715 0.4199
2.02 0.8303 1.7141
2.03 1.9868 1.3674
2.04 1.4381 0.5483
2.05 0.4274 2.1446
2.06 0.0673 0.0003
2.07 1.032 1.4011
2.08 1.8842 0.7907
2.09 2.0894 0.0487
2.1 0.9083 1.4564
2.11 0.3159 -0.5945
2.12 1.1262 0.871
2.13 2.405 0.1224
2.14 2.2924 -0.4512
2.15 1.4345 0.8855
2.16 0.6526 -1.2349
2.17 1.183 0.342
2.18 2.045 -0.4698
2.19 2.8127 -0.9593
2.2 1.8718 0.3325
2.21 0.8865 -1.5746
2.22 1.0854 -0.0192
2.23 2.4326 -0.826
2.24 2.6379 -1.3094
2.25 2.0088 0.0349
2.26 1.1093 -1.7231
2.27 1.0122 -0.1956
2.28 2.2062 -1.0775
2.29 2.8955 -1.2991
2.3 2.2634 -0.0345
2.31 1.1986 -1.9523
2.32 0.9247 -0.098
2.33 2.0525 -1.0304
2.34 2.58 -1.2362
2.35 2.6755 0.1445
2.36 1.3694 -1.5729
2.37 0.7934 0.2122
2.38 1.5523 -0.8055
2.39 2.6744 -0.7777
2.4 2.64 0.5069
2.41 1.3813 -1.3069
2.42 0.6561 0.662
2.43 1.1952 -0.3709
2.44 2.3796 -0.2359
2.45 2.6068 0.9769
2.46 1.5681 -0.7421
2.47 0.5017 1.0211
2.48 0.7784 0.0138
2.49 1.7716 0.1736
2.5 2.2731 1.3023
2.51 1.4715 -0.4023
2.52 0.2499 1.5966
2.53 0.3176 0.2293
2.54 1.463 0.4806
2.55 2.0215 1.5332
2.56 1.3551 -0.3171
2.57 0.0861 1.4262
2.58 -0.1386 0.2236
2.59 0.7292 0.5208
2.6 1.4977 1.4527
2.61 1.1871 -0.4207
2.62 -0.0848 1.2928
2.63 -0.4914 -0.0258
2.64 0.2777 0.252
2.65 1.235 0.9197
2.66 1.0718 -0.7855
2.67 -0.1913 0.9273
2.68 -0.8188 -0.4662
2.69 -0.2197 -0.1745
2.7 0.7792 0.4229
2.71 0.947 -1.2597
2.72 -0.2162 0.532
2.73 -0.9724 -1.1607
2.74 -0.6049 -0.7209
2.75 0.5099 -0.1701
2.76 0.7969 -1.8077
2.77 -0.1584 -0.0402
2.78 -1.0591 -1.5464
2.79 -0.876 -1.2694
2.8 0.1955 -0.7048
2.81 0.788 -2.5048
2.82 -0.0152 -0.5104
2.83 -1.1265 -2.2447
2.84 -1.0042 -1.4775
2.85 -0.0342 -0.997
2.86 0.6784 -2.7812
2.87 0.1957 -0.7209
2.88 -0.8848 -2.1869
2.89 -1.1823 -1.6198
2.9 -0.1889 -1.2067
2.91 0.7171 -2.3501
2.92 0.446 -0.6439
2.93 -0.6411 -2.0933
2.94 -1.0414 -1.3303
2.95 -0.235 -1.0114
2.96 0.8955 -2.4712
2.97 0.8456 -0.3123
2.98 -0.2268 -2.1538
2.99 -0.8976 -1.006
3.0 -0.2084 -0.6777
3.01 0.8572 -1.9395
3.02 1.0636 0.1212
3.03 0.2087 -1.3934
3.04 -0.6302 -0.4133
3.05 -0.1434 -0.2334
3.06 1.0751 -1.2586
3.07 1.4454 0.5317
3.08 0.7703 -1.0298
3.09 -0.2631 0.0353
3.1 -0.0479 0.151
3.11 1.0436 -0.8391
3.12 1.9647 0.9238
3.13 1.1141 -0.8749
3.14 0.1516 0.3755
3.15 0.0922 0.3755
3.16 1.2121 -0.6757
3.17 2.0002 1.0304
3.18 1.4995 -0.6763
3.19 0.4928 0.4155
3.2 0.2233 0.301
3.21 1.0404 -0.7071
3.22 2.0409 1.0667
3.23 1.9731 -0.8564
3.24 0.8932 0.2791
3.25 0.3553 -0.0011
3.26 1.1183 -0.9096
3.27 1.9958 0.6215
3.28 2.0286 -1.4491
3.29 1.2416 -0.0861
3.3 0.3774 -0.5341
3.31 0.9971 -1.3379
3.32 2.1804 0.1196
3.33 2.3758 -1.9326
3.34 1.3331 -0.6246
3.35 0.4236 -1.0953
3.36 0.6507 -1.9706
3.37 1.8906 -0.4102
3.38 2.203 -2.4997
3.39 1.356 -1.0163
3.4 0.4251 -1.5699
3.41 0.3849 -2.3339
3.42 1.3779 -0.7671
3.43 2.3106 -2.7748
3.44 1.4478 -1.3504
3.45 0.3536 -1.8664
3.46 0.0836 -2.475
3.47 1.0561 -1.0235
3.48 1.9348 -2.9495
3.49 1.3676 -1.2835
3.5 0.2233 -1.8996
3.51 -0.2654 -2.693
3.52 0.5377 -0.9067
3.53 1.3572 -3.0007
3.54 1.2552 -1.1834
3.55 0.1071 -1.8075
3.56 -0.6668 -2.1553
3.57 -0.0345 -0.7237
3.58 1.004 -2.4915
3.59 1.0784 -0.774
3.6 -0.0318 -1.5388
3.61 -1.0173 -1.7915
3.62 -0.5566 -0.2154
3.63 0.5205 -1.843
3.64 0.8711 -0.2158
3.65 -0.1672 -0.944
3.66 -1.093 -1.2399
3.67 -1.0279 0.2453
3.68 -0.0089 -1.3931
3.69 0.468 0.308
3.7 -0.2342 -0.5927
3.71 -1.4444 -0.6062
3.72 -1.6201 0.6484
3.73 -0.5002 -1.13
3.74 0.2618 0.7282
3.75 -0.2779 -0.292
3.76 -1.3453 -0.3454
3.77 -1.8242 0.884
3.78 -0.9757 -0.9877
3.79 0.0089 0.8128
3.8 -0.2691 -0.2415
3.81 -1.378 -0.254
3.82 -2.0327 0.8844
3.83 -1.2498 -0.9904
3.84 -0.197 0.8041
3.85 -0.2376 -0.435
3.86 -1.2622 -0.4229
3.87 -1.9655 0.5065
3.88 -1.5627 -1.3078
3.89 -0.3441 0.4348
3.9 -0.1063 -0.9601
3.91 -1.1135 -0.753
3.92 -1.7575 0.075
3.93 -1.4868 -1.7591
3.94 -0.427 0.0038
3.95 0.0673 -1.3282
3.96 -0.7882 -1.3258
3.97 -1.835 -0.4119
3.98 -1.5744 -2.4367
3.99 -0.4496 -0.4127
4.0 0.2577 -1.9674
4.01 -0.3598 -1.663
4.02 -1.5309 -0.8203
4.03 -1.5584 -2.4337
4.04 -0.4129 -0.658
4.05 0.4278 -2.011
4.06 0.1112 -1.6518
4.07 -1.0576 -1.1275
4.08 -1.4359 -2.4428
4.09 -0.4086 -0.8475
4.1 0.6954 -2.0342
4.11 0.4814 -1.7758
4.12 -0.5457 -0.9641
4.13 -1.149 -2.6935
4.14 -0.307 -0.5525
4.15 0.7689 -1.8926
4.16 0.8598 -1.3814
