# label : secret experiment #5762
#y3 y5 y2 y4 time y1 y6
0.3254 0.2363 0.7047 0.2247 0.01 0.1576 0.124
0.6123 0.5357 1.1534 0.4368 0.02 0.2928 0.2577
0.9546 0.6833 1.1123 0.6549 0.03 0.4435 0.4182
1.0588 0.9976 0.5118 0.9334 0.04 0.6104 0.4845
1.2666 1.1321 -0.0686 1.0629 0.05 0.7605 0.7166
1.2161 1.3456 -0.5203 1.2751 0.06 0.941 0.7657
1.388 1.2732 -0.6451 1.318 0.07 0.9567 0.8207
1.1476 1.4848 -0.3177 1.4492 0.08 1.0703 0.9142
1.1367 1.5543 0.3264 1.5251 0.09 1.1651 1.011
0.7735 1.456 0.9981 1.5886 0.1 1.3343 1.2008
0.6463 1.4533 1.4116 1.4433 0.11 1.5051 1.1843
0.3644 1.42 1.3409 1.6262 0.12 1.4464 1.3834
0.1995 1.3266 1.119 1.4134 0.13 1.5227 1.4073
0.0038 1.1106 0.4258 1.3463 0.14 1.7571 1.5494
-0.1204 0.9562 -0.1194 1.4477 0.15 1.8651 1.4356
-0.1868 0.7444 -0.2819 1.2499 0.16 1.6436 1.6568
-0.1947 0.6129 -0.026 1.1887 0.17 1.7013 1.5841
-0.1235 0.5428 0.5643 0.9706 0.18 1.7413 1.5149
0.0376 0.3451 1.1787 0.8502 0.19 1.7976 1.7298
0.2728 0.2527 1.6335 0.8036 0.2 1.6523 1.4891
0.5621 0.1925 1.8793 0.6574 0.21 1.553 1.538
0.83 0.1719 1.36 0.4977 0.22 1.6036 1.6752
1.1051 0.17 0.9319 0.4547 0.23 1.7018 1.3903
1.4514 0.1851 0.2868 0.4195 0.24 1.5839 1.4787
1.6107 0.2891 0.0709 0.3314 0.25 1.4019 1.3989
1.815 0.3891 0.2937 0.3885 0.26 1.5465 1.4963
2.2617 0.5203 0.8273 0.3804 0.27 1.2054 1.1905
2.1136 0.7018 1.4883 0.4154 0.28 1.1958 1.333
2.2616 0.9193 2.2832 0.4746 0.29 1.0659 1.1503
1.9948 1.1963 2.0222 0.5653 0.3 1.0453 1.0031
1.9655 1.234 1.9331 0.6965 0.31 0.9621 1.0771
1.8277 1.5403 1.3318 0.938 0.32 0.9841 0.946
1.6338 1.8234 0.6523 1.1867 0.33 0.8546 0.8705
1.2801 1.9045 0.3634 1.2037 0.34 0.7698 0.888
1.1057 2.2173 0.5635 1.4738 0.35 0.719 0.7936
0.7957 2.5069 1.0068 1.72 0.36 0.6531 0.734
0.6215 2.1757 1.5991 1.7472 0.37 0.4829 0.611
0.488 2.5895 2.3574 2.1848 0.38 0.4625 0.6095
0.4259 2.5902 2.4438 2.1311 0.39 0.4374 0.513
0.496 2.276 2.0311 2.6022 0.4 0.4042 0.4253
0.4956 2.4064 1.6941 2.5787 0.41 0.3696 0.391
0.7142 2.5364 1.0033 2.8126 0.42 0.3292 0.4161
0.8639 2.0301 0.5887 2.5017 0.43 0.2944 0.3784
1.1455 2.0307 0.7482 2.7314 0.44 0.2886 0.3665
1.4286 1.9161 1.0833 2.8676 0.45 0.3079 0.3643
1.6891 1.6092 2.0367 2.8364 0.46 0.346 0.4205
1.8028 1.5084 2.3605 2.5117 0.47 0.3851 0.4284
2.2032 1.2956 2.8978 2.9701 0.48 0.4259 0.4317
2.2849 1.0057 2.6374 2.4197 0.49 0.4819 0.5078
2.4537 0.7597 1.7707 2.5221 0.5 0.5303 0.4808
2.5491 0.6753 1.3046 2.1424 0.51 0.5101 0.522
2.371 0.5142 0.8384 2.1135 0.52 0.6559 0.6793
2.5259 0.4147 0.7697 2.2009 0.53 0.6784 0.7697
2.0132 0.3614 1.1284 1.8883 0.54 0.833 0.787
1.7297 0.2946 1.8392 1.5877 0.55 0.826 0.8131
1.7028 0.307 2.3179 1.5352 0.56 0.9917 1.0536
1.2229 0.3953 3.0122 1.2907 0.57 1.0039 1.1181
1.0562 0.422 2.5536 1.1555 0.58 1.0009 1.1117
0.8592 0.5151 1.9564 1.0996 0.59 1.235 1.2418
0.5211 0.6641 1.5809 0.9086 0.6 1.2545 1.4606
0.4529 0.7928 0.9737 0.8762 0.61 1.3945 1.4632
0.344 1.042 0.8355 0.6778 0.62 1.3192 1.6058
0.33 1.2169 1.3052 0.7637 0.63 1.6029 1.5992
0.369 1.3085 1.7423 0.7539 0.64 1.4883 1.7886
0.4831 1.4736 2.2816 0.7414 0.65 1.5872 1.8645
0.6826 1.5651 2.8655 0.7313 0.66 1.6789 1.9353
0.9128 1.6551 2.5248 0.8889 0.67 1.6851 2.0166
1.2915 1.779 2.4475 0.9543 0.68 1.6839 2.166
1.5053 1.9329 1.637 1.1535 0.69 1.8169 2.5084
1.8195 1.9586 1.0746 1.0795 0.7 1.7083 2.3051
