# label : secret experiment #3557
#y6 y1 time y2 y4 y5 y3
0.1728 0.2967 0.01 0.1514 0.4951 0.049 0.2036
0.3531 0.5729 0.02 0.3173 0.934 0.0898 0.3807
0.5017 0.7529 0.03 0.424 1.1328 0.1365 0.6024
0.7283 0.952 0.04 0.5625 1.3928 0.1633 0.7577
0.7534 1.1403 0.05 0.6565 1.5508 0.2368 0.9026
0.9821 1.0838 0.06 0.8608 1.3788 0.2658 1.204
0.9999 1.2279 0.07 1.0102 1.1846 0.3547 1.3642
1.2677 1.1222 0.08 1.0319 1.0395 0.335 1.5816
1.2881 1.0668 0.09 1.166 0.7743 0.4471 1.7807
1.3366 0.8924 0.1 1.3435 0.4489 0.4508 1.8986
1.3847 0.852 0.11 1.3837 0.2394 0.5088 1.9359
1.4157 0.6283 0.12 1.392 0.1531 0.5374 1.8655
1.6161 0.4152 0.13 1.4857 0.1936 0.6434 2.151
1.5461 0.1845 0.14 1.4062 0.3647 0.5597 2.1541
1.6072 0.0031 0.15 1.5549 0.6294 0.676 2.3181
1.5394 -0.1604 0.16 1.6954 0.9371 0.6806 2.4052
1.2978 -0.2974 0.17 1.6698 1.3523 0.8701 2.0952
1.3155 -0.3537 0.18 1.4363 1.8203 0.762 2.1518
1.3857 -0.342 0.19 1.5271 1.8759 0.8131 2.1614
1.3236 -0.2939 0.2 1.6037 2.2963 0.8057 2.1034
1.0575 -0.2199 0.21 1.6227 2.3256 1.0029 2.2266
1.15 -0.0626 0.22 1.4583 2.2397 0.9308 1.8139
1.025 0.1427 0.23 1.3784 1.8111 1.1334 1.8639
0.9046 0.3861 0.24 1.3723 1.388 0.9893 1.8847
0.8077 0.6079 0.25 1.289 0.9377 1.0567 1.5085
0.7053 1.0039 0.26 1.1557 0.5198 1.0812 1.5505
0.6395 1.1664 0.27 1.2065 0.12 1.1131 1.541
0.5421 1.307 0.28 1.0392 -0.1838 1.1355 1.3382
0.406 1.5546 0.29 0.8829 -0.3922 1.335 1.1116
0.3732 1.7667 0.3 0.8187 -0.4127 1.1144 0.9547
0.3481 2.0224 0.31 0.7104 -0.3683 1.44 0.8115
0.3031 1.834 0.32 0.7075 -0.1738 1.1246 0.6592
0.2932 1.8843 0.33 0.6979 0.109 1.563 0.458
0.2835 2.0717 0.34 0.5267 0.3581 1.3146 0.3415
0.2936 1.7781 0.35 0.4678 0.6306 1.6212 0.1776
0.2876 1.8055 0.36 0.438 0.8649 1.34 0.0354
0.3727 1.6345 0.37 0.3832 0.924 1.5741 -0.1044
0.4215 1.3568 0.38 0.3779 0.9481 1.4521 -0.2413
0.4902 1.1017 0.39 0.3736 0.6748 1.6246 -0.3772
0.5814 0.9307 0.4 0.3193 0.3848 1.4191 -0.4917
0.7294 0.7682 0.41 0.2924 0.0431 1.7452 -0.5309
0.8459 0.5724 0.42 0.3104 -0.3914 1.6099 -0.6595
0.9766 0.4511 0.43 0.3548 -0.8115 1.724 -0.6669
1.0516 0.3802 0.44 0.3901 -1.0216 1.4879 -0.7063
1.3667 0.3882 0.45 0.4341 -1.2878 1.8635 -0.8527
1.3757 0.4261 0.46 0.412 -1.4049 1.5265 -0.8955
1.7269 0.542 0.47 0.5248 -1.2751 2.0526 -0.8259
1.8574 0.6407 0.48 0.5606 -1.0327 1.7299 -0.7508
2.0151 0.8201 0.49 0.6104 -0.6317 1.8395 -0.7335
2.1266 1.2029 0.5 0.8205 -0.2625 1.4932 -0.8276
2.3046 1.4894 0.51 0.7802 0.2022 1.9223 -0.6985
2.2822 1.7234 0.52 0.867 0.6118 1.612 -0.7182
2.5493 1.9365 0.53 0.9882 0.9353 1.9093 -0.649
2.3292 2.151 0.54 1.2342 1.038 1.622 -0.5515
2.5593 2.5123 0.55 1.3231 1.1778 2.0901 -0.4509
2.5169 2.4744 0.56 1.3972 1.1732 1.5922 -0.3105
2.5915 2.3299 0.57 1.3888 0.9565 2.0355 -0.2418
2.805 2.8179 0.58 1.7665 0.7163 1.8417 -0.1061
2.5947 2.7529 0.59 1.9263 0.3979 2.0752 0.013
2.6194 2.4828 0.6 2.0322 0.175 1.8859 0.1351
2.6989 2.1456 0.61 1.9506 0.0165 2.2367 0.276
3.0066 2.2811 0.62 1.9105 -0.0311 1.8945 0.3878
2.8543 1.8772 0.63 2.1765 0.0487 2.0749 0.4864
2.646 1.8108 0.64 2.4082 0.2724 1.646 0.6778
2.4292 1.4541 0.65 2.5283 0.6418 2.3159 0.7881
2.2034 1.2894 0.66 2.6181 1.0222 1.6924 0.9099
2.1378 1.0334 0.67 2.3872 1.5388 2.0008 1.047
2.1059 1.0071 0.68 2.6094 2.1019 1.8361 1.0776
1.9689 0.8546 0.69 2.4114 2.3326 2.3664 1.2607
1.8461 0.7219 0.7 2.8087 2.5685 1.8717 1.2858
1.6875 0.8152 0.71 2.6698 3.0243 2.2489 1.2861
1.8403 0.7997 0.72 2.8326 2.919 1.5696 1.5887
1.6329 1.0214 0.73 2.4665 2.5183 2.348 1.5537
1.4105 1.1594 0.74 2.3269 2.3536 1.7671 1.6639
1.3279 1.3615 0.75 2.391 2.0432 2.3169 1.6047
1.1368 1.5012 0.76 2.618 1.5192 1.5242 1.7565
1.1833 1.8105 0.77 2.5794 1.3865 1.9712 1.7372
1.0268 1.9214 0.78 2.0973 1.146 1.7282 1.635
1.0667 2.0745 0.79 2.0002 0.8776 2.0489 1.8748
0.9764 2.7305 0.8 2.1493 0.8865 1.6939 1.9084
0.8205 2.7918 0.81 2.0937 1.086 2.2122 1.7706
0.8177 2.9155 0.82 1.9303 1.2912 1.4648 1.8409
0.8629 2.8165 0.83 1.8367 1.6762 2.1533 1.6193
0.8808 2.9836 0.84 1.6064 1.8742 1.4913 1.5482
0.8955 2.8585 0.85 1.4684 2.0204 2.1765 1.4977
0.9479 2.6402 0.86 1.4373 2.4393 1.3795 1.4651
1.0434 2.638 0.87 1.1968 2.6474 2.1768 1.6276
1.1462 2.1814 0.88 1.2694 2.1536 1.4922 1.5375
1.1726 2.0843 0.89 0.977 2.3384 1.8721 1.4882
1.3233 1.7653 0.9 0.9249 1.8007 1.4466 1.2638
1.3541 1.5568 0.91 0.9115 1.4614 2.092 1.4122
1.4835 1.3752 0.92 0.7574 0.9041 1.3645 1.3332
1.5279 1.1753 0.93 0.6055 0.4661 1.8987 1.1732
1.6763 0.9505 0.94 0.5334 0.0751 1.2513 1.2715
1.9846 0.9563 0.95 0.482 -0.221 1.9673 1.0611
1.9774 0.8242 0.96 0.4359 -0.3945 1.2529 1.0548
2.2013 0.9048 0.97 0.3303 -0.4451 1.8849 0.9954
1.954 0.971 0.98 0.2882 -0.3407 1.2318 1.0682
2.3733 1.0824 0.99 0.2862 -0.1513 1.845 0.9686
2.2024 1.2179 1.0 0.2671 0.1269 1.1069 0.9202
2.6354 1.2973 1.01 0.2516 0.4179 1.5291 0.8846
2.2447 1.6881 1.02 0.2114 0.7076 1.1293 0.8624
2.661 1.8644 1.03 0.2179 0.948 1.4831 0.9879
2.6643 1.9697 1.04 0.2833 0.9446 0.9714 0.9752
2.5517 2.3875 1.05 0.2738 0.8986 1.7372 0.9483
2.4218 2.6327 1.06 0.3305 0.7994 0.8474 0.8909
2.2765 2.7226 1.07 0.3929 0.5902 1.4174 0.8789
2.3177 2.6164 1.08 0.4068 0.2149 0.9048 1.0308
2.3415 2.4818 1.09 0.5564 -0.1283 1.4442 0.9485
2.3868 2.5033 1.1 0.5836 -0.4282 0.7923 1.1176
2.0449 2.5061 1.11 0.7059 -0.7774 1.334 0.9615
2.0799 2.2601 1.12 0.7053 -0.8484 0.6383 1.1826
1.812 2.4375 1.13 0.8187 -0.7781 1.189 1.1763
1.9183 1.8756 1.14 0.8887 -0.6909 0.5902 1.191
1.7117 1.8366 1.15 0.9541 -0.4209 1.2904 1.2407
1.3924 1.4015 1.16 1.0108 -0.0441 0.5053 1.177
1.3533 1.2037 1.17 1.0931 0.388 1.0738 1.2037
1.1472 1.0231 1.18 1.3594 0.8706 0.4567 1.2106
1.0593 0.7765 1.19 1.2551 1.347 1.113 1.2327
0.8021 0.6837 1.2 1.3505 1.5526 0.3429 1.2188
0.6814 0.5044 1.21 1.3188 1.8807 1.0616 1.1863
0.5756 0.5076 1.22 1.4683 1.7788 0.3047 1.2903
0.4039 0.524 1.23 1.5948 1.7955 0.961 1.1158
0.2787 0.6106 1.24 1.7343 1.4368 0.2017 1.1968
0.191 0.7056 1.25 1.4947 1.4236 0.8268 1.1047
0.0915 0.7807 1.26 1.6224 0.9219 0.1114 1.0773
0.0009 1.0169 1.27 1.7494 0.761 0.751 1.1733
-0.0672 1.325 1.28 1.4751 0.6172 0.0198 1.1552
-0.1068 1.5337 1.29 1.7509 0.5497 0.6662 1.024
-0.1368 1.7073 1.3 1.4864 0.5397 -0.0657 1.0655
-0.1611 2.0685 1.31 1.6511 0.7772 0.6956 0.9471
-0.1658 2.241 1.32 1.5219 1.0318 -0.1707 0.7822
-0.136 2.3167 1.33 1.4795 1.3471 0.6139 0.6858
-0.1054 2.101 1.34 1.2409 1.9131 -0.2307 0.7155
-0.0592 2.1027 1.35 1.2159 2.029 0.5016 0.5992
0.0053 2.1634 1.36 1.2281 2.6616 -0.339 0.5581
0.0834 1.9356 1.37 0.9862 2.7346 0.3995 0.412
0.1656 1.8591 1.38 0.8658 2.5472 -0.4307 0.3067
0.2418 1.7686 1.39 0.7254 2.6028 0.3357 0.2381
0.3752 1.4737 1.4 0.625 2.4035 -0.4708 0.1545
0.4127 1.2088 1.41 0.522 2.2423 0.2809 0.0708
0.4979 0.8978 1.42 0.4331 1.8314 -0.64 -0.0128
0.6053 0.6969 1.43 0.3211 1.1662 0.1797 -0.0984
0.7316 0.4157 1.44 0.1683 0.8929 -0.6149 -0.1513
0.7814 0.238 1.45 0.0435 0.5611 0.1176 -0.2327
0.8805 0.0731 1.46 -0.0731 0.3227 -0.7866 -0.2901
0.961 -0.0261 1.47 -0.1849 0.2791 0.0456 -0.3205
1.026 -0.0734 1.48 -0.2954 0.3512 -0.8473 -0.3443
1.1679 -0.0587 1.49 -0.3827 0.5212 -0.0202 -0.3942
1.1163 0.0199 1.5 -0.5299 0.7204 -0.965 -0.4301
1.1355 0.1378 1.51 -0.6245 1.0423 -0.0865 -0.4501
1.1507 0.2828 1.52 -0.7102 1.329 -0.919 -0.4204
1.0699 0.5532 1.53 -0.7831 1.2893 -0.1577 -0.4155
1.1454 0.6515 1.54 -0.8261 1.3779 -0.9913 -0.3748
1.0882 0.8949 1.55 -0.9285 1.2523 -0.2044 -0.3566
0.8587 1.0809 1.56 -0.9126 1.1522 -1.2506 -0.3052
0.9192 1.3982 1.57 -0.8155 0.8451 -0.2806 -0.2547
0.7016 1.5966 1.58 -0.967 0.3289 -1.2785 -0.1736
0.5996 1.7013 1.59 -0.9296 -0.1282 -0.3585 -0.0948
0.4787 1.6959 1.6 -0.9103 -0.5551 -1.4224 -0.0093
0.3797 1.7434 1.61 -0.8464 -1.0403 -0.386 0.0884
0.1826 1.476 1.62 -0.7573 -1.128 -1.4136 0.2093
0.0448 1.2847 1.63 -0.7967 -1.4317 -0.4576 0.2838
-0.108 1.1689 1.64 -0.7544 -1.4818 -1.335 0.4482
-0.294 0.9003 1.65 -0.6159 -1.2223 -0.4848 0.5655
-0.4449 0.747 1.66 -0.5774 -1.0076 -1.382 0.6984
-0.5935 0.4251 1.67 -0.4234 -0.5992 -0.5371 0.8139
-0.7856 0.1975 1.68 -0.362 -0.2948 -1.4531 0.9162
-0.9697 -0.074 1.69 -0.2515 0.0016 -0.5949 1.0442
-1.0266 -0.279 1.7 -0.1493 0.2417 -1.4923 1.2129
