# label : secret experiment #3487
# y : intensity
#y2 y5 y4 time y1 y3 y6
0.1899 0.2144 0.4875 0.01 0.2698 0.468 0.731
0.378 0.4143 0.7736 0.02 0.518 0.8139 1.1189
0.6443 0.6767 1.0892 0.03 0.8318 1.0329 1.0387
0.7813 0.7808 1.1017 0.04 0.943 1.2649 0.5398
0.8868 0.9703 1.0558 0.05 1.2585 1.2891 -0.1069
1.1394 1.1009 0.6697 0.06 1.2083 1.1536 -0.6656
1.1904 1.3047 0.322 0.07 1.436 0.902 -0.8081
1.4835 1.3749 -0.0763 0.08 1.4041 0.6418 -0.442
1.6273 1.5878 -0.4312 0.09 1.5146 0.3029 0.2325
1.6464 1.7866 -0.5436 0.1 1.4004 -0.0001 0.9496
1.8169 1.6952 -0.5065 0.11 1.38 -0.2114 1.439
2.0979 1.6176 -0.3868 0.12 1.3001 -0.2805 1.3588
2.1773 1.8033 0.0017 0.13 1.0178 -0.1954 0.9651
2.1357 1.5728 0.4821 0.14 0.8062 0.0086 0.3007
2.1264 1.7641 0.9657 0.15 0.7031 0.3559 -0.2469
1.9595 1.6716 1.3788 0.16 0.5823 0.7738 -0.4231
2.0993 1.5555 1.4449 0.17 0.4471 1.1629 -0.1927
2.1049 1.4053 1.7435 0.18 0.2547 1.593 0.4114
2.2723 1.2782 1.6086 0.19 0.1874 1.7653 1.0121
2.2734 1.3126 1.22 0.2 0.1008 2.2335 1.5581
1.9753 1.0229 0.9136 0.21 0.0759 2.0065 1.5511
1.8161 1.0197 0.4934 0.22 0.0978 2.088 1.3995
1.7026 1.0059 0.1843 0.23 0.168 1.7922 0.7143
1.6571 0.8481 -0.0363 0.24 0.2803 1.4734 0.1282
1.7169 0.7007 -0.0634 0.25 0.4232 1.0446 -0.134
1.4543 0.6187 0.0856 0.26 0.5445 0.7452 0.031
1.3385 0.6285 0.4257 0.27 0.7883 0.4508 0.5795
1.0626 0.6683 0.7904 0.28 1.0775 0.2929 1.282
1.0594 0.6608 1.4236 0.29 1.1576 0.2747 1.6452
0.8296 0.626 1.5911 0.3 1.5157 0.3851 2.081
0.687 0.6126 1.8817 0.31 1.6069 0.6091 1.6821
0.5354 0.8144 2.2742 0.32 2.1287 0.9367 1.1282
0.2959 0.8048 1.9906 0.33 2.0598 1.3065 0.4209
0.1456 0.8883 1.8311 0.34 2.1422 1.4997 0.1246
-0.0142 0.978 1.4008 0.35 2.3831 1.7921 0.1919
-0.1909 1.2875 0.9991 0.36 2.5291 2.0242 0.7234
-0.3361 1.2669 0.6256 0.37 2.7042 2.1352 1.3515
-0.4969 1.6521 0.4109 0.38 2.4239 2.2223 1.8922
-0.6648 1.8032 0.2952 0.39 2.3714 1.9015 2.2308
-0.7637 1.9246 0.4463 0.4 2.4932 1.6239 1.7777
-0.9191 1.9374 0.657 0.41 2.2742 1.3222 1.4653
-0.883 2.0753 1.1796 0.42 2.052 0.7946 0.6854
