# y : intensity
# label : secret experiment #5032
# x : time signal
#time y4 y1 y2 y3
0.01 -0.7263 0.1746 0.6552 0.3679
0.02 1.1045 0.323 0.9409 0.7175
0.03 -0.3027 0.5165 1.0987 0.9582
0.04 -0.4111 0.5929 0.752 1.1639
0.05 1.0421 0.7739 0.3077 1.3105
0.06 -0.488 0.9735 -0.2209 1.3642
0.07 0.0785 1.1815 -0.5887 1.198
0.08 1.0527 1.2918 -0.69 1.1551
0.09 -0.6991 1.4302 -0.4688 0.8613
0.1 0.5165 1.3381 0.0391 0.7173
0.11 0.8709 1.4062 0.6794 0.4387
0.12 -0.5786 1.5985 1.082 0.2183
0.13 0.9413 1.8046 1.3721 0.0477
0.14 0.608 1.8128 1.2441 -0.0596
0.15 -0.485 1.7365 0.9651 -0.0677
0.16 1.4353 1.7014 0.4057 0.0117
0.17 0.3398 1.6671 -0.0916 0.1906
0.18 -0.1799 1.959 -0.3923 0.4457
0.19 1.5774 1.6373 -0.2715 0.7487
0.2 0.0787 1.8734 0.0948 1.1308
0.21 0.2457 1.6089 0.6359 1.3295
0.22 1.731 1.7788 1.3215 1.7117
0.23 -0.1242 1.6061 1.8472 1.9962
0.24 0.7296 1.423 1.8448 2.2406
0.25 1.5592 1.3787 1.4971 2.5463
0.26 -0.2411 1.3098 0.9415 2.3463
0.27 1.2097 1.3128 0.4461 2.2438
0.28 1.3514 1.1879 0.0543 2.2305
0.29 -0.1746 1.2399 -0.0639 2.0335
0.3 1.7239 1.0393 0.1439 1.6398
0.31 0.9617 0.9819 0.6722 1.3749
0.32 0.0509 1.0324 1.2171 1.1026
0.33 1.7384 0.9511 1.9435 0.9601
0.34 0.6276 0.8937 1.9202 0.7597
0.35 0.348 0.8765 2.1232 0.785
0.36 2.0169 0.7274 1.6736 0.7629
0.37 0.3664 0.7515 1.0186 0.864
0.38 0.8203 0.7597 0.5562 1.0134
0.39 1.8366 0.7084 0.2226 1.3024
0.4 0.2132 0.7601 0.2632 1.503
0.41 1.1789 0.7924 0.5817 2.0305
0.42 1.7565 0.7189 1.1407 2.28
0.43 0.1313 0.7404 1.8778 2.7362
0.44 1.8267 0.8816 1.9723 2.5966
0.45 1.5792 0.9529 2.4658 2.6365
0.46 0.2166 0.8917 1.9528 2.7044
0.47 2.1392 0.9964 1.4067 2.5851
0.48 1.0936 1.0494 0.9818 2.7632
0.49 0.4416 1.242 0.474 2.6178
0.5 2.1338 1.4574 0.3698 2.2692
0.51 0.8896 1.4236 0.5943 1.8257
0.52 0.8075 1.7162 0.9659 1.5653
0.53 2.4161 1.6823 1.6874 1.1647
0.54 0.5873 1.7285 2.1389 1.0438
0.55 1.2258 1.9787 2.4237 0.8328
0.56 2.257 1.8801 2.1588 0.6962
0.57 0.4526 2.2974 2.0964 0.7541
0.58 1.8237 2.3248 1.4949 0.9488
0.59 1.9624 2.2368 0.9172 1.1218
0.6 0.3907 2.4888 0.5251 1.2459
0.61 2.2314 2.5621 0.555 1.6436
0.62 1.71 2.6853 0.7828 2.0565
0.63 0.4672 2.5907 1.4618 2.0399
0.64 2.3662 2.5969 1.8797 2.399
0.65 1.1871 3.1238 2.4452 2.6452
0.66 0.7934 3.0164 2.3975 2.3179
0.67 2.3851 2.7385 2.1173 2.4915
0.68 0.8791 2.6625 1.6071 2.172
0.69 1.2341 2.7134 1.2349 1.8186
0.7 2.6146 2.672 0.7032 1.5067
0.71 0.5859 2.6819 0.4678 1.2721
0.72 1.4053 2.8779 0.7039 0.9366
0.73 2.3911 2.7089 1.138 0.6346
0.74 0.5525 2.7386 1.7744 0.3482
