# label : secret experiment #4647
# y : intensity
# x : time signal
#y1 y2 time
0.186 0.2921 0.01
0.3831 0.575 0.02
0.5463 0.8919 0.03
0.6599 1.2737 0.04
0.8981 1.4413 0.05
1.1343 1.6189 0.06
1.1664 1.895 0.07
1.3317 1.8555 0.08
1.5316 2.2484 0.09
1.5372 2.0785 0.1
1.6386 2.1734 0.11
1.6412 2.1638 0.12
1.8433 1.9349 0.13
1.7637 1.8243 0.14
1.9351 1.6483 0.15
1.8105 1.5574 0.16
1.7612 1.2207 0.17
2.0647 1.14 0.18
1.8789 0.8369 0.19
1.9529 0.6801 0.2
2.0131 0.4815 0.21
1.968 0.2828 0.22
1.5674 0.134 0.23
1.5004 -0.0113 0.24
1.4848 -0.1205 0.25
1.4393 -0.2199 0.26
1.2961 -0.2307 0.27
1.3601 -0.2735 0.28
1.1195 -0.2748 0.29
1.2155 -0.229 0.3
1.1224 -0.1601 0.31
0.9658 -0.0644 0.32
0.8743 0.0431 0.33
0.7459 0.1587 0.34
0.6326 0.273 0.35
0.6679 0.3739 0.36
0.5339 0.5296 0.37
0.5601 0.6615 0.38
0.4909 0.7656 0.39
0.5003 0.7306 0.4
0.4737 0.781 0.41
0.5043 0.775 0.42
0.5183 0.8587 0.43
0.5076 0.8487 0.44
0.5129 0.8256 0.45
0.5603 0.7839 0.46
0.666 0.7285 0.47
0.7136 0.6336 0.48
0.7281 0.5177 0.49
0.7848 0.4604 0.5
0.8076 0.3184 0.51
0.9165 0.2594 0.52
0.9463 0.2284 0.53
1.1788 0.1697 0.54
1.2825 0.1635 0.55
1.2439 0.1629 0.56
1.4519 0.2046 0.57
1.4038 0.2674 0.58
1.5528 0.3606 0.59
1.5556 0.5505 0.6
1.5369 0.6268 0.61
1.6892 0.7601 0.62
1.7156 0.9748 0.63
1.7573 1.1498 0.64
1.749 1.5887 0.65
1.7505 1.6818 0.66
1.7093 1.9986 0.67
1.5687 2.2729 0.68
1.5692 2.4019 0.69
1.3211 2.5504 0.7
1.3055 2.635 0.71
1.3207 2.9367 0.72
1.215 2.764 0.73
0.9771 2.7309 0.74
0.973 2.6447 0.75
0.7754 2.8587 0.76
0.6555 2.537 0.77
0.5515 2.3121 0.78
0.3914 2.3386 0.79
0.219 1.7938 0.8
0.1071 1.8223 0.81
-0.0356 1.2951 0.82
-0.1719 1.2324 0.83
-0.296 0.8491 0.84
-0.4455 0.4686 0.85
-0.5837 0.2049 0.86
-0.6087 -0.0674 0.87
-0.6558 -0.3532 0.88
-0.8305 -0.6036 0.89
-0.9005 -0.7531 0.9
-0.8831 -0.8611 0.91
-1.0356 -1.0363 0.92
-1.0386 -0.9996 0.93
-1.0294 -1.0795 0.94
-0.9882 -1.014 0.95
-0.9241 -1.1214 0.96
-0.8464 -0.9957 0.97
-0.8735 -0.7864 0.98
-0.8318 -0.6368 0.99
-0.7673 -0.438 1.0
-0.6511 -0.2323 1.01
-0.4494 -0.0214 1.02
-0.3748 0.2069 1.03
-0.2616 0.4139 1.04
-0.1111 0.6646 1.05
0.0367 0.7864 1.06
0.1712 0.94 1.07
0.3253 1.198 1.08
0.4848 1.375 1.09
0.6875 1.4262 1.1
0.8016 1.3333 1.11
0.8773 1.4661 1.12
1.0555 1.3313 1.13
1.1133 1.3262 1.14
1.2358 1.2395 1.15
1.5741 1.099 1.16
1.6517 0.9517 1.17
1.7034 0.9395 1.18
1.8655 0.8535 1.19
1.7427 0.704 1.2
1.8646 0.5289 1.21
2.0974 0.4011 1.22
2.0938 0.3059 1.23
2.0778 0.225 1.24
1.8739 0.1301 1.25
1.9108 0.0798 1.26
1.8658 0.0507 1.27
1.7626 0.0443 1.28
1.9717 0.0527 1.29
1.7086 0.0795 1.3
1.6561 0.1238 1.31
1.7305 0.1983 1.32
1.6395 0.2297 1.33
1.6702 0.3334 1.34
1.362 0.4156 1.35
1.2525 0.4113 1.36
1.3262 0.4815 1.37
1.2332 0.469 1.38
1.1436 0.4674 1.39
1.0341 0.5009 1.4
0.9786 0.4227 1.41
0.8387 0.3302 1.42
0.7992 0.2282 1.43
0.781 0.0886 1.44
0.6993 -0.0795 1.45
0.6774 -0.2953 1.46
0.7391 -0.4927 1.47
0.6799 -0.654 1.48
0.7329 -0.8677 1.49
0.7393 -1.2334 1.5
0.7067 -1.5298 1.51
0.7361 -1.7585 1.52
0.8093 -1.7396 1.53
0.8436 -1.9621 1.54
0.8252 -2.0879 1.55
1.0411 -2.4517 1.56
1.024 -2.5215 1.57
1.1014 -2.2992 1.58
1.2013 -2.3766 1.59
1.2921 -2.1234 1.6
1.4634 -2.2931 1.61
1.5239 -2.315 1.62
1.5168 -1.7484 1.63
1.6563 -1.6401 1.64
1.6424 -1.4784 1.65
1.5586 -1.2943 1.66
1.6102 -1.0331 1.67
1.6174 -0.6299 1.68
1.7864 -0.3829 1.69
1.7032 -0.0984 1.7
1.9146 0.1668 1.71
1.6602 0.3732 1.72
1.9083 0.5379 1.73
1.718 0.7615 1.74
1.7564 0.9245 1.75
1.6719 0.8952 1.76
1.6451 1.044 1.77
1.3759 1.0736 1.78
1.3616 0.9365 1.79
1.382 0.8159 1.8
1.2224 0.7492 1.81
0.9746 0.5801 1.82
0.7992 0.3742 1.83
0.6389 0.1158 1.84
0.56 -0.1082 1.85
0.333 -0.3534 1.86
0.1676 -0.6398 1.87
-0.0028 -0.7894 1.88
-0.1935 -1.0453 1.89
-0.3461 -1.4417 1.9
-0.5575 -1.4677 1.91
-0.7037 -1.7415 1.92
-0.8698 -1.7163 1.93
-1.035 -1.9623 1.94
-1.3036 -1.9003 1.95
-1.3508 -2.1065 1.96
-1.4338 -1.8808 1.97
-1.6429 -2.2168 1.98
-1.5648 -1.9738 1.99
-1.6518 -2.076 2.0
-1.7931 -1.6964 2.01
-1.8539 -1.7143 2.02
-1.8909 -1.6785 2.03
-1.9155 -1.4847 2.04
-1.9767 -1.3432 2.05
-2.0488 -1.0985 2.06
-1.9081 -1.1096 2.07
-1.8697 -1.0714 2.08
-2.05 -0.8802 2.09
-1.6859 -0.9062 2.1
-1.6565 -0.9651 2.11
-1.8391 -0.9016 2.12
-1.6815 -0.9227 2.13
-1.5506 -0.8482 2.14
-1.4394 -0.9464 2.15
-1.3073 -0.9733 2.16
-1.2242 -1.2026 2.17
-1.0191 -1.2742 2.18
-0.9377 -1.313 2.19
-0.9148 -1.3487 2.2
-0.6928 -1.2586 2.21
-0.6913 -1.5137 2.22
-0.4978 -1.397 2.23
-0.4674 -1.3326 2.24
-0.3985 -1.4394 2.25
-0.3152 -1.3761 2.26
-0.2641 -1.1845 2.27
-0.2163 -1.0543 2.28
-0.1538 -0.957 2.29
-0.14 -0.6545 2.3
-0.1389 -0.5472 2.31
-0.1221 -0.2978 2.32
-0.1465 -0.0741 2.33
-0.1482 0.1343 2.34
-0.1973 0.3684 2.35
-0.2435 0.5381 2.36
-0.3032 0.7616 2.37
-0.3415 0.9873 2.38
-0.4282 1.1292 2.39
-0.5199 1.2588 2.4
-0.5502 1.3157 2.41
-0.6791 1.2727 2.42
-0.6644 1.4279 2.43
-0.7228 1.2655 2.44
-0.8811 1.1064 2.45
-0.8454 1.0732 2.46
-1.0405 0.8919 2.47
-1.0819 0.5884 2.48
-1.1083 0.4095 2.49
-1.1317 0.1397 2.5
-1.262 -0.1146 2.51
-1.1275 -0.3865 2.52
-1.3304 -0.602 2.53
-1.22 -0.8819 2.54
-1.1482 -1.1368 2.55
-1.0985 -1.3558 2.56
-1.2885 -1.4219 2.57
-1.1633 -1.872 2.58
-1.1507 -1.7193 2.59
-1.094 -1.9069 2.6
-1.0228 -2.0367 2.61
-0.8672 -1.7494 2.62
-0.7714 -1.6465 2.63
-0.5814 -1.8288 2.64
-0.5371 -1.4045 2.65
-0.4162 -1.3212 2.66
