#CandyMountain NPP, unit 8
#date;fha;bc;ao
04/18/1982;1.47;6.833;-7.681
04/19/1982;1.47;6.823;-7.669
04/20/1982;1.469;6.818;-7.664
04/21/1982;1.468;6.803;-7.658
04/22/1982;1.466;6.79;-7.648
04/23/1982;1.465;6.781;-7.642
04/24/1982;1.464;6.768;-7.639
04/25/1982;1.463;6.757;-7.634
04/26/1982;1.463;6.742;-7.629
04/27/1982;1.461;6.735;-7.624
04/28/1982;1.461;6.721;-7.618
04/29/1982;1.46;6.711;-7.612
04/30/1982;1.459;6.699;-7.609
05/01/1982;1.457;6.689;-7.606
05/02/1982;1.457;6.679;-7.602
05/03/1982;1.456;6.668;-7.596
05/04/1982;1.455;6.66;-7.592
05/05/1982;1.454;6.65;-7.588
05/06/1982;1.453;6.639;-7.584
05/07/1982;1.452;6.634;-7.582
05/08/1982;1.452;6.623;-7.578
05/09/1982;1.451;6.613;-7.573
05/10/1982;1.45;6.602;-7.569
05/11/1982;1.449;6.589;-7.564
05/12/1982;1.448;6.579;-7.559
05/13/1982;1.447;6.57;-7.557
05/14/1982;1.446;6.558;-7.554
05/15/1982;1.445;6.545;-7.549
05/16/1982;1.444;6.532;-7.544
05/17/1982;1.443;6.518;-7.541
05/18/1982;1.442;6.509;-7.539
05/19/1982;1.441;6.499;-7.536
05/20/1982;1.439;6.488;-7.533
05/21/1982;1.439;6.473;-7.531
05/22/1982;1.438;6.462;-7.528
05/23/1982;1.437;6.455;-7.525
05/24/1982;1.437;6.446;-7.521
05/25/1982;1.436;6.441;-7.518
05/26/1982;1.435;6.43;-7.514
05/27/1982;1.433;6.423;-7.512
05/28/1982;1.432;6.417;-7.509
05/29/1982;1.431;6.41;-7.507
05/30/1982;1.43;6.396;-7.503
05/31/1982;1.429;6.387;-7.5
06/01/1982;1.428;6.377;-7.497
06/02/1982;1.427;6.364;-7.495
06/03/1982;1.426;6.351;-7.491
06/04/1982;1.425;6.34;-7.487
06/05/1982;1.423;6.332;-7.485
06/06/1982;1.423;6.32;-7.48
06/07/1982;1.422;6.307;-7.476
06/08/1982;1.42;6.299;-7.475
06/09/1982;1.42;6.289;-7.473
06/10/1982;1.419;6.279;-7.47
06/11/1982;1.418;6.272;-7.469
06/12/1982;1.418;6.264;-7.466
06/13/1982;1.417;6.254;-7.464
06/14/1982;1.416;6.242;-7.461
06/15/1982;1.415;6.235;-7.459
06/16/1982;1.414;6.224;-7.456
06/17/1982;1.412;6.21;-7.454
06/18/1982;1.411;6.197;-7.45
06/19/1982;1.41;6.187;-7.449
06/20/1982;1.409;6.179;-7.445
06/21/1982;1.408;6.164;-7.441
06/22/1982;1.407;6.152;-7.437
06/23/1982;1.406;6.141;-7.434
06/24/1982;1.405;6.133;-7.432
06/25/1982;1.404;6.121;-7.428
06/26/1982;1.402;6.112;-7.427
06/27/1982;1.401;6.099;-7.424
06/28/1982;1.4;6.084;-7.422
06/29/1982;1.399;6.071;-7.421
06/30/1982;1.398;6.062;-7.419
07/01/1982;1.398;6.052;-7.417
07/02/1982;1.397;6.045;-7.414
07/03/1982;1.396;6.038;-7.41
07/04/1982;1.395;6.032;-7.408
07/05/1982;1.394;6.026;-7.406
07/06/1982;1.393;6.021;-7.402
07/07/1982;1.392;6.009;-7.399
07/08/1982;1.391;5.995;-7.396
07/09/1982;1.39;5.986;-7.393
07/10/1982;1.389;5.979;-7.389
07/11/1982;1.388;5.972;-7.387
07/12/1982;1.387;5.962;-7.384
07/13/1982;1.386;5.952;-7.381
07/14/1982;1.385;5.945;-7.377
07/15/1982;1.384;5.935;-7.375
07/16/1982;1.383;5.928;-7.372
07/17/1982;1.381;5.921;-7.371
07/18/1982;1.38;5.91;-7.368
07/19/1982;1.379;5.902;-7.365
07/20/1982;1.379;5.889;-7.363
07/21/1982;1.377;5.879;-7.361
07/22/1982;1.376;5.87;-7.358
07/23/1982;1.376;5.862;-7.356
07/24/1982;1.375;5.852;-7.354
07/25/1982;1.374;5.841;-7.351
07/26/1982;1.374;5.826;-7.348
07/27/1982;1.373;5.82;-7.346
07/28/1982;1.372;5.805;-7.343
07/29/1982;1.371;5.792;-7.342
07/30/1982;1.37;5.784;-7.338
07/31/1982;1.37;5.77;-7.335
08/01/1982;1.369;5.765;-7.333
08/02/1982;1.368;5.753;-7.331
08/03/1982;1.367;5.744;-7.33
08/04/1982;1.366;5.739;-7.327
08/05/1982;1.366;5.734;-7.323
08/06/1982;1.365;5.726;-7.32
08/07/1982;1.364;5.72;-7.318
08/08/1982;1.362;5.71;-7.315
08/09/1982;1.361;5.697;-7.313
08/10/1982;1.36;5.692;-7.31
08/11/1982;1.359;5.678;-7.307
08/12/1982;1.358;5.666;-7.303
08/13/1982;1.357;5.655;-7.3
08/14/1982;1.357;5.642;-7.296
08/15/1982;1.356;5.628;-7.294
08/16/1982;1.355;5.618;-7.291
08/17/1982;1.354;5.608;-7.288
08/18/1982;1.354;5.6;-7.284
08/19/1982;1.353;5.594;-7.282
08/20/1982;1.352;5.588;-7.28
08/21/1982;1.352;5.575;-7.277
08/22/1982;1.351;5.561;-7.275
08/23/1982;1.35;5.555;-7.272
08/24/1982;1.348;5.54;-7.27
08/25/1982;1.347;5.526;-7.268
08/26/1982;1.346;5.514;-7.266
08/27/1982;1.344;5.502;-7.265
08/28/1982;1.343;5.488;-7.263
08/29/1982;1.341;5.483;-7.261
08/30/1982;1.341;5.474;-7.258
08/31/1982;1.34;5.467;-7.256
09/01/1982;1.339;5.458;-7.255
09/02/1982;1.338;5.449;-7.252
09/03/1982;1.337;5.437;-7.251
09/04/1982;1.335;5.423;-7.248
09/05/1982;1.334;5.413;-7.245
09/06/1982;1.333;5.407;-7.244
09/07/1982;1.333;5.401;-7.241
09/08/1982;1.332;5.394;-7.238
09/09/1982;1.331;5.384;-7.235
09/10/1982;1.33;5.372;-7.233
09/11/1982;1.329;5.364;-7.23
09/12/1982;1.329;5.35;-7.229
09/13/1982;1.327;5.344;-7.226
09/14/1982;1.326;5.332;-7.224
09/15/1982;1.324;5.32;-7.223
09/16/1982;1.323;5.312;-7.221
09/17/1982;1.322;5.304;-7.22
09/18/1982;1.321;5.292;-7.217
09/19/1982;1.32;5.278;-7.214
09/20/1982;1.319;5.264;-7.211
09/21/1982;1.317;5.254;-7.208
09/22/1982;1.316;5.247;-7.205
09/23/1982;1.315;5.236;-7.204
09/24/1982;1.315;5.231;-7.201
