#Disneyland NPP, unit 9
#date;bc;ao;fha
1980-01-17;6.016;-7.717;1.423
1980-01-18;6.002;-7.711;1.421
1980-01-19;5.994;-7.706;1.421
1980-01-20;5.987;-7.697;1.42
1980-01-21;5.98;-7.687;1.419
1980-01-22;5.974;-7.683;1.418
1980-01-23;5.963;-7.676;1.417
1980-01-24;5.953;-7.669;1.416
1980-01-25;5.944;-7.662;1.416
1980-01-26;5.937;-7.657;1.415
1980-01-27;5.931;-7.653;1.413
1980-01-28;5.926;-7.65;1.412
1980-01-29;5.92;-7.645;1.411
1980-01-30;5.91;-7.64;1.41
1980-01-31;5.904;-7.637;1.409
1980-02-01;5.892;-7.634;1.408
1980-02-02;5.883;-7.629;1.407
1980-02-03;5.875;-7.625;1.406
1980-02-04;5.867;-7.619;1.405
1980-02-05;5.855;-7.613;1.404
1980-02-06;5.84;-7.61;1.403
1980-02-07;5.83;-7.608;1.402
1980-02-08;5.821;-7.604;1.401
1980-02-09;5.809;-7.598;1.401
1980-02-10;5.803;-7.596;1.399
1980-02-11;5.791;-7.593;1.398
1980-02-12;5.783;-7.588;1.397
1980-02-13;5.773;-7.583;1.396
1980-02-14;5.761;-7.579;1.395
1980-02-15;5.749;-7.577;1.394
1980-02-16;5.74;-7.571;1.393
1980-02-17;5.734;-7.569;1.392
1980-02-18;5.723;-7.565;1.39
1980-02-19;5.71;-7.563;1.39
1980-02-20;5.698;-7.56;1.388
1980-02-21;5.683;-7.555;1.387
1980-02-22;5.677;-7.55;1.387
1980-02-23;5.671;-7.545;1.386
1980-02-24;5.664;-7.542;1.385
1980-02-25;5.657;-7.538;1.384
1980-02-26;5.645;-7.535;1.382
1980-02-27;5.63;-7.533;1.381
1980-02-28;5.624;-7.529;1.38
1980-02-29;5.611;-7.526;1.379
1980-03-01;5.6;-7.522;1.378
1980-03-02;5.593;-7.518;1.377
1980-03-03;5.579;-7.514;1.376
1980-03-04;5.568;-7.509;1.375
1980-03-05;5.558;-7.506;1.375
1980-03-06;5.549;-7.504;1.374
1980-03-07;5.539;-7.501;1.373
1980-03-08;5.534;-7.498;1.372
1980-03-09;5.526;-7.496;1.372
1980-03-10;5.515;-7.492;1.37
1980-03-11;5.501;-7.488;1.37
1980-03-12;5.494;-7.486;1.369
1980-03-13;5.489;-7.483;1.368
1980-03-14;5.475;-7.48;1.367
1980-03-15;5.461;-7.476;1.365
1980-03-16;5.453;-7.473;1.364
1980-03-17;5.444;-7.47;1.363
1980-03-18;5.431;-7.466;1.362
1980-03-19;5.418;-7.463;1.36
1980-03-20;5.411;-7.46;1.359
1980-03-21;5.398;-7.456;1.358
1980-03-22;5.384;-7.454;1.357
1980-03-23;5.375;-7.45;1.356
1980-03-24;5.367;-7.448;1.355
