#Disneyland NPP, unit 14
#date;fha;bc;ao
4.8.1981;1.328;5.156;-7.702
5.8.1981;1.328;5.144;-7.696
6.8.1981;1.327;5.135;-7.689
7.8.1981;1.326;5.127;-7.685
8.8.1981;1.324;5.118;-7.676
9.8.1981;1.323;5.108;-7.672
10.8.1981;1.322;5.095;-7.666
11.8.1981;1.321;5.085;-7.659
12.8.1981;1.32;5.076;-7.656
13.8.1981;1.319;5.069;-7.65
14.8.1981;1.318;5.058;-7.646
15.8.1981;1.317;5.05;-7.642
16.8.1981;1.316;5.038;-7.636
17.8.1981;1.314;5.026;-7.63
18.8.1981;1.314;5.02;-7.624
19.8.1981;1.312;5.007;-7.622
20.8.1981;1.312;5.001;-7.618
21.8.1981;1.311;4.994;-7.614
22.8.1981;1.309;4.982;-7.61
23.8.1981;1.308;4.971;-7.606
24.8.1981;1.307;4.962;-7.603
25.8.1981;1.306;4.947;-7.601
26.8.1981;1.304;4.941;-7.596
27.8.1981;1.303;4.933;-7.591
28.8.1981;1.302;4.928;-7.586
29.8.1981;1.301;4.922;-7.581
30.8.1981;1.3;4.909;-7.575
31.8.1981;1.299;4.896;-7.571
1.9.1981;1.298;4.886;-7.566
2.9.1981;1.297;4.877;-7.563
3.9.1981;1.296;4.872;-7.559
4.9.1981;1.296;4.86;-7.556
5.9.1981;1.295;4.846;-7.552
6.9.1981;1.294;4.838;-7.547
7.9.1981;1.293;4.823;-7.544
8.9.1981;1.292;4.813;-7.541
9.9.1981;1.291;4.803;-7.538
10.9.1981;1.291;4.791;-7.533
11.9.1981;1.289;4.777;-7.529
12.9.1981;1.288;4.772;-7.526
13.9.1981;1.287;4.761;-7.521
14.9.1981;1.286;4.753;-7.518
15.9.1981;1.286;4.747;-7.515
16.9.1981;1.285;4.737;-7.512
17.9.1981;1.284;4.73;-7.508
18.9.1981;1.283;4.717;-7.504
19.9.1981;1.282;4.708;-7.503
20.9.1981;1.281;4.696;-7.498
21.9.1981;1.279;4.686;-7.496
22.9.1981;1.278;4.674;-7.492
23.9.1981;1.277;4.661;-7.49
24.9.1981;1.276;4.653;-7.486
25.9.1981;1.275;4.646;-7.482
26.9.1981;1.275;4.633;-7.479
27.9.1981;1.274;4.623;-7.476
28.9.1981;1.273;4.618;-7.471
29.9.1981;1.273;4.61;-7.469
30.9.1981;1.272;4.598;-7.465
1.10.1981;1.271;4.589;-7.462
2.10.1981;1.27;4.578;-7.458
3.10.1981;1.269;4.566;-7.455
4.10.1981;1.269;4.552;-7.451
5.10.1981;1.268;4.544;-7.447
6.10.1981;1.267;4.533;-7.444
7.10.1981;1.266;4.527;-7.44
8.10.1981;1.264;4.52;-7.438
9.10.1981;1.263;4.506;-7.435
10.10.1981;1.263;4.497;-7.432
11.10.1981;1.261;4.485;-7.429
12.10.1981;1.26;4.473;-7.425
13.10.1981;1.259;4.461;-7.422
14.10.1981;1.257;4.453;-7.418
15.10.1981;1.256;4.447;-7.414
16.10.1981;1.255;4.435;-7.412
17.10.1981;1.254;4.421;-7.409
