#CandyMountain NPP, unit 15
#date;ao;bc;fha
10.1.1993;-6.384;5.246;1.383
11.1.1993;-6.377;5.235;1.383
12.1.1993;-6.372;5.22;1.382
13.1.1993;-6.365;5.214;1.38
14.1.1993;-6.358;5.206;1.379
15.1.1993;-6.355;5.191;1.378
16.1.1993;-6.351;5.181;1.377
17.1.1993;-6.344;5.172;1.377
18.1.1993;-6.337;5.162;1.376
19.1.1993;-6.33;5.149;1.375
20.1.1993;-6.324;5.142;1.374
21.1.1993;-6.319;5.13;1.373
22.1.1993;-6.314;5.123;1.373
23.1.1993;-6.311;5.117;1.371
24.1.1993;-6.308;5.107;1.37
25.1.1993;-6.303;5.096;1.369
26.1.1993;-6.296;5.088;1.368
27.1.1993;-6.293;5.083;1.367
28.1.1993;-6.288;5.076;1.366
29.1.1993;-6.283;5.061;1.365
30.1.1993;-6.28;5.049;1.364
31.1.1993;-6.277;5.04;1.362
1.2.1993;-6.272;5.031;1.362
2.2.1993;-6.267;5.024;1.361
3.2.1993;-6.262;5.01;1.36
4.2.1993;-6.258;4.997;1.359
5.2.1993;-6.254;4.99;1.358
6.2.1993;-6.248;4.98;1.357
7.2.1993;-6.245;4.973;1.356
8.2.1993;-6.242;4.968;1.355
9.2.1993;-6.24;4.961;1.354
10.2.1993;-6.235;4.953;1.354
11.2.1993;-6.232;4.946;1.353
12.2.1993;-6.229;4.94;1.351
13.2.1993;-6.223;4.926;1.351
14.2.1993;-6.219;4.913;1.349
15.2.1993;-6.216;4.898;1.348
16.2.1993;-6.214;4.892;1.347
17.2.1993;-6.211;4.877;1.347
18.2.1993;-6.206;4.868;1.345
19.2.1993;-6.202;4.854;1.344
20.2.1993;-6.199;4.844;1.343
21.2.1993;-6.197;4.831;1.342
22.2.1993;-6.195;4.823;1.341
23.2.1993;-6.19;4.817;1.34
24.2.1993;-6.185;4.811;1.339
25.2.1993;-6.183;4.797;1.338
26.2.1993;-6.179;4.791;1.337
27.2.1993;-6.176;4.785;1.336
28.2.1993;-6.174;4.779;1.335
1.3.1993;-6.171;4.773;1.334
2.3.1993;-6.169;4.765;1.333
3.3.1993;-6.167;4.756;1.332
4.3.1993;-6.165;4.749;1.331
5.3.1993;-6.162;4.736;1.33
6.3.1993;-6.16;4.726;1.329
7.3.1993;-6.158;4.719;1.328
8.3.1993;-6.156;4.713;1.327
9.3.1993;-6.153;4.703;1.327
10.3.1993;-6.148;4.697;1.326
11.3.1993;-6.145;4.685;1.325
12.3.1993;-6.141;4.672;1.324
13.3.1993;-6.138;4.664;1.323
14.3.1993;-6.135;4.657;1.321
15.3.1993;-6.133;4.643;1.321
16.3.1993;-6.13;4.635;1.32
17.3.1993;-6.127;4.62;1.319
18.3.1993;-6.123;4.61;1.318
19.3.1993;-6.121;4.603;1.317
20.3.1993;-6.117;4.591;1.316
21.3.1993;-6.116;4.578;1.315
22.3.1993;-6.114;4.568;1.314
23.3.1993;-6.112;4.563;1.313
24.3.1993;-6.108;4.549;1.312
25.3.1993;-6.106;4.535;1.311
26.3.1993;-6.103;4.529;1.31
27.3.1993;-6.099;4.523;1.309
28.3.1993;-6.096;4.516;1.308
29.3.1993;-6.093;4.509;1.308
30.3.1993;-6.089;4.501;1.306
31.3.1993;-6.086;4.492;1.306
1.4.1993;-6.084;4.483;1.304
2.4.1993;-6.082;4.477;1.303
3.4.1993;-6.078;4.463;1.302
4.4.1993;-6.076;4.455;1.301
5.4.1993;-6.072;4.45;1.299
6.4.1993;-6.07;4.435;1.298
7.4.1993;-6.069;4.422;1.297
8.4.1993;-6.067;4.412;1.296
9.4.1993;-6.065;4.401;1.295
10.4.1993;-6.062;4.389;1.294
11.4.1993;-6.059;4.379;1.293
12.4.1993;-6.056;4.365;1.292
13.4.1993;-6.052;4.354;1.292
14.4.1993;-6.05;4.344;1.291
15.4.1993;-6.048;4.335;1.289
16.4.1993;-6.045;4.322;1.288
17.4.1993;-6.042;4.313;1.288
18.4.1993;-6.038;4.308;1.287
19.4.1993;-6.035;4.297;1.286
20.4.1993;-6.032;4.285;1.285
21.4.1993;-6.03;4.275;1.284
22.4.1993;-6.027;4.268;1.283
23.4.1993;-6.024;4.261;1.282
24.4.1993;-6.023;4.254;1.281
25.4.1993;-6.019;4.247;1.28
26.4.1993;-6.017;4.237;1.279
27.4.1993;-6.015;4.232;1.278
28.4.1993;-6.013;4.219;1.276
