01. 01. 2010		  10e1c0 19857.21884219925
01/01/2010	    	 4f7316 1.8083e+04
2010-01-01      731b9d	  1.4153e+04
2010-01-01	  80b53e	  1.8706e+04
01. 01. 2010     3c478b  1.5983e+04
2010-01-01	 206c34 1.0734e+04
01/02/2010 	 2262d3    1.6297e+04
01/02/2010    	 128041 	1.8761e+04
2010-01-02	  	    8be40c 1.1461e+04
01/02/2010		    71c732 1.2413e+04
02.01.2010        1a0c9b   15241.013543181787
2010-01-02     811726   1.8469e+04
02. 01. 2010   469fe9   1.0269e+04
2010-01-02	 		 185be9  	1.4416e+04
2010-01-03  	:    48477c 	  1.7167e+04
01/03/2010   4a5da9    1.8683e+04
2010-01-03 	  238308	   1.8260e+04
03. 01. 2010   	 95038d 1.4935e+04
03. 01. 2010	   1605b3	1.9585e+04
04. 01. 2010   	 1b4c60   1.9088e+04
2010-01-04 :		20d916 19652.675995517693
05.01.2010  	 :	649ed4 13146.599853739179
01/05/2010        8c10d4 1.0893e+04
05.01.2010   	4ae0f7   1.3222e+04
2010-01-05 	 3bf54d 1.7380e+04
2010-01-06  7bbe41  	 1.6779e+04
06.01.2010 	  52e14e 17080.228369330332
2010-01-06	  595e5f    1.4652e+04
2010-01-06        651752 	  1.4063e+04
2010-01-06     86b340   1.5490e+04
2010-01-06   :  	266958	1.8086e+04
01/06/2010	   		 986de7  1.8967e+04
01/06/2010 		 	873eda 	  1.8335e+04
01/07/2010     03e31c		  16118.61776968349
07. 01. 2010   	66ada4 1.3909e+04
01/07/2010	 :  7da681  1.8167e+04
01/07/2010     2d57ee 1.4840e+04
2010-01-07    8313af    17482.016529967306
01/07/2010	  :		 8baca0	 	 1.3423e+04
07.01.2010		  3ebc9b    1.6434e+04
2010-01-07      86c201   15669.78001576026
01/07/2010  		 3c8bd0    1.1062e+04
01/07/2010 	    88ac40		  1.1011e+04
2010-01-07   		 32d8c6 1.7640e+04
2010-01-07     1a858e  1.3225e+04
2010-01-07    9368ea 	 	1.7330e+04
2010-01-07      8ef3e9   1.4227e+04
2010-01-08    	 626e82 	 19960.47233744169
08.01.2010     367d0f   1.3099e+04
01/08/2010  	    2ae11d 18779.703420489583
2010-01-08 	    984cf5 	  10721.593104867128
01/08/2010	 0a936f    1.7019e+04
2010-01-08	    	 326038 	  1.0008e+04
01/09/2010		 	    6d65e8	 	 1.5930e+04
09. 01. 2010  	  607058   1.5294e+04
2010-01-09  	  69450e  	1.8190e+04
01/09/2010   3bd5ed   1.4692e+04
01/10/2010	     	92169f  	1.3520e+04
10.01.2010    	791eac  1.0587e+04
2010-01-10	    9496e9			16808.384476824325
2010-01-10	    	 0be7b6 	  16309.803802175584
2010-01-10   	17199c	   1.9412e+04
2010-01-11	    32f521 	 1.4522e+04
2010-01-11  	 34fd81  	 11101.859911173562
2010-01-11 	    2a0c08    1.2783e+04
11. 01. 2010     3d6fcb	   1.9012e+04
2010-01-11  0422d9	1.5254e+04
11.01.2010   587bed	 15499.564832401498
2010-01-12     1952c6	 1.6621e+04
2010-01-12	   4e8d9f	 17507.86833053647
12. 01. 2010   68f296		19440.677049095633
12. 01. 2010      438a7c	13470.370908327854
12.01.2010  	    33732b 	  1.7718e+04
01/12/2010  	 18be7e  	1.8196e+04
2010-01-13     076806	1.9633e+04
2010-01-13  		3a0156  1.7343e+04
01/13/2010  43de5a 	1.3218e+04
2010-01-13	 	  850c4d	   1.0444e+04
2010-01-13   	55f755 	 	1.1144e+04
2010-01-13			 	3d61be 1.0996e+04
14. 01. 2010 		 	   157d7c 1.7355e+04
2010-01-14      78ee99	 	 1.0920e+04
