# label : secret experiment #2472
#y2 y1 y3 y4 time
0.2043 0.2566 0.376 0.5147 0.01
0.3806 0.5219 0.7402 0.8152 0.02
0.5576 0.7733 0.9855 1.2241 0.03
0.8037 0.9153 1.2389 1.1877 0.04
0.9257 1.1616 1.1855 1.1857 0.05
1.0793 1.1567 1.247 0.8631 0.06
1.3264 1.253 1.0484 0.5164 0.07
1.4376 1.2699 0.9893 0.1263 0.08
1.467 1.4749 0.7355 -0.2089 0.09
1.5735 1.5001 0.4168 -0.3803 0.1
1.7073 1.3019 0.1624 -0.4758 0.11
1.7721 1.3986 -0.0297 -0.2936 0.12
1.6582 1.0931 -0.1379 0.0101 0.13
1.861 1.0004 -0.1388 0.4051 0.14
1.8427 0.853 -0.0144 0.9655 0.15
1.5848 0.706 0.1848 1.4011 0.16
1.5462 0.5865 0.5273 1.6572 0.17
1.661 0.3846 0.9239 1.9532 0.18
1.7333 0.2916 1.1686 1.9758 0.19
1.6499 0.1776 1.6526 1.7761 0.2
1.2918 0.1057 1.9911 1.4088 0.21
1.4157 0.0489 2.229 1.0289 0.22
1.2597 0.0382 2.3173 0.6168 0.23
1.1435 0.0614 2.3708 0.3424 0.24
0.9121 0.1295 2.1811 0.146 0.25
0.8125 0.2314 1.9414 0.1526 0.26
0.7114 0.34 1.6571 0.3307 0.27
0.6037 0.5312 1.4318 0.6799 0.28
0.5683 0.6865 1.1695 1.1016 0.29
0.4892 0.9819 0.912 1.5292 0.3
0.4125 1.209 0.7794 1.9585 0.31
0.3307 1.4334 0.6256 2.2871 0.32
0.2411 1.4803 0.6375 2.1806 0.33
0.1963 1.898 0.747 2.2349 0.34
0.1788 2.0328 0.943 2.0287 0.35
0.1475 1.9704 1.3915 1.6818 0.36
0.1355 2.076 1.6654 1.1559 0.37
0.1545 2.286 1.9592 0.8262 0.38
0.1675 2.3898 2.2513 0.5048 0.39
0.2349 2.5352 2.4138 0.3336 0.4
0.2403 2.3468 2.7614 0.4314 0.41
0.331 2.2266 3.1118 0.5634 0.42
0.3637 1.9958 2.6157 0.9309 0.43
0.4754 1.8363 2.8792 1.4731 0.44
0.6054 1.9637 2.4641 1.9491 0.45
0.6096 1.5617 1.9672 2.0899 0.46
0.6949 1.5323 1.574 2.3872 0.47
0.8038 1.1273 1.2637 2.2383 0.48
0.8726 1.0735 1.0613 2.0964 0.49
1.0354 0.881 0.9327 1.8339 0.5
1.0038 0.6414 0.8114 1.4646 0.51
1.0852 0.5172 0.7723 0.9572 0.52
1.0814 0.3718 1.0341 0.5609 0.53
1.3011 0.309 1.2473 0.2472 0.54
1.2156 0.2495 1.4961 0.1592 0.55
1.4002 0.2311 1.639 0.2286 0.56
1.2532 0.2646 1.9872 0.5042 0.57
1.2397 0.3406 2.392 0.9197 0.58
