# label : detector calibration 11. 03. 2015
# y : intensity
#y2 time y1
0.3612 0.01 0.0112
0.6876 0.02 0.3823
0.9486 0.03 0.0395
1.2705 0.04 0.8024
1.5015 0.05 0.0686
1.8032 0.06 1.1678
1.8108 0.07 0.1187
1.9237 0.08 1.4734
2.1818 0.09 0.1817
2.0218 0.1 1.6577
1.9085 0.11 0.231
1.9959 0.12 2.2525
1.7214 0.13 0.3086
1.4623 0.14 2.3947
1.2139 0.15 0.4376
1.0192 0.16 2.5679
0.7078 0.17 0.5581
0.3965 0.18 2.5757
0.1103 0.19 0.7458
-0.1647 0.2 2.8146
-0.3885 0.21 0.9097
-0.6298 0.22 2.5929
-0.9009 0.23 1.0055
-0.931 0.24 2.4453
-1.1697 0.25 1.2179
-1.1998 0.26 2.3913
-1.2847 0.27 1.3264
-1.0987 0.28 2.7365
-1.0151 0.29 1.7311
-1.054 0.3 2.2556
-0.8808 0.31 1.6544
-0.7172 0.32 2.1241
-0.5575 0.33 1.7864
-0.3107 0.34 2.0457
-0.1347 0.35 1.972
0.0449 0.36 1.7591
0.2289 0.37 2.2166
0.422 0.38 1.4511
0.5734 0.39 2.4302
0.7174 0.4 1.1158
0.7591 0.41 2.3746
0.9292 0.42 0.9086
0.9027 0.43 2.4816
1.0244 0.44 0.6775
0.9532 0.45 2.1715
0.9464 0.46 0.3737
0.9585 0.47 2.1036
0.8095 0.48 0.1761
0.8093 0.49 1.8904
0.6848 0.5 -0.0361
0.6927 0.51 1.9841
0.5752 0.52 -0.2077
0.5699 0.53 1.5534
0.5343 0.54 -0.3682
0.4796 0.55 1.3757
0.4612 0.56 -0.5161
0.5053 0.57 1.0597
0.506 0.58 -0.5595
0.5615 0.59 0.7459
0.671 0.6 -0.6191
0.7548 0.61 0.4118
0.7834 0.62 -0.6705
0.8285 0.63 0.0126
1.0 0.64 -0.7813
1.0265 0.65 -0.3527
1.0906 0.66 -0.7758
1.083 0.67 -0.7283
1.1258 0.68 -0.8128
1.2465 0.69 -1.0679
1.1197 0.7 -0.7201
1.2031 0.71 -1.532
0.9808 0.72 -0.7466
0.8482 0.73 -1.6641
0.8107 0.74 -0.8468
0.6117 0.75 -2.1556
0.478 0.76 -0.7917
0.2583 0.77 -2.4576
0.0892 0.78 -0.8821
-0.0967 0.79 -2.3827
-0.2505 0.8 -0.7624
-0.4433 0.81 -2.6527
-0.5521 0.82 -0.8159
-0.6409 0.83 -3.1728
-0.7592 0.84 -1.012
-0.851 0.85 -3.1629
-0.8301 0.86 -0.9193
-0.647 0.87 -2.7236
-0.6307 0.88 -1.0712
-0.4997 0.89 -2.9195
-0.2964 0.9 -1.2371
-0.0471 0.91 -2.8753
0.2244 0.92 -1.2973
0.4926 0.93 -2.3954
0.7258 0.94 -1.3986
1.1391 0.95 -2.4453
1.356 0.96 -1.4547
1.5707 0.97 -2.2542
1.9949 0.98 -1.6531
2.2695 0.99 -1.7245
2.2466 1.0 -1.4899
2.3449 1.01 -1.5037
2.5557 1.02 -1.6942
2.6578 1.03 -1.2458
2.5222 1.04 -1.6271
2.8019 1.05 -0.893
2.8232 1.06 -1.6178
2.5016 1.07 -0.6489
2.2769 1.08 -1.8056
2.0567 1.09 -0.3214
1.6786 1.1 -1.581
1.3581 1.11 -0.0028
1.091 1.12 -1.5835
0.7673 1.13 0.2739
0.3807 1.14 -1.5354
0.1 1.15 0.5717
-0.1716 1.16 -1.3392
-0.4804 1.17 0.8454
-0.6606 1.18 -1.1864
-0.7623 1.19 0.9222
-0.8882 1.2 -0.8214
-1.0281 1.21 1.1128
-1.0759 1.22 -0.6371
