# y : signal strength
#y3 y2 y1 y4 time
0.4799 0.4019 0.1408 0.6673 0.01
0.9069 0.6865 0.3121 1.0688 0.02
1.4021 1.0735 0.4705 1.5133 0.03
1.7272 1.348 0.6068 1.8748 0.04
1.8689 1.6931 0.6447 2.0937 0.05
2.3154 2.0155 0.7459 1.7069 0.06
2.3227 1.8924 0.9572 1.5027 0.07
2.4308 1.8671 1.1021 1.3166 0.08
2.098 2.1922 1.1935 0.8608 0.09
1.9584 1.8408 1.1659 0.3112 0.1
1.9465 1.8244 1.4056 -0.1407 0.11
1.721 1.5052 1.2819 -0.5374 0.12
1.3324 1.4868 1.5167 -0.8515 0.13
1.1324 1.0659 1.4167 -0.9012 0.14
0.9892 0.68 1.5417 -0.9563 0.15
0.8394 0.3698 1.5907 -0.7268 0.16
0.9408 -0.0169 1.543 -0.623 0.17
0.9073 -0.4086 1.4171 -0.3733 0.18
0.9553 -0.7729 1.6214 -0.0911 0.19
0.9843 -0.9976 1.4898 0.1426 0.2
1.1619 -1.2123 1.5267 0.3017 0.21
1.3019 -1.6289 1.4714 0.3691 0.22
1.4973 -1.5374 1.2408 0.38 0.23
1.5337 -1.6318 1.1485 0.3254 0.24
1.5278 -1.6682 1.175 0.2146 0.25
1.6308 -1.6517 1.1343 0.0923 0.26
1.5088 -1.6411 1.0375 0.0025 0.27
1.4835 -1.3474 0.9214 -0.0365 0.28
1.2182 -1.2929 0.7536 0.0074 0.29
0.9396 -0.875 0.7019 0.1521 0.3
0.5799 -0.6232 0.7185 0.3569 0.31
0.1373 -0.2504 0.5805 0.6266 0.32
-0.2902 0.127 0.4723 1.0963 0.33
-0.7505 0.546 0.4685 1.4599 0.34
-1.2335 0.9477 0.3639 1.7186 0.35
-1.4679 1.2211 0.3524 1.7973 0.36
-1.8308 1.4664 0.3076 1.9687 0.37
-2.0842 1.7964 0.2924 1.9138 0.38
-1.9597 1.9146 0.2361 1.4665 0.39
-2.363 2.2442 0.2643 1.2956 0.4
-2.1653 2.0493 0.2674 0.7075 0.41
