#Atlantis NPP, unit 10
#date;fha;bc;ao
1982-12-11;1.459;6.934;-6.645
1982-12-12;1.458;6.921;-6.635
1982-12-13;1.457;6.914;-6.625
1982-12-14;1.456;6.903;-6.62
1982-12-15;1.454;6.89;-6.616
1982-12-16;1.453;6.876;-6.612
1982-12-17;1.452;6.864;-6.609
1982-12-18;1.451;6.856;-6.604
1982-12-19;1.45;6.844;-6.596
1982-12-20;1.449;6.831;-6.59
1982-12-21;1.448;6.82;-6.588
1982-12-22;1.447;6.809;-6.583
1982-12-23;1.446;6.795;-6.577
1982-12-24;1.445;6.781;-6.571
1982-12-25;1.444;6.77;-6.568
1982-12-26;1.443;6.761;-6.562
1982-12-27;1.442;6.755;-6.559
1982-12-28;1.441;6.749;-6.557
1982-12-29;1.44;6.74;-6.55
1982-12-30;1.439;6.734;-6.545
1982-12-31;1.438;6.723;-6.541
1983-01-01;1.437;6.712;-6.536
1983-01-02;1.436;6.697;-6.534
1983-01-03;1.435;6.685;-6.531
1983-01-04;1.435;6.672;-6.527
1983-01-05;1.433;6.659;-6.524
1983-01-06;1.432;6.646;-6.521
1983-01-07;1.432;6.635;-6.519
1983-01-08;1.431;6.623;-6.517
1983-01-09;1.43;6.611;-6.512
1983-01-10;1.429;6.596;-6.508
1983-01-11;1.428;6.584;-6.503
1983-01-12;1.427;6.575;-6.5
1983-01-13;1.426;6.56;-6.497
1983-01-14;1.424;6.551;-6.494
1983-01-15;1.424;6.543;-6.49
1983-01-16;1.423;6.532;-6.486
1983-01-17;1.422;6.523;-6.482
1983-01-18;1.42;6.513;-6.477
1983-01-19;1.42;6.508;-6.474
1983-01-20;1.419;6.502;-6.472
1983-01-21;1.418;6.489;-6.47
1983-01-22;1.418;6.476;-6.467
1983-01-23;1.417;6.464;-6.463
1983-01-24;1.416;6.449;-6.459
1983-01-25;1.415;6.442;-6.454
1983-01-26;1.415;6.433;-6.452
1983-01-27;1.414;6.426;-6.448
1983-01-28;1.413;6.416;-6.445
1983-01-29;1.412;6.403;-6.442
