#Atlantis NPP, unit 11
#date;fha;ao;bc
14.2.1994;1.314;-6.156;5.276
15.2.1994;1.313;-6.149;5.268
16.2.1994;1.312;-6.139;5.261
17.2.1994;1.31;-6.135;5.253
18.2.1994;1.309;-6.126;5.24
19.2.1994;1.308;-6.117;5.232
20.2.1994;1.307;-6.11;5.223
21.2.1994;1.306;-6.104;5.218
22.2.1994;1.305;-6.1;5.208
23.2.1994;1.303;-6.095;5.195
24.2.1994;1.302;-6.09;5.188
25.2.1994;1.301;-6.085;5.179
26.2.1994;1.299;-6.08;5.166
27.2.1994;1.299;-6.073;5.153
28.2.1994;1.297;-6.067;5.143
1.3.1994;1.297;-6.062;5.137
2.3.1994;1.295;-6.059;5.129
3.3.1994;1.294;-6.054;5.115
4.3.1994;1.293;-6.05;5.103
5.3.1994;1.292;-6.047;5.095
6.3.1994;1.291;-6.042;5.083
7.3.1994;1.29;-6.037;5.075
8.3.1994;1.289;-6.033;5.064
9.3.1994;1.288;-6.029;5.058
10.3.1994;1.287;-6.027;5.046
11.3.1994;1.286;-6.021;5.035
12.3.1994;1.285;-6.018;5.03
13.3.1994;1.285;-6.015;5.015
14.3.1994;1.284;-6.01;5.004
15.3.1994;1.282;-6.005;4.993
16.3.1994;1.282;-6.003;4.981
17.3.1994;1.281;-5.999;4.967
18.3.1994;1.28;-5.997;4.959
19.3.1994;1.28;-5.992;4.951
20.3.1994;1.278;-5.987;4.942
21.3.1994;1.277;-5.983;4.934
22.3.1994;1.276;-5.978;4.925
23.3.1994;1.276;-5.975;4.915
24.3.1994;1.274;-5.971;4.907
25.3.1994;1.273;-5.969;4.893
26.3.1994;1.272;-5.964;4.885
27.3.1994;1.27;-5.961;4.872
28.3.1994;1.27;-5.957;4.859
29.3.1994;1.269;-5.953;4.853
30.3.1994;1.267;-5.951;4.846
31.3.1994;1.267;-5.949;4.834
1.4.1994;1.266;-5.947;4.822
2.4.1994;1.265;-5.943;4.807
3.4.1994;1.264;-5.94;4.796
4.4.1994;1.263;-5.937;4.786
5.4.1994;1.263;-5.934;4.777
6.4.1994;1.262;-5.931;4.769
7.4.1994;1.261;-5.928;4.755
8.4.1994;1.261;-5.925;4.75
9.4.1994;1.26;-5.921;4.741
10.4.1994;1.259;-5.918;4.726
11.4.1994;1.258;-5.914;4.714
12.4.1994;1.257;-5.911;4.704
13.4.1994;1.256;-5.909;4.695
14.4.1994;1.255;-5.907;4.681
15.4.1994;1.254;-5.904;4.673
16.4.1994;1.253;-5.902;4.665
17.4.1994;1.252;-5.899;4.652
18.4.1994;1.252;-5.896;4.643
19.4.1994;1.25;-5.892;4.636
20.4.1994;1.249;-5.889;4.626
21.4.1994;1.249;-5.887;4.618
22.4.1994;1.248;-5.885;4.604
23.4.1994;1.246;-5.883;4.598
24.4.1994;1.245;-5.88;4.587
25.4.1994;1.244;-5.876;4.573
26.4.1994;1.243;-5.874;4.562
27.4.1994;1.242;-5.871;4.548
28.4.1994;1.242;-5.867;4.539
29.4.1994;1.241;-5.865;4.533
30.4.1994;1.24;-5.862;4.523
1.5.1994;1.239;-5.859;4.518
2.5.1994;1.238;-5.856;4.504
3.5.1994;1.237;-5.854;4.49
4.5.1994;1.237;-5.853;4.475
5.5.1994;1.236;-5.851;4.466
6.5.1994;1.235;-5.848;4.454
7.5.1994;1.234;-5.844;4.446
8.5.1994;1.233;-5.841;4.438
9.5.1994;1.233;-5.839;4.427
10.5.1994;1.231;-5.836;4.421
11.5.1994;1.231;-5.832;4.414
12.5.1994;1.229;-5.83;4.403
13.5.1994;1.228;-5.829;4.394
14.5.1994;1.227;-5.825;4.387
15.5.1994;1.226;-5.821;4.373
16.5.1994;1.224;-5.818;4.366
17.5.1994;1.223;-5.814;4.355
18.5.1994;1.222;-5.81;4.343
19.5.1994;1.222;-5.809;4.332
20.5.1994;1.221;-5.806;4.32
21.5.1994;1.22;-5.805;4.308
22.5.1994;1.219;-5.803;4.297
23.5.1994;1.219;-5.802;4.292
24.5.1994;1.218;-5.798;4.285
25.5.1994;1.217;-5.797;4.276
26.5.1994;1.215;-5.793;4.266
27.5.1994;1.214;-5.79;4.256
28.5.1994;1.214;-5.788;4.244
29.5.1994;1.212;-5.786;4.233
30.5.1994;1.212;-5.783;4.222
31.5.1994;1.211;-5.78;4.215
1.6.1994;1.209;-5.777;4.206
2.6.1994;1.208;-5.775;4.194
3.6.1994;1.207;-5.773;4.188
4.6.1994;1.206;-5.769;4.182
5.6.1994;1.205;-5.767;4.174
6.6.1994;1.204;-5.765;4.162
7.6.1994;1.203;-5.762;4.152
8.6.1994;1.202;-5.76;4.14
9.6.1994;1.201;-5.758;4.126
10.6.1994;1.2;-5.755;4.121
11.6.1994;1.199;-5.754;4.115
12.6.1994;1.198;-5.752;4.109
13.6.1994;1.196;-5.749;4.096
14.6.1994;1.195;-5.747;4.089
15.6.1994;1.194;-5.744;4.076
16.6.1994;1.193;-5.742;4.065
17.6.1994;1.192;-5.74;4.057
18.6.1994;1.19;-5.738;4.047
19.6.1994;1.19;-5.736;4.034
20.6.1994;1.188;-5.734;4.022
21.6.1994;1.187;-5.731;4.008
22.6.1994;1.186;-5.728;3.993
23.6.1994;1.185;-5.726;3.979
24.6.1994;1.184;-5.723;3.974
25.6.1994;1.184;-5.722;3.96
26.6.1994;1.182;-5.719;3.952
27.6.1994;1.181;-5.715;3.946
28.6.1994;1.18;-5.714;3.932
29.6.1994;1.179;-5.712;3.925
30.6.1994;1.178;-5.709;3.915
1.7.1994;1.177;-5.706;3.905
2.7.1994;1.176;-5.703;3.896
3.7.1994;1.176;-5.699;3.887
4.7.1994;1.175;-5.698;3.876
5.7.1994;1.174;-5.696;3.863
6.7.1994;1.173;-5.693;3.852
7.7.1994;1.172;-5.691;3.838
8.7.1994;1.171;-5.689;3.832
9.7.1994;1.171;-5.686;3.823
10.7.1994;1.17;-5.684;3.815
11.7.1994;1.169;-5.683;3.801
12.7.1994;1.169;-5.681;3.789
13.7.1994;1.167;-5.679;3.775
14.7.1994;1.166;-5.677;3.769
15.7.1994;1.166;-5.675;3.762
16.7.1994;1.164;-5.674;3.755
17.7.1994;1.163;-5.671;3.742
18.7.1994;1.162;-5.67;3.73
19.7.1994;1.161;-5.667;3.72
20.7.1994;1.159;-5.665;3.711
21.7.1994;1.158;-5.663;3.699
22.7.1994;1.157;-5.662;3.692
23.7.1994;1.156;-5.66;3.679
24.7.1994;1.155;-5.658;3.665
25.7.1994;1.154;-5.655;3.654
26.7.1994;1.154;-5.652;3.644
27.7.1994;1.153;-5.65;3.63
