#CandyMountain NPP, unit 1
#date;bc;fha;ao
10/25/1982;5.634;1.477;-5.324
10/26/1982;5.627;1.477;-5.316
10/27/1982;5.622;1.475;-5.308
10/28/1982;5.612;1.475;-5.304
10/29/1982;5.6;1.474;-5.299
10/30/1982;5.592;1.473;-5.294
10/31/1982;5.582;1.472;-5.288
11/01/1982;5.577;1.471;-5.282
11/02/1982;5.567;1.471;-5.276
11/03/1982;5.562;1.47;-5.271
11/04/1982;5.557;1.469;-5.267
11/05/1982;5.551;1.469;-5.26
11/06/1982;5.537;1.468;-5.255
11/07/1982;5.525;1.468;-5.252
11/08/1982;5.518;1.467;-5.248
11/09/1982;5.504;1.465;-5.245
11/10/1982;5.493;1.464;-5.242
11/11/1982;5.48;1.464;-5.239
11/12/1982;5.47;1.462;-5.235
11/13/1982;5.461;1.461;-5.231
11/14/1982;5.453;1.461;-5.228
11/15/1982;5.44;1.459;-5.223
11/16/1982;5.426;1.459;-5.22
11/17/1982;5.412;1.457;-5.218
11/18/1982;5.397;1.456;-5.213
11/19/1982;5.39;1.455;-5.208
11/20/1982;5.384;1.454;-5.204
11/21/1982;5.373;1.453;-5.201
11/22/1982;5.366;1.451;-5.196
11/23/1982;5.359;1.45;-5.191
11/24/1982;5.346;1.449;-5.187
11/25/1982;5.336;1.449;-5.182
11/26/1982;5.33;1.448;-5.177
11/27/1982;5.321;1.447;-5.175
11/28/1982;5.306;1.446;-5.171
11/29/1982;5.294;1.445;-5.168
11/30/1982;5.289;1.444;-5.164
12/01/1982;5.281;1.443;-5.161
12/02/1982;5.273;1.443;-5.157
12/03/1982;5.258;1.441;-5.154
12/04/1982;5.252;1.44;-5.152
12/05/1982;5.244;1.439;-5.147
12/06/1982;5.238;1.438;-5.143
12/07/1982;5.228;1.437;-5.14
12/08/1982;5.221;1.436;-5.137
12/09/1982;5.208;1.435;-5.133
12/10/1982;5.195;1.434;-5.129
12/11/1982;5.189;1.432;-5.127
12/12/1982;5.179;1.432;-5.125
12/13/1982;5.17;1.431;-5.123
12/14/1982;5.16;1.43;-5.118
12/15/1982;5.145;1.429;-5.114
12/16/1982;5.131;1.428;-5.111
12/17/1982;5.125;1.427;-5.108
12/18/1982;5.113;1.426;-5.105
12/19/1982;5.106;1.426;-5.101
12/20/1982;5.095;1.425;-5.098
12/21/1982;5.088;1.424;-5.094
12/22/1982;5.076;1.422;-5.091
12/23/1982;5.064;1.421;-5.087
12/24/1982;5.055;1.42;-5.085
12/25/1982;5.042;1.419;-5.081
12/26/1982;5.033;1.418;-5.078
12/27/1982;5.018;1.417;-5.074
12/28/1982;5.008;1.417;-5.073
12/29/1982;4.993;1.416;-5.069
12/30/1982;4.987;1.415;-5.068
12/31/1982;4.977;1.414;-5.065
01/01/1983;4.969;1.413;-5.061
01/02/1983;4.96;1.412;-5.059
01/03/1983;4.95;1.411;-5.056
01/04/1983;4.944;1.41;-5.053
01/05/1983;4.931;1.409;-5.051
01/06/1983;4.92;1.408;-5.047
01/07/1983;4.905;1.407;-5.045
01/08/1983;4.892;1.406;-5.041
01/09/1983;4.884;1.405;-5.039
01/10/1983;4.876;1.404;-5.037
01/11/1983;4.867;1.403;-5.033
