#Atlantis NPP, unit 15
#date;ao;bc;fha
1999-02-08;-6.916;5.301;1.498
1999-02-09;-6.906;5.288;1.497
1999-02-10;-6.899;5.276;1.495
1999-02-11;-6.895;5.264;1.495
1999-02-12;-6.885;5.253;1.493
1999-02-13;-6.877;5.245;1.493
1999-02-14;-6.871;5.239;1.492
1999-02-15;-6.864;5.233;1.491
1999-02-16;-6.857;5.224;1.49
1999-02-17;-6.85;5.213;1.488
1999-02-18;-6.844;5.202;1.487
1999-02-19;-6.838;5.195;1.487
1999-02-20;-6.831;5.186;1.485
1999-02-21;-6.826;5.174;1.484
1999-02-22;-6.821;5.159;1.483
1999-02-23;-6.817;5.147;1.481
1999-02-24;-6.812;5.136;1.481
1999-02-25;-6.809;5.129;1.48
1999-02-26;-6.806;5.12;1.479
1999-02-27;-6.804;5.108;1.478
1999-02-28;-6.799;5.096;1.477
1999-03-01;-6.795;5.082;1.477
1999-03-02;-6.792;5.072;1.476
1999-03-03;-6.787;5.06;1.475
1999-03-04;-6.782;5.051;1.473
1999-03-05;-6.78;5.037;1.473
1999-03-06;-6.776;5.026;1.472
1999-03-07;-6.773;5.02;1.471
1999-03-08;-6.768;5.012;1.47
1999-03-09;-6.763;5.004;1.47
1999-03-10;-6.759;4.99;1.468
1999-03-11;-6.755;4.982;1.468
1999-03-12;-6.753;4.967;1.467
1999-03-13;-6.75;4.953;1.466
1999-03-14;-6.747;4.939;1.465
1999-03-15;-6.744;4.924;1.464
1999-03-16;-6.742;4.911;1.462
1999-03-17;-6.738;4.904;1.461
1999-03-18;-6.735;4.891;1.46
1999-03-19;-6.733;4.881;1.46
1999-03-20;-6.731;4.87;1.458
1999-03-21;-6.729;4.856;1.457
1999-03-22;-6.727;4.845;1.456
1999-03-23;-6.723;4.84;1.455
1999-03-24;-6.72;4.825;1.454
1999-03-25;-6.718;4.811;1.453
1999-03-26;-6.714;4.801;1.452
1999-03-27;-6.711;4.791;1.452
1999-03-28;-6.706;4.777;1.451
1999-03-29;-6.704;4.766;1.45
1999-03-30;-6.7;4.756;1.449
1999-03-31;-6.696;4.748;1.448
1999-04-01;-6.694;4.74;1.447
1999-04-02;-6.692;4.731;1.446
1999-04-03;-6.691;4.724;1.445
1999-04-04;-6.687;4.717;1.444
1999-04-05;-6.685;4.712;1.444
1999-04-06;-6.682;4.7;1.442
1999-04-07;-6.679;4.693;1.442
1999-04-08;-6.676;4.686;1.441
1999-04-09;-6.673;4.679;1.44
1999-04-10;-6.672;4.668;1.439
1999-04-11;-6.67;4.655;1.438
1999-04-12;-6.667;4.643;1.437
1999-04-13;-6.663;4.633;1.436
1999-04-14;-6.661;4.62;1.436
1999-04-15;-6.659;4.613;1.435
1999-04-16;-6.656;4.605;1.434
1999-04-17;-6.653;4.591;1.433
1999-04-18;-6.65;4.584;1.432
1999-04-19;-6.646;4.569;1.431
1999-04-20;-6.642;4.555;1.43
1999-04-21;-6.64;4.544;1.429
1999-04-22;-6.636;4.537;1.428
1999-04-23;-6.632;4.523;1.427
1999-04-24;-6.629;4.516;1.426
1999-04-25;-6.625;4.508;1.425
1999-04-26;-6.622;4.495;1.424
1999-04-27;-6.62;4.488;1.424
1999-04-28;-6.617;4.474;1.422
1999-04-29;-6.614;4.461;1.421
1999-04-30;-6.61;4.446;1.42
1999-05-01;-6.608;4.439;1.419
1999-05-02;-6.604;4.426;1.418
1999-05-03;-6.603;4.415;1.417
1999-05-04;-6.6;4.405;1.416
1999-05-05;-6.599;4.393;1.415
1999-05-06;-6.596;4.385;1.414
1999-05-07;-6.593;4.377;1.413
1999-05-08;-6.59;4.372;1.412
1999-05-09;-6.588;4.364;1.411
1999-05-10;-6.586;4.354;1.411
1999-05-11;-6.584;4.341;1.409
1999-05-12;-6.581;4.331;1.408
1999-05-13;-6.578;4.32;1.407
1999-05-14;-6.575;4.308;1.406
1999-05-15;-6.572;4.294;1.405
1999-05-16;-6.57;4.28;1.404
1999-05-17;-6.569;4.269;1.403
1999-05-18;-6.565;4.261;1.402
1999-05-19;-6.562;4.255;1.401
1999-05-20;-6.558;4.247;1.4
1999-05-21;-6.557;4.238;1.399
1999-05-22;-6.556;4.232;1.397
1999-05-23;-6.554;4.22;1.396
1999-05-24;-6.552;4.214;1.395
1999-05-25;-6.549;4.199;1.395
1999-05-26;-6.547;4.187;1.394
1999-05-27;-6.544;4.181;1.393
1999-05-28;-6.542;4.176;1.392
1999-05-29;-6.54;4.169;1.391
1999-05-30;-6.537;4.156;1.39
1999-05-31;-6.534;4.15;1.389
1999-06-01;-6.531;4.138;1.389
1999-06-02;-6.528;4.125;1.388
1999-06-03;-6.526;4.115;1.387
1999-06-04;-6.523;4.104;1.386
1999-06-05;-6.521;4.098;1.384
1999-06-06;-6.52;4.09;1.384
1999-06-07;-6.517;4.082;1.383
1999-06-08;-6.515;4.072;1.382
1999-06-09;-6.513;4.059;1.381
1999-06-10;-6.511;4.054;1.38
1999-06-11;-6.508;4.043;1.38
1999-06-12;-6.506;4.03;1.379
1999-06-13;-6.504;4.016;1.378
1999-06-14;-6.501;4.002;1.377
1999-06-15;-6.499;3.988;1.376
1999-06-16;-6.497;3.978;1.375
1999-06-17;-6.495;3.964;1.374
1999-06-18;-6.493;3.955;1.373
1999-06-19;-6.49;3.942;1.372
1999-06-20;-6.487;3.931;1.37
1999-06-21;-6.485;3.922;1.369
1999-06-22;-6.483;3.913;1.368
1999-06-23;-6.482;3.903;1.368
1999-06-24;-6.479;3.893;1.367
1999-06-25;-6.476;3.878;1.366
1999-06-26;-6.473;3.863;1.365
1999-06-27;-6.471;3.849;1.364
1999-06-28;-6.468;3.84;1.363
1999-06-29;-6.466;3.829;1.362
1999-06-30;-6.463;3.821;1.361
1999-07-01;-6.461;3.815;1.36
1999-07-02;-6.459;3.805;1.359
1999-07-03;-6.456;3.793;1.358
1999-07-04;-6.454;3.779;1.357
1999-07-05;-6.451;3.765;1.356
1999-07-06;-6.448;3.755;1.355
1999-07-07;-6.445;3.742;1.353
1999-07-08;-6.442;3.731;1.353
1999-07-09;-6.44;3.725;1.351
1999-07-10;-6.437;3.716;1.351
1999-07-11;-6.434;3.705;1.35
1999-07-12;-6.431;3.699;1.348
1999-07-13;-6.429;3.686;1.348
1999-07-14;-6.428;3.672;1.347
1999-07-15;-6.427;3.661;1.346
