# x : time signal
# y : intensity
# label : detector calibration 18. 10. 2015
#y2 y1 time y4 y3
1.1478 0.5438 0.01 0.7022 0.4359
1.8527 1.0496 0.02 1.0564 0.9347
1.7398 1.1784 0.03 0.747 1.1348
1.3032 1.2224 0.04 0.0935 1.3778
0.8354 0.8708 0.05 -0.4833 1.6862
0.7451 0.5495 0.06 -0.6436 1.6597
1.0602 0.0821 0.07 -0.2019 1.5086
1.8797 -0.2505 0.08 0.6385 1.4364
2.454 -0.4388 0.09 1.1974 1.1515
2.6569 -0.3677 0.1 1.61 0.8923
2.1934 -0.072 0.11 1.0244 0.6116
1.3145 0.3577 0.12 0.2915 0.4264
0.3949 0.9272 0.13 -0.2553 0.2486
-0.2696 1.3014 0.14 -0.2101 0.112
-0.3401 1.6473 0.15 0.3944 0.0694
0.0541 1.926 0.16 1.1603 0.1272
0.5263 1.8698 0.17 1.9254 0.2373
0.6929 1.372 0.18 1.8516 0.4316
0.2356 1.1222 0.19 1.2191 0.6238
-0.5608 0.6591 0.2 0.4098 0.8168
-1.4949 0.3162 0.21 -0.0003 1.0864
-1.9983 0.1981 0.22 0.1854 1.2563
-1.6723 0.3691 0.23 0.8369 1.4217
-0.9132 0.7509 0.24 1.8463 1.41
-0.2064 1.2223 0.25 1.9742 1.0407
0.3187 1.8319 0.26 1.8287 0.8904
0.2877 2.212 0.27 1.178 0.5777
-0.239 2.2919 0.28 0.4634 0.2217
-0.8981 2.45 0.29 0.1971 -0.2074
-1.1053 2.3211 0.3 0.4732 -0.579
-0.9976 1.7547 0.31 1.3076 -1.0885
-0.2258 1.3573 0.32 1.9591 -1.4147
0.5245 1.0141 0.33 2.0361 -1.4871
1.0194 0.6837 0.34 1.8706 -1.6929
0.8292 0.6877 0.35 1.148 -1.7799
0.1267 0.8749 0.36 0.4049 -1.6389
-0.6727 1.1382 0.37 0.292 -1.3669
-1.3549 1.7037 0.38 0.7779 -1.0469
-1.2103 2.1656 0.39 1.5765 -0.6067
-0.841 2.7447 0.4 2.188 -0.2937
-0.1941 2.6918 0.41 2.0022 0.036
0.1819 2.5662 0.42 1.5331 0.2996
0.0639 2.4661 0.43 0.7899 0.5186
-0.5049 1.8026 0.44 0.3015 0.6413
-1.2124 1.4837 0.45 0.3025 0.6522
-1.7792 1.0418 0.46 0.9296 0.7007
-1.3505 0.7832 0.47 1.6046 0.5553
-0.7314 0.8704 0.48 2.0793 0.3752
0.2839 1.1368 0.49 1.8561 0.1593
1.064 1.5536 0.5 1.1643 -0.0114
1.1468 1.7942 0.51 0.4622 -0.1492
1.0006 2.2685 0.52 0.0585 -0.2011
0.4671 2.7314 0.53 0.234 -0.2004
0.2535 2.5693 0.54 0.9827 -0.0713
0.5523 2.4502 0.55 1.5657 0.1447
1.2524 2.2985 0.56 2.0354 0.4396
2.2079 1.5704 0.57 1.7051 0.7778
2.9439 1.0463 0.58 0.7963 1.1553
2.9338 0.7982 0.59 0.0743 1.6908
1.9655 0.5917 0.6 -0.2102 1.9617
1.3076 0.7429 0.61 0.1297 2.03
0.4628 0.9265 0.62 0.7944 2.359
0.2066 1.2973 0.63 1.3509 2.2815
0.4416 1.7129 0.64 1.5059 2.4269
0.8217 2.3867 0.65 1.1572 2.4971
1.1093 2.3381 0.66 0.3353 2.1603
0.6469 2.3877 0.67 -0.325 1.6133
-0.219 2.0369 0.68 -0.4525 1.4124
-1.2495 1.6312 0.69 0.006 0.9003
-2.0154 1.0144 0.7 0.7327 0.5283
-2.3975 0.6187 0.71 1.167 0.1847
-2.2179 0.2903 0.72 1.1212 -0.0885
-1.553 0.1939 0.73 0.6473 -0.2395
-1.0527 0.3733 0.74 -0.2169 -0.3123
-0.9382 0.7255 0.75 -0.6853 -0.2967
-1.1795 1.0497 0.76 -0.6492 -0.1686
-1.9102 1.5152 0.77 -0.0916 -0.0075
-2.3803 1.7782 0.78 0.7017 0.1901
-2.0954 2.1147 0.79 1.1543 0.4497
-1.2455 1.684 0.8 0.8146 0.5803
-0.3068 1.4393 0.81 0.1313 0.7446
0.5574 0.9519 0.82 -0.7179 0.7642
0.9901 0.4135 0.83 -1.0924 0.7117
0.8265 -0.0476 0.84 -0.8065 0.5893
0.2967 -0.3071 0.85 -0.1184 0.358
-0.1339 -0.3023 0.86 0.5596 0.1129
-0.1385 -0.0591 0.87 0.8269 -0.1899
0.3922 0.3125 0.88 0.4882 -0.4956
1.2362 0.7914 0.89 -0.3179 -0.833
1.9199 1.213 0.9 -0.9579 -0.9909
1.9999 1.4972 0.91 -1.154 -1.1806
1.4163 1.5196 0.92 -0.7919 -1.0941
0.4676 1.2271 0.93 -0.0735 -1.1418
-0.2726 0.6869 0.94 0.5591 -0.864
-0.5461 0.1867 0.95 0.7008 -0.5766
-0.3485 -0.3034 0.96 0.1653 -0.1849
0.3159 -0.6864 0.97 -0.5972 0.2319
0.8423 -0.7456 0.98 -1.2768 0.7367
1.0959 -0.775 0.99 -1.2193 1.0878
0.6521 -0.4014 1.0 -0.6475 1.4174
-0.1138 0.0309 1.01 0.0913 1.8203
-0.7587 0.449 1.02 0.6615 1.8176
-0.894 0.7604 1.03 0.5446 2.1097
-0.4112 0.9208 1.04 -0.0356 2.2503
0.4185 0.8592 1.05 -0.851 1.7889
1.208 0.5374 1.06 -1.2062 1.8121
1.6403 0.1251 1.07 -1.052 1.5799
1.2152 -0.4147 1.08 -0.4122 1.3439
0.6186 -0.8664 1.09 0.3898 0.9956
0.0212 -1.1273 1.1 0.7813 0.9254
-0.2466 -1.2288 1.11 0.6297 0.8695
0.021 -0.9235 1.12 -0.1102 0.8311
0.5721 -0.6033 1.13 -0.8865 0.8143
1.1293 -0.1182 1.14 -1.1971 0.9293
1.2215 0.3424 1.15 -0.7453 1.1346
0.7367 0.6129 1.16 0.0143 1.4905
-0.2783 0.6491 1.17 0.772 1.5694
-1.2171 0.531 1.18 1.0242 1.8841
-1.7464 0.201 1.19 0.6481 1.9094
-1.7424 -0.3053 1.2 -0.0705 2.2642
-1.4048 -0.8219 1.21 -0.7189 2.0799
-0.7945 -1.1469 1.22 -0.8524 2.0062
-0.7342 -1.3157 1.23 -0.2659 2.0439
-0.9408 -1.1696 1.24 0.5136 1.6306
-1.6722 -1.0841 1.25 1.1717 1.2176
-2.5065 -0.5577 1.26 1.3121 0.8331
-2.4931 -0.0589 1.27 0.7894 0.38
-2.1823 0.3806 1.28 0.0589 -0.0454
-1.3821 0.5508 1.29 -0.4563 -0.428
-0.2846 0.6598 1.3 -0.3789 -0.7027
0.4359 0.3992 1.31 0.3088 -0.8238
0.5794 0.0125 1.32 1.0089 -0.8737
0.2708 -0.5162 1.33 1.7943 -0.889
-0.0933 -0.927 1.34 1.5256 -0.7297
-0.1033 -1.3383 1.35 0.9342 -0.4944
0.4131 -1.3363 1.36 0.2551 -0.2219
1.3541 -1.2402 1.37 -0.0949 0.0915
2.5006 -0.7869 1.38 0.1623 0.3856
2.9324 -0.2735 1.39 0.9513 0.7269
2.9329 0.216 1.4 1.8667 0.8895
2.0519 0.6161 1.41 1.9993 0.9932
1.1187 0.7472 1.42 2.0163 1.0303
0.7625 0.6576 1.43 1.127 1.0466
0.6777 0.4033 1.44 0.4626 0.941
1.0173 -0.0014 1.45 0.295 0.6657
1.5212 -0.4664 1.46 0.6919 0.5011
1.5247 -0.7882 1.47 1.443 0.3035
1.2798 -1.0917 1.48 2.3929 0.1352
0.2574 -1.1846 1.49 2.478 0.0508
-0.7405 -0.8379 1.5 2.0736 0.0431
-1.5163 -0.3707 1.51 1.2491 0.1397
-1.6717 0.1198 1.52 0.7543 0.3049
-1.0607 0.5269 1.53 0.6759 0.5501
-0.4281 0.885 1.54 1.2008 0.9754
-0.0414 0.9323 1.55 2.1671 1.4226
-0.164 0.832 1.56 2.8821 1.6506
-0.6808 0.537 1.57 2.5089 2.263
-1.4303 0.0745 1.58 2.2397 2.6077
-1.7475 -0.344 1.59 1.2336 2.5864
-1.4166 -0.6743 1.6 0.7943 3.1597
-0.8093 -0.8425 1.61 1.0571 3.0292
0.1382 -0.7762 1.62 1.5972 3.0599
0.713 -0.4179 1.63 2.2136 2.4555
0.7051 0.0315 1.64 2.8753 2.342
0.2506 0.5331 1.65 2.6377 2.2353
-0.4805 0.8867 1.66 2.0347 1.5163
-0.9238 1.1856 1.67 1.275 1.3632
-0.919 1.2813 1.68 0.9783 0.9494
-0.3942 0.9464 1.69 1.1768 0.6317
0.2574 0.6329 1.7 2.1065 0.5065
0.7063 0.1202 1.71 2.4693 0.3586
0.566 -0.3194 1.72 2.7746 0.3964
-0.1281 -0.5968 1.73 2.5283 0.4996
-0.9789 -0.6486 1.74 1.9757 0.648
